sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:possible_english_name,matchScore,mappingStatus,conceptId,comment
4110C,"EPÄSTABIILI ANGINA PECTORIS,TROMBI",7,,Postmyocardial infarction syndrome,0.3849286437034607,UNCHECKED,321318,
8450X,"DISTORSIO,DISTENSIO SEU RUPTURA TARSI ALIA",82,,Ankle sprain,0.3057715892791748,UNCHECKED,321886,
2153X,"ALARAAJAN BENIGNI PEHMYTKUDOSKASVAIN,TARK MÄÄRITTEL",16,,"Other benign neoplasm of connective and other soft tissue of lower limb, including hip",0.15174061059951782,UNCHECKED,44499835,
4148A,"MORBUS CORDIS ISCHAEMICUS ALIA,EI AHTAUMAA",7,,Other specified forms of chronic ischemic heart disease,0.40126729011535645,UNCHECKED,321588,
3160A,PSYYK TEKIJÄT ORGAANISTEN SAIRAUKSIEN/OIREIDEN YHTE,81,,Psychic factors associated with diseases classified elsewhere,0.142696812748909,UNCHECKED,4098166,
2959D,"ERILAISTUMATON SKITSOFRENIA,SUBKROONINEN AKUUTTI",120,,Unspecified schizophrenia,0.16911102831363678,UNCHECKED,4245799,
3580A,MYASTHENIA GRAVIS,120,,Myasthenia gravis,1.0,APPROVED,76685,
4266X,DISSOCIATIO CORDIS ALIA,7,,Other heart block,0.5847648978233337,UNCHECKED,434889,
2254A,NEOPLASMA BENIGNUM MENINGUM SPINALIUM,16,,Benign neoplasm of spinal meninges,0.571793794631958,UNCHECKED,135767,
8082A,"FRACTURA OSSIS PUBIS, NON COMPLICATA",81,,Closed fracture of pubis,0.5651441812515259,UNCHECKED,4263360,
2387B,THROMBOCYTHAEMIA IDIOPATHICA,16,,Neoplasm of uncertain behavior of other lymphatic and hematopoietic tissues,0.9042201638221741,APPROVED,438383,
5850B,INSUFFICIENTIA RENIS CHRONICA CUM URAEMIA,120,,Chronic kidney disease (CKD),0.6629416346549988,UNCHECKED,443961,
4349X,OCCL/STENOS ARTER.CEREBRAL NUD SINE INFARCTU CEREBR,7,,"Cerebral artery occlusion, unspecified",0.4316933751106262,UNCHECKED,762936,
2513A,HYPOINSULINAEMIA POSTOPERATIVA,16,,Postsurgical hypoinsulinemia,0.8619698286056519,APPROVED,192591,
1890A,"NEOPL MAL RENIS PELVI EXCEPTO,NEPHROBLASTOMA",80,,"Malignant neoplasm of kidney, except pelvis",0.41281068325042725,UNCHECKED,4120310,
4489A,ANGIODYSPLASIA,7,,Other and unspecified capillary diseases,1.0,APPROVED,4236340,
2016A,"MORBUS HODGKIN, MIXED CELLULARITY",119,,"Hodgkin's disease, mixed cellularity",0.7080751061439514,UNCHECKED,4038843,
2680A,RACHITIS ACTIVA,16,,"Rickets, active",0.4290395677089691,UNCHECKED,4171915,
4566A,VARICES VENARUM VULVAE,7,,Vulval varices,0.6579096913337708,UNCHECKED,4300384,
6081A,SPERMATOCELE,119,,Spermatocele,1.0,APPROVED,197601,
2009X,LYMPHOMA MALIGNUM (NON-HODGKIN) NUD,80,,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue,0.612424910068512,UNCHECKED,4038838,
2721X,HYPERTRIGLYCERIDAEMIA ALIA,16,,Pure hyperglyceridemia,0.9291284680366516,APPROVED,4120314,
4800A,PNEUMONIA VIROSA E ADENOVIRUS,7,,Pneumonia due to adenovirus,0.6422170996665955,UNCHECKED,254677,
3057A,AMFETAMIINIPÄIHTYMYS,16,,Amphetamine or related acting sympathomimetic abuse,0.33329692482948303,UNCHECKED,4076931,
2790B,DEFICIENTIA IMMUNOGLOBULINI A,80,,Deficiency of humoral immunity,0.7815448045730591,APPROVED,4219003,
6418A,"ALIA HAEMORRHAGIA IN GRAVIDITATE,HOITOJ ENNEN SYNN",119,,Other antepartum hemorrhage,0.3388303816318512,UNCHECKED,4127414,
4822A,PNEUMONIA E HAEMOPHILUS INFLUENZAE,7,,Pneumonia due to Hemophilus influenzae [H. influenzae],0.8841162323951721,APPROVED,260754,
3342A,DEGENERATIO CEREBELLARIS PRIMARIA,16,,Primary cerebellar degeneration,0.7871452569961548,APPROVED,436391,
5586X,"KROONINEN INFLAMMATOORINEN SUOLISTOSAIRAUS, NUD",80,,Other and unspecified noninfectious gastroenteritis and colitis,0.3792280852794647,UNCHECKED,4272488,
5201A,DENTES SUPERNUMERARII,7,,Supernumerary teeth,0.6937748193740845,UNCHECKED,4068890,
6468X,COMPLICATIONES GRAVIDITALIS ALIA DEFINITA,119,,Other specified complications of pregnancy,0.3523322641849518,UNCHECKED,439408,
3489X,MORBI CEREBRI NUD,16,,Unspecified condition of brain,0.3583832085132599,UNCHECKED,4174218,
5207A,"ERUPTIOPATHIA (\"\"TEETHING SYNDROME\"\")",7,,Teething syndrome,0.4003247618675232,UNCHECKED,135852,
6564A,"MORS FOETALIS INTRAUTERINA, RASKAUDEN AIKANA",80,,Intrauterine death affecting management of mother,0.36602601408958435,UNCHECKED,4029251,
3518X,MORBI NERVI FACIALIS ALIA DEFINITA,16,,Other facial nerve disorders,0.36309370398521423,UNCHECKED,4021907,
8421B,DISTOR/DISTEN/RUPT. ARTICULI METACARPOPHALANGEALIS,119,,Hand sprain,0.3719577491283417,UNCHECKED,4116167,
5227A,FISTULA E LAESIONE PERIAPICALI,7,,Periapical abscess with sinus,0.4385351538658142,UNCHECKED,4241349,
8026A,"FRACTURA ORBITAE (\"\"BLOW-OUT FRACTURE\"\")",80,,Closed fracture of orbital floor (blow-out),0.5105687379837036,UNCHECKED,379157,
4650A,LARYNGOPHARYNGITIS ACUTA,118,,Acute laryngopharyngitis,0.8844704627990723,APPROVED,23798,
3623A,OCCLUSIO ARTERIAE CENTRALIS RETINAE,16,,Retinal vascular occlusion,0.6349034309387207,UNCHECKED,437540,
5712A,ALKOHOLIMAKSAKIRROOSI,118,,Alcoholic cirrhosis of liver,0.32039976119995117,UNCHECKED,4243362,
5271A,HYPERTROPHIA GLANDULAE SALIVARIUM,7,,Hypertrophy of salivary gland,0.6416780948638916,UNCHECKED,28461,
2962A,PSYCHOSIS BIPOLARIS MANICA NUD,79,,"Major depressive disorder, single episode",0.5449318885803223,UNCHECKED,436073,
3703A,KERATOCONJUNCTIVITIS,16,,Certain types of keratoconjunctivitis,1.0,APPROVED,380397,
6141A,S-O-ITIS CHRONICA,118,,Chronic salpingitis and oophoritis,0.380626380443573,UNCHECKED,4182678,
5325B,"ULCUS DUODENI MULTIPLEX ,VUOTAVA",7,,Chronic or unspecified duodenal ulcer with perforation,0.3501238226890564,UNCHECKED,437027,
4272A,TACHYCARDIA PAROXYSMALIS NUD,79,,"Paroxysmal tachycardia, unspecified",0.8096137046813965,APPROVED,313792,
3773A,PAPILLITIS OPTICA,16,,Optic neuritis,0.8512591123580933,APPROVED,435269,
9240A,CONTUSIO REGIONIS COXAE ET FEMORIS,118,,Contusion of hip and thigh,0.39317306876182556,UNCHECKED,441737,
4878X,INFLUENZA ALIA DEFINITA SEU NUD,79,,Influenza with other manifestations,0.5202668905258179,UNCHECKED,4266367,
5379X,MAHALAUKUN TAI POHJUKAISSUOLEN SAIRAUS NUD,7,,Unspecified disorder of stomach and duodenum,0.1662023365497589,UNCHECKED,4345815,
3782A,STRABISMUS CONVERGENS INTERMITTENS,16,,Intermittent heterotropia,0.7640107274055481,APPROVED,4100058,
5750A,CHOLECYSTITIS ACUTA SINE CHOLELITHIASI,79,,Acute cholecystitis,0.8280096054077148,APPROVED,4145443,
2395A,NEOPLASMA NON DEF ORGANORUM UROGENITALIUM ALIORUM,117,,Neoplasm of unspecified nature of other genitourinary organs,0.40957462787628174,UNCHECKED,4129898,
4131A,"ANGINA PECTORIS INVERSA ,EI AHTAUMAA",16,,Prinzmetal angina,0.3763156533241272,UNCHECKED,321318,
6461A,OEDEMA GRAVIDARUM,79,,"Edema or excessive weight gain in pregnancy, without mention of hypertension",0.814142644405365,APPROVED,4006961,
5501D,"HERNIA INGUINALIS CUM OBSTRUCTIONE,RECIDIVANS",7,,"Inguinal hernia, with obstruction, without mention of gangrene",0.4570472240447998,UNCHECKED,4025663,
4269X,SYDÄMEN MUU JOHTUMISHÄRIÖ,16,,"Conduction disorder, unspecified",0.12988455593585968,UNCHECKED,37116414,
4271A,TACHYCARDIA VENTRICULARIS PAROXYSMALIS,117,,Paroxysmal ventricular tachycardia,0.8626708388328552,APPROVED,437579,
5512B,HERNIA LINEAE ALBAE CUM GANGRAENA,7,,Ventral hernia with gangrene,0.4405522346496582,UNCHECKED,4128844,
7211A,SPONDYLARTHROSIS CERVICALIS CUM MYELOPATHIA,79,,Cervical spondylosis with myelopathy,0.6752868294715881,UNCHECKED,136198,
4410B,DISSECATIO AORTAE SINE ANEURYSMATE,16,,Dissecting aneurysm of aorta,0.6182146072387695,UNCHECKED,317585,
4750A,PERITONSILLITIS DIFFUSA,117,,Peritonsillar abscess,0.5814887881278992,UNCHECKED,4234533,
2964C,"PSYCHOSIS BIPOLARIS CIRCULARIS,KESKIVAIKEA",78,,"Bipolar I disorder, most recent episode (or current) manic",0.34538137912750244,UNCHECKED,436073,
5839X,NEPHRITIS INTERSTITIALIS NUD,117,,"Nephritis and nephropathy, not specified as acute or chronic, with unspecified pathological lesion in kidney",0.7482073307037354,UNCHECKED,4177206,
5539X,HERNIA ABDOMINALIS NUD SINE OBSTRUCTIONE ET GANGR,7,,Hernia of unspecified site without mention of obstruction or gangrene,0.5460246205329895,UNCHECKED,4185786,
4423A,ANEURYSMA ARTERIAE EXTREMITATIS INFERIORIS,16,,Aneurysm of artery of lower extremity,0.5540701150894165,UNCHECKED,312336,
5322A,"ULCUS BULBI,KOMPLISOITUMATON",116,,Acute duodenal ulcer with hemorrhage and perforation,0.3031828701496124,UNCHECKED,4173943,
5602D,VOLVULUS OMENTI,7,,Volvulus,0.8389192223548889,APPROVED,197603,
3454X,ALII DISTURBATIONES CONSCIENTAE EPILEPTICI,78,,Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures,0.4066278636455536,UNCHECKED,376961,
4598X,MORBI SYSTEMATIS CIRCULATIONIS ALIA DEFINITA,16,,Other specified disorders of circulatory system,0.45949786901474,UNCHECKED,134057,
5620A,DIVERTICULA ET DIVERTICULOSIS DUODENI,7,,Diverticula of small intestine,0.7189376354217529,UNCHECKED,4057816,
6412B,"ABLATIO PLACENTAE ANTETEMPUS,SYNN PÄÄTT HOITOJAKSO",116,,Premature separation of placenta,0.31972169876098633,UNCHECKED,198488,
3824A,RESIDUA POST OTITIDEM MEDIAM,78,,Unspecified suppurative otitis media,0.49341920018196106,UNCHECKED,443403,
0609X,FEBRIS FLAVA NUD,115,,"Yellow fever, unspecified",0.47388583421707153,UNCHECKED,437663,
4612A,SINUITIS ETHMOIDALIS ACUTA,16,,Acute ethmoidal sinusitis,0.722616970539093,UNCHECKED,141056,
4810A,PNEUMONIA PNEUMOCOCCICA,78,,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia],0.7962568998336792,APPROVED,258785,
5672B,PERITONITIS SUPPURATIVA LOCALISATA,7,,Other suppurative peritonitis,0.689483642578125,UNCHECKED,198189,
4721A,PHARYNGITIS CHRONICA,16,,Chronic pharyngitis,0.8692019581794739,APPROVED,26711,
4910A,BRONCHITIS CHRONICA NON PURULENTA,78,,Simple chronic bronchitis,0.7143253087997437,UNCHECKED,4105601,
1541A,"NEOPLASMA MALIG RECTI,INVASIIVINEN KARSINOOMA",115,,Malignant neoplasm of rectum,0.23552635312080383,UNCHECKED,37016439,
5848X,INSUFFICIENTIA RENIS ACUTA ALIA DEFINITA,7,,Acute kidney failure with other specified pathological lesion in kidney,0.6192904114723206,UNCHECKED,4178735,
4733A,SINUITIS SPHENOIDALIS CHRONICA,16,,Chronic sphenoidal sinusitis,0.7278975248336792,UNCHECKED,134661,
7444B,CYSTA BRANCHIOGENICA,78,,Branchial cleft cyst or fistula; preauricular sinus,0.5150730013847351,UNCHECKED,23567,
5970A,ABSCESSUS NONVENEREUS URETHRAE,7,,Urethral abscess,0.5590808391571045,UNCHECKED,195313,
5745A,"CHOLEDOCHOLITHIASIS SINE CHOLECYSTITIDE,SINE OBSTR",115,,Calculus of bile duct without mention of cholecystitis,0.6044384241104126,UNCHECKED,201614,
5300A,ACHALASIA ET CARDIOSPASMUS,16,,Achalasia and cardiospasm,0.5941497683525085,UNCHECKED,318186,
7199X,"MB ARTICULI NUD,MÄÄRITTELEMÄTÖN",115,,Unspecified disorder of joint,0.15697617828845978,UNCHECKED,4132616,
5321E,"ULCUS PYLORI ,OBSTRUKTIO",16,,Acute duodenal ulcer with perforation,0.31562942266464233,UNCHECKED,4352246,
8202A,"FRACTURA COLLI FEMORIS PERTROCHANTERICA,NON COMPLIC",78,,"Pertrochanteric fracture of femur, closed",0.4619487226009369,UNCHECKED,4015503,
5980A,STRICTURA URETHRAE E CAUSA INFECTIOSA,7,,Urethral stricture due to infection,0.5740840435028076,UNCHECKED,197919,
5678X,PERITONITIS ALIA DEFINITA,16,,Other specified peritonitis,0.6123195290565491,UNCHECKED,196152,
8250A,"FRACTURA CALCANEI, NON COMPLICATA",78,,"Fracture of calcaneus, closed",0.4431758522987366,UNCHECKED,4138414,
7288X,"MORBI MUSCULI, LIGAMENTI ET FASCIAE ALIA DEFINITA",115,,"Other disorders of muscle, ligament, and fascia",0.43751105666160583,UNCHECKED,137967,
6068A,INFERTILITAS VIRII E CAUSA EXTRATESTICULARIS,7,,Infertility due to extratesticular causes,0.5427128672599792,UNCHECKED,201354,
5679X,PERITONITIS NUD,16,,Unspecified peritonitis,0.6902865767478943,UNCHECKED,196152,
6117A,MASTODYNIA,7,,Signs and symptoms in breast,1.0,APPROVED,73819,
5765A,SPASMUS SPHINCTERIS ODDI,16,,Spasm of sphincter of Oddi,0.7687510251998901,APPROVED,441067,
0750A,MONONUCLEOSIS INFECTIOSA CUM COMPLICATIONE,77,,Infectious mononucleosis,0.6477802395820618,UNCHECKED,437784,
3490A,LUMBAALIPUNKTION AIHEUTTAMA PÄÄNSÄRKY TAI MUU OIRE,114,,Reaction to spinal or lumbar puncture,0.1773519068956375,UNCHECKED,4088120,
5781B,HAEMORRHAGIA EX ANO,114,,Blood in stool,0.6967509388923645,UNCHECKED,437312,
6149X,LANTION ELIMEN TULEHDUSSAIRAUS NUD,7,,Unspecified inflammatory disease of female pelvic organs and tissues,0.25068479776382446,UNCHECKED,4057659,
2251A,NEOPLASMA BENIGNUM NERVORUM CRANIALIUM,77,,Benign neoplasm of cranial nerves,0.5626344680786133,UNCHECKED,436936,
7802A,COLLAPSUS VASOVAGALIS,114,,Syncope and collapse,0.5645264983177185,UNCHECKED,4162976,
5821A,"GLOMERULONEPHRITIS CHRONICA MEMBRANACEA,EI NEFR SDR",16,,Chronic glomerulonephritis with lesion of membranous glomerulonephritis,0.5035995244979858,UNCHECKED,312358,
6151B,"ENDOMETRITIS, ENDOMYOMETR ET PERIMETR CHR,CUM \"\"IUD\"\"",7,,"Chronic inflammatory diseases of uterus, except cervix",0.3251767158508301,UNCHECKED,4339120,
2451A,THYREOIDITIS SUBACUTA,77,,Subacute thyroiditis,0.6644549369812012,UNCHECKED,132579,
5650C,FISSURA ANI ALIA,77,,Anal fissure,0.5558584332466125,UNCHECKED,3181100,
5870A,SCLEROSIS RENALIS SECUNDARIA NUD,16,,"Renal sclerosis, unspecified",0.48502424359321594,UNCHECKED,4140207,
4059B,HYPERTONIA SECUNDARIA ALIA DEFINITA,113,,Unspecified secondary hypertension,0.5283657908439636,UNCHECKED,4208994,
6239X,MORBUS NONINFECTIOSUS VAGINAE NUD,7,,Unspecified noninflammatory disorder of vagina,0.4646313190460205,UNCHECKED,4127406,
4661A,BRONCHIOLITIS ACUTA,113,,Acute bronchiolitis,0.834388256072998,APPROVED,260125,
5714X,HEPATITIS CHRONICA ALIA SEU NUD,77,,Chronic hepatitis,0.5264845490455627,UNCHECKED,198964,
5934A,OBSTRUCTIO URETERIS ALIA,16,,Other ureteric obstruction,0.6628661751747131,UNCHECKED,35624296,
6244A,LACERATIO VULVAE INVETERATA,7,,Old laceration or scarring of vulva,0.6152766942977905,UNCHECKED,4300384,
5322B,"ULCUS BULBI,VUOTAVA",113,,Acute duodenal ulcer with hemorrhage and perforation,0.30949223041534424,UNCHECKED,4173943,
5938A,URETEROCELE,16,,Other specified disorders of kidney and ureter,1.0,APPROVED,192440,
6142X,S-O-ITIS CHRONICA ALIA,77,,"Salpingitis and oophoritis not specified as acute, subacute, or chronic",0.4021696150302887,UNCHECKED,4183170,
5739X,MORBUS HEPATIS  NUD,113,,Unspecified disorder of liver,0.39951828122138977,UNCHECKED,321588,
6267A,METRORRHAGIA POST COITUM,7,,Postcoital bleeding,0.7401877045631409,UNCHECKED,195012,
5939X,MORBI RENIS ET URETERI NUD,16,,Unspecified disorder of kidney and ureter,0.2568517029285431,UNCHECKED,4129895,
6273A,KOLPITIS SENILIS,7,,Postmenopausal atrophic vaginitis,0.43612930178642273,UNCHECKED,437589,
7882A,RETENTIO URINAE,113,,Retention of urine,0.5975040793418884,UNCHECKED,192450,
6221A,DYSPLASIA CERVICIS UTERI LEVIS,77,,Dysplasia of cervix (uteri),0.610714852809906,UNCHECKED,192367,
5981A,STRICTURA URETHRAE TRAUMATICA,16,,Traumatic urethral stricture,0.7261428236961365,UNCHECKED,195589,
6339X,GRAVIDITAS ECTOPICA NUD,77,,Unspecified ectopic pregnancy,0.3707238733768463,UNCHECKED,4109365,
0030A,GASTROENTERITIS SALMONELLOSA,112,,Salmonella gastroenteritis,0.8253371715545654,APPROVED,196328,
6360A,ABORTUS PROVOCATUS ALIUS SINE COMPLICATIONE,7,,Illegally induced abortion complicated by genital tract and pelvic infection,0.4372173547744751,UNCHECKED,4160027,
5992A,DIVERTICULUM URETHRAE,16,,Urethral diverticulum,0.7881139516830444,APPROVED,196156,
2000A,LYMPHOMA MALIGNUM FOLLICULARE,112,,Reticulosarcoma,0.567376434803009,UNCHECKED,4123298,
9059A,SEQUELAE AMPUTATIONIS TRAUMATICAE,77,,Late effect of traumatic amputation,0.6219309568405151,UNCHECKED,4096479,
6230A,DYSPLASIA VAGINAE LEVIS,16,,Dysplasia of vagina,0.7467480301856995,UNCHECKED,194412,
6388X,EPÄONNISTUNUT RASKAUDEN KESKEYTYS MUINE KOOMPLIK,7,,Failed attempted abortion with unspecified complication,0.18382872641086578,UNCHECKED,37118954,
3781A,STRABISMUS CONCOMITANS DIVERGENS,112,,Exotropia,0.8709019422531128,APPROVED,4163410,
6299X,ALII MORBI GENITALIUM MULIERIS,16,,Unspecified disorder of female genital organs,0.2995266020298004,UNCHECKED,4243897,
2500C,"DIABETES MELLITUS SINE COMPLICATIONE ,MODY",76,,Diabetes mellitus without mention of complication,0.5352593064308167,UNCHECKED,4008576,
6160A,CERVICITIS ET ENDOCERVICITIS,112,,Cervicitis and endocervicitis,0.7943298816680908,APPROVED,196163,
3784B,EXOPHORIA,76,,Heterophoria,1.0,APPROVED,380109,
6421X,HYPERTENSIO ARTERIALIS GRAVIDARUM E MORBO RENALIS,7,,"Hypertension secondary to renal disease, complicating pregnancy, childbirth, and the puerperium",0.5420838594436646,UNCHECKED,4030872,
6410B,"PLACENTA PRAEVIA SINE HAEMORRHAGIA,SYNN PÄÄT HOITOJ",16,,Placenta previa without hemorrhage,0.4623204469680786,UNCHECKED,194710,
5772A,CYSTA ET PSEUDOCYSTA PANCREATIS,76,,Cyst and pseudocyst of pancreas,0.7947097420692444,APPROVED,4008556,
3018B,NARSISTINEN PERSOONALLISUUS,111,,Other personality disorders,0.2840162515640259,UNCHECKED,440080,
3044A,AMFETAMIINIRIIPPUVUUS,111,,Amphetamine and other psychostimulant dependence,0.3672378361225128,UNCHECKED,4076931,
7893A,TUMOR ABDOMINIS NUD,76,,"Abdominal or pelvic swelling, mass, or lump",0.5675079822540283,UNCHECKED,4133974,
6485A,MALEFORMATIO CARDIOVASCULARIS CONGENITA IN GRAVID,7,,"Congenital cardiovascular disorders complicating pregnancy, childbirth, or the puerperium",0.5634709000587463,UNCHECKED,42538522,
6569A,"SIKIÖN/IST HÄIR NUD, ÄIDIN TUTK TAI HOITO,RASK AIK",16,,Unspecified fetal and placental problem affecting management of mother,0.10208833962678909,UNCHECKED,4052323,
3153X,PUHEEN KEHITYKSEN ERITYISVAIKEUS,111,,Developmental speech or language disorder,0.15536102652549744,UNCHECKED,197684,
6698X,MUUT SYNNYTYSKOMPLIKAATIO,16,,Other complications of labor and delivery,0.2314307689666748,UNCHECKED,37110899,
7030A,UNGUIS INCARNATUS,111,,Ingrowing nail,1.0,APPROVED,139099,
8252E,"FRACTURA OSSIS METATARSALIS, NON COMPLICATA",76,,"Fracture of other tarsal and metatarsal bones, closed",0.5264273285865784,UNCHECKED,436256,
6543B,"UTERUS INCARCERATUS, SYNNYTYKSEN AIKANA",7,,Retroverted and incarcerated gravid uterus,0.3301631212234497,UNCHECKED,4127400,
7169X,ARTHROPATHIA NUD,111,,"Arthropathy, unspecified",0.6117532849311829,UNCHECKED,73553,
6742A,RUPTURA CICATRICIS PERINEALIS,16,,Disruption of obstetrical perineal wound,0.5012362599372864,UNCHECKED,4152594,
8500X,"COMMOTIO CEREBRI,TAJUTTOMUUDEN KESTOSTA EI TIETOA",76,,Concussion with no loss of consciousness,0.38575002551078796,UNCHECKED,4001336,
6550B,"MALEFORM CNS , SIK POIK, ÄID TUTK/HOITO,SYNN AIK",7,,Central nervous system malformation in fetus affecting management of mother,0.12817442417144775,UNCHECKED,443282,
8132X,FRACTURA RADII ET ULNAE DIAPHYSARIA NON COMPLICATA,111,,"Fracture of shaft of radius and ulna, closed",0.3890429139137268,UNCHECKED,761015,
6924D,DERMATITIS ARTEFACTA E CHEMICALIBUS GUMMI ALLERGICA,16,,Contact dermatitis and other eczema due to other chemical products,0.5649684071540833,UNCHECKED,133285,
2770A,MUCOVISCIDOSIS,110,,Cystic fibrosis,1.0,APPROVED,441267,
6559A,"SIKIÖVAURIO NUD,ÄIDIN TUTK /HOITO,RASKAUDEN AIKANA",7,,"Unspecified, known or suspected fetal abnormality affecting management of mother",0.15067058801651,UNCHECKED,4302643,
8822A,"VULNUS MANUS, DIG.EXCEPTO+LAESIO TENDINIS,NON COMPL",76,,"Open wound of hand except finger(s) alone, with tendon involvement",0.19071894884109497,UNCHECKED,4155089,
6928B,DERMATITIS ARTEFACTA E COSMETICA ALLERGICA,16,,Contact dermatitis and other eczema due to other specified agents,0.6672943830490112,UNCHECKED,133285,
2953D,"PARANOIDISTYYPPINEN SKITSOFRENIA,SUBKROON AKUUTTI",110,,Paranoid type schizophrenia,0.17953501641750336,UNCHECKED,4102670,
6560B,"TRANSFUSIO FOETO-MATERNALIS, SYNNYTYKSEN AIKANA",7,,Fetal-maternal hemorrhage affecting management of mother,0.36844149231910706,UNCHECKED,201366,
2952E,"KATATOONISTYYPPINEN SKITSOFRENIA,KROONINEN AKUUTTI",75,,Catatonic type schizophrenia,0.18406900763511658,UNCHECKED,4166730,
6940A,DERMATITIS HERPETIFORMIS,16,,Dermatitis herpetiformis,1.0,APPROVED,140487,
4720C,RHINITIS VASOMOTORICA,110,,Chronic rhinitis,0.7974218726158142,APPROVED,4305500,
3008A,SOMATISAATIOHÄIRIÖ,75,,Somatoform disorders,0.22003382444381714,UNCHECKED,441545,
6819X,CELLULITIS DIGITI MANUS ET PEDIS NUD,7,,Cellulitis and abscess of unspecified digit,0.5589414834976196,UNCHECKED,76492,
4809X,PNEUMONIA VIROSA NUD,110,,"Viral pneumonia, unspecified",0.5925658345222473,UNCHECKED,255848,
6984A,LICHENIFICATIO ET DERMATITIS ARTEFACTA,16,,Dermatitis factitia [artefacta],0.704604983329773,UNCHECKED,133285,
6839X,LYMPHADENITIS ACUTA NUD,7,,Acute lymphadenitis,0.6335061192512512,UNCHECKED,318222,
4720A,RHINITIS CHRONICA HYPERTROPHICA,75,,Chronic rhinitis,0.8258562088012695,APPROVED,4112497,
7104A,POLYMYOSITIS,16,,Polymyositis,1.0,APPROVED,80800,
6178X,ENDOMETRIOSIS ALIA DEFINITA,110,,Endometriosis of other specified sites,0.6663638949394226,UNCHECKED,433527,
7183G,"LUXATIO HABITUALIS, NILKKA",16,,Recurrent dislocation of joint,0.44938787817955017,UNCHECKED,4344155,
5225A,ABSCESSUS PERIAPICALIS (DENTOALVEOLARIS),75,,Periapical abscess without sinus,0.6698578596115112,UNCHECKED,4025325,
7094A,GRANULOMA CUTIS ET SUBCUTIS E CORPORE ALIENO,7,,Foreign body granuloma of skin and subcutaneous tissue,0.4525258243083954,UNCHECKED,4297509,
6213C,HYPERPLASIA ENDOMETRII ADEMOMATOSA,110,,Endometrial hyperplasia,0.6000736951828003,UNCHECKED,198471,
7294A,FASCITIS NUD,16,,"Fasciitis, unspecified",0.48330724239349365,UNCHECKED,200528,
7442B,MICROTIA,16,,Other specified congenital anomalies of ear,1.0,APPROVED,378849,
5354X,GASTRITIS CHRONICA ALIA,75,,Other specified gastritis,0.6854711174964905,UNCHECKED,4225273,
7115F,"ARTHRITIS (POSTINFECTIOSA) VIROSA, POLVI",7,,Arthropathy associated with other viral diseases,0.4386652410030365,UNCHECKED,4262590,
7560A,CRANIOSYNOSTOSIS,16,,Anomalies of skull and face bones,1.0,APPROVED,4210998,
6350B,"ABORTUS PROV LEGAL SINE COMPL,LÄÄKETIET SYYT (SIK)",110,,Legally induced abortion complicated by genital tract and pelvic infection,0.23741188645362854,UNCHECKED,441073,
5742B,"CHOLECYSTOLITHIASIS SINE CHOLECYSTITIDE,CUM OBSTR",75,,Calculus of gallbladder without mention of cholecystitis,0.5815794467926025,UNCHECKED,196456,
7786A,HYDROCELE CONGENITA,16,,Congenital hydrocele,0.8519271016120911,APPROVED,72434,
7189X,"MB ARTICULI, LIGAM ET CARTILAG NUD,MÄÄRITTELEMÄTÖN",7,,Unspecified derangement of joint,0.19962714612483978,UNCHECKED,439103,
6608B,MUU MÄÄRITELTY SYNNYTYKSEN PYSÄHTYMINEN,110,,Other causes of obstructed labor,0.15927338600158691,UNCHECKED,81097,
6269X,MENSTRUATIO ABNORMA NUD,75,,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract,0.7157105207443237,UNCHECKED,443431,
V654A,TERVEYSNEUVONTA,110,,"Other counseling, not elsewhere classified",0.2652745246887207,UNCHECKED,4104980,
7951A,EPÄSPESIFINEN POIKKEAVA MUU SYTOLOGIA,16,,Abnormal Papanicolaou smear of vagina and vaginal HPV,0.18370243906974792,UNCHECKED,4013532,
7198G,"MB ARTICULI ALIA DEFINITA,",7,,Other specified disorders of joint,0.3248848021030426,UNCHECKED,4320788,
7561A,SPONDYLOLISTHESIS CONGENITA,75,,"Anomalies of spine, congenital",0.93819659948349,APPROVED,79127,
7969X,MUUT EPÄSPESIFIT POIKKEAVUUDET,16,,Other nonspecific abnormal findings,0.20902001857757568,UNCHECKED,4260688,
7199D,"MB ARTICULI NUD,KÄSI",7,,Unspecified disorder of joint,0.18961282074451447,UNCHECKED,4132616,
3453A,STATUS EPILEPTICUS GRAND MAL,109,,Grand mal status,0.8494070768356323,APPROVED,4332304,
2510B,COMA HYPOGLYCAEMICUM,74,,Hypoglycemic coma,0.8565381169319153,APPROVED,380688,
2512X,HYPOGLYCAEMIA NUD,74,,"Hypoglycemia, unspecified",0.8530420064926147,APPROVED,24609,
8131A,FRACTURA OLECRANI COMPLICATA,16,,"Fracture of upper end of radius and ulna, open",0.6000696420669556,UNCHECKED,4083488,
4276A,EXTRASYSTOLIA SUPRAVENTRICULARIS,109,,Premature beats,0.835468053817749,APPROVED,441872,
2768A,HYPOKALAEMIA,74,,Hypopotassemia,1.0,APPROVED,437833,
