TOIMENPIDE,Lyhenne,Pitkä.nimi,Långt_namn,yhteensa
10010,,,,152
PD4BD,Alaraajavaltimoiden laaja TT,Alaraajavaltimoiden laaja TT-angiografia,Nedre extremiteternas omfattande DT-angiografi,152
SPF10,Vaativa proteesin korjaus,Vaativa proteesin korjaus,"Reparation av tandprotes, krävande",151
FKB10,Mitraalivuodon korjaus renkaalla,"Mitraaliläpän korjaus renkaalla, läppävuoto",Anuloplastik med ring vid mitralisinsufficiens,150
LAA10,Munasolun otto ovariosta iholta/emättime,Munasolun ottaminen munasarjasta iholta käsin tai emättimestä,Perkutan eller transvaginal punktion med uthämtning av ägg,150
RP121,,,,150
ZZQ30,"Lihas, mikrovaskulaarisiirre","Lihas, vapaa, verisuoniin liitetty siirre",Fritt transplantat av muskel med mikrovaskulära anastomoser,150
RP330,,,,149
A222,,,,148
H0330,,,,148
ND1CG,Ranteen l.VKMT,Ranteen ja/tai käden laaja magneettitutkimus,"Handled och/eller hand, omfattande MR",148
SDA04,"Parodontologinen hoito, pitkäkestoinen","Parodontologinen hoito, pitkäkestoinen","Parodontologisk behandling, långvarig",148
WVA20,Lääkkeenanto,Lääkkeenanto,Administrering av läkemedel,148
F883,,,,148
LAE10,Toisen munasarjan poisto,Toisen munasarjan poisto,Öppen unilateral ooforektomi,147
NFJ52,"Reisiluun yläosankiinnitys,liukur/naula","Reisiluun yläosan kiinnitys, liukuruuvi/naula ja sivulevy",Fixation av proximal femurfraktur med teleskopskruv/spik och platta,147
NE1BA,"Lantion rtg, laaja",Lantion laaja röntgen,"Bäcken, omfattande röntgen",147
PD1CD,Vatsa-aortan ja haarojen er laaja TT,Vatsa-aortan ja haarojen erittäin laaja TT-angiografia,"Bukaorta och dess grenar, mycket omfattande DT",147
H0123,,,,146
JFB43,Vasemmanpuolinen paksusuolen typistys,Vasemmanpuolinen paksusuolen typistys,Öppen vänstersidig hemikolektomi,146
ND2CG,"Käden laaja magneettitutkimus (1,5T)",Käden laaja magneettitutkimus,"Hand, omfattande MR",146
TCG10,Sarveiskalvo-ommelten poisto,Sarveiskalvo-ommelten poisto,Suturtagning från hornhinna,146
XX7BT,Radiofosforihoito,Radiofosforihoito,Radiofosforbehandling,146
FN1CD,Sepelvaltimoiden erittäin laaja TT,Sepelvaltimoiden erittäin laaja tietokonetomografiatutkimus,"Kranskärl,  mycket omfattande DT",145
H1202,,,,145
JGB03,Peräsuolen ja mesorektumin typistys,Peräsuolen ja mesorektumin typistys,Resektion av rectum och mesorektum,145
K223,,,,145
H5010,,,,144
CBB50,Silmäluomen kasvipoisto+siirre/kielek,Silmäluomen kasvaimen poisto ja korjaaminen siirteellä tai kielekkeellä,Exstirpation av tumör eller hokal förändring i ögonlock: rekonstruktion med transplantat eller lambå,143
3542,,,,143
BB1AN,"Lisäkilpirauhasen gammakuvaus, 1 isot",Lisäkilpirauhasen gammakuvaus 1 isotoopilla,"Bisköldkörtel, gammaskintigrafi med 1 isotop",143
A232,,,,142
ACC59,"Ääreishermon vapautus, muu/määrtön","Ääreishermon vapautus, muu tai määrittämätön hermo",Dekompression av annan eller ospecificerad nerv,142
BBA40,Lisäkilpirauhasten poisto osittain,Lisäkilpirauhasten poisto osittain,Subtotal paratyreoidektomi,142
H0374,,,,142
KCB00,Koepalan otto virtsarakosta,Koepalan otto virtsarakosta,Öppen biopsi av urinblåsan,142
NHK30,I jalkapöydänluun/varpaan osteotomia,Isovarpaan luun tai 1. jalkapöydänluun katkaisu ja kääntö,Osteotomi på stortån eller os metatarsale 1,142
TAB20,Epiduraalipisto,Epiduraalipisto,Epiduralpunktion,142
FWD00,"Sydän/thoraxsuonileikk haavarev,vuoto",Sydän- tai rintaontelosuonileikkauksen uusintaleikkaus vuodon vuoksi,Reoperation för blödning efter hjärtoperation eller torakal kärlkirurgi,141
KDV10,Virtsaputken halkaisu sisältä,Virtsaputken halkaisu sisältä,Inre uretrotomi,141
SJX21,Hampaiston oik hoitoon liit hoitotmp/kontr,Hampaiston oikomishoitoon liittyvä hoitotoimenpide tai kontrolli,Åtgärd eller kontroll förknippad med ortodontisk behandling,141
AA001,Sädeh aivo/pikkuaivo prim. kasv. preop,Sädehoito aivojen ja  pikkuaivojen tai niiden osien  primaarikasvaimen  preoperatiivisena hoitona,Preoperativ strålbehandling av primärtumör i hjärnan eller dess delar,141
NH1DA,Nilkkojen rtg,Nilkkojen natiiviröntgen,"Fotleder, röntgen",141
H0184,,,,140
H0272,,,,140
TPH30,Keskuslaskimokatetri ääreislaskimon kaut,Keskuslaskimokatetrin asettaminen ääreislaskimon kautta,Inläggande av CVK via perifert ven,140
H0208,,,,139
H0611,,,,139
H2100,,,,139
JK3MB,Postoper.kolangiogr,Sappiteiden varjoainetutkimus leikkauksen jälkeen,"Kolangiografi, postoperativ",139
KAC00,Munuaisen poisto,Munuaisen poisto,Öppen nefrektomi,139
QBA50,Vartalon ihomuutoksen jäädytyshoito,Vartalon ihomuutoksen jäädytyshoito,Kryoterapi av hudförändring på bålen,139
PA2MT,Aivoaneur.okkl.er.laaja,Aivovaltimoaneurysman erittäin laaja suonensisäinen tukkiminen,"Hjärnaneurysm, mycket omfattande intravaskulär ocklusion",139
DE2BG,Porusten VKMT,Kuulohermon ja sisäkorvan magneettitutkimus,"Porus, MR",138
NH1DG,Nilkan er.l.VKMT,Nilkan ja/tai jalkaterän erittäin laaja magneettitutkimus,"Fotled och/eller fot, mycket omfattande MR",138
FN1AT,Sepelvaltimoiden PTA,Sepelvaltimon suonensisäinen laajennushoito (PCTA),Kranskärl intravaskulär angioplastik (PTCA),138
F782,,,,138
NAG62,"Lannerankaluudutus takaa,fiksaatio,2-3","Lannerangan luudutus takaa, kiinnitys, 2-3 nikamaa","Posterior lumbal spondylodes, 2- 3 kotor",137
ZX114,Lihakseen,Lihakseen,Intramuskulär,137
WX300,Epiduraalipuudutus kaularangan tasolla,Epiduraalipuudutus kaularangan tasolla,Cervical epiduralanestesi,137
EB1CI,"Hampaisto ja leuat kartiokeila-TT,3-4 leukapuolta",Hampaiston ja leukojen kartiokeilatutkimus (3-4 leukapuoliskoa),"Tanduppsättning och käk, volymtomografi, 3 - 4 käkshalvor",137
H0267,,,,136
JAB11,Nivustyrän korjaus tähystyksessä,Nivustyrän korjaus vatsaontelon tähystyksessä,Laparoskopisk/endoskopisk operation av ljumskbråck,136
JJ1LE,Maksan UÄ-elastogr.,Maksan ultraäänitutkimus-elastografia,"Lever, ultraljudsledd elastografi",136
LCB10,Kohdun lihaskasvaimen poisto,Kohdun lihaskasvaimen poisto,Myomexstirpation,136
NAG65,Lannerangan luudutus etu-/takakautta,Lannerangan luudutus etu- ja takakautta samassa leikkauksessa,Kombinerad anterior och posterior lumbal spondylodes (i samma seans),136
ND1BG,Ranteen VKMT,Ranteen ja/tai käden magneettitutkimus,"Handled och/eller hand, MR",136
ND3CM,"Sormien laaja magneettitutkimus (yli 1,5T)","Sormien laaja magneettitutkimus (yli 1,5T)","Fingrar, omfatattande MR (under 1,5T)",136
PB1DE,Ylär.valtimodoppler,Yläraajan valtimoiden doppler-UÄ,"Artärer i övre extremitet, UL med dopplerteknik",136
PJD43,Imusolmukepoisto aortan ympäriltä,Imusolmukkeiden yksinkertainen poisto aortan ympäriltä,Exstirpation av para-aortala lymfkörtlar,136
SJD30,Vaativa kiinteän oikomiskojeen kaari,Vaativa kiinteän oikomiskojeen kaari,Krävande båge till fast ortodontisk apparatur,136
EB1TA,,,,136
JAD11,Arpityrän korjaus tähystysteitse,Arpityrän korjaus tähystysteitse,Endoskopisk operation av ärrbråck,135
QAA40,Pään/kaulan ihomuutoksen laser/fotokoag,Pään tai kaulan ihomuutoksen laserkäsittely tai fotokoagulaatio,Laserbehandling eller fotokoagulation av hudförändring i huvud-halsregionen,135
TFP30,Sydämen rytmihäiriön katetritutkimus,Sydämen rytmihäiriön katetritutkimus,Kateterundersökning av arytmier i hjärtat,135
UDQ02,Suora kurkunpään tähystys,Suora kurkunpään tähystys,Direkt laryngoskopi,135
CA1AD,Silmäkuopan TT,Silmäkuopan tietokonetomografiatutkimus,"Orbita, DT",135
F700,,,,135
EN1CD,Suun ja kaulan pehmytosien er laaja TT,Suun ja kaulan pehmytosien erittäin laaja tietokonetomografiatutkimus,"Munhåla och hals, mycket omfattande DT",134
H0034,,,,134
JF1DG,Ohutsuoli er.l.VKMT,Ohutsuolen erittäin laaja magneettitutkimus,"Tunntarm, mycket omfattande MR",134
KH1DD,Virtsaelinten TT-urografia,Virtsaelinten TT-urografia,"Urinorganen, DT-urografi",134
NBR30,"Olkapään/-varren kasvainpoisto,ekst/radi","Olkapään tai olkavarren kasvaimen poisto,  ekstensiivinen  tai  radikaalinen",Extensiv/radikal excision av tumör i skuldran/överarmen,134
PA2AC,"Aivovaltimot, angio",Aivovaltimoiden varjoainetutkimus,Cerebral angiografi,134
JG1CG,"Peräsuolen laaja magneettitutkimus (1,5T)",Peräsuolen laaja magneettitutkimus,"Ändtarm, omfattande MR",134
KE1DR,Prostata metab PET-TT,Eturauhasen aineenvaihdunnan PET-tietokonetomografiatutkimus,"Prostata metabolism, PET-DT",134
ND1RA,Ranteen yksittäisen luun erillisröntgen,Ranteen yksittäisen luun erillisröntgen,Röntgen av enskild ben i handled,134
FEB10,Sydänpussin aukaisu ja kanavointi ulos,Sydänpussin aukaisu ja kanavointi ulos,Dekompression medelst perikardiotomi och dränage av perikardiet,133
H0638,,,,133
JAG60,Vatsanpeitteiden korjaus keinoaineella,Vatsanpeitteiden korjaus keinoaineella,Bukväggsrekonstruktion med främmande material,133
JF2CD,Paksusuolen erittäin laaja TT,Paksusuolen erittäin laaja tietokonetomografiatutkimus,"Kolon, mycket omfattande DT",133
JJB10,Maksan osan epäanatominen poisto,Maksan osan epäanatominen poisto,Atypisk leverresektion,133
QBA25,Vartalon ihomuutoksen paikallinen käsittely,Vartalon ihomuutoksen paikallinen käsittely,Destruktion av hudförändring på bålen,133
F267,,,,133
F729,,,,133
H0517,,,,132
H0720,,,,132
HAD60,Rintarauhasproteesin vaihto,Rintarauhasproteesin vaihto,Utbyte av bröstprotes,132
JGB31,Peräsuolen poisto laparoskooppisesti avu,Peräsuolen poisto laparoskooppisesti avustaen,Laparoskopisk och perineal rektumamputation,132
TKD00,Virtsaputken laajentaminen,Virtsaputken laajentaminen,Dilatation av uretra,132
HA1CM,Rintarauhast. l.3TMT,Rintarauhasten laaja 3 Teslan MT,"Bröstkörtlar, omfattande MR (över 1,5T)",132
GAC97,Muu keuhpussin toimenpide tähystyk,Muu keuhkopussin toimenpide rintaontelon tähystyksessä,Annan endoskopisk operation på pleura,131
PG1PT,Vuodon tukkim.laaja,Muun vuodon laaja suonensisäinen tukkiminen,"Annan blödning, radiologiskt styrd omfatttande embolisering",131
AAF35,Intraventrikulaarihoidon reservuaarin as,Aivokammioiden sisäisen lääkehoidon toteuttamiseen tarkoitetun ihonalaisen säiliön asettaminen,Implantation av reservoir för intraventrikulär terapi,130
ND1AE,Ranteen UÄ,Ranteen ultraäänitutkimus,"Handled, UL",130
ZPB96,Verisuonisiirre muusta materiaalista,Verisuonisiirre muusta materiaalista,Kärlprotes av annat material,130
PA2KT,Aivoaneur.okkl.hoito,Aivovaltimoaneurysman suonensisäinen tukkiminen,"Hjärnaneurysm, embolisering",130
EG1AA,Leukanivelen rtg,Leukanivelten röntgen,"Käkleder, röntgen",130
CJW99,Muu mykiöleikkaus,Muu mykiöleikkaus,Annan operation på linsen,129
GAA97,Muu pleurakanavointi tähystyksessä,Muu keuhkopussin kanavointi rintaontelon tähystyksessä,Annat torakoskopiskt dränageingrepp i pleurahålan,129
PD1BD,Vatsa-aortan ja haarojen laaja TT,Vatsa-aortan ja haarojen laaja TT-angiografia,"Bukaorta och dess grenar, omfattande DT",129
PD7ZT,Vatsa-aortan hoito stenttigraftilla,Vatsa-aortan hoito stenttigraftilla,"Bukaorta, insättande av stentgraft",129
WC125,Paik uus kasv vaat tav syt.hoito,Paikallisen uusiutuneen kasvaimen vaativa solusalpaajahoito,Krävande behandling av lokalt tumörrecidiv med cellhämmare,129
PD1AD,Vatsa-aortan ja haarojen TT,Vatsa-aortan ja haarojen TT,"Bukaorta och dess grenar, DT",129
ND1AD,Ranteen ja käden TT,Ranteen ja käden tietokonetomografiatutkimus,"Handled eller hand, DT",129
H0375,,,,128
XX2AT,"Injektio, UÄ-ohjaus",Muu injektio UÄ-ohjauksessa,Annan UL-styrd injektion,128
EBA12,Vaativa hampaan poistoleikkaus,Vaativa hampaan poistoleikkaus,Krävande operativ extraktion av tand,127
H0354,,,,127
NA1DG,"Kaularanka,er.l.VKMT",Kaularangan erittäin laaja magneettitutkimus,"Halsrygg, mycket omfattande MR",127
NHR20,Jalkateräkasvainpoisto intrales/margina,"Nilkan tai jalkaterän kasvaimen poisto, intralesionaalinen tai marginaalinen",Intralesional/marginal exstirpation av tumör i fotleden eller foten,127
PD4CC,"Alaraaja,er.l.angio",Alaraajan valtimoiden erittäin laaja varjoainetutkimus,"Nedre extremitet, mycket omfattande angiografi",127
SJX20,Hamp oik.hoi käynti,Hampaiston oikomishoitoon liittyvä hoito- tai kontrollikäynti,Behandlings- eller kontrollbesök i samband med ortodontisk vård,127
TJX90,Muu g-i-täh. suor. pientoimenpide,Muu ruuansulatuskanavan tähystyksessä suoritettu pientoimenpide,Annan mindre operation på gastrointestinalkanalen och därtill hörande organ,127
ZPB32,"Dacron, päällystetty","Dacron, päällystetty","Dacron, beklädd",127
BC1BD,Lisämunuaisten laaja TT,Lisämunuaisten laaja tietokonetomografiatutkimus,"Binjurar, omfattande DT",127
FM2CN,Sydänlihasperf. Gammakuv. rasitus,Sydänlihasperfuusion gammakuvaus rasituksessa,Hjärtmuskelperfusion isotopundersökning med belastning,127
H0605,,,,126
JDW97,Muu ventrikkeli/duodenumleikk LAP,Muu mahalaukun tai pohjukaissuolen toimenpide vatsaontelon tähystyksessä,Annan laparoskopisk operation på ventrikeln eller duodenum,126
LCA16,Kohdun limakalvon tuhoaminen,Kohdun limakalvon tuhoaminen,Destruktion av endometrium,126
NBL00,Olkanivelen kiertäjäkalvosinompelu/kiinn,Olkanivelen kiertäjäkalvosimen ompelu tai uudelleen kiinnitys,Sutur/reinsertion av skulderledens rotator cuff,126
RS141,,,,126
XA421,Yöpolygrafia,Yöpolygrafia,Nattpolygrafi,126
QBE35,Vartalon leikk/vammaihopuutoksen korjaus,Vartalon leikkauksen tai vamman jälkeisen ihopuutoksen korjaus,Rekonstruktion av huddefekt efter skada eller operation på bålen,126
F951,,,,126
ND2CM,"Käden laaja magneettitutkimus (yli 1,5T)","Käden laaja magneettitutkimus (yli 1,5T)","Hand, omfatattande MR (över 1,5T)",126
AAD12,Subduraalitilan dreneeraus,Kovan aivokalvon alaisen nesteen kanavointi keuhkopussiin tai vatsaonteloon,Dränering av subdural vätska till pleura eller abdomen,125
ABB10,Kasvain/a-v malform resektio spinkan,Selkäytimen ja hermojuurten paikallisen muutoksen osapoisto selkäydinkanavasta,Delresektion av lesion i spinalkanalen,125
CBJ50,Kulmakarvojen kohotusleikkaus,Kulmakarvojen kohotusleikkaus,Lyftning av ögonbryn,125
FPH96,Muu tahdistin/sis defibrillaattoripoisto,Muu tahdistimen tai sisäisen defibrillaattorin poisto,"Annan operation för avlägsnande av pacemaker, defibrillator eller pulsgenerator",125
JGB10,"Perä+sigmasuolipoisto,sigmoideostomia","Perä- ja sigmasuolen typistys, sigma-avanne ja peräsuolityngän sulku (Hartmann)","Resekt. av rectosigmoideum, sigmoideostomi och förslutning av rectumstumpen",125
QBJ00,Vartalon rasvaimu,Vartalon rasvaimu,Fettsugning på bålen,125
SJC01,Yksitt kiinnik määritys/etsauskiinn,Yksittäisen kiinnikkeen paikan määritys ja etsauskiinnitys (Etsattava tai muu vastaava kiinnike),"Solitär brakett, plats definition och etsad fixering (etsad eller annan motsvarande fixering)",125
GD1CG,Keuhkojen l.VKMT,Keuhkojen laaja magneettitutkimus,"Lungor och pleura, omfattande MR",125
LBF01,Munanjohtimen huuhtelu LAP,Munanjohtimen huuhtelu vatsaontelon tähystyksessä,Laparoskopisk genomspolning av äggledare,125
LEF40,Enteroseelen korjaus emättimen kautta,Suolikohjun korjausleikkaus emättimen kautta,Vaginal operation av enterocele,125
WX308,Sakraalipuudutus,Sakraalipuudutus,Sakralanesesi,125
AAG00,Biopsia stereotaktisen laitteen avulla,Koepalan otto stereotaktisen laitteen avulla,Stereotaktisk biopsi,124
NGJ62,Säärimurtumaleikkaus levyllä,Säärimurtumaleikkaus levyllä,Plattfixation av crus-fraktur,124
PH3AC,"Sisäelin,laskimotutk",Sisäelinlaskimon varjoainetutkimus,Flebografi av bukvener,124
SJD40,Valmiin palat/ling.kaar ets.kiin/semt,Tehdas- tai laboratoriovalmisteisen  palatinaali- tai lingualikaaren etsauskiinnitys tai sementointi,Cementering av prefabricerad palatinal- eller lingualbåge,124
1690,,,,124
JD1AB,Mahalaukku+duodenum,Mahalaukun ja duodenumin varjoainetutkimus,"Ventrikel och duodenum, kontrastundersökning",124
KH1YT,"End.prot.lait,vi-tie",Virtsateiden endoproteesin laitto ihon läpi radiologisessa ohjauksessa,"Urinvägsendoprotes, radiologiskt styrd perkutan insättning",123
OAB72,Painonhallinta- ja laihdutusohjaus,Painonhallinta- ja laihdutusohjaus,Viktkontroll och bantningshandledning,123
TEW99,Muu hammas/ien/suu/nielupientmp,"Muu hampaiden, ikenien, suun ja nielun pientoimenpide","Annan mindre operation i läppar, tänder, käkar, mun och svalg",123
WX2DD,Koko kehon luuston matala-annos-TT,Koko kehon luuston matala-annos-TT,Lågdos-DT av hela skelettet,123
DE2DG,Kuulohermon kan er laaja magn.tutk vahva,Kuulohermon ja sisäkorvan erittäin laaja magneettitutkimus,"Porus, mycket omfattande MR",123
GDA20,Keuhkon kudosmuutoksen poistoleikkaus,Keuhkon kudosmuutoksen paikallinen poistoleikkaus,Exstirpation av lokal förändring i lunga,123
LC099,Muu kohdun+ymp sädehoito,Muu kohdun ja sen kannatinsiteiden sädehoito,Annan strålbehandling av uterus och parametriet,123
WX142,Sub-tenon puudutus,Sub-tenon puudutus,Sub-tenon bedövning,123
2064,,,,123
CBB20,Silmäluomi-ihon/rasvahernian poisto,"Silmäluomen löyhän ihon ja rasvatyrän, hernian, poisto",Resektion av hud och fettprolaps,122
SBB20,Hammasrtg hoidon yhteydessä,Hammasröntgenkuva  hoitokäynnin yhteydessä,Tandröntgen under vårdbesöket,122
XG466,Unioksimetria,Unioksimetria,Sömnoksimetri,122
ZXM20,CT-käyttö leikkauksen aikana,Tietokonekerroskuvauksen käyttö leikkauksen aikana,Användande av datortomografi under operation,122
KE002,Radik eturauh prim.kasv sädehoito,Radikaali eturauhasen ja rakkularauhasten  primaarikasvaimen sädehoito,Radikal strålbehandling av primärtumör i prostata eller i sädesblåsor,122
A430,,,,121
H0035,,,,121
K430,,,,121
TCA20,Lääkkeen ruiskutt silmän ympärille,Lääkkeen ruiskuttaminen silmän ympärille,Peribulbär injektion av läkemedel i orbita,121
ZXC00,Diatermia,Diatermia,Användande av diatermi,121
NC1CG,Kyynärpään l.VKMT,Kyynärpään ja/tai kyynärvarren laaja magneettitutkimus,"Armbåge och/eller underarm, omfattande MR",121
6281P,,,,121
N3393,,,,121
GAC46,Keuhkopussin poisto osittain,Keuhkopussin poisto osittain,Partiell pleurektomi,120
H0135,,,,120
HAD20,Rinnan rasvaimu,Rintarauhasen rasvaimu,Fettsugning av bröst,120
K520,,,,120
KAE12,"Pyelolitotomia/tripsia,virtsatietähystys",Munuaisaltaan kiven poisto/murskaus virtsatietähystyksessä,Transluminal litotripsi i njurbäckenet,120
CBB99,Muu paikallisen silmämuutosleikkaus,Muu silmäluomen paikallisen muutoksen leikkaus,Annat avlägsnande av tumör eller lokal förändring i ögonlock,119
DHB20,Polyypin tai polyyppien poisto nenästä,Polyypin tai polyyppien poisto nenästä,Endonasal polypektomi,119
H0085,,,,119
SJB00,Irtokojeen sovitus ja käytön opetus,Irtokojeen sovitus ja käytön opetus,Inprovning av ortodontisk apparatur samt patienthandledning,119
WW400,Plasmafereesi,Plasmafereesi,Plasmaferes,119
LAG11,Munasarjan kiinnitys LAP,Munasarjan kiinnitys vatsaontelon tähystyksessä,Laparoskopisk ooforopexi,119
PG1BD,Kudossiirteen laaja TT-angiografia,"Kudossiirteen laaja TT-angiografia, esim. TRAN-siirteen tutkimus","Transplantat, omfattande DT-angiografi",119
6006,,,,119
EJB30,Kasvaimen tai muun muutoksen  poisto suupohjasta,Kasvaimen tai muun muutoksen poisto suupohjasta,Exstirpation av tumör eller annan förändring i munbotten,118
JKD20,Sappiteiden liitos ohutsuoleen,Sappiteiden liitos ohutsuoleen,Cholangiojejunostomi,118
PA7BD,Pään ja kaulan verisuonten TT-ang,Pään ja kaulan verisuonten laaja TT-angiografia,Huvudets och halsens omfattande DT-angiografi,118
PG1UT,Perkut.aspir.-tromb.,Muun valtimotulpan perkutaaninen poisto aspiraatiolla,"Annan artär, perkutan aspiration av ocklusion",118
1195,,,,118
EDA10,Koepalan otto alaleuasta,Koepalan otto alaleukaluusta,Biopsi av underkäkben,117
JAK10,Peritoneaali dialyysikatetrin asentamine,Peritoneaali dialyysikatetrin asentaminen,Installering av peritoneal dialyskateter,117
NDG60,Peukalon CMC-nivelen muovausleikkaus,Peukalon CMC-nivelen muovausleikkaus,Artroplastik på CMC-led i tummen,117
QDA10,Alaraajan ihon aukaisu ja kanavointi,Alaraajan ihon aukaisu ja kanavointi,"Incision/dränage, nedre extremiteten",117
JD049,Sädeh mahan ja duod metastaasin hoitona,Sädehoito mahalaukussa tai pohjukaissuolessa ilmenneen etäpesäkkeen hoitona,Strålbehandling av metastas i ventrikeln eller duodenum,117
TFB00,Keuhkovaltimokatetrin asennus,Keuhkovaltimokatetrin asennus,Katetrisering av lunartär,117
NA4AA,Ristiluun rtg,Ristiluun röntgen,"Korsben, röntgen",117
AAF25,Aivonesteyhdystien poisto,Aivonesteyhdystien poisto,Borttagande av liquorshunt,116
JFA58,Paksunsuolen laajentaminen venyttämällä,Paksunsuolen laajentaminen venyttämällä tähystyksessä,Endoskopisk dilatation av kolon,116
LCB11,Myooman poisto LAP,Kohdun lihaskasvaimen poisto vatsaontelon tähystyksessä,Laparoskopisk myomexstirpation,116
NA3BA,"Lannerangan rtg,laaj",Lannerangan laaja röntgen,"Ländrygg, omfattande röntgen",116
NGU20,Polven/säären fiksaatiomateriaalipoisto,Polven tai säären sisäisen kiinnityslaitteen poisto,Avlägsnande av intern fixation från knä/underben,116
PC2ET,Maksatuum. l.embol,Maksan paikallisen muutoksen laaja embolisaatio,"Lever, omfattande embolisering av lokal förändring",116
WB221,Prim.kasv leikk/sädeh ed vaat horm.hoito,Primaarikasvaimen leikkausta tai sädehoitoa edeltävä vaativa hormonihoito,Krävande neoadjuvant behandling av primärtumör med hormoner,116
GD1DG,Keuhkojen er.l.VKMT,Keuhkojen erittäin laaja magneettitutkimus,"Lungor och pleura, mycket omfattande MR",116
TAB22,Epiduraalinen veripaikka,Epiduraalinen veripaikka,Tiltätning av epidural läckage med blod,116
GD2FN,Keuhkojen alueell. toiminnan gamm,Keuhkojen alueellisen toiminnan gammakuvaus,Lung vetilation fördelning isotopundersökning (radiospirometri),116
H5007,,,,115
JDB00,Mahalaukkuavanteen teko,Mahalaukkuavanteen teko,Öppen gastrostomi,115
JFB40,"Poikittaisen paksusuolen typistys, avoin","Poikittaisen paksusuolen typistys, avoin",Öppen resektion av colon transversum,115
NAG53,"Th-luudutus takaa,fiksaatio,yli 3 nikam","Rintarangan luudutus takaa ja kiinnitys, yli kolme nikamaa","Posterior torakal spondylodes med fixation, mer än 3 kotor",115
NDM10,Kämmenkalvon aukaisu tai poisto,Kämmenkalvon aukaisu tai poisto,Discission/resektion av palmarfascia,115
XX6LT,Kasv. koagulaatio,Kasvaimen koagulaatio radiologisessa ohjauksessa,Radiologiskt styrd värmekoagulation av tumör,115
JFC00,"Ohutsuoliliitos, enteroenterostomia","Ohutsuoliliitos, enteroenterostomia","Öppen enteroanastomos, entero-enterostomi",115
KDK10,Virtsaputkitekosulkija-asetus uretran ym,Virtsaputken tekosulkijan asettaminen virtsaputken ympärille,Implantation av sfinkterprotes runt uretra,115
PJD99,Muiden imusolmukkeiden poisto,Muiden imusolmukkeiden poisto,Exstirpation av andra lymfkörtlar,115
BC5AQ,Kromaffiinikudos SPET + mat TT,Kromaffiinikudoksen SPET ja matala-annos-TT,Kromaffinvävnad SPET med lågdos-DT,114
CFA20,Koepalan otto sidekalvosta,Sidekalvon koepalanotto tai muu aukaisu,Biopsi eller annan incision av bindehinnan,114
GAE06,Rintaont seinäkasvi/kudosmuutospoisto,Rintaontelon seinämän kasvaimen tai kudosmuutoksen poisto,Exstirpation av lokal förändring i bröstväggen,114
JKE22,Vierasesinepoisto sappiteistä endoskopia,Vierasesineen poisto sappiteistä mahasuolikanavan tähystyksessä,Endoskopisk extraktion av främmande kropp ur gallgång,114
MBA40,Lääkkeellinen kohdun tyhjennys keskenmenon jälkeen,Lääkkeellinen kohdun tyhjennys keskenmenon jälkeen,Farmakologisk exeres vid missfall,114
NDG76,Muun IP-nivelen luudutusleikkaus,Muun IP-nivelen luudutusleikkaus,Artrodes av annan IP-led,114
F788,,,,114
FM1AD,Sydämen TT,Sydämen tietokonetomografiatutkimus,"Hjärta, DT",114
DKW99,Muu nenäverenvuodon tyrehdtoimenpide,Muu nenäverenvuodon tyrehdytystoimenpide,Annat ingrepp vid näsblod,113
JAH33,Auki jätetyn vatsanontelon revisio,Auki jätetyn vatsanontelon puhdistusleikkaus,Sekundär revision av bukhålan efter laparostomi,113
NDM20,Käden/ranteen limapussin/ganglion poisto,Käden tai ranteen limapussin tai ganglion poisto,Exstirpation av bursa eller ganglion i handled eller hand,113
TEA00,Koepalan otto huulesta,Koepalan otto huulesta,Biopsi av läpp,113
TKE00,Neulakudosnäytteen otto eturauhasesta,Neulakudosnäytteen otto eturauhasesta,Punktionsbiopsi av prostata,113
XG470,Diffuusiokapasiteetti,Diffuusiokapasiteetti,Diffusions kapasität,113
F954,,,,113
N4924,,,,113
JDA35,Ventrikk/pylorusvuotopoltto/lämpökäs täh,Mahalaukun ja -portin verenvuodon poltto tai lämpökäsittely tähystyksessä .,Endoskopisk koagulation av ventrikel/pylorusblödningar,112
JFG20,Ohutsuoliavanteen sulku suolta poistaen,Ohutsuoliavanteen sulku suolta poistaen,Förslutning av enterostomi med tarmresektion,112
LAE11,Toisen munasarjan poisto LAP,Toisen munasarjan poisto vatsaontelon tähystyksessä,Laparoskopisk unilateral ooforektomi,112
NDL32,Sormen ojentajajänteen ompelu,Sormen ojentajajänteen ompelu,Tendorafi på fingrarnas extensorsenor,112
NFU20,Lonkan/reiden fiksaatiomateriaalipoisto,Lonkan tai reiden sisäisen kiinnityslaitteen poisto,Avlägsnande av intern fixation från höft/lår,112
QAB05,Pään tai kaulan syvän ihohaavan revisio,Pään tai kaulan ihon ja ihonalaiskudoksen haavan revisio ja mahdollinen sulku,Revision och vid behov sutur av djupt sår i huvud-halsregionen,112
RS225,,,,112
TJA35,Vatsaontelodialyysikatetrin poisto,Vatsaontelodialyysikatetrin poisto,Avlägsnande av peritonealdialyskateter,112
4968,,,,112
N1304,,,,112
AA43A,,,,111
JCC10,Ruokatorven resektio rintaontelon kautta,Ruokatorven osittainen poisto rintaontelon kautta,Transtorakal resektion av esofagus utan interposition,111
LAC00,Munasarjarakkulan poisto,Munasarjarakkulan poisto,Öppen enukleation av ovarialcysta,111
AAK10,Kovan aivokalvon korjaaminen,Kovan aivokalvon korjaaminen,Duraplastik,110
