code,name_fi,name_en,name_se,valid_start_date,valid_end_date,name_en_source
F00.29*,Alzheimerin tautiin liittyvä epätyypillinen tai sekatyyppinen dementia ei tietoa liitännäisoireista,Atypical or mixed dementia associated with Alzheimer's disease No data on co-morbidities,"Demens vid Alzheimers sjukdom, atypisk eller blandad typ utan information om tilläggssymtom",1900-01-01,2020-12-31,Google
F00.20*,Alzheimerin tautiin liittyvä epätyypillinen tai sekatyyppinen dementia ilman lisäoireita,Atypical or mixed dementia associated with Alzheimer's disease without additional symptoms,"Demens vid Alzheimers sjukdom, atypisk eller blandad typ utan tilläggssymtom",1999-11-14,2020-12-31,Google
F00.20*G30.8,Alzheimerin tautiin liittyvä epätyypillinen tai sekatyyppinen dementia ilman lisäoireita,Atypical or mixed dementia associated with Alzheimer's disease without additional symptoms,"Demens vid Alzheimers sjukdom, atypisk eller blandad typ utan tilläggssymtom",1900-01-01,2020-12-31,Google
F00.9*,Määrittämätön Alzheimerin tautiin liittyvä dementia,"Dementia in Alzheimer's disease, unspecified","Demens vid Alzheimers sjukdom, ospecificerad",1900-01-01,2020-12-31,THL
F01,Verisuoniperäinen dementia,Vascular dementia,Vaskulär demens,1900-01-01,2020-12-31,THL
F01.0,Akuutisti alkava verisuoniperäinen dementia,Vascular dementia of acute onset,Vaskulär demens med akut debut,1900-01-01,2020-12-31,THL
F01.1,Moni-infarktidementia,Multi-infarct dementia,Multiinfarktdemens,1900-01-01,2020-12-31,THL
F01.10,Moni-infarktidementia ilman lisäoireita,Multi-infarct dementia without additional symptoms,Multiinfarktdemens utan tilläggssymtom,1900-01-01,2020-12-31,Google
F01.11,"Moni-infarktidementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","Multi-infarct dementia is another comorbid symptom, mainly delusional","Multiinfarktdemens andra tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F01.12,"Moni-infarktidementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","Multi-infarct dementia is another comorbid symptom, mainly hallucinations","Multiinfarktdemens andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F01.13,"Moni-infarktidementia muita liitännäisoireita, pääasiassa masennusoireita","Multi-infarct dementia other comorbid symptoms, mainly depressive symptoms","Multiinfarktdemens andra tilläggssymtom, huvudsakligen depression",1900-01-01,2020-12-31,Google
F01.14,Moni-infarktidementia muita sekamuotoisia liitännäisoireita,Multi-infarct dementia other mixed comorbid symptoms,Multiinfarktdemens andra tilläggssymtom av blandad typ,1900-01-01,2020-12-31,Google
F01.19,Moni-infarktidementia ei tietoa liitännäisoireista,Multiple infarction dementia is not known for comorbid symptoms,Multiinfarktdemens utan information om tilläggssymtom,1900-01-01,2020-12-31,Google
F01.2,Subkortikaalinen verisuoniperäinen dementia,Subcortical vascular dementia,Subkortikal vaskulär demens,1900-01-01,2020-12-31,THL
F01.20,Subkortikaalinen verisuoniperäinen dementia ilman lisäoireita,Subcortical vascular dementia without additional symptoms,Subkortikal vaskulär demens utan tilläggssymtom,1900-01-01,2020-12-31,Google
F01.21,"Subkortikaalinen verisuoniperäinen dementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","Subcortical vascular dementia other comorbid symptoms, mainly delusions","Subkortikal vaskulär demens utan tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F01.22,"Subkortikaalinen verisuoniperäinen dementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","Subcortical vascular dementia other comorbid symptoms, mainly hallucinations","Subkortikal vaskulär demens med tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F01.23,"Subkortikaalinen verisuoniperäinen dementia muita liitännäisoireita, pääasiassa masennusoireita","Subcortical vascular dementia are other comorbid symptoms, mainly depressive symptoms","Subkortikal vaskulär demens andra tilläggssymtom, huvudsakligen depression",1900-01-01,2020-12-31,Google
F01.24,Subkortikaalinen verisuoniperäinen dementia muita sekamuotoisia liitännäisoireita,Subcortical vascular dementia are other mixed-related comorbidities,Subkortikal vaskulär demens andra tilläggssymtom av blandad typ,1900-01-01,2020-12-31,Google
F01.29,Subkortikaalinen verisuoniperäinen dementia ei tietoa liitännäisoireista,Subcortical vascular dementia is not known for concomitant symptoms,Subkortikal vaskulär demens utan information om tilläggssymtom,1997-10-28,2020-12-31,Google
F01.3,Sekamuotoinen (kortikaalinen ja subkortikaalinen) verisuoniperäinen dementia,Mixed cortical and subcortical vascular dementia,Blandad kortikal och subkortikal vaskulär demens,1900-01-01,2020-12-31,THL
F01.30,Sekamuotoinen (kortikaalinen ja subkortikaalinen) verisuoniperäinen dementia ilman lisäoireita,Mixed (cortical and subcortical) vascular dementia without additional symptoms,Blandad kortikal och subkortikal vaskulär demens utan tilläggssymtom,1900-01-01,2020-12-31,Google
F01.31,"Sekamuotoinen (kortikaalinen ja subkortikaalinen) verisuoniperäinen dementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","Mixed-type (cortical and subcortical) vascular dementia other comorbid symptoms, mainly delusions","Blandad kortikal och subkortikal vaskulär demens andra tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F01.32,"Sekamuotoinen (kortikaalinen ja subkortikaalinen) verisuoniperäinen dementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","Mixed (cortical and subcortical) vascular dementia other comorbid symptoms, mainly hallucinations","Blandad kortikal och subkortikal vaskulär demens andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F01.33,"Sekamuotoinen (kortikaalinen ja subkortikaalinen) verisuoniperäinen dementia muita liitännäisoireita, pääasiassa masennusoireita","Mixed (cortical and subcortical) vascular dementia other comorbid symptoms, mainly depressive symptoms","Blandad kortikal och subkortikal vaskulär demens andra tilläggssymtom, huvudsakligen depression",1900-01-01,2020-12-31,Google
F01.34,Sekamuotoinen (kortikaalinen ja subkortikaalinen) verisuoniperäinen dementia muita sekamuotoisia liitännäisoireita,Mixed (cortical and subcortical) vascular dementia other mixed comorbid symptoms,Blandad kortikal och subkortikal vaskulär demens andra tilläggssymtom av blandad typ,1900-01-01,2020-12-31,Google
F01.39,Sekamuotoinen (kortikaalinen ja subkortikaalinen) verisuoniperäinen dementia ei tietoa liitännäisoireista,Mixed (cortical and subcortical) vascular dementia no data on co-morbidities,Blandad kortikal och subkortikal vaskulär demens utaninformation om tilläggssymtom,1900-01-01,2020-12-31,Google
F01.8,Muu verisuoniperäinen dementia,Other vascular dementia,Annan specificerad vaskulär demens,1900-01-01,2020-12-31,THL
F01.80,Muu verisuoniperäinen dementia ilman lisäoireita,Other vascular dementia without additional symptoms,Annan specificerad vaskulär demens utan tilläggssymtom,1900-01-01,2020-12-31,Google
F01.81,"Muu verisuoniperäinen dementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","Other vascular dementia other comorbid symptoms, mainly delusions","Annan specificerad vaskulär demens andra tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F01.82,"Muu verisuoniperäinen dementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","Other vascular dementia other comorbid symptoms, mainly hallucinations","Annan specificerad vaskulär demens andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F01.83,"Muu verisuoniperäinen dementia muita liitännäisoireita, pääasiassa masennusoireita","Other vascular dementia other comorbid symptoms, mainly depressive symptoms","Annan specificerad vaskulär demens andra tilläggssymtom, huvudsakligen depression",1900-01-01,2020-12-31,Google
F01.84,Muu verisuoniperäinen dementia sekamuotoisia liitännäisoireita,Other vascular dementia with mixed comorbid symptoms,Annan specificerad vaskulär demens andra tilläggssymtom av blandad typ,1997-07-23,2020-12-31,Google
F01.89,Muu verisuoniperäinen dementia ei tietoa liitännäisoireista,Other vascular dementia is not known for concomitant symptoms,Annan specificerad vaskulär demens utan information om tilläggssymtom,1900-01-01,2020-12-31,Google
F01.9,Määrittämätön verisuoniperäinen dementia,"Vascular dementia, unspecified","Vaskulär demens, ospecificerad",1900-01-01,2020-12-31,THL
F02*,Muualla luokitettuihin muihin sairauksiin liittyvä dementia,Dementia in other diseases classified elsewhere,Demens vid andra sjukdomar som klassificeras annorstädes,1900-01-01,2020-12-31,THL
F02.0*,Pickin tautiin liittyvä dementia,Dementia in Pick's disease,Demens vid Picks sjukdom,1900-01-01,2020-12-31,THL
F02.00*,Pickin tautiin liittyvä dementia ilman lisäoireita,Dementia associated with Pick's disease without additional symptoms,Demens vid Picks sjukdom utan tilläggssymtom,1900-01-01,2020-12-31,Google
F02.01*,"Pickin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","Pick's disease is associated with dementia other side effects, mainly delusions","Demens vid Picks sjukdom andra tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F02.02*,"Pickin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","Pick's disease is associated with dementia other comorbid symptoms, mainly hallucinations","Demens vid Picks sjukdom andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F02.03*,"Pickin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa masennusoireita","Pick's disease is associated with dementia other side effects, mainly depressive symptoms","Demens vid Picks sjukdom andra tilläggssymtom, huvudsakligen derpression",1900-01-01,2020-12-31,Google
F02.04*,Pickin tautiin liittyvä dementia sekatyypin liitännäisoireita,Pick's disease-related dementia is a mixed type of ancillary symptoms,Demens vid Picks sjukdom andra tilläggssymtom av blandad typ,1997-07-23,2020-12-31,Google
F02.09*G31.0,Pickin tautiin liittyvä dementia ei tietoa liitännäisoireista,Dementia associated with Pick's disease is not known for comorbid symptoms,Demens vid Picks sjukdom utan information om tilläggssymtom,1900-01-01,2020-12-31,Google
F02.09*,Pickin tautiin liittyvä dementia ei tietoa liitännäisoireista,Dementia associated with Pick's disease is not known for comorbid symptoms,Demens vid Picks sjukdom utan information om tilläggssymtom,1999-11-14,2020-12-31,Google
F02.1*,Creutzfeldt-Jakobin tautiin liittyvä dementia,Dementia in Creutzfeldt-Jakob disease,Demens vid Jakob-Creutzfeldts sjukdom,1900-01-01,2020-12-31,THL
F02.10*,Creutzfeldt-Jakobin tautiin liittyvä dementia ilman lisäoireita,Dementia associated with Creutzfeldt-Jakob disease without additional symptoms,Demens vid Jakob-Creutzfeldts sjukdom utan tilläggssymtom,1900-01-01,2020-12-31,Google
F02.11*,"Creutzfeldt-Jakobin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","Creutzfeldt-Jakob disease-related dementia other comorbid symptoms, mainly delusions","Demens vid Jakob-Creutzfeldts sjukdom andra tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F02.12*,"Creutzfeldt-Jakobin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","Creutzfeldt-Jakob disease-related dementia other comorbid symptoms, mainly hallucinations","Demens vid Jakob-Creutzfeldts sjukdom andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F02.13*,"Creutzfeldt-Jakobin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa masennusoireita","Creutzfeldt-Jakob disease-related dementia other comorbid symptoms, mainly depressive symptoms","Demens vid Jakob-Creutzfeldts sjukdom andra tilläggssymtom, huvudsakligen depression",1900-01-01,2020-12-31,Google
F02.14*,Creutzfeldt-Jakobin tautiin liittyvä dementia muita sekamuotoisia liitännäisoireita,Dementia associated with Creutzfeldt-Jakob disease is another mixed-related comorbidity,Demens vid Jakob-Creutzfeldts sjukdom andra tilläggssymtom av blandad typ,1900-01-01,2020-12-31,Google
F02.19*A81.0,Creutzfeldt-Jakobin tautiin liittyvä dementia ei tietoa liitännäisoireista,Dementia associated with Creutzfeldt-Jakob disease is not known for comorbid symptoms,Demens vid Jakob-Creutzfeldts sjukdom utan information om tilläggssymtom,1900-01-01,2020-12-31,Google
F02.19*,Creutzfeldt-Jakobin tautiin liittyvä dementia ei tietoa liitännäisoireista,Dementia associated with Creutzfeldt-Jakob disease is not known for comorbid symptoms,Demens vid Jakob-Creutzfeldts sjukdom utan information om tilläggssymtom,1999-11-14,2020-12-31,Google
F02.2*,Huntingtonin tautiin liittyvä dementia,Dementia in Huntington's disease,Demens vid Huntingtons sjukdom,1900-01-01,2020-12-31,THL
F02.20*,Huntingtonin tautiin liittyvä dementia ilman lisäoireita,Dementia associated with Huntington's disease without additional symptoms,Demens vid Huntingtons sjukdom utan tilläggssymtom,1900-01-01,2020-12-31,Google
F02.21*,"Huntingtonin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","Dementia associated with Huntington's disease are other comorbid symptoms, mainly delusions","Demens vid Huntingtons sjukdom tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F02.22*,"Huntingtonin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","Dementia associated with Huntington's disease are other comorbid symptoms, mainly hallucinations","Demens vid Huntingtons sjukdom andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F02.23*,"Huntingtonin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa masennusoireita","Dementia associated with Huntington's disease are other comorbid symptoms, mainly depressive symptoms","Demens vid Huntingtons sjukdom andra tilläggssymtom, huvudsakligen depression",1900-01-01,2020-12-31,Google
F02.24*,Huntingtonin tautiin liittyvä dementia muita sekamuotoisia liitännäisoireita,Dementia associated with Huntington's disease are other mixed-related comorbidities,Demens vid Huntingtons sjukdom andra tilläggssymtom av blandad typ,1900-01-01,2020-12-31,Google
F02.29*G10,Huntingtonin tautiin liittyvä dementia ei tietoa liitännäisoireista,Dementia associated with Huntington's disease is not known for comorbid symptoms,Demens vid Huntingtons sjukdom utan information om tilläggssymtom,1900-01-01,2020-12-31,Google
F02.29*,Huntingtonin tautiin liittyvä dementia ei tietoa liitännäisoireista,Dementia associated with Huntington's disease is not known for comorbid symptoms,Demens vid Huntingtons sjukdom utan information om tilläggssymtom,1999-11-14,2020-12-31,Google
F02.3*,Parkinsonin tautiin liittyvä dementia,Dementia in Parkinson's disease,Demens vid Parkinsons sjukdom,1900-01-01,2020-12-31,THL
F02.30*,Parkinsonin tautiin liittyvä dementia ilman lisäoireita,Dementia associated with Parkinson's disease without additional symptoms,Demens vid Parkinsons sjukdom utan tilläggssymtom,1900-01-01,2020-12-31,Google
F02.31*,"Parkinsonin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","Parkinson's disease-related dementia are other comorbid symptoms, mainly delusions","Demens vid Parkinsons sjukdom andra tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F02.32*,"Parkinsonin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","Dementia associated with Parkinson's disease is an ancillary symptom, mainly hallucinations","Demens vid Parkinsons sjukdom andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F02.33*,"Parkinsonin tautiin liittyvä dementia muita liitännäisoireita, pääasiassa masennusoireita","Dementia associated with Parkinson's disease is another side effect, mainly depressive symptoms","Demens vid Parkinsons sjukdom andra tilläggssymtom, huvudsakligen depression",1900-01-01,2020-12-31,Google
F02.34*,Parkinsonin tautiin liittyvä dementia muita sekamuotoisia liitännäisoireita,Dementia associated with Parkinson's disease is another mixed-related comorbidity,"Demens vid Parkinsons sjukdom, andra tilläggssymtom av blandad typ",1900-01-01,2020-12-31,Google
F02.39*G20,Parkinsonin tautiin liittyvä dementia ei tietoa liitännäisoireista,No evidence of comorbidities associated with dementia associated with Parkinson's disease,Demens vid Parkinsons sjukdom utan information om tilläggssymtom,1900-01-01,2020-12-31,Google
F02.39*,Parkinsonin tautiin liittyvä dementia ei tietoa liitännäisoireista,No evidence of comorbidities associated with dementia associated with Parkinson's disease,Demens vid Parkinsons sjukdom utan information om tilläggssymtom,1999-11-14,2020-12-31,Google
F02.4*,HIV-tautiin liittyvä dementia,Dementia in human immunodeficiency virus [HIV] disease,Demens vid sjukdom orsakad av humant immunbristvirus [HIV],1900-01-01,2020-12-31,THL
F02.40*,HIV-tautiin liittyvä dementia ilman lisäoireita,Dementia associated with HIV disease without additional symptoms,Demens vid sjukdom orsakad av humant immunbristvirus [HIV] utan tilläggssymtom,1900-01-01,2020-12-31,Google
F02.41*,"HIV-tautiin liittyvä dementia muita liitännäisoireita, pääasiassa harhaluuloisuutta","HIV-related dementia is another side effect, mainly delusions","Demens vid sjukdom orsakad av humant immunbristvirus [HIV] andra tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F02.42*,"HIV-tautiin liittyvä dementia muita liitännäisoireita, pääasiassa aistiharhaisuutta","HIV-related dementia other comorbid symptoms, mainly hallucinations","Demens vid sjukdom orsakad av humant immunbristvirus [HIV] andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F02.43*,"HIV-tautiin liittyvä dementia muita liitännäisoireita, pääasiassa masennusoireita","HIV-related dementia is another side effect, mainly depressive symptoms","Demens vid sjukdom orsakad av humant immunbristvirus [HIV] andra tilläggssymtom, huvudsakligen depression",1900-01-01,2020-12-31,Google
F02.44*,HIV-tautiin liittyvä dementia muita sekamuotoisia liitännäisoireita,HIV-related dementia is another mixed-related comorbidity,Demens vid sjukdom orsakad av humant immunbristvirus [HIV] andra tilläggssymtom av blandad typ,1900-01-01,2020-12-31,Google
F02.49*B22.0,HIV-tautiin liittyvä dementia ei tietoa liitännäisoireista,HIV-related dementia is not known for comorbid symptoms,Demens vid sjukdom orsakad av humant immunbristvirus [HIV] utan information om tilläggssymtom,1900-01-01,2020-12-31,Google
F02.49*,HIV-tautiin liittyvä dementia ei tietoa liitännäisoireista,HIV-related dementia is not known for comorbid symptoms,Demens vid sjukdom orsakad av humant immunbristvirus [HIV] utan information om tilläggssymtom,1999-11-14,2020-12-31,Google
F02.8*,Dementia muualla luokitetun taudin yhteydessä,Dementia in other specified diseases classified elsewhere,Demens vid annan specificerad sjukdom som klassificeras annorstädes,1900-01-01,2020-12-31,THL
F02.80*,Dementia muualla luokitetun taudin yhteydessä ilman lisäoireita,Dementia associated with a disease classified elsewhere without additional symptoms,Demens vid annan specificerad sjukdom som klassificeras annorstädes utan tilläggssymtom,1900-01-01,2020-12-31,Google
F02.81*,Dementia muualla luokitetun taudin yhteydessä pääasiassa harhaluuloisuutta,"Dementia, a disease classified elsewhere, is mainly heresy","Demens vid annan specificerad sjukdom som klassificeras annorstädes andra tilläggssymtom, huvudsakligen paranoidism",1900-01-01,2020-12-31,Google
F02.82*,"Dementia muualla luokitetun taudin yhteydessä muita liitännäisoireita, pääasiassa aistiharhaisuutta","Dementia in connection with a disease classified elsewhere, other ancillary symptoms, mainly hallucinations","Demens vid annan specificerad sjukdom som klassificeras annorstädes andra tilläggssymtom, huvudsakligen hallusinationer",1900-01-01,2020-12-31,Google
F02.83*,"Dementia muualla luokitetun taudin yhteydessä muita liitännäisoireita, pääasiassa masennusoireita","Dementia is a disease classified elsewhere associated with other side effects, mainly depressive symptoms","Demens vid annan specificerad sjukdom som klassificeras annorstädes andra tilläggssymtom, hyvydsakligen depression",1900-01-01,2020-12-31,Google
F02.84*,Dementia muualla luokitetun taudin yhteydessä muita sekamuotoisia liitännäisoireita,"Dementia in connection with a disease classified elsewhere, other mixed-related side effects",Demens vid annan specificerad sjukdom som klassificeras annorstädes andra tilläggssymtom av blandad typ,1900-01-01,2020-12-31,Google
F02.89*,Dementia muualla luokitetun taudin yhteydessä ei tietoa liitännäisoireista,There is no information on co-morbidities associated with dementia elsewhere,Demens vid annan specificerad sjukdom som klassificeras annorstädes utan information of tilläggssymtom,1900-01-01,2020-12-31,Google
F02.89*A52.1,Hermostokuppaan liittyvä dementia,Nervous system dementia,Dementia paralytica,1900-01-01,2020-12-31,Google
F02.89*A69.2,Lymen tautiin (borrelioosiin) liittyvä dementia,Dementia associated with Lyme disease (Lyme disease),Demens vid borrelios,1900-01-01,2020-12-31,Google
F02.89*B56.9,Trypanosomiaasiin liittyvä dementia,Trypanosomiasis-associated dementia,Demens vid afrikansk trypanosomiasis,1900-01-01,2020-12-31,Google
F02.89*B57.2,Amerikkalaiseen trypanosomiaasiin liittyvä dementia,Dementia associated with American trypanosomiasis,Demens vid amerikansk trypanosomiasis,1900-01-01,2020-12-31,Google
F02.89*E01.8,Jodinpuutteen aiheuttamaan kilpirauhasen vajaatoimintaan liittyvä dementia,Dementia associated with hypothyroidism caused by iodine deficiency,Demens vid jodbristhypotyreos,1900-01-01,2020-12-31,Google
F02.89*E03.9,Hankinnaiseen kilpirauhasen vajaatoimintaan liittyvä dementia,Dementia associated with acquired hypothyroidism,"Demens vid hypotyreos, förvärvad",1900-01-01,2020-12-31,Google
F02.89*E52,Niasiininpuutteeseen (pellagraan) liittyvä dementia,Dementia associated with niacin deficiency (pellagra),Demens vid niacinbrist [pellagra],1900-01-01,2020-12-31,Google
F02.89*E53.8,B12-vitamiininpuutteeseen liittyvä dementia,Dementia associated with vitamin B12 deficiency,Demens vid vitamin B12-brist,1900-01-01,2020-12-31,Google
F02.89*E75.6,Aivolipidoosiin liittyvä dementia,Dementia associated with cerebral lipidosis,Demens vid cerebral lipidos,1900-01-01,2020-12-31,Google
F02.89*E83.0,Hepatolentikulaariseen degeneraatioon liittyvä dementia,Dementia associated with hepatolenticular degeneration,Demens vid hepatolentikulär degeneration,1900-01-01,2020-12-31,Google
F02.89*E83.50,Hyperkalsemiaan liittyvä dementia,Dementia associated with hypercalcemia,Demens vid hyperkalcemi,1900-01-01,2020-12-31,Google
F02.89*G35,Pesäkekovettumatautiin liittyvä dementia,Dementia associated with multiple sclerosis,Demens vid multipel skleros,1900-01-01,2020-12-31,Google
F02.89*G40.9,Epilepsiaan liittyvä dementia,Dementia associated with epilepsy,Demens vid epilepsi,1900-01-01,2020-12-31,Google
F02.89*M30.0,Valtimoiden kyhmytulehdukseen liittyvä dementia,Dementia associated with nodular artery inflammation,Demens vid polyarteritis nodosa,1900-01-01,2020-12-31,Google
F02.89*M32.8,SLE-tautiin liittyvä dementia,Dementia associated with SLE,Demens vid systemisk lupus erythematosus,1900-01-01,2020-12-31,Google
F02.89*T58,Häkämyrkytykseen liittyvä dementia,Dementia associated with carbon monoxide poisoning,Demens vid kolmonoxid intoxikation,1997-06-09,2020-12-31,Google
F02.89*T65.9,Määrittämättömään myrkytystilaan liittyvä dementia,Dementia associated with an unspecified state of intoxication,Demens vid ospecificerad intoxikation,1997-09-23,2020-12-31,Google
F03,Määrittämätön dementia,Unspecified dementia,Ospecificerad demens,1900-01-01,2020-12-31,THL
F04-F09,Muut elimelliset aivo-oireyhtymät,"Other organic, including symptomatic, mental disorders",Andra oganiska psykiska störningar,1900-01-01,2020-12-31,THL
F04,"Elimellinen amnestinen oireyhtymä, joka ei ole alkoholin eikä muiden psyykeen vaikuttavien aineiden aiheuttama","Organic amnesic syndrome, not induced by alcohol and other psychoactive substances",Organiska amnesisyndrom ej framkallade av alkohol eller andra psykoaktiva substanser,1900-01-01,2020-12-31,THL
F05,Sekavuustila (delirium) ilman alkoholia tai muita psyykeen vaikuttavia aineita,"Delirium, not induced by alcohol and other psychoactive substances",Akut eller subakut konfusion utan alkohol eller suboaktiva substanser,1900-01-01,2020-12-31,THL
F05.0,Dementiaan liittymätön sekavuustila (delirium),"Delirium not superimposed on dementia, so described",Delirium utan underliggande demenssjukdom,1900-01-01,2020-12-31,THL
F05.1,Dementiaan liittyvä sekavuustila (delirium),Delirium superimposed on dementia,Delirium med underliggande demenssjukdom,1900-01-01,2020-12-31,THL
F05.8,Muu sekavuustila (delirium),Other delirium,Annat specificerat delirium,1900-01-01,2020-12-31,THL
F05.9,Määrittämätön sekavuustila (delirium),"Delirium, unspecified",Ospecificerad delirium,1997-06-10,2020-12-31,THL
F06,"Muut aivovaurion, aivojen toimintahäiriön ja ruumiillisen sairauden aiheuttamat elimelliset aivo-oireyhtymät",Other mental disorders due to brain damage and dysfunction and to physical disease,"Andra psykiska störningar orsakade av hjärnskada, cerebral dysfunktion eller kroppslig sjukdom",1900-01-01,2020-12-31,THL
F06.0,Elimellinen aistiharhaisuus,Organic hallucinosis,Organisk hallucinos,1900-01-01,2020-12-31,THL
F06.1,Elimellinen katatoninen häiriö,Organic catatonic disorder,Organisk katatoni,1900-01-01,2020-12-31,THL
F06.2,Elimellinen [skitsofreenistyyppinen] harhaluuloisuushäiriö,Organic delusional [schizophrenia-like] disorder,Organiskt vanföreställningssyndrom,1900-01-01,2020-12-31,THL
F06.3,Elimelliset mielialahäiriöt,Organic mood [affective] disorders,Organiskt förstämningssyndrom,1997-06-10,2020-12-31,THL
F06.30,Elimellinen maaninen häiriö,Organic manic disorder,Organiskt maniskt syndrom,1997-06-10,2020-12-31,Google
F06.31,Elimellinen kaksisuuntainen mielialahäiriö,Organic bipolar disorder,Organiskt bipolar syndrom,1997-06-10,2020-12-31,Google
F06.32,Elimellinen masennus,Organic depression,Organiskt depression,1997-06-10,2020-12-31,Google
F06.33,Elimellinen sekamuotoinen mielialahäiriö,Organic mixed mood disorder,Organiskt depression,1997-06-10,2020-12-31,Google
F06.39,Määrittelemätön elimellinen mielialahäiriö,Unspecified organic mood disorder,Organisk förstämningssyndrom UNS,1997-06-10,2020-12-31,Google
F06.4,Elimellinen ahdistuneisuushäiriö,Organic anxiety disorder,Organiskt ångestsyndrom,1900-01-01,2020-12-31,THL
F06.5,Elimellinen dissosiaatiohäiriö,Organic dissociative disorder,Organiska dissociativa syndrom,1900-01-01,2020-12-31,THL
F06.6,Elimellinen tunne-elämän epävakaisuushäiriö (asteeninen häiriö),Organic emotionally labile [asthenic] disorder,Organisk emotionell labilitet [asteni],1900-01-01,2020-12-31,THL
F06.7,Lievä älyllisten toimintojen häiriö,Mild cognitive disorder,Lindrig kognitiv störning,1900-01-01,2020-12-31,THL
F06.8,"Muu aivovaurion, aivojen toimintahäiriön ja ruumiillisen sairauden aiheuttamat aivo-oireyhtymä",Other specified mental disorders due to brain damage and dysfunction and to physical disease,"Annan specificerad psykisk syndrom eller störning orsakade av hjärnskada, cerebral dysfunktion eller kroppslig sjukdom",1900-01-01,2020-12-31,THL
F06.9,"Määrittämätön aivovaurion, aivojen toimintahäiriön tai ruumiillisen sairauden aiheuttama aivo-oireyhtymä",Unspecified mental disorder due to brain damage and dysfunction and to physical disease,"Psykisk störning, ospecificerad, orsakad av hjärnskada, cerebral dysfunktion eller kroppslig sjukdom",1900-01-01,2020-12-31,THL
F07,"Aivosairauden, aivovaurion ja aivojen toimintahäiriön aiheuttamat persoonallisuus- ja käytöshäiriöt","Personality and behavioural disorders due to brain disease, damage and dysfunction","Personlighets- och beteendestörningar orsakade av hjärnsjukdom, hjärnskada eller cerebral dysfunktion",1900-01-01,2020-12-31,THL
F07.0,Elimellinen persoonallisuushäiriö,Organic personality disorder,Organisk personlighetsstörning,1900-01-01,2020-12-31,THL
F07.1,Aivotulehduksen jälkeinen oireyhtymä,Postencephalitic syndrome,Postencefalitiskt syndrom,1900-01-01,2020-12-31,THL
F07.2,Aivoruhjeen jälkeinen oireyhtymä,Postconcussional syndrome,Postkontusionellt syndrom,1900-01-01,2020-12-31,THL
F07.8,"Muu aivosairauden, aivovaurion ja aivojen toimintahäiriön aiheuttamat elimelliset persoonallisuus- ja käytöshäiriö","Other organic personality and behavioural disorders due to brain disease, damage and dysfunction","Annan specificerad organisk personlighets- och beteendestörning orsakad av hjärnsjukdom, hjärnskada eller cerebral dysfunktion",1900-01-01,2020-12-31,THL
