code,name_en_source,name_fi,name_en,better_name_en
F33.10,Google,Toistuvan masennuksen keskivaikea masennusjakso ei somaattista oireyhtymää,The moderate depressive episode of recurrent depression is not a somatic syndrome,
F33.11,Google,Toistuvan masennuksen keskivaikea masennusjakso somaattinen oireyhtymä,Moderate depressive episode of recurrent depression somatic syndrome,
F33.2,THL,Toistuvan masennuksen vaikea masennusjakso ilman psykoottisia oireita,"Recurrent depressive disorder, current episode severe without psychotic symptoms",
F33.3,THL,"Toistuvan masennuksen vaikea, psykoottinen masennusjakso","Recurrent depressive disorder, current episode severe with psychotic symptoms",
F33.30,Google,"Toistuvan masennuksen vaikea, psykoottinen masennusjakso mielialan mukaisia psykoottisia oireita","Severe, psychotic depressive episode of recurrent depression mood psychotic symptoms",
F33.31,Google,"Toistuvan masennuksen vaikea, psykoottinen masennusjakso mielialan vastaisia psykoottisia oireita","Severe, psychotic depressive episode of recurrent depression anti-mood psychotic symptoms",
F33.4,THL,Toistuvan masennuksen elpymävaihe (remissio),"Recurrent depressive disorder, currently in remission",
F33.8,THL,Muu toistuva masennus,Other recurrent depressive disorders,
F33.9,THL,Määrittämätön toistuva masennus,"Recurrent depressive disorder, unspecified",
F34,THL,Pitkäaikaiset mielialahäiriöt,Persistent mood [affective] disorders,
F34.0,THL,Mielialan aaltoiluhäiriö (syklotymia),Cyclothymia,
F34.1,THL,Pitkäaikainen masennus,Dysthymia,
F34.8,THL,Muu pitkäaikainen mielialahäiriö,Other persistent mood [affective] disorders,
F34.9,THL,Määrittämätön pitkäaikainen mielialahäiriö,"Persistent mood [affective] disorder, unspecified",
F38,THL,Muut mielialahäiriöt,Other mood [affective] disorders,
F38.0,THL,Muut yksittäiset mielialahäiriöt,Other single mood [affective] disorders,
F38.00,Google,Sekamuotoinen mielialahäiriöjakso,Mixed-cycle mood disorder,
F38.09,Google,Muu yksittäinen mielialahäiriö,Other single mood disorder,
F38.10,Google,Toistuva lyhyt masennusjakso,Recurrent brief depression,
F38.19,Google,Muu toistuva mielialahäiriö,Other recurrent mood disorder,
F38.8,THL,Muu mielialahäiriö,Other specified mood [affective] disorders,
F39,THL,Määrittämätön mielialahäiriö,Unspecified mood [affective] disorder,
F40,THL,Pelko-oireiset (foobiset) ahdistuneisuushäiriöt,Phobic anxiety disorders,
F40.0,THL,Julkisten paikkojen pelko,Agoraphobia,
F40.00,Google,Julkisten paikkojen pelko ilman samanaikaista paniikkihäiriötä,Fear of public places without concomitant panic disorder,
F40.01,Google,Julkisten paikkojen pelko samanaikainen paniikkihäiriö,Fear of public places concomitant panic disorder,
F40.1,THL,Sosiaalisten tilanteiden pelko,Social phobias,
F40.2,THL,Määritetyt (yksittäiset) pelot,Specific (isolated) phobias,
F40.8,THL,Muu pelko-oireinen (foobinen) ahdistuneisuushäiriö,Other phobic anxiety disorders,
F40.9,THL,Määrittämätön pelko-oireinen (foobinen) ahdistuneisuushäiriö,"Phobic anxiety disorder, unspecified",
F41,THL,Muut ahdistuneisuushäiriöt,Other anxiety disorders,
F41.0,THL,Paniikkihäiriö (kohtauksittainen ahdistus),Panic disorder [episodic paroxysmal anxiety],
F41.00,Google,"Keskivaikea paniikkihäiriö, vähintään neljä kohtausta kuukauden aikana","Moderate panic disorder, with at least four seizures per month",
F41.01,Google,"Vaikea-asteinen paniikkihäiriö, vähintään neljä kohtausta viikossa kuukauden aikana","Severe panic disorder, with at least four seizures per week for one month",
F41.08,Google,Lieväasteinen tai muu määritelty paniikkihäiriö (vähemmän kuin neljä kohtausta kuukauden aikana),Mild or other defined panic disorder (less than four seizures per month),
F41.09,Google,Määrittämätön paniikkihäiriö,Unspecified panic disorder,
F41.1,THL,Yleistynyt ahdistuneisuushäiriö (yleistynyt tuskaisuus),Generalized anxiety disorder,
F41.2,THL,Sekamuotoinen ahdistus- ja masennustila,Mixed anxiety and depressive disorder,
F41.3,THL,Muu sekamuotoinen ahdistuneisuushäiriö,Other mixed anxiety disorders,
F41.8,THL,Muu ahdistuneisuushäiriö,Other specified anxiety disorders,
F41.9,THL,Määrittämätön ahdistuneisuushäiriö,"Anxiety disorder, unspecified",
F42,THL,Pakko-oireinen häiriö,Obsessive-compulsive disorder,
F42.0,THL,Pakkoajatuspainotteinen pakko-oireinen häiriö,Predominantly obsessional thoughts or ruminations,
F42.1,THL,Pakkotoimintopainotteinen pakko-oireinen häiriö,Predominantly compulsive acts [obsessional rituals],
F42.2,THL,Pakkoajatuksina ja pakkotoimintoina ilmenevä pakko-oireinen häiriö,Mixed obsessional thoughts and acts,
F42.8,THL,Muu pakko-oireinen häiriö,Other obsessive-compulsive disorders,
F42.9,THL,Määrittämätön pakko-oireinen häiriö,"Obsessive-compulsive disorder, unspecified",
F43,THL,Reaktiot vaikeaan stressiin ja sopeutumishäiriöt,"Reaction to severe stress, and adjustment disorders",
F43.0,THL,Akuutti stressireaktio,Acute stress reaction,
F43.00,Google,Akuutti stressireaktio lieväasteinen häiriö,Acute stress reaction mild disorder,
F43.01,Google,Akuutti stressireaktio keskivaikea häiriö,Acute stress reaction moderate disorder,
F43.02,Google,Akuutti stressireaktio vaikea-asteinen häiriö,Acute stress reaction severe disorder,
F43.1,THL,Traumaperäinen stressihäiriö,Post-traumatic stress disorder,
F43.2,THL,Sopeutumishäiriöt,Adjustment disorders,
F43.20,Google,Sopeutumishäiriö lyhyt masennusreaktio,Adaptive disorder short depressive reaction,
F43.21,Google,Sopeutumishäiriö pitkittynyt masennusjakso,Adaptive disorder prolonged depression,
F43.22,Google,Sopeutumishäiriö sekamuotoinen ahdistus- ja masennusreaktio,Adaptive disorder is a mixed form of anxiety and depression reactions,
F43.23,Google,Sopeutumishäiriö muu tunne-elämän häiriö,Adaptive disorder other emotional disorder,
F43.24,Google,Sopeutumishäiriö käytöshäiriö,Adaptive disorder Behavioral disorder,
F43.25,Google,Sopeutumishäiriö sekamuotoinen tunne-elämän ja käyttäytymisen häiriö,Adaptive disorder is a mixed form of emotional and behavioral disorder,
F43.28,Google,Sopeutumishäiriö muu hallitseva oire,Adaptation disorder other predominant symptom,
F43.29,Google,Määrittämätön sopeutumishäiriö,Unspecified adaptation disorder,
F43.8,THL,Muu reaktio vaikeaan stressiin,Other reactions to severe stress,
F43.9,THL,Määrittämätön reaktio vaikeaan stressiin,"Reaction to severe stress, unspecified",
F44,THL,Dissosiaatiohäiriöt (konversiohäiriöt),Dissociative [conversion] disorders,
F44.0,THL,Dissosiatiivinen muistinmenetys,Dissociative amnesia,
F44.1,THL,Dissosiatiivinen pakkovaellus,Dissociative fugue,
F44.2,THL,Dissosiatiivinen sulkutila (horros),Dissociative stupor,
F44.3,THL,Hurmos ja haltiotilat,Trance and possession disorders,
F44.4,THL,Dissosiatiivinen motorinen häiriö,Dissociative motor disorders,
F44.5,THL,Dissosiatiiviset kouristukset,Dissociative convulsions,
F44.6,THL,Dissosiatiivinen tunnottomuus tai aistihäiriö,Dissociative anaesthesia and sensory loss,
F44.7,THL,Sekamuotoiset dissosiaatiohäiriöt (konversiohäiriöt),Mixed dissociative [conversion] disorders,
F44.80,Google,Ganserin oireyhtymä,Ganser's syndrome,
F44.81,Google,Sivupersoonahäiriö,Dissociative identity disorder,
F44.82,Google,Tilapäinen lapsuus- ja nuoruusiän dissosiaatio-[konversio] oireisto,Transient childhood and adolescence dissociation [conversion] syndrome,
F44.88,Google,Muu dissosiaatiohäiriö (konversiohäiriö),Other dissociation disorder (conversion disorder),
F44.9,THL,Määrittämätön dissosiaatiohäiriö (konversiohäiriö),"Dissociative [conversion] disorder, unspecified",
F45,THL,Elimellisoireiset (somatoformiset) häiriöt,Somatoform disorders,
F45.0,THL,Somatisaatiohäiriö,Somatization disorder,
F45.1,THL,Erilaistumaton elimellisoireinen (somatoforminen) häiriö,Undifferentiated somatoform disorder,
F45.2,THL,Hypokondrinen häiriö,Hypochondriacal disorder,
F45.3,THL,Elimellisoireinen (somatoforminen) autonominen toimintahäiriö,Somatoform autonomic dysfunction,
F45.30,Google,Elimellisoireinen toimintahäiriö sydän- ja verenkiertoelimistö,Organic symptomatic dysfunction of the cardiovascular system,
F45.31,Google,Elimellisoireinen toimintahäiriö ylempi ruuansulatuskanava,Organic dysfunction of the upper gastrointestinal tract,
F45.32,Google,Elimellisoireinen toimintahäiriö alempi ruuansulatuskanava,Organic symptomatic dysfunction of the lower gastrointestinal tract,
F45.33,Google,Elimellisoireinen toimintahäiriö hengityselimistö,Systemic dysfunction Respiratory system,
F45.34,Google,Elimellisoireinen toimintahäiriö virtsa- ja sukuelimet,Organic dysfunction of the urinary and genital organs,
F45.38,Google,Elimellisoireinen toimintahäiriö muu elin tai elinjärjestelmä,Organic dysfunction of another organ or organ system,
F45.39,Google,Elimellisoireinen toimintahäiriö usean tai määrittämättömän elimen oire,Organic dysfunction A symptom of multiple or unspecified organs,
F45.4,THL,Pitkäaikainen kipuoireyhtymä,Persistent somatoform pain disorder,
F45.8,THL,Muu elimellisoireinen (somatoforminen) häiriö,Other somatoform disorders,
F45.9,THL,Määrittämätön elimellisoireinen (somatoforminen) häiriö,"Somatoform disorder, unspecified",
F48,THL,Muut neuroottiset häiriöt,Other neurotic disorders,
F48.0,THL,Neurastenia,Neurasthenia,
F48.1,THL,Depersonalisaatio- ja derealisaatio-oireyhtymä,Depersonalization-derealization syndrome,
F48.8,THL,Muu neuroottinen häiriö,Other specified neurotic disorders,
F48.9,THL,Määrittämätön neuroottinen häiriö,"Neurotic disorder, unspecified",
F50,THL,Syömishäiriöt,Eating disorders,
F50.0,THL,Laihuushäiriö,Anorexia nervosa,
F50.1,THL,Epätyypillinen laihuushäiriö,Atypical anorexia nervosa,
F50.2,THL,Ahmimishäiriö,Bulimia nervosa,
F50.3,THL,Epätyypillinen ahmimishäiriö,Atypical bulimia nervosa,
F50.4,THL,Muuhun psykkiseen häiriöön liittyvä ylensyöminen,Overeating associated with other psychological disturbances,
F50.5,THL,Muuhun psykkiseen häiriöön liittyvä oksentelu,Vomiting associated with other psychological disturbances,
F50.8,THL,Muu syömishäiriö,Other eating disorders,
F50.9,THL,Määrittämätön syömishäiriö,"Eating disorder, unspecified",
F51,THL,Ei-elimelliset unihäiriöt,Nonorganic sleep disorders,
F51.0,THL,Ei-elimellinen unettomuus,Nonorganic insomnia,
F51.1,THL,Ei-elimellinen liikaunisuus,Nonorganic hypersomnia,
F51.2,THL,Ei-elimellinen uni-valverytmin häiriö,Nonorganic disorder of the sleep-wake schedule,
F51.3,THL,Unissakävely,Sleepwalking [somnambulism],
F51.4,THL,Yöllinen kauhukohtaus,Sleep terrors [night terrors],
F51.5,THL,Painajaisunet,Nightmares,
F51.8,THL,Muu ei-elimellinen unihäiriö,Other nonorganic sleep disorders,
F51.9,THL,Määrittämätön ei-elimellinen unihäiriö,"Nonorganic sleep disorder, unspecified",
F52,THL,Ei-elimelliset seksuaaliset toimintahäiriöt,"Sexual dysfunction, not caused by organic disorder or disease",
F52.0,THL,Seksuaalinen haluttomuus,Lack or loss of sexual desire,
F52.10,Google,Seksuaalinen vastenmielisyys,Sexual aversion,
F52.11,Google,Seksuaalisen nautinnon puute,Lack of sexual pleasure,
F52.2,THL,Seksuaalinen kiihottumisvaikeus,Failure of genital response,
F52.3,THL,Orgasmivaikeus,Orgasmic dysfunction,
F52.4,THL,Ennenaikainen siemensyöksy,Premature ejaculation,
F52.5,THL,Toiminnallinen emätinkouristus,Nonorganic vaginismus,
F52.6,THL,Toiminnalliset yhdyntäkivut,Nonorganic dyspareunia,
F52.7,THL,Seksuaalivietin ylenmääräinen voimakkuus,Excessive sexual drive,
F52.8,THL,Muu ei-elimellinen seksuaalinen toimintahäiriö,"Other sexual dysfunction, not caused by organic disorder or disease",
F52.9,THL,Määrittämätön ei-elimellinen seksuaalinen toimintahäiriö,"Unspecified sexual dysfunction, not caused by organic disorder or disease",
F53,THL,Muualla luokittamattomat lapsivuodeajan mielenterveys- ja käytöshäiriöt,"Mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F53.0,THL,Muualla luokittamattomat lapsivuodeajan lievät mielenterveys- ja käytöshäiriöt,"Mild mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F53.1,THL,Muualla luokittamattomat lapsivuodeajan vaikeat mielenterveys- ja käytöshäiriöt,"Severe mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F53.8,THL,Muu muualla luokittamaton lapsivuodeajan mielenterveys- ja käytöshäiriö,"Other mental and behavioural disorders associated with the puerperium, not elsewhere classified",
F53.9,THL,Määrittämätön lapsivuodeajan mielenterveyshäiriö,"Puerperal mental disorder, unspecified",
F54,THL,Muualla luokitettuun häiriöön tai sairauteen liittyvä psyykkinen tekijä tai käytöstekijä,Psychological and behavioural factors associated with disorders or diseases classified elsewhere,
F55,THL,Riippuvuutta aiheuttamattomien aineiden väärinkäyttö,Abuse of non-dependence-producing substances,
F55#,THL,Riippuvuutta aiheuttamattomien aineiden väärinkäyttö,Abuse of non-dependence-producing substances,
F59,THL,Fysiologisiin häiriöihin ja ruumiillisiin tekijöihin liittyvät määrittämättömät käytösoireyhtymät,Unspecified behavioural syndromes associated with physiological disturbances and physical factors,
F60,THL,Persoonallisuushäiriöt,Specific personality disorders,
F60.0,THL,Epäluuloinen persoonallisuus,Paranoid personality disorder,
F60.1,THL,Eristäytyvä (skitsoidi) persoonallisuus,Schizoid personality disorder,
F60.2,THL,Epäsosiaalinen persoonallisuus,Dissocial personality disorder,
F60.3,THL,Tunne-elämältään epävakaa persoonallisuus,Emotionally unstable personality disorder,
F60.30,Google,"Tunne-elämältään epävakaa persoonallisuus, impulsiivinen häiriötyyppi","Emotionally unstable personality, impulsive type of disorder",
F60.31,Google,"Tunne-elämältään epävakaa persoonallisuus, rajatilamuoto","Emotionally unstable personality, borderline form",
F60.4,THL,Huomionhakuinen persoonallisuus,Histrionic personality disorder,
F60.5,THL,Vaativa persoonallisuus,Anankastic personality disorder,
F60.6,THL,Estynyt persoonallisuus,Anxious [avoidant] personality disorder,
F60.7,THL,Riippuvainen persoonallisuus,Dependent personality disorder,
F60.8,THL,Muu persoonallisuushäiriö,Other specific personality disorders,
F60.9,THL,Määrittämätön persoonallisuushäiriö,"Personality disorder, unspecified",
F61,THL,Sekamuotoiset ja muut persoonallisuushäiriöt,Mixed and other personality disorders,
F61.0,THL,Sekamuotoiset persoonallisuushäiriöt,Mixed personality disorders,
F61.1,Google,Häiritsevä persoonallisuusmuutos,Disturbing personality change,
F62,THL,"Pitkäaikaiset persoonallisuuden muutokset, jotka eivät aiheudu aivovauriosta tai aivosairaudesta","Enduring personality changes, not attributable to brain damage and disease",
F62.0,THL,Tuhoisaa kokemusta seuraava persoonallisuuden muutos,Enduring personality change after catastrophic experience,
F62.1,THL,Vakavaa mielenterveyden häiriötä seuraava pitkäaikainen persoonallisuuden muutos,Enduring personality change after psychiatric illness,
F62.8,THL,Muu pitkäaikainen persoonallisuuden muutos,Other enduring personality changes,
F62.9,THL,Määrittämätön pitkäaikainen persoonallisuuden muutos,"Enduring personality change, unspecified",
F63,THL,Käytös- ja hillitsemishäiriöt,Habit and impulse disorders,
F63.0,THL,Pelihimo,Pathological gambling,
F63.1,THL,Tuhopolttohimo,Pathological fire-setting [pyromania],
F63.2,THL,Näpistelyhimo (kleptomania),Pathological stealing [kleptomania],
F63.3,THL,Karvojennyppimishäiriö,Trichotillomania,
F63.8,THL,Muu käytös- ja hillitsemishäiriö,Other habit and impulse disorders,
F63.9,THL,Määrittämätön käytös- ja hillitsemishäiriö,"Habit and impulse disorder, unspecified",
F64,THL,Sukupuoli-identiteetin häiriöt,Gender identity disorders,
F64.0,THL,Transsukupuolisuus,Transsexualism,
F64.1,THL,Kaksoisroolinen vastakkaiseksi sukupuoleksi pukeutumisen halu,Dual-role transvestism,
F64.2,THL,Lapsuuden sukupuoli-identiteetin häiriö,Gender identity disorder of childhood,
F64.8,THL,Muu sukupuoli-identiteetin häiriö,Other gender identity disorders,
F64.9,THL,Määrittämätön sukupuoli-identiteetin häiriö,"Gender identity disorder, unspecified",
F65,THL,Sukupuoliset kohdehäiriöt,Disorders of sexual preference,
F65.0,THL,Esinekohteinen seksuaalihäiriö,Fetishism,
F65.1,THL,Vastakkaiseksi sukupuoleksi pukeutumisen halu,Fetishistic transvestism,
F65.2,THL,Paljasteluhäiriö,Exhibitionism,
F65.3,THL,Tirkistelyhäiriö,Voyeurism,
F65.4,THL,Lapsikohteinen seksuaalihäiriö (pedofilia),Paedophilia,
F65.5,THL,Sadomasokismi,Sadomasochism,
F65.6,THL,Monimuotoiset sukupuoliset kohdehäiriöt,Multiple disorders of sexual preference,
F65.8,THL,Muu sukupuolinen kohdehäiriö,Other disorders of sexual preference,
F65.9,THL,Määrittämätön sukupuolinen kohdehäiriö,"Disorder of sexual preference, unspecified",
F66,THL,Sukupuoliseen kehitykseen ja suuntautumiseen liittyvät psyykkiset häiriöt ja käytöshäiriöt,Psychological and behavioural disorders associated with sexual development and orientation,
F66.0,THL,Sukupuolisen kypsymisen häiriö,Sexual maturation disorder,
F66.00,Google,Sukupuolisen kypsymisen häiriö heteroseksuaalinen,Sexual maturation disorder heterosexual,
F66.01,Google,Sukupuolisen kypsymisen häiriö homoseksuaalinen,Sexual maturation disorder homosexual,
F66.02,Google,Sukupuolisen kypsymisen häiriö biseksuaalinen,Sexual maturation disorder bisexual,
F66.09,Google,Sukupuolisen kypsymisen häiriö muu tai määrittämätön,Sexual maturation disorder other or unspecified,
F66.1,THL,Itseä häiritsevä sukupuolinen suuntautuminen,Egodystonic sexual orientation,
F66.10,Google,Itseä häiritsevä sukupuolinen suuntautuminen heteroseksuaalinen,Self-disturbing sexual orientation is heterosexual,
F66.11,Google,Itseä häiritsevä sukupuolinen suuntautuminen homoseksuaalinen,Self-disturbing sexual orientation homosexual,
F66.12,Google,Itseä häiritsevä sukupuolinen suuntautuminen biseksuaalinen,Self-disturbing sexual orientation bisexual,
F66.19,Google,Itseä häiritsevä sukupuolinen suuntautuminen muu tai määrittämätön,Self-disturbing sexual orientation other or unspecified,
F66.2,THL,Sukupuolisuhteiden häiriö,Sexual relationship disorder,
F66.20,Google,Sukupuolisuhteiden häiriö heteroseksuaalinen,Sexual dysfunction heterosexual,
F66.21,Google,Sukupuolisuhteiden häiriö homoseksuaalinen,Sexual dysfunction homosexual,
F66.22,Google,Sukupuolisuhteiden häiriö biseksuaalinen,Sexual dysfunction bisexual,
F66.29,Google,Sukupuolisuhteiden häiriö muu tai määrittämätön,Sexual dysfunction other or unspecified,
F66.8,THL,Muut määritetyt psykoseksuaalisen kehityksen häiriöt,Other specified disorders of psychosexual development,
F66.80,Google,Muu psykoseksuaalisen kehityksen häiriö heteroseksuaalinen,Other psychosexual developmental disorder heterosexual,
F66.81,Google,Muu psykoseksuaalisen kehityksen häiriö homoseksuaalinen,Other psychosexual developmental disorder homosexual,
F66.82,Google,Muu psykoseksuaalisen kehityksen häiriö biseksuaalinen,Other psychosexual developmental disorder bisexual,
F66.89,Google,Muu psykoseksuaalisen kehityksen häiriö muu tai määrittämätön,Other psychosexual developmental disorder other or unspecified,
F66.9,THL,Määrittämätön psykoseksuaalisen kehityksen häiriö,"Psychosexual development disorder, unspecified",
F68,THL,Muut aikuisiän persoonallisuus- ja käytöshäiriöt,Other disorders of adult personality and behaviour,
F68.0,THL,Psyykkisistä syistä johtuva ruumiillisten oireitten vaikeutuminen,Elaboration of physical symptoms for psychological reasons,
F68.1,THL,Ruumiillisten tai henkisten oireiden tai vammojen tarkoituksellinen tuottaminen tai teeskentely (itseaiheutettu häiriö),"Intentional production or feigning of symptoms or disabilities, either physical or psychological [factitious disorder]",
F68.8,THL,Muu aikuisiän persoonallisuus- ja käytöshäiriö,Other specified disorders of adult personality and behaviour,
F69,THL,Määrittämätön aikuisiän persoonallisuus- ja käytöshäiriö,Unspecified disorder of adult personality and behaviour,
F70,THL,Lievä älyllinen kehitysvammaisuus,Mild mental retardation,
F70.0,Google,Lievä älyllinen kehitysvammaisuus ei sopeutumiskäyttäytymisen häiriöitä tai vähäisiä sopeutumiskäyttäytymisen häiriöitä,Mild intellectual disability does not impair the behavior of the adaptive behavior or minor disorders of the adaptive behavior,
F70.1,Google,"Lievä älyllinen kehitysvammaisuus merkittävä, huomiota tai hoitoa vaativa sopeutumiskäyttäytymisen häiriö",Mild intellectual disability is a major disorder of adaptive behavior that requires attention or treatment,
F70.9,Google,Lievä älyllinen kehitysvammaisuus ei tietoa sopeutumiskäyttäytymisen häiriöstä,Mild intellectual disability has no knowledge of adaptive behavior disorder,
F71,THL,Keskivaikea älyllinen kehitysvammaisuus,Moderate mental retardation,
F71.0,THL,Keskivaikea älyllinen kehitysvammaisuus ei sopeutumiskäyttäytymisen häiriöitä tai vähäisiä sopeutumiskäyttäytymisen häiriöitä,"Moderate mental retardation with the statement of no, or minimal, impairment of behviour",
F71.1,THL,"Keskivaikea älyllinen kehitysvammaisuus merkittävä, huomiota tai hoitoa vaativa sopeutumiskäyttäytymisen häiriö",Moderate mental retardation significant impairment of behaviour requiring attention or treatment,
F71.9,THL,Keskivaikea älyllinen kehitysvammaisuus ei tietoa sopeutumiskäyttäytymisen häiriöstä,Moderate mental retardation without mention of impairment of behaviour,
F72,Google,Vaikea älyllinen kehitysvammaisuus,Severe intellectual disability,
F72.0,THL,Vaikea älyllinen kehitysvammaisuus ei sopeutumiskäyttäytymisen häiriöitä tai vähäisiä sopeutumiskäyttäytymisen häiriöitä,"Severe mental retardation with the statement of no, or minimal, impairment of behviour",
F72.1,THL,"Vaikea älyllinen kehitysvammaisuus merkittävä, huomiota tai hoitoa vaativa sopeutumiskäyttäytymisen häiriö",Severe mental retardation significant impairment of behaviour requiring attention or treatment,
F72.9,THL,Vaikea älyllinen kehitysvammaisuus ei tietoa sopeutumiskäyttäytymisen häiriöstä,Severe mental retardation without mention of impairment of behaviour,
F73,THL,Syvä älyllinen kehitysvammaisuus,Profound mental retardation,
F73.0,THL,Syvä älyllinen kehitysvammaisuus ei sopeutumiskäyttäytymisen häiriöitä tai vähäisiä sopeutumiskäyttäytymisen häiriöitä,"Profound mental retardation with the statement of no, or minimal, impairment of behviour",
F73.1,THL,"Syvä älyllinen kehitysvammaisuus merkittävä, huomiota tai hoitoa vaativa sopeutumiskäyttäytymisen häiriö",Profound mental retardation significant impairment of behaviour requiring attention or treatment,
F73.9,THL,Syvä älyllinen kehitysvammaisuus ei tietoa sopeutumiskäyttäytymisen häiriöstä,Profound mental retardation without mention of impairment of behaviour,
F78,THL,Muu älyllinen kehitysvammaisuus,Other mental retardation,
F78.0,THL,Muu älyllinen kehitysvammaisuus ei sopeutumiskäyttäytymisen häiriöitä tai vähäisiä sopeutumiskäyttäytymisen häiriöitä,"Other mental retardation with the statement of no, or minimal, impairment of behviour",
F78.1,THL,"Muu älyllinen kehitysvammaisuus merkittävä, huomiota tai hoitoa vaativa sopeutumiskäyttäytymisen häiriö",Other mental retardation significant impairment of behaviour requiring attention or treatment,
F78.9,THL,Muu älyllinen kehitysvammaisuus ei tietoa sopeutumiskäyttäytymisen häiriöstä,Other mental retardation without mention of impairment of behaviour,
F79,THL,Määrittämätön älyllinen kehitysvammaisuus,Unspecified mental retardation,
F79.0,THL,Määrittämätön älyllinen kehitysvammaisuus ei sopeutumiskäyttäytymisen häiriöitä tai vähäisiä sopeutumiskäyttäytymisen häiriöitä,"Unspecified mental retardation with the statement of no, or minimal, impairment of behviour",
F79.1,THL,"Määrittämätön älyllinen kehitysvammaisuus merkittävä, huomiota tai hoitoa vaativa sopeutumiskäyttäytymisen häiriö",Unspecified mental retardation significant impairment of behaviour requiring attention or treatment,
F79.9,THL,Määrittämätön älyllinen kehitysvammaisuus ei tietoa sopeutumiskäyttäytymisen häiriöstä,Unspecified mental retardation,
F80,THL,Puheen ja kielen kehityshäiriöt,Specific developmental disorders of speech and language,
F80.0,THL,Ääntämishäiriö,Specific speech articulation disorder,
F80.1,THL,Puheen tuottamisen häiriö,Expressive language disorder,
F80.2,THL,Puheen ymmärtämisen häiriö,Receptive language disorder,
F80.3,THL,Epilepsiaan liittyvä hankinnainen puheen tuottamisen ja ymmärtämisen häiriö (Landau-Kleffner),Acquired aphasia with epilepsy [Landau-Kleffner],
F80.8,THL,Muu puheen ja kielen kehityksen häiriö,Other developmental disorders of speech and language,
F80.9,THL,Määrittämätön puheen ja kielen kehityshäiriö,"Developmental disorder of speech and language, unspecified",
F81,THL,Oppimiskyvyn häiriöt,Specific developmental disorders of scholastic skills,
F81.0,THL,Lukemiskyvyn häiriö,Specific reading disorder,
F81.1,THL,Kirjoittamiskyvyn häiriö,Specific spelling disorder,
F81.2,THL,Laskemiskyvyn häiriö,Specific disorder of arithmetical skills,
F81.3,THL,Monimuotoinen oppimiskyvyn häiriö,Mixed disorder of scholastic skills,
F81.8,THL,Muu oppimiskyvyn häiriö,Other developmental disorders of scholastic skills,
F81.9,THL,Määrittämätön oppimiskyvyn häiriö,"Developmental disorder of scholastic skills, unspecified",
F82,THL,Motoriikan kehityshäiriö,Specific developmental disorder of motor function,
F83,THL,Monimuotoiset kehityshäiriöt,Mixed specific developmental disorders,
F84,THL,Laaja-alaiset kehityshäiriöt,Pervasive developmental disorders,
F84.0,THL,Lapsuusiän autismi,Childhood autism,
F84.1,THL,Epätyypillinen autismi,Atypical autism,
F84.10,Google,Alkamisiältään epätyypillinen autismi,Autism atypical in onset,
F84.11,Google,Oireiltaan epätyypillinen autismi,Atypical symptoms of autism,
F84.12,Google,Sekä alkamisiältään että oireiltaan epätyypillinen autismi,Autism atypical in both onset and symptoms,
F84.2,THL,Rettin oireyhtymä,Rett's syndrome,
F84.3,THL,Muu lapsuusiän persoonallisuutta hajottava (disintegratiivinen) kehityshäiriö,Other childhood disintegrative disorder,
F84.4,THL,Älylliseen kehitysvammaisuuteen ja kaavamaisiin liikkeisiin liittyvä hyperaktiivisuushäiriö,Overactive disorder associated with mental retardation and stereotyped movements,
F84.5,THL,Aspergerin oireyhtymä,Asperger's syndrome,
F84.8,THL,Muu lapsuusiän laaja-alainen kehityshäiriö,Other pervasive developmental disorders,
F84.9,THL,Määrittämätön lapsuusiän laaja-alainen kehityshäiriö,"Pervasive developmental disorder, unspecified",
F88,THL,Muu psyykkinen kehityshäiriö,Other disorders of psychological development,
F89,THL,Määrittämätön psyykkinen kehityshäiriö,Unspecified disorder of psychological development,
F90,THL,Hyperkineettiset häiriöt,Hyperkinetic disorders,
F90.0,THL,Aktiivisuuden ja tarkkaavuuden häiriö,Disturbance of activity and attention,
F90.1,THL,Hyperkineettinen käytöshäiriö,Hyperkinetic conduct disorder,
F90.8,THL,Muu hyperkineettinen häiriö,Other hyperkinetic disorders,
F90.9,THL,Määrittämätön hyperkineettinen häiriö,"Hyperkinetic disorder, unspecified",
F91,THL,Käytöshäiriöt,Conduct disorders,
F91.0,THL,Perheensisäinen käytöshäiriö,Conduct disorder confined to the family context,
F91.1,THL,Epäsosiaalinen käytöshäiriö (sosiaalisiin suhteisiin jäsentymätön käytöshäiriö),Unsocialized conduct disorder,
F91.2,THL,Sosiaalinen käytöshäiriö (sosiaalisiin suhteisiin jäsentynyt käytöshäiriö),Socialized conduct disorder,
F91.3,THL,Uhmakkuushäiriö,Oppositional defiant disorder,
F91.8,THL,Muu käytöshäiriö,Other conduct disorders,
F91.9,THL,Määrittämätön käytöshäiriö,"Conduct disorder, unspecified",
F92,THL,Samanaikaiset käytös- ja tunnehäiriöt,Mixed disorders of conduct and emotions,
F92.0,THL,Masennusoireinen käytöshäiriö,Depressive conduct disorder,
F92.8,THL,Muu samanaikainen käytös- ja tunnehäiriö,Other mixed disorders of conduct and emotions,
