ICD9,n_codes,freq_finngen_per,Finnish_name,possible_english_name
6525B,82,0.02051%,"KORKEALLE JÄÄNYT TARJOUTUVA SIKIÖN PÄÄ,SYNN AIKANA",High fetal head at term
7188F,82,0.02051%,"MB ARTICULI, LIGAM ET CARTILAG AL DEF,POLVI","Other joint derangement, not elsewhere classified"
8450X,82,0.02051%,"DISTORSIO,DISTENSIO SEU RUPTURA TARSI ALIA",Ankle sprain
3160A,81,0.02026%,PSYYK TEKIJÄT ORGAANISTEN SAIRAUKSIEN/OIREIDEN YHTE,Psychic factors associated with diseases classified elsewhere
8082A,81,0.02026%,"FRACTURA OSSIS PUBIS, NON COMPLICATA",Closed fracture of pubis
1890A,80,0.02001%,"NEOPL MAL RENIS PELVI EXCEPTO,NEPHROBLASTOMA","Malignant neoplasm of kidney, except pelvis"
2009X,80,0.02001%,LYMPHOMA MALIGNUM (NON-HODGKIN) NUD,Lymphosarcoma and reticulosarcoma and other specified malignant tumors of lymphatic tissue
2790B,80,0.02001%,DEFICIENTIA IMMUNOGLOBULINI A,Deficiency of humoral immunity
5586X,80,0.02001%,"KROONINEN INFLAMMATOORINEN SUOLISTOSAIRAUS, NUD",Other and unspecified noninfectious gastroenteritis and colitis
6564A,80,0.02001%,"MORS FOETALIS INTRAUTERINA, RASKAUDEN AIKANA",Intrauterine death affecting management of mother
8026A,80,0.02001%,"FRACTURA ORBITAE (""BLOW-OUT FRACTURE"")",Closed fracture of orbital floor (blow-out)
2962A,79,0.01976%,PSYCHOSIS BIPOLARIS MANICA NUD,"Major depressive disorder, single episode"
4272A,79,0.01976%,TACHYCARDIA PAROXYSMALIS NUD,"Paroxysmal tachycardia, unspecified"
4878X,79,0.01976%,INFLUENZA ALIA DEFINITA SEU NUD,Influenza with other manifestations
5750A,79,0.01976%,CHOLECYSTITIS ACUTA SINE CHOLELITHIASI,Acute cholecystitis
6461A,79,0.01976%,OEDEMA GRAVIDARUM,"Edema or excessive weight gain in pregnancy, without mention of hypertension"
7211A,79,0.01976%,SPONDYLARTHROSIS CERVICALIS CUM MYELOPATHIA,Cervical spondylosis with myelopathy
2964C,78,0.01951%,"PSYCHOSIS BIPOLARIS CIRCULARIS,KESKIVAIKEA","Bipolar I disorder, most recent episode (or current) manic"
3454X,78,0.01951%,ALII DISTURBATIONES CONSCIENTAE EPILEPTICI,Localization-related (focal) (partial) epilepsy and epileptic syndromes with complex partial seizures
3824A,78,0.01951%,RESIDUA POST OTITIDEM MEDIAM,Unspecified suppurative otitis media
4810A,78,0.01951%,PNEUMONIA PNEUMOCOCCICA,Pneumococcal pneumonia [Streptococcus pneumoniae pneumonia]
4910A,78,0.01951%,BRONCHITIS CHRONICA NON PURULENTA,Simple chronic bronchitis
7444B,78,0.01951%,CYSTA BRANCHIOGENICA,Branchial cleft cyst or fistula; preauricular sinus
8202A,78,0.01951%,"FRACTURA COLLI FEMORIS PERTROCHANTERICA,NON COMPLIC","Pertrochanteric fracture of femur, closed"
8250A,78,0.01951%,"FRACTURA CALCANEI, NON COMPLICATA","Fracture of calcaneus, closed"
0750A,77,0.01926%,MONONUCLEOSIS INFECTIOSA CUM COMPLICATIONE,Infectious mononucleosis
2251A,77,0.01926%,NEOPLASMA BENIGNUM NERVORUM CRANIALIUM,Benign neoplasm of cranial nerves
2451A,77,0.01926%,THYREOIDITIS SUBACUTA,Subacute thyroiditis
5650C,77,0.01926%,FISSURA ANI ALIA,Anal fissure
5714X,77,0.01926%,HEPATITIS CHRONICA ALIA SEU NUD,Chronic hepatitis
6142X,77,0.01926%,S-O-ITIS CHRONICA ALIA,"Salpingitis and oophoritis not specified as acute, subacute, or chronic"
6221A,77,0.01926%,DYSPLASIA CERVICIS UTERI LEVIS,Dysplasia of cervix (uteri)
6339X,77,0.01926%,GRAVIDITAS ECTOPICA NUD,Unspecified ectopic pregnancy
9059A,77,0.01926%,SEQUELAE AMPUTATIONIS TRAUMATICAE,Late effect of traumatic amputation
2500C,76,0.01901%,"DIABETES MELLITUS SINE COMPLICATIONE ,MODY",Diabetes mellitus without mention of complication
3784B,76,0.01901%,EXOPHORIA,Heterophoria
5772A,76,0.01901%,CYSTA ET PSEUDOCYSTA PANCREATIS,Cyst and pseudocyst of pancreas
7893A,76,0.01901%,TUMOR ABDOMINIS NUD,"Abdominal or pelvic swelling, mass, or lump"
8252E,76,0.01901%,"FRACTURA OSSIS METATARSALIS, NON COMPLICATA","Fracture of other tarsal and metatarsal bones, closed"
8500X,76,0.01901%,"COMMOTIO CEREBRI,TAJUTTOMUUDEN KESTOSTA EI TIETOA",Concussion with no loss of consciousness
8822A,76,0.01901%,"VULNUS MANUS, DIG.EXCEPTO+LAESIO TENDINIS,NON COMPL","Open wound of hand except finger(s) alone, with tendon involvement"
2952E,75,0.01876%,"KATATOONISTYYPPINEN SKITSOFRENIA,KROONINEN AKUUTTI",Catatonic type schizophrenia
3008A,75,0.01876%,SOMATISAATIOHÄIRIÖ,Somatoform disorders
4720A,75,0.01876%,RHINITIS CHRONICA HYPERTROPHICA,Chronic rhinitis
5225A,75,0.01876%,ABSCESSUS PERIAPICALIS (DENTOALVEOLARIS),Periapical abscess without sinus
5354X,75,0.01876%,GASTRITIS CHRONICA ALIA,Other specified gastritis
5742B,75,0.01876%,"CHOLECYSTOLITHIASIS SINE CHOLECYSTITIDE,CUM OBSTR",Calculus of gallbladder without mention of cholecystitis
6269X,75,0.01876%,MENSTRUATIO ABNORMA NUD,Unspecified disorders of menstruation and other abnormal bleeding from female genital tract
7561A,75,0.01876%,SPONDYLOLISTHESIS CONGENITA,"Anomalies of spine, congenital"
2510B,74,0.01851%,COMA HYPOGLYCAEMICUM,Hypoglycemic coma
2512X,74,0.01851%,HYPOGLYCAEMIA NUD,"Hypoglycemia, unspecified"
2768A,74,0.01851%,HYPOKALAEMIA,Hypopotassemia
3012A,74,0.01851%,ERISTÄYTYVÄ PERSOONALLISUUS,Schizoid personality disorder
3138B,74,0.01851%,IDENTITEETTIHÄIRIÖ,Other or mixed emotional disturbances of childhood or adolescence
3801A,74,0.01851%,OTITIS EXTERNA ACUTA DIFFUSA,Infective otitis externa
4373A,74,0.01851%,ANEURYSMA ARTERIAE CEREBRALIS NONRUPTURANS,"Cerebral aneurysm, nonruptured"
6566B,74,0.01851%,"SIK YLIPAIN RASK KESTOON NÄHDEN, SYNNYTYKSEN AIKANA",Excessive fetal growth affecting management of mother
6570A,74,0.01851%,"POLYHYDRAMNION, RASKAUDEN AIKANA",Polyhydramnios
8832B,74,0.01851%,"VULNUS DIGITI MANUS CUM LAESIONE TENDINIS,COMPLICAT","Open wound of finger(s), with tendon involvement"
1048A,73,0.01826%,MORBUS LYME,Other specified spirochetal infections
1380A,73,0.01826%,SEQUELAE POLIOMYELITIDIS,Late effects of acute poliomyelitis
3002B,73,0.01826%,LAAJA-ALAINEN PANIIKKIHÄIRIÖ,Phobic disorders
4059A,73,0.01826%,HYPERTONIA RENOVASCULARIS,Unspecified secondary hypertension
5307A,73,0.01826%,SYNDROMA MALLORY-WEISS,Gastroesophageal laceration-hemorrhage syndrome
5756A,73,0.01826%,CHOLESTEROSIS VESICAE FELLAE,Cholesterolosis of gallbladder
7250A,73,0.01826%,POLYMYALGIA RHEUMATICA,Polymyalgia rheumatica
7834C,73,0.01826%,HÄIRIINTYNYT PITUUSKASVU,Lack of expected normal physiological development in childhood
8232D,73,0.01826%,"FRACT DIAPHYSEOS TIBIAE/FIBULAE COMMINUTA,NON COMPL","Fracture of shaft of tibia and fibula, closed"
8501B,73,0.01826%,"COMMOTIO CEREBRI COMPLICATA,EI TAJUTTOMUUTTA",Concussion with brief loss of consciousness
2773B,72,0.01801%,AMYLOIDOSIS SECUNDARIA,Amyloidosis
6752A,72,0.01801%,MASTITIS NON PURULENTA PUERP AIKANA,Nonpurulent mastitis associated with childbirth
6930B,72,0.01801%,EXANTHEMA EX USU PHARMACIS,Dermatitis due to drugs and medicines taken internally
7543B,72,0.01801%,SUBLUXATIO COXAE CONGENITA,Congenital dislocation of hip
7872A,72,0.01801%,DYSPHAGIA,Dysphagia
8052A,72,0.01801%,"RINTARANGAN KOMPRESSIOMURTUMA,EI SELKÄYDINVAURIOTA",Closed fracture of dorsal [thoracic] vertebra without mention of spinal cord injury
8084A,72,0.01801%,"FRACTURA PELVIS ALIA DEFINITA, NON COMPLICATA",Closed fracture of other specified part of pelvis
8821A,72,0.01801%,"VULNUS MANUS, DIGITO EXCEPTO COMPLICATUM","Open wound of hand except finger(s) alone, complicated"
8860A,72,0.01801%,AMPUTATIO TRAUMATICA DIGITI ALTERIUS NON COMPLICATA,"Traumatic amputation of other finger(s) (complete) (partial), without mention of complication"
4719X,71,0.01776%,POLYPUS NASALIS NUD,Unspecified nasal polyp
6110A,71,0.01776%,MASTITIS,Inflammatory disease of breast
6163A,71,0.01776%,ABSCESSUS GLANDULAE BARTHOLINI,Abscess of Bartholin's gland
7118L,71,0.01776%,"ARTHRITIS POSTINFECTIOSA ALIA,  USEAT NIVELET",Arthropathy associated with other infectious and parasitic diseases
7490A,71,0.01776%,PALATOSCHISIS COMPLETA,Cleft palate
7869X,71,0.01776%,SYMPTOMA RESPIRATORIA ALIA DEFINITA,Other symptoms involving respiratory system and chest
8830A,71,0.01776%,VULNUS DIGITI MANUS NON COMPLICATUM,"Open wound of finger(s), without mention of complication"
V614A,71,0.01776%,PERHEESSÄ OLEVA TERVEYSONGELMA,Health problems within family
3140B,70,0.01751%,TARKKAAVAISUUSHÄIRIÖ,Attention deficit disorder of childhood
3510A,70,0.01751%,PARESIS BELL,Bell's palsy
3556A,70,0.01751%,LAESIO NERVI PLANTARIS,Lesion of plantar nerve
6078B,70,0.01751%,IMPOTENTIA ORGANICA,Other specified disorders of penis
7178A,70,0.01751%,LAESIO LIGAMENTI COLLATERALIS MEDIALIS,Other internal derangement of knee
7273A,70,0.01751%,BURSITIS ALIA,Other bursitis
7291A,70,0.01751%,MYALGIA NUD,"Myalgia and myositis, unspecified"
7492A,70,0.01751%,CHEILOPALATOSCHISIS UNILATERALIS COMPLETA,Cleft palate with cleft lip
2520A,69,0.01726%,HYPERPARATHYREOIDISMUS,Hyperparathyroidism
2920A,69,0.01726%,SYMPTOMATA ABSTINENTIA EX USU MEDICAMENTORUM,Drug withdrawal
4131X,69,0.01726%,"ANGINA PECTORIS INVERSA ,MÄÄRITTELEMÄT",Prinzmetal angina
4360A,69,0.01726%,MORBUS CEREBROVASCULARIS ACUTUS NON DEFINITUS,"Acute, but ill-defined, cerebrovascular disease"
4871A,69,0.01726%,INFLUENZA CUM SYMPTOMATE RESPIRATORIO ALIO,Influenza with other respiratory manifestations
4919X,69,0.01726%,BRONCHITIS CHRONICA NUD,Unspecified chronic bronchitis
5509C,69,0.01726%,"HERNIA INGUINALIS SINE GANGR/OBSTR,COMBINATA","Inguinal hernia, without mention of obstruction or gangrene"
6450A,69,0.01726%,GRAVIDITAS PROLONGATA ANTE PARTUM,Late pregnancy
6653B,69,0.01726%,RUPTURA CERVICIS UTERI IN PARTUM,Obstetrical laceration of cervix
6661X,69,0.01726%,HAEMORRHAGIA POST PARTUM ACUTA ALIA,Other immediate postpartum hemorrhage
7151H,69,0.01726%,"OSTEOARTHROSIS PRIMARIA, JALKATERÄ","Osteoarthrosis, localized, primary"
7823A,69,0.01726%,OEDEMA,Edema
9050A,69,0.01726%,SEQUELAE FRACTURAE CRANII ET OSSIUM FACIEI,Late effect of fracture of skull and face bones
3548X,68,0.01701%,MUU YLÄRAAJAN MONONEUROPATIA,Other mononeuritis of upper limb
5241A,68,0.01701%,GNATHOANOMALIAE AD BASIM CRANII,Anomalies of relationship of jaw to cranial base
5965F,68,0.01701%,ALIA INCONTINENTIA URINAE DEFINITA,Other functional disorders of bladder
6140B,68,0.01701%,S-O-ITIS ACUTA CUM IUD,Acute salpingitis and oophoritis
7151A,68,0.01701%,"OSTEOARTHROSIS PRIMARIA, OLKANIVEL","Osteoarthrosis, localized, primary"
7850A,68,0.01701%,TACHYCARDIA NUD,"Tachycardia, unspecified"
3079X,67,0.01676%,SYNDROMA PSYCHOGENICA ALIA DEFINITA,"Other and unspecified special symptoms or syndromes, not elsewhere classified"
3314A,67,0.01676%,HYDROCEPHALUS OBSTRUCTIVUS,Obstructive hydrocephalus
3808A,67,0.01676%,EXOSTOSIS MEATUS ACUSTICI EXTERNI,Other disorders of external ear
4259X,67,0.01676%,CARDIOMYOPATHIA NUD,"Secondary cardiomyopathy, unspecified"
7058C,67,0.01676%,HIDRADENITIS SUPPURATIVA,Other specified disorders of sweat glands
7102B,67,0.01676%,SYNDROMA SICCUM SECUNDARIUM,Sicca syndrome
7851A,67,0.01676%,PALPITATIO,Palpitations
9663A,67,0.01676%,MYRKYTYS:KARBAMATSEPIINI,Poisoning by other and unspecified anticonvulsants
V240A,67,0.01676%,LAPSIVUOTEUDEN SEURANTA,Postpartum care and examination immediately after delivery
0384B,66,0.01651%,SEPTICHAEMIA E. COLI,Septicemia due to other gram-negative organisms
2015X,66,0.01651%,"MORBUS HODGKIN, NODULAR SCLEROSIS, NUD","Hodgkin's disease, nodular sclerosis"
2900A,66,0.01651%,DEMENTIA SENILIS ET PRAESENILIS,"Senile dementia, uncomplicated"
2951A,66,0.01651%,"HEBEFREENISTYYPPINEN SKITSOFRENIA,TARKEMMIN MÄÄRITT",Disorganized type schizophrenia
3792A,66,0.01651%,MORBI CORPORIS VITREI,Disorders of vitreous body
3811A,66,0.01651%,OTITIS MEDIA SEROSA,Chronic serous otitis media
4414A,66,0.01651%,ANEURYSMA AORTAE ABDOMINALIS NON RUPTURATA,Abdominal aneurysm without mention of rupture
9051A,66,0.01651%,SEQUELAE FRACTURAE COLUMNAE VERTEBRALIS/TRUNCI,Late effect of fracture of spine and trunk without mention of spinal cord lesion
2250A,65,0.01626%,"NEOPLASMA BEN CEREBRI, CEREBELLI ET TRUNCI CEREBRI",Benign neoplasm of brain
4241C,65,0.01626%,INSUFFICIENTIA/STENOSIS VALVULAE AORTAE (NON RHEUM),Aortic valve disorders
4781A,65,0.01626%,MORBUS CAVI NASI ET SINUS ALIA DEFINITA,Other diseases of nasal cavity and sinuses
5272A,65,0.01626%,SIALOADENITIS,Sialoadenitis
6049X,65,0.01626%,ORCHITIS NUD,"Other orchitis, epididymitis, and epididymo-orchitis, without mention of abscess"
7166A,65,0.01626%,MONOARTHRITIS NUD,Unspecified monoarthritis
8110A,65,0.01626%,FRACTURA SCAPULAE NON COMPLICATA,Closed fracture of scapula
8820A,65,0.01626%,"VULNUS MANUS, DIGITO EXCEPTO NON COMPLICATUM","Open wound of hand except finger(s) alone, without mention of complication"
0110A,64,0.01601%,"TUBERCULOSIS PULMONUM INFILTRATIVA, BAKTER.VARMA","Tuberculosis of lung, infiltrative"
0781A,64,0.01601%,VERRUCA VULGARIS,Viral warts
2398X,64,0.01601%,NEOPLASMA NON DEFINITUM LOCO ALIO DEFINITO,Neoplasm of unspecified nature of other specified sites
2860A,64,0.01601%,HAEMOPHILIA A,Congenital factor VIII disorder
3002D,64,0.01601%,SOSIAALISTEN TILANTEIDEN PELKO,Phobic disorders
3076C,64,0.01601%,YÖ- JA PÄIVÄKASTELU,Enuresis
5180A,64,0.01601%,ATELECTASIS PULMONUM,Pulmonary collapse
5649X,64,0.01601%,"SUOLISTON TOIMINTAHÄIRIÖ,NUD",Unspecified functional disorder of intestine
5761C,64,0.01601%,CHOLANGITIS SCLEROSIVA,Cholangitis
6423B,64,0.01601%,"HYPERTENSIO GRAVIDARUM, SYNNYTYKSEN AIKANA",Transient hypertension of pregnancy
7088A,64,0.01601%,URTICARIA CHRONICA NUD,Other specified urticaria
7110F,64,0.01601%,"ARTHRITIS PURULENTA, POLVI",Pyogenic arthritis
7175A,64,0.01601%,LAESIO MENISCORUM ALIA,"Derangement of meniscus, not elsewhere classified"
7471A,64,0.01601%,COARCTATIO AORTAE,Coarctation of aorta
8212A,64,0.01601%,"FRACT CONDYLI FEMORIS LATERALIS/MEDIALIS,NON COMPLI","Fracture of lower end of femur, closed"
8910A,64,0.01601%,"VULNUS GENUS, CRURIS ET MALLEOLARIS NON COMPLICATUM","Open wound of knee, leg [except thigh], and ankle, without mention of complication"
1741A,63,0.01576%,"RINTASYÖPÄ,KESKIOSA",Malignant neoplasm of central portion of female breast
2331A,63,0.01576%,CARCINOMA IN SITU CERVICIS UTERI,Carcinoma in situ of cervix uteri
2506A,63,0.01576%,"MICROANGIOPATHIA DIABETICA,TYYPPI II",Diabetes with neurological manifestations
2722A,63,0.01576%,HYPERLIPOIDAEMIA COMBINATA (KH),Mixed hyperlipidemia
4830A,63,0.01576%,PNEUMONIA E MYCOPLASMA PNEUMONIAE,Pneumonia due to mycoplasma pneumoniae
5150X,63,0.01576%,FIBROSIS PULMONUM E CAUSA IGNOTA,Postinflammatory pulmonary fibrosis
5301X,63,0.01576%,OESOPHAGITIS NUD,Esophagitis
5368A,63,0.01576%,DYSPEPSIA,Dyspepsia and other specified disorders of function of stomach
6228X,63,0.01576%,MORBI NONINFECTIOSI CERVICIS UTERI ALIA DEFINITA,Other specified noninflammatory disorders of cervix
7232A,63,0.01576%,SYNDROMA CERVICOCRANIALE,Cervicocranial syndrome
2535A,62,0.01551%,DIABETES INSIPIDUS,Diabetes insipidus
3450A,62,0.01551%,EPILEPSIA GENERALISATA NONCONVULSIVA,Generalized nonconvulsive epilepsy
6114A,62,0.01551%,ATROPHIA MAMMAE,Atrophy of breast
7109X,62,0.01551%,MORBUS TELAE CONJUNCTIVAE DIFFUSA NUD,Unspecified diffuse connective tissue disease
7820X,62,0.01551%,PARAESTHESIA,Disturbance of skin sensation
8320A,62,0.01551%,"LUXATIO RADII ET ULNAE CUBITI, NON COMPLICATA",Closed dislocation of elbow
2377A,61,0.01526%,NEUROFIBROMATOSIS (VON RECKLINGHAUSEN),Neurofibromatosis
3950A,61,0.01526%,STENOSIS AORTAE RHEUMATICA,Rheumatic aortic stenosis
7246A,61,0.01526%,MORBI ARTICULI SACROILIACALIS NONINFLAMMATORII,Disorders of sacrum
7321A,61,0.01526%,COXA PLANA (LEGG-CALVô-PERTHES),Juvenile osteochondrosis of hip and pelvis
7340A,61,0.01526%,PES PLANUS,Flat foot
7526B,61,0.01526%,HYPOSPADIA,Hypospadias and epispadias and other penile anomalies
9657A,61,0.01526%,MYRKYTYS:MUUT ANTIPYREETTISET ANALGEETIT,Poisoning by other non-narcotic analgesics
1743A,60,0.01501%,"RINTASYÖPÄ,ALAKESKINELJÄNNES",Malignant neoplasm of lower-inner quadrant of female breast
1889X,60,0.01501%,NEOPLASMA MALIGNUM VESICAE URINARIAE NUD,"Malignant neoplasm of bladder, part unspecified"
3001A,60,0.01501%,KONVERSIOHÄIRIÖ,"Dissociative, conversion and factitious disorders"
3700A,60,0.01501%,"ULCUS CORNAE (MARGINALE, SERPENS, PERFORANS)",Corneal ulcer
4510A,60,0.01501%,PHLEBITIS/THROMBOPHLEB. SUPERFICIALIS EXTREM. INFER,Phlebitis and thrombophlebitis of superficial vessels of lower extremities
6598A,60,0.01501%,"INDICATIONES INTERVENTIONUM ALIAE,RASKAUDEN AIKANA",Other specified indications for care or intervention related to labor and delivery
7143X,60,0.01501%,POLYARTHRITIS JUVENILIS NUD,Juvenile chronic polyarthritis
7580A,60,0.01501%,TRISOMIA 21 (SYNDROMA DOWN),Down's syndrome
9651A,60,0.01501%,MYRKYTYS:SALISYLAATIT,Poisoning by salicylates
V400A,60,0.01501%,MIELENTERVEYDEN TAI KÄYTTÄYTYMISEN ONGELMA,Mental and behavioral problems with learning
2964E,59,0.01476%,"PSYCH BIPOLAR CIRCULARIS,VAIKEA-ASTE,PSYKOOT PIIRT","Bipolar I disorder, most recent episode (or current) manic"
3338X,59,0.01476%,DYSKINESIA ALIA,Fragments of torsion dystonia
3468X,59,0.01476%,MIGREENI ALIA DEFINITA,Other forms of migraine
3570A,59,0.01476%,POLYNEUROPATHIA INFLAMMATORIA ACUTA,Acute infective polyneuritis
3680A,59,0.01476%,AMBLYOPIA EX ANOPSIA,Amblyopia ex anopsia
4111B,59,0.01476%,"PITKITTYNYT ANGINA PECTORIS -KOHTAUS,AHTAUTUNUT",Intermediate coronary syndrome
5719X,59,0.01476%,MORBI HEPATIS NONALCOHOLICI ALII SEU NUD,Unspecified chronic liver disease without mention of alcohol
6216A,59,0.01476%,MALPOSITIO UTERI,Malposition of uterus
7108X,59,0.01476%,MORBUS TELAE CONJUNCTIVAE DIFFUSA ALIA,Other specified diffuse diseases of connective tissue
7143A,59,0.01476%,MB STILL,Juvenile chronic polyarthritis
7532A,59,0.01476%,OBSTRUCTIO CONGENIT PELVICIS RENALIS ET URETERIS,"Obstructive defects of renal pelvis and ureter, congenital"
7756A,59,0.01476%,HYPOGLYCAEMIA NEONATORUM,Neonatal hypoglycemia
8510A,59,0.01476%,"CONTUSIO CEREBRI NON COMP,EI TIETOA TAJUTTOMUUDESTA",Cortex (cerebral) contusion without mention of open intracranial wound
9228X,59,0.01476%,CONTUSIO TRUNCI LOCO MULTIPLICI,Contusion of multiple sites of trunk
V251A,59,0.01476%,KOHDUNSISÄINEN RASKAUDEN EHKÄISY,Encounter for insertion or removal of intrauterine contraceptive device
2050A,58,0.01451%,LEUCHAEMIA MYELOIDES ACUTA,"Myeloid leukemia, acute"
2503A,58,0.01451%,"SOKERITAUDIN AIHEUTTAMA MUNUAISSAIRAUS,TYYPPI II",Diabetes with other coma
2720A,58,0.01451%,HYPERCHOLESTEROLAEMIA FAMILIARIS (FHK),Pure hypercholesterolemia
3043A,58,0.01451%,KANNABISRIIPPUVUUS,Cannabis dependence
3716A,58,0.01451%,KERATOCONUS,Keratoconus
4039A,58,0.01451%,MORBUS RENALIS HYPERTONICUS,"Hypertensive renal disease, unspecified"
4911A,58,0.01451%,BRONCHITIS CHRONICA MUCOPURULENTA,Mucopurulent chronic bronchitis
6523B,58,0.01451%,"SITUS TRANSVERSUS ET OBLIQUUS,SYNNYTYKSEN AIKANA",Transverse or oblique presentation of fetus
7061A,58,0.01451%,ACNE VULGARIS,Other acne
7189F,58,0.01451%,"MB ARTICULI, LIGAM ET CARTILAG NUD,POLVI",Unspecified derangement of joint
7338A,58,0.01451%,SANATIO INCOMPLETA POST FRACTURAM,Malunion and nonunion of fracture
8600A,58,0.01451%,PNEUMOTHORAX TRAUMATICUS NON COMPLICATUS,Traumatic pneumothorax without mention of open wound into thorax
2409X,57,0.01426%,STRUMA NUD,"Goiter, unspecified"
2440A,57,0.01426%,HYPOTHYREOSIS POSTOPERATIVA,Postsurgical hypothyroidism
2530A,57,0.01426%,ACROMEGALIA,Acromegaly and gigantism
3591A,57,0.01426%,DYSTROPHIA MUSCULORUM PROGRESSIVA HEREDITARIA,Hereditary progressive muscular dystrophy
4311A,57,0.01426%,HAEMORRHAGIA INTRACEREBRALIS HYPERTONIA NON INDICAT,Intracerebral hemorrhage
6088X,57,0.01426%,ALII MORBI GENITALIUM VIRI,Other specified disorders of male genital organs
6840A,57,0.01426%,IMPETIGO CONTAGIOSA,Impetigo
6931A,57,0.01426%,DERMATITIS EX ALIMENTIS (INTERNA),Dermatitis due to food taken internally
7324B,57,0.01426%,OSTEOCHONDROSIS JUVENILIS TUBEROSITATIS TIBIAE,"Juvenile osteochondrosis of lower extremity, excluding foot"
7436A,57,0.01426%,DACRYOSTENOSIS CONGENITA,"Congenital anomalies of eyelids, lacrimal system, and orbit"
0705A,56,0.01401%,"HEPATITIS NON A, NON B SINE COMATE HEPATICO",Other specified viral hepatitis without mention of hepatic coma
3720A,56,0.01401%,CONJUNCTIVITIS ACUTA,Acute conjunctivitis
4349A,56,0.01401%,OCCL/STENOS ARTER.CEREBRALES NUD CUM INFARCTU CEREB,"Cerebral artery occlusion, unspecified"
4828X,56,0.01401%,PNEUMONIA BACTERICA ALIA DEFINITA,Pneumonia due to other specified bacteria
5280A,56,0.01401%,STOMATITIS,Stomatitis and mucositis (ulcerative)
5584A,56,0.01401%,LÄÄKKEEN AIHEUTTAMA SUOLISAIRAUS,Eosinophilic gastroenteritis and colitis
5745B,56,0.01401%,"CHOLEDOCHOLITHIASIS SINE CHOLECYSTITIDE,CUM OBSTR",Calculus of bile duct without mention of cholecystitis
6011A,56,0.01401%,PROSTATITIS CHRONICA,Chronic prostatitis
6186A,56,0.01401%,ENTEROCELE VAGINALIS,"Vaginal enterocele, congenital or acquired"
6566A,56,0.01401%,"SIK YLIPAIN RASK KESTOON NÄHDEN, RASKAUDEN AIKANA",Excessive fetal growth affecting management of mother
6612B,56,0.01401%,INERTIA UTERI ALIA SEU NUD,Other and unspecified uterine inertia
6729X,56,0.01401%,FEBRIS IN PUERPERIO E CAUSA IGNOTA,Pyrexia of unknown origin during the puerperium
7192F,56,0.01401%,"SYNOVITIS VILLONODULARIS, POLVI",Villonodular synovitis
7452A,56,0.01401%,TETRALOGIA FALLOT,Tetralogy of fallot
7454B,56,0.01401%,DEFECTUS SEPTI VENTRICULORUM SIMPLEX,Ventricular septal defect
7545C,56,0.01401%,METATARSUS PRIMUS VARUS CONGENITUS,"Varus deformities of feet, congenital"
2956A,55,0.01376%,"RESIDUAALINEN SKITSOFRENIA,TARKEMMIN MÄÄRITTELEMÄTÖ",Residual type schizophrenic disorders
4209X,55,0.01376%,PERICARDITIS ALIA DEFINITA SEU NUD,Other and unspecified acute pericarditis
5932A,55,0.01376%,CYSTA RENIS,"Cyst of kidney, acquired"
6038X,55,0.01376%,HYDROCELE ALIA DEFINITA,Other specified types of hydrocele
6342A,55,0.01376%,ABORTUS SPONTANEUS CUM INFECTIONE,Spontaneous abortion complicated by damage to pelvic organs or tissues
7178E,55,0.01376%,PLICA SYNOVIALIS,Other internal derangement of knee
7276C,55,0.01376%,RUPTURA NONTRAUM TEND FLEX MANUS ET CARPI,"Rupture of tendon, nontraumatic"
7327X,55,0.01376%,OSTEOCHONDRITIS DISSECANS ALIA LOCO DEFINITO,Osteochondritis dissecans
7533X,55,0.01376%,MALEFORMATIONES ALIAE RENIS,Other specified anomalies of kidney
7564A,55,0.01376%,OSTEOCHONDRODYSPLASIA,Chondrodystrophy
9072A,55,0.01376%,SEQUELAE LAESIONUM MEDULLAE SPINALIS,Late effect of spinal cord injury
0310A,54,0.01351%,MORBI MYCOBACTERICI ALII PULMONUM,Pulmonary diseases due to other mycobacteria
0539X,54,0.01351%,HERPES ZOSTER SINE COMPLICATIONE,Herpes zoster without mention of complication
2120A,54,0.01351%,"NEOPLASMA BENIGNUM CAVI NASI, AUR MED ET SIN ACCES","Benign neoplasm of nasal cavities, middle ear, and accessory sinuses"
3150A,54,0.01351%,LUKEMISEN  ERITYISVAIKEUS,Developmental reading disorder
3313A,54,0.01351%,HYDROCEPHALUS COMMUNICANS,Communicating hydrocephalus
3868X,54,0.01351%,VERTIGO OTOGENEA ALIA DEFINITA,Other disorders of labyrinth
5356X,54,0.01351%,DUODENITIS NUD,Duodenitis
5559X,54,0.01351%,MORBUS CROHN NUD,Regional enteritis of unspecified site
5770C,54,0.01351%,PANCREATITIS ACUTA NONALCOHOLICA RECIDIVANS,Acute pancreatitis
6564B,54,0.01351%,"MORS FOETALIS INTRAUTERINA, SYNNYTYKSEN AIKANA",Intrauterine death affecting management of mother
6640B,54,0.01351%,LACERATIO PERINEALIS GRADUS I IN PARTU,First-degree perineal laceration during delivery
7070A,54,0.01351%,ULCUS DECUBITUS,Pressure ulcer
7293A,54,0.01351%,LIPOSYNOVITIS INFRAPATELLARIS (MORBUS HOFFA),"Panniculitis, unspecified"
7834D,54,0.01351%,LAPSEN NORMAALIN KEHITTYMISEN HIDASTUMINEN,Lack of expected normal physiological development in childhood
7884A,54,0.01351%,POLLAKISURIA,Frequency of urination and polyuria
