Id_FIN	Abbreviation_FIN	Short name_FIN	Long name_FIN	shortTitle_ENG	ICD-10_FIN	icd10_ENG	Ensisijainen ICD-10_FIN	Parent code_FIN	Hierarchy level_FIN	Alakomponentti (icpc)_FIN	Harkitse (icpc)_FIN	Huom._FIN	Komponentti (icpc)_FIN	Kriteerit (icpc)_FIN	Lehtisolmu_FIN	Mukaan lukien_FIN	Pois lukien_FIN	Subkomponent (icpc)_FIN	Code_ENG	preferred_ENG	inclusion_ENG	exclusion_ENG	criteria_ENG	consider_ENG	note_ENG	ICPC2_mapping	ICPC_version
H	Korva	Korva	Korva	Ear					0						F				H	Ear						H	2
H01	Korvan kipu/särky	Korvan kipu/särky	Korvan kipu/särky	Ear pain/earache	H92.0	H92.0	H92.0	H	1				1 Oireet ja vaivat		T				H01	Ear pain/earache						H01	2
H02	Kuulo-oire	Kuulo-oire	Kuulo-oire	Hearing complaint	H93.2	H93.2	H93.2	H	1				1 Oireet ja vaivat		T	kahtena kuuleminen./kuulon erottamishäiriö./liikaherkkäkuuloisuus./tunne kuulon alenemasta	yhden korvan kuurous H28./ molempien korvien kuurous H29		H02	Hearing complaint	auditory discrimination disorder; diplacusis and feeling of hearing loss; hyperacusis	deafness both ears H86; deafness one ear H86				H02	2
H03	Korvien soiminen / tinnitus	Korvien soiminen / tinnitus	Korvien soiminen / tinnitus	Tinnitus, ringing/buzzing ear	H93.1	H93.1	H93.1	H	1				1 Oireet ja vaivat		T	korvien kaikuminen	korvien ritinä H29		H03	Tinnitus, ringing/buzzing ear	echo in ear	ears crackling/popping H29				H03	2
H04	Erite korvasta	Erite korvasta	Erite korvasta	Ear discharge	H92.1	H92.1	H92.1	H	1				1 Oireet ja vaivat		T		verta korvassa/korvasta H05		H04	Ear discharge		blood in/from ear H05				H04	2
H05	Verenvuoto korvassa/korvasta	Verenvuoto korvassa/korvasta	Verenvuoto korvassa/korvasta	Bleeding ear	H92.2	H92.2	H92.2	H	1				1 Oireet ja vaivat		T	verta korvassa/korvasta			H05	Bleeding ear	blood in/from ear					H05	2
H13	Korvan tukkoisuus	Korvan tukkoisuus	Korvan tukkoisuus	Plugged feeling ear	H93.8	H93.8	H93.8	H	1				1 Oireet ja vaivat		T	korvan lukkoisuus	ylimääräinen korvavaikku H81		H13	Plugged feeling ear	blocked ear	excessive ear wax H81				H13	2
H15	Huoli korvien ulkonäöstä	Huoli korvien ulkonäöstä	Huoli korvien ulkonäöstä	Concern with appearance of ears	R46.8	R46.8	R46.8	H	1				1 Oireet ja vaivat		T		hörökorvat / synnynnäinen korvan epämuodostuma H80		H15	Concern with appearance of ears		bat ears/congenital anomaly ear H80				H15	2
H27	Huoli/pelko korvataudista	Huoli/pelko korvataudista	Huoli/pelko korvataudista	Fear of ear disease	Z71.1	Z71.1	Z71.1	H	1				1 Oireet ja vaivat	potilaan huoli/pelko korvan sairaudesta tai kuuroudesta ilman/ennen varmistettua diagnoosia	T	kuuroutumisen pelko	jos potilaalla on sairaus, luokittele se		H27	Fear of ear disease	fear of deafness	in a patient with the disease, code the disease	concern about/fear of ear disease/deafness in a patient without the disease/until the diagnosis is proven			H27	2
H28	Toiminnanvajaus, korvan	Toiminnanvajaus, korvan	Toiminnanvajaus, korvan	Limited function/disability (H)	Z73.6	Z73.6	Z73.6	H	1			Ks. COOP/Wonca-taulukot toimintakyvyn kuvaamisessa (luku 8) kirjassa ICPC-2 Perusterveydenhuollon kansainvälinen luokitus (Kuntaliitto 2010)	1 Oireet ja vaivat	korvaan/kuulon ongelmaan liittyvä toiminnanvajaus tai toiminnan rajoittuneisuus	T	tilapäinen kuurous./yhden korvan kuurous	ikähuonokuuloisuus H84./ meluvamma H85./ kuurous H86./ huimaus N17		H28	Limited function/disability (H)	temporary deafness	presbyacusis H84; acoustic trauma H85; deafness H86; dizziness/vertigo N17	limitation of function/disability due to a problem with ear/hearing		The COOP/WONCA Charts are suitable for documenting the patient's functional status (see Chapter 8).	H28	2
H29	Muu korvan oire/vaiva	Muu korvan oire/vaiva	Muu korvan oire/vaiva	Ear symptom/complaint other	H93.8,H93.9	H93.8; H93.9	H93.9	H	1				1 Oireet ja vaivat		T	korvien kutina/poksahtelu/rasahtelu./paineen tunne korvissa	huimaus/tasapainohäiriö N17		H29	Ear symptom/complaint other	ears crackling/popping; itchy ears; pulling at ears	dizziness/loss of balance/vertigo N17				H29	2
H30	Korva, Laaja tutkimus/arviointi	Korva, Laaja tutkimus/arviointi	Korva, Laaja terveydentilan arviointi/tarkastus	Ear, Medical examin/health eval complete				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H30	Ear, Medical examination/health evaluation complete	complete examination of one body system or the whole body; complete check-up; well-baby exam; school health care exam for children/youth					H30	2
H31	Korva, Suppea tutkimus/arviointi	Korva, Suppea tutkimus/arviointi	Korva, Suppea terveydentilan arviointi/tarkastus	Ear, Medical examin/health eval partial				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H31	Ear, Medical examination/health evaluation partial	an examination focussed on a specific part of a body system; clinical screening of single health problems, e.g. heart auscultation or blood pressure measurement K31; or body temperature measurement A31					H31	2
H32	Korva, Allergiatutkimus	Korva, Allergiatutkimus	Korva, Allergiatutkimus	Ear, Sensitivity test				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H32	Ear, Sensitivity test	skin prick-test; patch test; Mantoux test; radioallergosorbent test (RAST) test; food challenge; methacholine challenge test	desensitisation -44	tests to detect/exclude allergy	blood test-34		H32	2
H33	Korva, Mikrobiol./immun.koe	Korva, Mikrobiol./immun.koe	Korva, Mikrobiologinen/immunologinen koe	Ear, Microbiological/immunological test				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H33	Ear, Microbiological/immunological test	blood culture; microbiological test of blood; microbiological test of faeces; microbiological test of sputum; microbiological test of throat swab; microbiological test of vaginal swab; antigen or antibody testing e.g. testing for human immunodeficiency virus, human papilloma virus or Hepatitis B; antibody titer	Mantoux test -32; blood group and type -34; semen analysis -38	test relating to bacteria, virus or other micro-organisms	blood test -34; urine test -35; faeces test -36; histological or exfoliative cytology -37;  biopsy of organ/skin -52	Laboratory analyses are classified according to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37.	H33	2
H34	Korva, Veritutkimus	Korva, Veritutkimus	Korva, Veritutkimus	Ear, Blood test				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H34	Ear, Blood test	blood group and type; erythrocyte sedimentation rate (ESR); white blood cell count (WBC); basic metabolic panel; blood hormone level; blood enzyme level; blood drug level; blood alcohol level; C-reactive protein (CRP); prothrombin time (INR); D-dimer; arterial blood gases; calculation of creatinine clearance; blood pregnancy test	radioallergosorbent test (RAST) -32; microbiological/immunological test -33; measurement of creatinine clearance -35; albumin:creatinine ratio -35	a laboratory analysis performed on a blood sample	microbiological/immunological test -33	Laboratory analyses are classified according to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33.	H34	2
H35	Korva, Virtsatutkimus	Korva, Virtsatutkimus	Korva, Virtsatutkimus	Ear, Urine test				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H35	Ear, Urine test	urine strip test; test for drugs in urine; urine pregnancy test; measurement of albumin: creatinine ratio	microscopic examination of urine -37; blood pregnancy test -34; calculation of creatinine clearance -34	a laboratory analysis performed on a urine sample	microbiological/immunological test -33	Laboratory analyses are classified according to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37. 	H35	2
H36	Korva, Ulostetutkimus	Korva, Ulostetutkimus	Korva, Ulostetutkimus	Ear, Faeces test				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H36	Ear, Faeces test	stool ova/cyst/parasites test; test for occult blood	microbiological culture of faeces -33	a laboratory analysis performed on a faeces sample with the exception of microbiological tests		Laboratory analyses are classified according to the substrate/substance in which the test is done, whereas microbiological/immunological tests belong to -33 and histological/exfoliative cytology tests to -37.	H36	2
H37	Korva, Histol./sytol. tutk.	Korva, Histol./sytol. tutk.	Korva, Histologinen/sytologinen tutkimus	Ear, Histological/exfoliative cytology				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H37	Ear, Histological/exfoliative cytology	histological or cytological examination of tissue or fluid retrieved by puncture/biopsy/excision/swabbing/collection; urine cytology; sputum analysis; semen analysis	microbiological test -33; skin scrapings -33	histological or cytological examination of cells collected from the body as a means of detecting cellular changes			H37	2
H38	Korva, Muu lab.tutkimus	Korva, Muu lab.tutkimus	Korva, Muu laboratoriotutkimus	Ear, Other laboratory test NEC				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H38	Ear, Other laboratory test NEC	antenatal chromosome screening; DNA/genetic/chromosome test; paternity test; sweat test; tear drop test; Helicobacter pylori breath test; any other laboratory test not included in the rubrics -32 to -37	exercise tests using imaging -41; electrical tracing -42; Holter monitoring -42				H38	2
H39	Korva, Kliin. toimintakoe	Korva, Kliin. toimintakoe	Korva, Kliininen toimintakoe	Ear, Physical function test				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H39	Ear, Physical function test	tympanometry; audiometry; tonometry; vision test; visual field; colour vision; calorimetric/vestibular function test; spirometry; urinary flowmetry	exercise test using imaging -41; exercise test using electrical tracing -42; Holter monitoring -42; mental function test -43	quantitative test to measure capacity of body functions excluding the mental state 			H39	2
H40	Korva, Diagn. endoskopia	Korva, Diagn. endoskopia	Korva, Diagnostinen endoskopia	Ear, Diagnostic endoscopy				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H40	Ear, Diagnostic endoscopy	rhinoscopy; pharyngoscopy; laryngoscopy; tracheoscopy; bronchoscopy; mediastinoscopy; hysteroscopy; colposcopy; laparoscopy; gastroscopy; colonoscopy; sigmoidoscopy; rectoscopy; anoscopy; arthroscopy	ophtalmoscopy -43; fundoscopy -43; dermoscopy -43	looking inside the body for medical reasons using an endoscope, an instrument used to examine the interior of a hollow organ or cavity of the body			H40	2
H41	Korva, Diagn. Kuvantaminen	Korva, Diagn. Kuvantaminen	Korva, Diagnostinen kuvantaminen	Ear, Diagnostic radiology/imaging				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H41	Ear, Diagnostic radiology/imaging	x-ray/ultrasound imaging; computed tomography (CT); nuclear medicine; positron emission tomography (PET); magnetic resonance imaging (MRI); angiography; bone/thyroid/heart scintigraphy; isotope scanning; thermography	radiotherapy -59	taking images of anatomic structures through the use of electromagnetic radiation or sound waves			H41	2
H42	Korva, Elektrofys. tutk.	Korva, Elektrofys. tutk.	Korva, Elektrofysiologinen tutkimus	Ear, Electrical tracing				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H42	Ear, Electrical tracing	electrocardiogram; exercise electrocardiogram; Holter monitoring; electromyogram (EMG); electroencephalogram (EEG); electronystagmography (ENG)		a test used to measure the electrical activity of an organ (e.g. heart, nerve, brain, muscle)			H42	2
H43	Korva, Muu tutkimus	Korva, Muu tutkimus	Korva, Muu tutkimustoimenpide	Ear, Other diagnostic procedure				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H43	Ear, Other diagnostic procedure	ophtalmoscopy; dermatoscopy; diagnostic laparotomy; dementia test; intelligence test; depression test; anxiety test; skin photo		a skin photo is a photography/video recording for diagnostic purpose			H43	2
H44	Korva, Rokotus / enn.ehk.lääk.	Korva, Rokotus / enn.ehk.lääk.	Korva, Rokotus / ennaltaehkäisevä lääkitys	Ear, Preventive immunization/medic				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H44	Ear, Preventive immunization/medication	active/passive immunization; prophylactic treatment with drugs e.g. malaria prophylaxis; desensitisation		immunization/desensitisation/preventive medication used to avoid conditions/reactions, not present at the time of prescribing	-50 medication; contraceptive medication W11. If contraceptive medication is prescribed for medical reasons, use the code for medication -50.	If the patient has a condition (e.g. hypertension), use the code for medication -50.  	H44	2
H45	Korva, Seuranta/neuvonta	Korva, Seuranta/neuvonta	Korva, Seuranta/terveysneuvonta/ruokavalioneuvonta	Ear, Observ/health educat/advice/diet				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H45	Ear, Observation/health education/advice/diet	advice on healthy behaviour; prevention of health problems; advice on pregnancy and family planning; advice on regarding the use of health services; advice on regarding occupational health/social problems; watchful waiting	therapeutic counselling/listening  -58	prevention of health problems and advice on healthy behaviour			H45	2
H46	Korva, Pth konsultaatio	Korva, Pth konsultaatio	Korva, Perusterveydenhuollon asiantuntijan konsultaatio	Ear, Consultation primary care provider				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H46	Ear, Consultation with primary care provider	telemedicine consultation with primary care provider	consultation with specialist -47; referral to another provider -66; referral to physician/specialist/clinic/hospital -67; other referral -68	consultation with another primary care provider, regardless whether the patient is present or not		Treatment responsibility remains at the original primary care provider.	H46	2
H47	Korva, Esh konsultaatio	Korva, Esh konsultaatio	Korva, Erikoislääkärin konsultaatio	Ear, Consultation with specialist				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H47	Ear, Consultation with specialist	telemedicine consultation with specialist	consultation with primary care provider -46; referral to another provider -66; referral to physician/specialist/clinic/hospital -67; other referral -68	consultation with a specialist, regardless whether the patient is present or not		Treatment responsibility remains at the original primary care provider.	H47	2
H48	Korva, Pot. tarpeiden selvitt.	Korva, Pot. tarpeiden selvitt.	Korva, Potilaan tarpeiden/tulosyyn selvittäminen	Ear, Clarification/discussion RFE/demand				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H48	Ear, Clarification/discussion of patient's RFE/demand	discussion about the need of screening tests		dialogue between the primary health care provider and the patient about the patient’s reason for encounter or demand, and their mutual assessment of opportunities for screening/treatment/other interventions	Observation/health education/advice/diet -45		H48	2
H49	Korva, Muu ennaltaehk. tmp	Korva, Muu ennaltaehk. tmp	Korva, Muu ennaltaehkäisevä toimenpide	Ear, Other preventive procedure				H	1				2 Diagnostiset ja ennaltaehkäisevät toimenpiteet		T				H49	Ear, Other preventive procedure	assessment of health conditions and environmental risks	complete check-up/well-baby exam -30; screening of single health problems/check-up for patient with specific chronic disease(s) -31, medication/prescription/renewal/injection -50				H49	2
H50	Korva, Lääkitys	Korva, Lääkitys	Korva, Lääkitys/lääkemääräys/uusinta/injektio	Ear, Medication/prescr/renewal				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H50	Ear, Medication/prescription/renewal	prescribing of medication; prescribing of an injectable drug; renewal of medication; administration of medication	preventive immunization/medication -44; venesection -51; injection of medication with local effect -55; acupuncture -59			Clarify what drug is meant.	H50	2
H51	Korva, Aukaisu/kanylointi/huuht.	Korva, Aukaisu/kanylointi/huuht.	Korva, Aukaisu/kanylointi/huuhtelu/imu/nesteenpoisto	Ear, I&d/flush/aspiration 				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H51	Ear, Incision/drainage/flushing/aspiration/removal body fluid 	incision of abscess; puncture/aspiration of hematoma; puncture/aspiration of sinus; puncture/aspiration of the urinary bladder; puncture/aspiration of joint; puncture/aspiration of cyst; puncture/aspiration of bursa; puncture/aspiration of ganglion; puncture/aspiration of lungs; puncture/aspiration of stomach; venesection; ascitic fluid puncture; lumbar puncture; tympanostomy; paracentesis; thoracentesis; irrigation of ear/eye	blood test -34; urine test -35; amniocentesis -38; excision -52; catheterization -53; tympanostomy tube insertion/removal -53; enema -53; prosthetic device -54; acupuncture -59; removal of foreign body -59				H51	2
H52	Korva, Kudoksen poisto/poltto	Korva, Kudoksen poisto/poltto	Korva, Kudoksen poisto/poltto/tuhoaminen / koepalan otto / kudosjätteen poisto	Ear, Exc/remov/biopsy/destruc/debrid/caut				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H52	Ear, Excision/removal tissue/biopsy/destruction/debridement/cauterization	excision/removal tissue; biopsy of organ; biopsy of skin; excision/removal of nail; extraction of tooth; amputation; embolectomy; vein stripping; sterilisation; uterine curettage; skin curettage; nerve destruction; vein destruction; surgical debridement; mechanical debridement; chemical debridement; autolytic debridement; maggot therapy; burning cauterization; cold cauterization; chemical cauterization; electric cauterization; laser cauterization	cervical smear -37				H52	2
H53	Korva, Katetrointi/intub.	Korva, Katetrointi/intub.	Korva, Katetrointi/intubointi/laajentaminen	Ear, Instrument/catheter/intubate/dilate				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H53	Ear, Instrumentation/catheterization/intubation/dilation	endotracheal intubation; tracheotomy; tympanostomy tube insertion/removal; enema; catheterization; lacrimal dilatation; urethral dilatation; uterine cervical dilatation; artificial rupture of the amniotic membranes; intravenous cannulation	implantation of a hormone or long acting drug -54		incision/drainage/flushing/aspiration/removal body fluid -51		H53	2
H54	Korva, Ompelu/korjaus/kipsaus	Korva, Ompelu/korjaus/kipsaus	Korva, Ompelu/korjaus/kipsaus / proteesin asennus (tai poisto)	Ear, Repair/fix-suture/cast/prosth device				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H54	Ear, Repair/fixation-suture/cast/prosthetic device (apply/remove)	sutures/stitches; surgical glue; strip-plaster; strapping for sprains; treatment of luxation; treatment of fracture; orthopaedic prosthetic(s); brace(s); orthose(s); strapping; sling; hernia support; hearing aids and device(s); visual aids and device(s); technical aids and device(s); denture(s); implantation of a hormone or long acting drug; vaginal pessary/IUD; pacemaker; stent	amputation -52; removal of foreign body-59; blood transfusion -59; plastic surgery -59; transplantation -59			In this rubric is included also devices, which are not prosthetic devices. Insertion of IUD should not be used as a problem label, but only as a process code. The problem should be coded W12. The hormone stave implantation should not be used as a problem label, but only as a process code. The problem should be coded W14. Clarify what drug is meant.	H54	2
H55	Korva, Paikall. lääkeaineinjekt.	Korva, Paikall. lääkeaineinjekt.	Korva, Paikallinen lääkeaineinjektio	Ear, Local injection/infiltration				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H55	Ear, Local injection/infiltration	epidural injection; skin injection; subcutaneous tissue injection; intramuscular injection; intravenous injection; joint injection; bursa injection; tendon sheath injection; sclerosing injection for varices; nerve block	vaccination -55; injection with systemic effect -50; acupuncture -59; blood transfusion -59			Double code with -50, if medication is prescribed. Clarify what drug is meant.	H55	2
H56	Korva, Sidos/kompr./tampon.	Korva, Sidos/kompr./tampon.	Korva, Sidos/kompressi/tamponointi	Ear, Dressing/pressure/compress/tamponade				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H56	Ear, Dressing/pressure/compression/tamponade	application of an eye pad; support bandage; wound bandage	applying strip-plaster -54		repair/fixation-suture/cast/prosthetic device -54; referral to a nurse -66	Double code with -50, if medication is involved.	H56	2
H57	Korva, Fys.hoito/kuntoutus	Korva, Fys.hoito/kuntoutus	Korva, Fysikaalinen hoito / kuntoutus	Ear, Physical medicine/rehabilitation				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H57	Ear, Physical medicine/rehabilitation	chiropractic physiotherapy; ergotherapy; podiatry; strength; physical medicine; rehabilitation; fitness training; muscle exercise; speech therapy; specific disability rehabilitation; using heat/cold/ultrasound/electrical current for therapeutic purposes; electronic nerve stimulator; electronic muscle stimulator	psychosocial (drug or alcohol) rehabilitation -58; referral to other primary health care provider -66; referral to physician -67; referral for rehabilitation -68				H57	2
H58	Korva,  Terapeuttinen neuvonta	Korva,  Terapeuttinen neuvonta	Korva, Terapeuttinen neuvonta / kuuntelu	Ear, Therapeutic counselling/listening				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H58	Ear, Therapeutic counselling/listening	motivational interview; supportive psychotherapy; counselling for a specific disease	observation/health education/advice/diet -45	counselling/listening by the provider with a specific therapeutic aim for a patient to be able to cope with his/her disease, in a more comprehensive  fashion than simple advice	physical medicine/rehabilitation -57	Counselling: a term used to describe a process of consultation and discussion in which one individual (the counsellor) listens and offers guidance or advice to another who is experiencing difficulties (the patient). The counsellor does not direct or make decisions for the client. The general aim is to solve problems, increase awareness, and promote constructive exploration of difficulties so that the future may be approached more confidently and more constructively.	H58	2
H59	Korva, Muu hoitotoimenpide	Korva, Muu hoitotoimenpide	Korva, Muu hoitotoimenpide / muualla luokittelematon pikkukirurgia	Ear, Other therap proced/minor surg NEC				H	1				3 Lääkitys ja hoitotoimenpiteet		T				H59	Ear, Other therapeutic procedure/minor surgery NEC	cardiopulmonary resuscitation; oxygen therapy; acupuncture; removal of foreign body; blood transfusion; plastic surgery; transplantation; dialysis; delivery/ caesarean section/major surgery					H59	2
H60	Korva, Tulosten kuuleminen	Korva, Tulosten kuuleminen	Korva, Tutkimustulosten kuuleminen	Ear, Result test/procedure				H	1				4 Tulokset		T				H60	Ear, Result test/procedure			results from tests or procedures ordered / performed by the health care provider: blood, imaging, electrical tracing or other	-45 health education, advice, if the patient requests information on the underlying problem or consequences of the results	This code can only be used to classify a reason for encounter.	H60	2
H61	Korva, Tutk.tulos toiselta	Korva, Tutk.tulos toiselta	Korva, Tutkimustulos/testitulos/potilaskertomus/kirje toiselta hoidonantajalta	Ear, Result examination/test/record/letter from other provider				H	1				4 Tulokset		T				H61	Ear, Result examination/test/record/letter from other provider			results from tests or procedures ordered /performed by other health care providers	-45 health education, advice, if the patient requests information on the underlying problem or consequences of the results	This code can only be used to classify a reason for encounter.	H61	2
H62	Korva, Hallinnollinen toimenpide	Korva, Hallinnollinen toimenpide	Korva, Hallinnollinen toimenpide	Ear, Administrative procedure				H	1				5 Hallinnolliset syyt		T				H62	Ear, Administrative procedure	certificates (e.g. sick leave/driver´s licence/death); questionnaire; billing issues, health record issues; filling in documents or forms	medical examination/health evaluation complete -30; medical examination/health evaluation partial -31	this code is designed to classify those instances where provision of a written document or form by the provider for the patient or other agency is warranted by existing regulations, laws or customs.			H62	2
H63	Korva, Muu seuranta	Korva, Muu seuranta	Korva, Muu seurantakäynti	Ear, Follow-up encounter unspecified				H	1				6 Lähetteet ja muut syyt		T				H63	Ear, Follow-up encounter unspecified			encounter which was recommended by a health care provider as a follow-up encounter		This code can only be used to classify a reason for encounter.	H63	2
H64	Korva, Hoidonantaja käynnistänyt	Korva, Hoidonantaja käynnistänyt	Korva, Hoidonantajan käynnistämä tapahtuma	Ear, Encounter/prob initiated by provider				H	1				6 Lähetteet ja muut syyt		T				H64	Ear, Encounter/problem initiated by provider	the patient is told to return for additional management; problem managed by the provider, that was not on the patient’s agenda	reports requested by a third party -62; encounter/problem initiated by other than patient / provider -65			This code can only be used to classify a reason for encounter.	H64	2
H65	Korva, Muu henkilö käynnistänyt	Korva, Muu henkilö käynnistänyt	Korva, Muun henkilön käynnistämä tapahtuma	Ear, Enc/prob init by other than pt/prov				H	1				6 Lähetteet ja muut syyt		T				H65	Ear, Encounter/problem initiated by other than patient/provider		exams requested by a third party -62; encounter/problem initiated by provider  -64	encounter requested by a third party		This code can only be used to classify a reason for encounter. If the patient is unable to state the reason for encounter, use the reason stated by the accompanying person.	H65	2
H66	Korva, Lähete pth	Korva, Lähete pth	Korva, Lähete muulle perusterveydenhuollon ammattihenkilölle	Ear, Referral to non-MD provider				H	1				6 Lähetteet ja muut syyt		T				H66	Ear, Referral to other provider/nurse/therapist/social worker	referral to nurse/physiotherapist/occupational therapist/chiropodist/ orthodontist/chiropractor/optician/midwife/dietician/dentist/home health worker/social worker/psychologist	referral to physician -67; referral to service for rehabilitation -68		If the provider performs the service, consider using codes -50-59.		H66	2
H67	Korva, Lähete esh/sairaala	Korva, Lähete esh/sairaala	Korva, Lähete erikoislääkärille/sairaalaan	Ear, Referral to physician/hospital				H	1				6 Lähetteet ja muut syyt		T				H67	Ear, Referral to physician/specialist/clinic/hospital	referral to another GP/FP/specialist; referral to disease-specific out-/in-patient clinics	referral to service for rehabilitation -68		-32 to -43 if ordering a specific procedure, which will be performed by another physician		H67	2
H68	Korva, Muu lähete	Korva, Muu lähete	Korva, Muu lähete	Ear, Other referral NEC				H	1				6 Lähetteet ja muut syyt		T				H68	Ear, Other referral NEC	referral to service outside the regular health service (e.g. patient associations, unemployment services); referral to nursing home/hospice; referral to service for rehabilitation	referral to other provider/nurse/therapist/social worker -66; referral to physician/specialist/clinic/hospital -67				H68	2
H69	Korva, Muualla luokittelematon	Korva, Muualla luokittelematon	Korva, Muu käynnin syy	Ear, Other reason for encounter NEC				H	1				6 Lähetteet ja muut syyt		T				H69	Ear, Other reason for encounter NEC					This code can only be used to classify a reason for encounter. If the patient is unable to state the reason for encounter, use the reason stated by the accompanying person.	H69	2
H70	Korvakäytävän tulehdus	Korvakäytävän tulehdus	Korvakäytävän tulehdus	Otitis externa	A46+H62.0,B00.19+H62.1,B02.8+H62.1,B36.9+H62.2,B37.2+H62.2,B44.8+H62.2,H60.0,H60.1,H60.2,H60.3,H60.4,H60.5,H60.8,H60.9,H62.0*,H62.0*A46,H62.1*,H62.1*B00.19,H62.1*B02.8,H62.2*,H62.2*B36.9,H62.2*B37.2,H62.2*B44.8,H62.3*,H62.4*,H62.4*L01.0,H62.8*,L01.0+H62.4	H60.0; H60.1; H60.2; H60.3; H60.4; H60.5; H60.8; H60.9; H62.0; H62.1; H62.2; H62.3; H62.4; H62.8	H60.9	H	1	Infektiot			7 Taudit ja sairaudet	korvakäytävän tulehdus / hilseily	T	korvakäytävän paise/ihottuma/äkämä./uimarin korva		Infektioner	H70	Otitis externa	abscess/eczema/furuncle external auditory meatus; swimmer's ear		inflammation/desquamation of the external auditory canal			H70	2
H71	Välikorvatulehdus/tärykalvotulehdus, akuutti	Välikorvatulehdus/tärykalvotulehdus, akuutti	Välikorvatulehdus/tärykalvotulehdus, akuutti	Acute otitis media/myringitis	A18.6+H67.0,A38+H67.0,B05.3+H67.1,H66.0,H66.4,H66.9,H67.0*,H67.0*A18.6,H67.0*A38,H67.1*,H67.1*B05.3,H67.1*J09,H67.8*,H67.8*J10.8,H67.8*J11.8,H70.0,H73.0,J10.8+H67.8,J11.8+H67.8	H66.0; H66.4; H66.9; H67.0; H67.1; H67.8; H70.0; H73.0	H73.0	H	1	Infektiot	Korvakipu H01, Erite korvasta H04		7 Taudit ja sairaudet	(1) vastikään puhjennut tärykalvo ja siihen liittyvä märkäinen erite tai (2), tulehtunut ja pullottava tärykalvo tai (3) toinen tärykalvo punaisempi kuin toinen tai (4) punoittava tärykalvo korvakipuun liittyneenä tai (5) nesterakkulat tärykalvolla	T	akuutti märkäinen välikorvatulehdus./akuutti tärykalvotulehdus./myringiitti./määrittämätön välikorvatulehdus	seroosi välikorvatulehdus H72./ krooninen välikorvatulehdus H74	Infektioner	H71	Acute otitis media/myringitis	acute mastoiditis; acute suppurative otitis media; acute tympanitis; otitis media NOS	serous otitis media H72; chronic otitis media H74	recent perforation of the tympanic membrane discharging pus; or inflamed and bulging tympanic membrane; or one ear drum more red than the other; or red tympanic membrane, with ear pain; or bullae on the tympanic membrane	ear pain H01; ear discharge H04		H71	2
