CodeId,English_name,ICD10who_name
C68.9&,"Urinary organ, unspecified","Malignant neoplasm: Urinary organ, unspecified"
C69.0,Conjunctiva,Malignant neoplasm: Conjunctiva
C69.1,Cornea,Malignant neoplasm: Cornea
C69.2,Retina,Malignant neoplasm: Retina
C69.3,Choroid,Malignant neoplasm: Choroid
C69.4,Ciliary body,Malignant neoplasm: Ciliary body
C69.5,Lacrimal gland and duct,Malignant neoplasm: Lacrimal gland and duct
C69.6,Orbit,Malignant neoplasm: Orbit
C69.8,Overlapping lesion of eye and adnexa,Malignant neoplasm: Overlapping lesion of eye and adnexa
C69.9,"Eye, unspecified","Malignant neoplasm: Eye, unspecified"
C70.0&,Cerebral meninges,Malignant neoplasm: Cerebral meninges
C70.1&,Spinal meninges,Malignant neoplasm: Spinal meninges
C70.9&,"Meninges, unspecified","Malignant neoplasm: Meninges, unspecified"
C71.0,"Cerebrum, except lobes and ventricles","Malignant neoplasm: Cerebrum, except lobes and ventricles"
C71.1,Frontal lobe,Malignant neoplasm: Frontal lobe
C71.2,Temporal lobe,Malignant neoplasm: Temporal lobe
C71.3,Parietal lobe,Malignant neoplasm: Parietal lobe
C71.4,Occipital lobe,Malignant neoplasm: Occipital lobe
C71.5&,Cerebral ventricle,Malignant neoplasm: Cerebral ventricle
C71.6,Cerebellum,Malignant neoplasm: Cerebellum
C71.7,Brain stem,Malignant neoplasm: Brain stem
C71.8,Overlapping lesion of brain,Malignant neoplasm: Overlapping lesion of brain
C71.9,"Brain, unspecified","Malignant neoplasm: Brain, unspecified"
C72.0,Spinal cord,Malignant neoplasm: Spinal cord
C72.1&,Cauda equina,Malignant neoplasm: Cauda equina
C72.2&,Olfactory nerve,Malignant neoplasm: Olfactory nerve
C72.3&,Optic nerve,Malignant neoplasm: Optic nerve
C72.4&,Acoustic nerve,Malignant neoplasm: Acoustic nerve
C72.5&,Other and unspecified cranial nerves,Malignant neoplasm: Other and unspecified cranial nerves
C72.8&,Overlapping lesion of brain and other parts of central nervous system,Malignant neoplasm: Overlapping lesion of brain and other parts of central nervous system
C72.9&,"Central nervous system, unspecified","Malignant neoplasm: Central nervous system, unspecified"
C74.0&,Cortex of adrenal gland,Malignant neoplasm: Cortex of adrenal gland
C74.1&,Medulla of adrenal gland,Malignant neoplasm: Medulla of adrenal gland
C74.9&,"Adrenal gland, unspecified","Malignant neoplasm: Adrenal gland, unspecified"
C75.0&,Parathyroid gland,Malignant neoplasm: Parathyroid gland
C75.1&,Pituitary gland,Malignant neoplasm: Pituitary gland
C75.2&,Craniopharyngeal duct,Malignant neoplasm: Craniopharyngeal duct
C75.3&,Pineal gland,Malignant neoplasm: Pineal gland
C75.4&,Carotid body,Malignant neoplasm: Carotid body
C75.5&,Aortic body and other paraganglia,Malignant neoplasm: Aortic body and other paraganglia
C75.8&,"Pluriglandular involvement, unspecified","Malignant neoplasm: Pluriglandular involvement, unspecified"
C75.9&,"Endocrine gland, unspecified","Malignant neoplasm: Endocrine gland, unspecified"
C76.0&,"Head, face and neck","Malignant neoplasm of other and ill-defined sites: Head, face and neck"
C76.1&,Thorax,Malignant neoplasm of other and ill-defined sites: Thorax
C76.2&,Abdomen,Malignant neoplasm of other and ill-defined sites: Abdomen
C76.3&,Pelvis,Malignant neoplasm of other and ill-defined sites: Pelvis
C76.4&,Upper limb,Malignant neoplasm of other and ill-defined sites: Upper limb
C76.5&,Lower limb,Malignant neoplasm of other and ill-defined sites: Lower limb
C76.7&,Other ill-defined sites,Malignant neoplasm of other and ill-defined sites: Other ill-defined sites
C76.8&,Overlapping lesion of other and ill-defined sites,Malignant neoplasm of other and ill-defined sites: Overlapping lesion of other and ill-defined sites
C77.0&,"Lymph nodes of head, face and neck","Secondary and unspecified malignant neoplasm: Lymph nodes of head, face and neck"
C77.1&,Intrathoracic lymph nodes,Secondary and unspecified malignant neoplasm: Intrathoracic lymph nodes
C77.2&,Intra-abdominal lymph nodes,Secondary and unspecified malignant neoplasm: Intra-abdominal lymph nodes
C77.3&,Axillary and upper limb lymph nodes,Secondary and unspecified malignant neoplasm: Axillary and upper limb lymph nodes
C77.4&,Inguinal and lower limb lymph nodes,Secondary and unspecified malignant neoplasm: Inguinal and lower limb lymph nodes
C77.5&,Intrapelvic lymph nodes,Secondary and unspecified malignant neoplasm: Intrapelvic lymph nodes
C77.8&,Lymph nodes of multiple regions,Secondary and unspecified malignant neoplasm: Lymph nodes of multiple regions
C77.9&,"Lymph node, unspecified","Secondary and unspecified malignant neoplasm: Lymph node, unspecified"
C78.7&,Secondary malignant neoplasm of liver,Secondary malignant neoplasm of liver and intrahepatic bile duct
C79,Secondary malignant neoplasm of other sites,Secondary malignant neoplasm of other and unspecified sites
C80,Malignant neoplasm without specification of site,"Malignant neoplasm, without specification of site"
C80.99+G73.1,Eaton-Lambert syndrome,Lambert-Eaton syndrome
C81,Hodgkin's disease,Hodgkin lymphoma
C81.0&,Lymphocytic predominance,Nodular lymphocyte predominant Hodgkin lymphoma
C81.1,Nodular sclerosis,Nodular sclerosis classical Hodgkin lymphoma
C81.2,Mixed cellularity,Mixed cellularity classical Hodgkin lymphoma
C81.3,Lymphocytic depletion,Lymphocyte depleted classical Hodgkin lymphoma
C81.7,Other Hodgkin's disease,Other classical Hodgkin lymphoma
C81.9,"Hodgkin's disease, unspecified","Hodgkin lymphoma, unspecified"
C82,Follicular [nodular] non-Hodgkin's lymphoma,Follicular lymphoma
C82.7,Other types of follicular non-Hodgkin's lymphoma,Other types of follicular lymphoma
C82.9,"Follicular non-Hodgkin's lymphoma, unspecified","Follicular lymphoma, unspecified"
C83,Diffuse non-Hodgkin's lymphoma,Non-follicular lymphoma
C83.3,Large cell (diffuse),Diffuse large B-cell lymphoma
C83.6,Undifferentiated (diffuse),Undifferentiated (diffuse) non-Hodgkin's lymphoma
C83.9,"Diffuse non-Hodgkin's lymphoma, unspecified","Non-follicular (diffuse) lymphoma, unspecified"
C84,Peripheral and cutaneous T-cell lymphomas,Mature T/NK-cell lymphomas
C84.1,Sézary's disease,Sézary disease
C84.4,Peripheral T-cell lymphoma,"Peripheral T-cell lymphoma, not elsewhere classified"
C85,Other and unspecified types of non-Hodgkin's lymphoma,Other and unspecified types of non-Hodgkin lymphoma
C85.7,Other specified types of non-Hodgkin's lymphoma,Other specified types of non-Hodgkin lymphoma
C85.9,"Non-Hodgkin's lymphoma, unspecified type","Non-Hodgkin lymphoma, unspecified"
C88.0,Waldenström's macroglobulinaemia,Waldenström macroglobulinaemia
C88.2,Gamma heavy chain disease,Other heavy chain disease
C90.2,"Plasmacytoma, extramedullary",Extramedullary plasmacytoma
C91.0,Acute lymphoblastic leukaemia,Acute lymphoblastic leukaemia [ALL]
C91.1,Chronic lymphocytic leukaemia,Chronic lymphocytic leukaemia of B-cell type
C91.2,Subacute lymphocytic leukaemia,Subacute lymphocytic leukemia
C91.3,Prolymphocytic leukaemia,Prolymphocytic leukaemia of B-cell type
C91.5,Adult T-cell leukaemia,Adult T-cell lymphoma/leukaemia [HTLV-1-associated]
C92.0,Acute myeloid leukaemia,Acute myeloblastic leukaemia [AML]
C92.1,Chronic myeloid leukaemia,"Chronic myeloid leukaemia [CML], BCR/ABL-positive"
C92.2,Subacute myeloid leukaemia,"Atypical chronic myeloid leukaemia, BCR/ABL- negative"
C92.4,Acute promyelocytic leukaemia,Acute promyelocytic leukaemia [PML]
C93.0,Acute monocytic leukaemia,Acute monoblastic/monocytic leukaemia
C93.1,Chronic monocytic leukaemia,Chronic myelomonocytic leukaemia
C93.2,Subacute monocytic leukaemia,Subacute monocytic leukemia
C94.0,Acute erythraemia and erythroleukaemia,Acute erythroid leukaemia
C94.1,Chronic erythraemia,Chronic erythremia
C94.4,Acute panmyelosis,Acute panmyelosis with myelofibrosis
C95.2,Subacute leukaemia of unspecified cell type,Subacute leukemia of unspecified cell type
C96.0,Letterer-Siwe disease,Multifocal and multisystemic (disseminated) Langerhans-cell histiocytosis [Letterer-Siwe disease]
C96.3,True histiocytic hymphoma,True histiocytic lymphoma
C96.8,Malignant Histiocytosis,Histiocytic sarcoma
D00.0,"Lip, oral cavity and pharynx","Carcinoma in situ: Lip, oral cavity and pharynx"
D00.1&,Oesophagus,Carcinoma in situ: Oesophagus
D00.2&,Stomach,Carcinoma in situ: Stomach
D01.0&,Colon,Carcinoma in situ: Colon
D01.1&,Rectosigmoid junction,Carcinoma in situ: Rectosigmoid junction
D01.2&,Rectum,Carcinoma in situ: Rectum
D01.3&,Anus and anal canal,Carcinoma in situ: Anus and anal canal
D01.4&,Other and unspecified parts of intestine,Carcinoma in situ: Other and unspecified parts of intestine
D01.5&,"Liver, gallbladder and bile ducts","Carcinoma in situ: Liver, gallbladder and bile ducts"
D01.7&,Other specified digestive organs,Carcinoma in situ: Other specified digestive organs
D01.9&,"Digestive organ, unspecified","Carcinoma in situ: Digestive organ, unspecified"
D02.0&,Larynx,Carcinoma in situ: Larynx
D02.1&,Trachea,Carcinoma in situ: Trachea
D02.2&,Bronchus and lung,Carcinoma in situ: Bronchus and lung
D02.3&,Other parts of respiratory system,Carcinoma in situ: Other parts of respiratory system
D02.4&,"Respiratory system, unspecified","Carcinoma in situ: Respiratory system, unspecified"
D04.0&,Skin of lip,Carcinoma in situ: Skin of lip
D04.1&,"Skin of eyelid, including canthus","Carcinoma in situ: Skin of eyelid, including canthus"
D04.2&,Skin of ear and external auricular canal,Carcinoma in situ: Skin of ear and external auricular canal
D04.3&,Skin of other and unspecified parts of face,Carcinoma in situ: Skin of other and unspecified parts of face
D04.4&,Skin of scalp and neck,Carcinoma in situ: Skin of scalp and neck
D04.5&,Skin of trunk,Carcinoma in situ: Skin of trunk
D04.6&,"Skin of upper limb, including shoulder","Carcinoma in situ: Skin of upper limb, including shoulder"
D04.7&,"Skin of lower limb, including hip","Carcinoma in situ: Skin of lower limb, including hip"
D04.8&,Skin of other sites,Carcinoma in situ: Skin of other sites
D04.9&,"Skin, unspecified","Carcinoma in situ: Skin, unspecified"
D06.0&,Endocervix,Carcinoma in situ: Endocervix
D06.1&,Exocervix,Carcinoma in situ: Exocervix
D06.7&,Other parts of cervix,Carcinoma in situ: Other parts of cervix
D06.9&,"Cervix, unspecified","Carcinoma in situ: Cervix, unspecified"
D07.0&,Endometrium,Carcinoma in situ: Endometrium
D07.1&,Vulva,Carcinoma in situ: Vulva
D07.2&,Vagina,Carcinoma in situ: Vagina
D07.3&,Other and unspecified female genital organs,Carcinoma in situ: Other and unspecified female genital organs
D07.4&,Penis,Carcinoma in situ: Penis
D07.5&,Prostate,Carcinoma in situ: Prostate
D07.6&,Other and unspecified male genital organs,Carcinoma in situ: Other and unspecified male genital organs
D09.0&,Bladder,Carcinoma in situ: Bladder
D09.1&,Other and unspecified urinary organs,Carcinoma in situ: Other and unspecified urinary organs
D09.2&,Eye,Carcinoma in situ: Eye
D09.3&,Thyroid and other endocrine glands,Carcinoma in situ: Thyroid and other endocrine glands
D10.0,Lip,Benign neoplasm: Lip
D10.1,Tongue,Benign neoplasm: Tongue
D10.2&,Floor of mouth,Benign neoplasm: Floor of mouth
D10.3,Other and unspecified parts of mouth,Benign neoplasm: Other and unspecified parts of mouth
D10.4&,Tonsil,Benign neoplasm: Tonsil
D10.5&,Other parts of oropharynx,Benign neoplasm: Other parts of oropharynx
D10.6&,Nasopharynx,Benign neoplasm: Nasopharynx
D10.7&,Hypopharynx,Benign neoplasm: Hypopharynx
D10.9&,"Pharynx, unspecified","Benign neoplasm: Pharynx, unspecified"
D11.0&,Parotid gland,Benign neoplasm: Parotid gland
D11.7,Other major salivary glands,Benign neoplasm: Other major salivary glands
D11.9&,"Major salivary gland, unspecified","Benign neoplasm: Major salivary gland, unspecified"
D12.0&,Caecum,Benign neoplasm: Caecum
D12.1&,Appendix,Benign neoplasm: Appendix
D12.2&,Ascending colon,Benign neoplasm: Ascending colon
D12.3&,Transverse colon,Benign neoplasm: Transverse colon
D12.4&,Descending colon,Benign neoplasm: Descending colon
D12.5&,Sigmoid colon,Benign neoplasm: Sigmoid colon
D12.6&,"Colon, unspecified","Benign neoplasm: Colon, unspecified"
D12.7&,Rectosigmoid junction,Benign neoplasm: Rectosigmoid junction
D12.8&,Rectum,Benign neoplasm: Rectum
D12.9&,Anus and anal canal,Benign neoplasm: Anus and anal canal
D13.0&,Oesophagus,Benign neoplasm: Oesophagus
D13.1&,Stomach,Benign neoplasm: Stomach
D13.2&,Duodenum,Benign neoplasm: Duodenum
D13.3&,Other and unspecified parts of small intestine,Benign neoplasm: Other and unspecified parts of small intestine
D13.4&,Liver,Benign neoplasm: Liver
D13.5&,Extrahepatic bile ducts,Benign neoplasm: Extrahepatic bile ducts
D13.6&,Pancreas,Benign neoplasm: Pancreas
D13.7&,Endocrine pancreas,Benign neoplasm: Endocrine pancreas
D13.9&,Ihl-defined sites within the digestive system,Benign neoplasm: Ill-defined sites within the digestive system
D14.0&,"Middle ear, nasal cavity and accessory sinuses","Benign neoplasm: Middle ear, nasal cavity and accessory sinuses"
D14.1&,Larynx,Benign neoplasm: Larynx
D14.2&,Trachea,Benign neoplasm: Trachea
D14.3&,Bronchus and lung,Benign neoplasm: Bronchus and lung
D14.4&,"Respiratory system, unspecified","Benign neoplasm: Respiratory system, unspecified"
D15.0&,Thymus,Benign neoplasm: Thymus
D15.1&,Heart,Benign neoplasm: Heart
D15.2&,Mediastinum,Benign neoplasm: Mediastinum
D15.7&,Other specified intrathoracic organs,Benign neoplasm: Other specified intrathoracic organs
D15.9&,"Intrathoracic organ, unspecified","Benign neoplasm: Intrathoracic organ, unspecified"
D16.0&,Scapula and long bones of upper limb,Benign neoplasm: Scapula and long bones of upper limb
D16.1&,Short bones of upper limb,Benign neoplasm: Short bones of upper limb
D16.2&,Long bones of lower limb,Benign neoplasm: Long bones of lower limb
D16.3&,Short bones of lower limb,Benign neoplasm: Short bones of lower limb
D16.6&,Vertebral column,Benign neoplasm: Vertebral column
D16.7&,"Ribs, sternum and clavicle","Benign neoplasm: Ribs, sternum and clavicle"
D16.8&,"Pelvic bones, sacrum and coccyx","Benign neoplasm: Pelvic bones, sacrum and coccyx"
D19.0&,Mesothelial tissue of pleura,Benign neoplasm: Mesothelial tissue of pleura
D19.1&,Mesothelial tissue of peritoneum,Benign neoplasm: Mesothelial tissue of peritoneum
D19.7&,Mesothelial tissue of other sites,Benign neoplasm: Mesothelial tissue of other sites
D19.9&,"Mesothelial tissue, unspecified","Benign neoplasm: Mesothelial tissue, unspecified"
D20.0&,Retroperitoneum,Benign neoplasm: Retroperitoneum
D20.1&,Peritoneum,Benign neoplasm: Peritoneum
D21.0&,"Connective and other soft tissue of head, face and neck","Benign neoplasm: Connective and other soft tissue of head, face and neck"
D21.1&,"Connective and other soft tissue of upper limb, including shoulder","Benign neoplasm: Connective and other soft tissue of upper limb, including shoulder"
D21.2&,"Connective and other soft tissue of lower limb, including hip","Benign neoplasm: Connective and other soft tissue of lower limb, including hip"
D21.3&,Connective and other soft tissue of thorax,Benign neoplasm: Connective and other soft tissue of thorax
D21.4&,Connective and other soft tissue of abdomen,Benign neoplasm: Connective and other soft tissue of abdomen
D21.5&,Connective and other soft tissue of pelvis,Benign neoplasm: Connective and other soft tissue of pelvis
D21.6&,"Connective and other soft tissue of trunk, unspecified","Benign neoplasm: Connective and other soft tissue of trunk, unspecified"
D21.9&,"Connective and other soft tissue, unspecified","Benign neoplasm: Connective and other soft tissue, unspecified"
D23.0&,Skin of lip,Benign neoplasm: Skin of lip
D23.1&,"Skin of eyelid, including canthus","Benign neoplasm: Skin of eyelid, including canthus"
D23.2&,Skin of ear and external auricular canal,Benign neoplasm: Skin of ear and external auricular canal
D23.3&,Skin of other and unspecified parts of face,Benign neoplasm: Skin of other and unspecified parts of face
D23.4&,Skin of scalp and neck,Benign neoplasm: Skin of scalp and neck
D23.5&,Skin of trunk,Benign neoplasm: Skin of trunk
D23.6&,"Skin of upper limb, including shoulder","Benign neoplasm: Skin of upper limb, including shoulder"
D23.7&,"Skin of lower limb, including hip","Benign neoplasm: Skin of lower limb, including hip"
D23.9&,"Skin, unspecified","Benign neoplasm: Skin, unspecified"
D26.0&,Cervix uteri,Other benign neoplasm: Cervix uteri
D26.1&,Corpus uteri,Other benign neoplasm: Corpus uteri
D26.7&,Other parts of uterus,Other benign neoplasm: Other parts of uterus
D26.9&,"Uterus, unspecified","Other benign neoplasm: Uterus, unspecified"
D28.0&,Vulva,Benign neoplasm: Vulva
D28.1&,Vagina,Benign neoplasm: Vagina
D28.2&,Uterine tubes and ligaments,Benign neoplasm: Uterine tubes and ligaments
D28.7&,Other specified female genital organs,Benign neoplasm: Other specified female genital organs
D28.9&,"Female genital organ, unspecified","Benign neoplasm: Female genital organ, unspecified"
D29.0&,Penis,Benign neoplasm: Penis
D29.1&,Prostate,Benign neoplasm: Prostate
D29.2&,Testis,Benign neoplasm: Testis
D29.3&,Epididymis,Benign neoplasm: Epididymis
D29.4&,Scrotum,Benign neoplasm: Scrotum
D29.7&,Other male genital organs,Benign neoplasm: Other male genital organs
D29.9&,"Male genital organ, unspecified","Benign neoplasm: Male genital organ, unspecified"
D30.0&,Kidney,Benign neoplasm: Kidney
D30.1&,Renal pelvis,Benign neoplasm: Renal pelvis
D30.2&,Ureter,Benign neoplasm: Ureter
D30.3&,Bladder,Benign neoplasm: Bladder
D30.4&,Urethra,Benign neoplasm: Urethra
D30.7&,Other urinary organs,Benign neoplasm: Other urinary organs
D30.9&,"Urinary organ, unspecified","Benign neoplasm: Urinary organ, unspecified"
D31.0&,Conjunctiva,Benign neoplasm: Conjunctiva
D31.1&,Cornea,Benign neoplasm: Cornea
D31.2&,Retina,Benign neoplasm: Retina
D31.3&,Choroid,Benign neoplasm: Choroid
D31.4&,Ciliary body,Benign neoplasm: Ciliary body
D31.5&,Lacrimal gland and duct,Benign neoplasm: Lacrimal gland and duct
D31.6&,"Orbit, unspecified","Benign neoplasm: Orbit, unspecified"
D31.9&,"Eye, unspecified","Benign neoplasm: Eye, unspecified"
D32.0,Cerebral meninges,Benign neoplasm: Cerebral meninges
D32.1&,Spinal meninges,Benign neoplasm: Spinal meninges
D32.9&,"Meninges, unspecified","Benign neoplasm: Meninges, unspecified"
D33.0,"Brain, supratentorial","Benign neoplasm: Brain, supratentorial"
D33.1,"Brain, infratentorial","Benign neoplasm: Brain, infratentorial"
D33.2&,"Brain, unspecified","Benign neoplasm: Brain, unspecified"
D33.3,Cranial nerves,Benign neoplasm: Cranial nerves
D33.4&,Spinal cord,Benign neoplasm: Spinal cord
D33.7&,Other specified parts of central nervous system,Benign neoplasm: Other specified parts of central nervous system
D33.9&,"Central nervous system, unspecified","Benign neoplasm: Central nervous system, unspecified"
D35.0&,Adrenal gland,Benign neoplasm: Adrenal gland
D35.1&,Parathyroid gland,Benign neoplasm: Parathyroid gland
D35.2&,Pituitary gland,Benign neoplasm: Pituitary gland
D35.3,Craniopharyngeal duct,Benign neoplasm: Craniopharyngeal duct
D35.4&,Pineal gland,Benign neoplasm: Pineal gland
D35.6&,Aortic body and other paraganglia,Benign neoplasm: Aortic body and other paraganglia
D35.7&,Other specified endocrine glands,Benign neoplasm: Other specified endocrine glands
D35.8&,Pluriglandular involvement,Benign neoplasm: Pluriglandular involvement
D35.9&,"Endocrine gland, unspecified","Benign neoplasm: Endocrine gland, unspecified"
D36.0&,Lymph nodes,Benign neoplasm: Lymph nodes
D36.1&,Peripheral nerves and autonomic nervous system,Benign neoplasm: Peripheral nerves and autonomic nervous system
D36.7&,Other specified sites,Benign neoplasm: Other specified sites
D36.9&,Benign neoplasm of unspecified site,Benign neoplasm: Benign neoplasm of unspecified site
D37.1&,Stomach,Neoplasm of uncertain or unknown behaviour: Stomach
D37.2&,Small intestine,Neoplasm of uncertain or unknown behaviour: Small intestine
D37.3&,Appendix,Neoplasm of uncertain or unknown behaviour: Appendix
D37.4&,Colon,Neoplasm of uncertain or unknown behaviour: Colon
D37.5&,Rectum,Neoplasm of uncertain or unknown behaviour: Rectum
D37.6&,"Liver, gallbladder and bile ducts","Neoplasm of uncertain or unknown behaviour: Liver, gallbladder and bile ducts"
D37.7&,Other digestive organs,Neoplasm of uncertain or unknown behaviour: Other digestive organs
D37.9&,"Digestive organ, unspecified","Neoplasm of uncertain or unknown behaviour: Digestive organ, unspecified"
D38.0&,Neoplasm of uncertain or unknown behaviour of larynx,Neoplasm of uncertain or unknown behaviour: Larynx
D38.1&,"Neoplasm of uncertain or unknown behaviour of trachea, bronchus and lung","Neoplasm of uncertain or unknown behaviour: Trachea, bronchus and lung"
D38.2&,Neoplasm of uncertain or unknown behaviour of pleura,Neoplasm of uncertain or unknown behaviour: Pleura
D38.3&,Neoplasm of uncertain or unknown behaviour of mediastinum,Neoplasm of uncertain or unknown behaviour: Mediastinum
D38.4&,Neoplasm of uncertain or unknown behaviour of thymus,Neoplasm of uncertain or unknown behaviour: Thymus
D38.6&,"Neoplasm of uncertain or unknown behaviour of respiratory organ, unspecified","Neoplasm of uncertain or unknown behaviour: Respiratory organ, unspecified"
D39.0&,Uterus,Neoplasm of uncertain or unknown behaviour: Uterus
D39.1,Ovary,Neoplasm of uncertain or unknown behaviour: Ovary
D39.2&,Placenta,Neoplasm of uncertain or unknown behaviour: Placenta
D39.7&,Other female genital organs,Neoplasm of uncertain or unknown behaviour: Other female genital organs
D39.9&,"Female genital organ, unspecified","Neoplasm of uncertain or unknown behaviour: Female genital organ, unspecified"
D40.0&,Prostate,Neoplasm of uncertain or unknown behaviour: Prostate
D40.1&,Testis,Neoplasm of uncertain or unknown behaviour: Testis
D40.7&,Other male genital organs,Neoplasm of uncertain or unknown behaviour: Other male genital organs
D40.9&,"Male genital organ, unspecified","Neoplasm of uncertain or unknown behaviour: Male genital organ, unspecified"
D41.0&,Kidney,Neoplasm of uncertain or unknown behaviour: Kidney
D41.1&,Renal pelvis,Neoplasm of uncertain or unknown behaviour: Renal pelvis
D41.2&,Ureter,Neoplasm of uncertain or unknown behaviour: Ureter
D41.3&,Urethra,Neoplasm of uncertain or unknown behaviour: Urethra
D41.4&,Bladder,Neoplasm of uncertain or unknown behaviour: Bladder
D41.7&,Other urinary organs,Neoplasm of uncertain or unknown behaviour: Other urinary organs
D41.9&,"Urinary organ, unspecified","Neoplasm of uncertain or unknown behaviour: Urinary organ, unspecified"
D42.0&,Cerebral meninges,Neoplasm of uncertain or unknown behaviour: Cerebral meninges
D42.1&,Spinal meninges,Neoplasm of uncertain or unknown behaviour: Spinal meninges
D42.9&,"Meninges, unspecified","Neoplasm of uncertain or unknown behaviour: Meninges, unspecified"
D43.0&,"Brain, supratentorial","Neoplasm of uncertain or unknown behaviour: Brain, supratentorial"
D43.1&,"Brain, infratentorial","Neoplasm of uncertain or unknown behaviour: Brain, infratentorial"
D43.2&,"Brain, unspecified","Neoplasm of uncertain or unknown behaviour: Brain, unspecified"
D43.3&,Cranial nerves,Neoplasm of uncertain or unknown behaviour: Cranial nerves
D43.4&,Spinal cord,Neoplasm of uncertain or unknown behaviour: Spinal cord
D43.7&,Other parts of central nervous system,Neoplasm of uncertain or unknown behaviour: Other parts of central nervous system
D43.9&,"Central nervous system, unspecified","Neoplasm of uncertain or unknown behaviour: Central nervous system, unspecified"
D44.0&,Thyroid gland,Neoplasm of uncertain or unknown behaviour: Thyroid gland
D44.1&,Adrenal gland,Neoplasm of uncertain or unknown behaviour: Adrenal gland
D44.2&,Parathyroid gland,Neoplasm of uncertain or unknown behaviour: Parathyroid gland
D44.3&,Pituitary gland,Neoplasm of uncertain or unknown behaviour: Pituitary gland
D44.4&,Craniopharyngeal duct,Neoplasm of uncertain or unknown behaviour: Craniopharyngeal duct
D44.5&,Pineal gland,Neoplasm of uncertain or unknown behaviour: Pineal gland
D44.6&,Carotid body,Neoplasm of uncertain or unknown behaviour: Carotid body
D44.7&,Aortic body and other paraganglia,Neoplasm of uncertain or unknown behaviour: Aortic body and other paraganglia
D44.8&,Pluriglandular involvement,Neoplasm of uncertain or unknown behaviour: Pluriglandular involvement
D44.9&,"Endocrine gland, unspecified","Neoplasm of uncertain or unknown behaviour: Endocrine gland, unspecified"
D46.0,"Refractory anaemia without sideroblasts, so stated","Refractory anaemia without ring sideroblasts, so stated"
D46.1,Refractory anaemia with sideroblasts,Refractory anaemia with ring sideroblasts
D46.2,Refractory anaemia with excess of blasts,Refractory anaemia with excess of blasts [RAEB]
D46.3,Refractory anaemia with excess of blasts with transformation,Refractory anemia with excess of blasts with transformation
D47.2,Monoclonal gammopathy,Monoclonal gammopathy of undetermined significance (MGUS)
D48.0&,Bone and articular cartilage,Neoplasm of uncertain or unknown behaviour: Bone and articular cartilage
D48.1&,Connective and other soft tissue,Neoplasm of uncertain or unknown behaviour: Connective and other soft tissue
D48.2&,Peripheral nerves and autonomic nervous system,Neoplasm of uncertain or unknown behaviour: Peripheral nerves and autonomic nervous system
D48.3&,Retroperitoneum,Neoplasm of uncertain or unknown behaviour: Retroperitoneum
D48.4&,Peritoneum,Neoplasm of uncertain or unknown behaviour: Peritoneum
D48.5&,Skin,Neoplasm of uncertain or unknown behaviour: Skin
D48.6&,Breast,Neoplasm of uncertain or unknown behaviour: Breast
D48.7&,Other specified sites,Neoplasm of uncertain or unknown behaviour: Other specified sites
D48.9&,"Neoplasm of uncertain or unknown behaviour, unspecified","Neoplasm of uncertain or unknown behaviour: Neoplasm of uncertain or unknown behaviour, unspecified"
D51,Vitamin B12 deficiency anaemia,Vitamin B12deficiency anaemia
D51.0,Vitamin B12 deficiency anaemia due to intrinsic factor deficiency,Vitamin B12deficiency anaemia due to intrinsic factor deficiency
D51.1,Vitamin B12 deficiency anaemia due to selective vitamin B12 malabsorption with proteinuria,Vitamin B12deficiency anaemia due to selective vitamin B12malabsorption with proteinuria
D51.3,Other dietary vitamin B12 deficiency anaemia,Other dietary vitamin B12deficiency anaemia
D51.8,Other vitamin B12 deficiency anaemias,Other vitamin B12deficiency anaemias
D51.9,"Vitamin B12 deficiency anaemia, unspecified","Vitamin B12deficiency anaemia, unspecified"
D63.0*,Anaemia in neoplastic disease (C00-D48+),Anaemia in neoplastic disease
D68.0,Von Willebrand's disease,Von Willebrand disease
D76,Certain diseases involving lymphoreticular tissue and reticulohistiocytic system,Other specified diseases with participation of lymphoreticular and reticulohistiocytic tissue
D81.4,Nezelof's syndrome,Nezelof syndrome
D82.1,Di George's syndrome,Di George syndrome
E05,Hyperthyroidism,Thyrotoxicosis [hyperthyroidism]
E10,Insulin-dependent diabetes mellitus,Type 1 diabetes mellitus
E10.1,Insulin-dependent diabetes mellitus - With ketoacidosis,"Type 1 diabetes mellitus, With ketoacidosis"
E10.2+,Insulin-dependent diabetes mellitus - With renal complications,"Type 1 diabetes mellitus, With renal complications"
E10.3+,Insulin-dependent diabetes mellitus - With ophthalmic complications,"Type 1 diabetes mellitus, With ophthalmic complications"
E10.4+,Insulin-dependent diabetes mellitus - With neurological complications,"Type 1 diabetes mellitus, With neurological complications"
E10.5,Insulin-dependent diabetes mellitus - With peripheral circulatory complications,"Type 1 diabetes mellitus, With peripheral circulatory complications"
E10.6,Insulin-dependent diabetes mellitus - With other specified complications,"Type 1 diabetes mellitus, With other specified complications"
E10.7,Insulin-dependent diabetes mellitus - With multiple complications,"Type 1 diabetes mellitus, With multiple complications"
E10.8,Insulin-dependent diabetes mellitus - With unspecified complications,"Type 1 diabetes mellitus, With unspecified complications"
E10.9,Insulin-dependent diabetes mellitus - Without complications,"Type 1 diabetes mellitus, Without complications"
E11,Non-insulin-dependent diabetes mellitus,Type 2 diabetes mellitus
E11.1,Non-insulin-dependent diabetes mellitus - With ketoacidosis,"Type 2 diabetes mellitus, with ketoacidosis"
