TUTKIMUS,ALKU_PVM,LOPPU_PVM,TUTKIMUS_LYHENNE,TUTKIMUS_EALA,TUTKIMUS_NIMI,TUTKIMUS_TARKENNE,TUTKIMUS_TYYPPI,VASTAUSYKSIKKO,HUOMAUTUSKOODISTO,TUTKIMUS_LYHENNE_I
2561,03.06.1994,31.12.1996,S -FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,S-FFA
2561,01.01.1997,31.12.1998,S -FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,S-FFA
2561,01.01.1999,31.12.2000,S -FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,S-FFA
2561,01.01.2001,01.01.2002,S -FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,S-FFA
2561,02.01.2002,31.12.2002,S -FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,S-FFA
2561,01.01.2003,31.12.2003,fS-FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,FS-FFA
2561,01.01.2004,14.09.2009,fS-FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,FS-FFA
2561,15.09.2009,15.02.2012,fS-FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,FS-FFA
2561,16.02.2012,31.12.2300,fS-FFA,KEM,"Rasvahapot, vapaat",NULL,Y,mmol/l,KEMIA,FS-FFA
2566,01.08.1981,16.05.1994,fS-Fe,KEM,Rauta,NULL,Y,umol/l,KEMIA,FS-FE
2566,17.05.1994,03.02.1997,fS-Fe,KEM,Rauta,NULL,Y,umol/l,KEMIA,FS-FE
2566,04.02.1997,30.12.2004,fS-Fe,KEM,Rauta,NULL,Y,umol/l,KEMIA,FS-FE
2566,31.12.2004,31.12.2300,fS-Fe,KEM,Rauta,NULL,Y,umol/l,KEMIA,FS-FE
2567,01.08.1981,31.12.1994,U -Fe,KEM,Rauta,NULL,Y,umol/l,KEMIA,U-FE
2567,01.01.1995,13.11.1995,U -Fe,KEM,Rauta,NULL,Y,umol/l,KEMIA,U-FE
2567,14.11.1995,31.12.1997,U -Fe,KEM,Rauta,NULL,Y,umol/l,KEMIA,U-FE
2567,01.01.1998,14.07.2008,U -Fe,KEM,Rauta,NULL,Y,umol/l,KEMIA,U-FE
2574,15.08.1981,30.11.1992,P -Reniini,KEM,Reniini,NULL,Y,ug/l/h,KEMIA,P-RENIINI
2574,01.12.1992,05.06.1996,P -Renin,KEM,Reniini,NULL,Y,ug/l/h,KEMIA,P-RENIN
2575,30.04.1993,18.12.2005,Ts-Res,PAT,Reseptoritutkimus,NULL,Y,NULL,PATOL,TS-RES
2575,19.12.2005,31.12.2005,Ts-Res,PAT,Reseptoritutkimus,NULL,Y,NULL,PATOL,TS-RES
2575,01.01.2006,29.01.2016,Ts-Res,PAT,Reseptoritutkimus,NULL,Y,NULL,PATOL,TS-RES
2575,30.01.2016,31.12.2300,Ts-Res,PAT,Reseptoritutkimus,NULL,Y,NULL,PATOL,TS-RES
2577,01.01.1985,31.12.2005,-RSVAg,MIK,"Respiratory syncytial virus,",antigeeni,Y,NULL,MIKVAS,-RSVAG
2579,01.01.1994,15.02.2004,-RVirAg,MIK,-Respiratoristen virusten,antigeeni,S,NULL,MIKVAS,-RVIRAG
2579,16.02.2004,20.03.2019,-RvirAg,MIK,Respiratoristen virusten antig,eeni,S,NULL,MIKVAS,-RVIRAG
2580,15.06.1989,31.12.2001,S -RetAbA,MIK,"S -Retikuliini, IgA-luokan",vasta-aineet,Y,titteri,MIKVAS,S-RETABA
2581,15.03.1989,15.12.1998,B -Retik,KEM,Retikulosyytit,NULL,S,10E9/l,KEMIA,B-RETIK
2581,16.12.1998,10.02.1999,B -Retik,KEM,Retikulosyytit,NULL,S,10E9/l,KEMIA,B-RETIK
2581,11.02.1999,15.11.1999,B -Retik,KEM,Retikulosyytit,NULL,S,10E9/l,KEMIA,B-RETIK
2581,16.11.1999,31.12.2300,B -Retik,KEM,Retikulosyytit,NULL,S,10E9/l,KEMIA,B-RETIK
25810,29.10.1991,15.12.1998,B -Retik,KEM,Retikulosyytit (lask.),NULL,L,10E9/l,NULL,B-RETIK
25810,16.12.1998,21.04.2009,B -Retik,KEM,Retikulosyytit (lask.),NULL,Y,10E9/l,NULL,B-RETIK
25810,22.04.2009,09.10.2018,B -Retik,KEM,Retikulosyytit (lask.),NULL,Y,10E9/l,NULL,B-RETIK
25810,10.10.2018,31.12.2300,B -Retik,KEM,Retikulosyytit (lask.),NULL,Y,10E9/l,NULL,B-RETIK
2582,10.02.1986,15.12.1998,E -Retik,KEM,Retikulosyytit,NULL,Y,%,KEMIA,E-RETIK
2582,16.12.1998,21.04.2009,E -Retik,KEM,Retikulosyytit,NULL,Y,%,KEMIA,E-RETIK
2582,22.04.2009,09.10.2018,E -Retik,KEM,Retikulosyytit,NULL,Y,%,KEMIA,E-RETIK
2582,10.10.2018,31.12.2300,E -Retik,KEM,Retikulosyytit,NULL,Y,%,KEMIA,E-RETIK
2583,21.01.1988,31.12.1998,S -RBP,MIK,S -Retinolia sitova proteiini,NULL,Y,g/l,MIKVAS,S-RBP
2592,01.08.1981,31.12.1996,S -Rh-Ab,KEM,"Rh, vasta-aineet",NULL,Y,Arvio,KEMIA,S-RH-AB
2594,01.08.1982,31.12.1993,F -Rot-Ag,MIK,"F -Rotavirus, antigeeni",NULL,Y,arvio,VIROL,F-ROT-AG
2594,01.01.1994,14.01.2016,F -RotaAg,MIK,"Rota virus, antigeeni, uloste",NULL,Y,NULL,MIKVAS,F-ROTAAG
2594,15.01.2016,31.10.2018,F -RotaAg,MIK,"Rota virus, antigeeni, uloste",NULL,Y,NULL,MIKVAS,F-ROTAAG
2594,01.11.2018,31.12.2300,F -RotaAg,MIK,"Rota virus, antigeeni, uloste",NULL,Y,NULL,MIKVAS,F-ROTAAG
2596,28.08.1982,20.01.1992,S -Rot-Ab,MIK,"S -Rotavirus, vasta-aineet",NULL,Y,TITTERI,VIROL,S-ROT-AB
26,31.01.1985,01.04.2003,LAUSUNTO,MIK,VIROLOGIAN LAUSUNTO,NULL,Y,NULL,NULL,LAUSUNTO
2602,14.05.1992,22.07.2002,E-SakkHem,KEM,Sakkaroosi-hemolyysikoe,NULL,Y,NULL,KEMIA,E-SAKKHEM
2604,01.08.1981,31.12.2300,S -Salis,KEM,Salisylaatit,NULL,Y,umol/l,KEMIA,S-SALIS
2605,01.08.1981,15.12.1993,U -Salis,KEM,Salisylaatit,NULL,Y,umol/l,KEMIA,U-SALIS
2607,13.09.1983,17.03.2005,S -SalmAb,MIK,"Salmonella, vasta-aineet",NULL,S,NULL,MIKVAS,S-SALMAB
2607,18.03.2005,31.05.2009,S -SalmAb,MIK,"Salmonella, vasta-aineet",NULL,S,NULL,MIKVAS,S-SALMAB
2607,01.06.2009,30.09.2010,S -SalmAb,MIK,"Salmonella, vasta-aineet",NULL,S,NULL,MIKVAS,S-SALMAB
2607,01.10.2010,13.05.2014,S -SalmAb,MIK,"Salmonella, vasta-aineet",NULL,S,NULL,MIKVAS,S-SALMAB
2607,14.05.2014,12.04.2018,S -SalmAb,MIK,"Salmonella, vasta-aineet",NULL,S,NULL,MIKVAS,S-SALMAB
2607,13.04.2018,31.12.2300,S -SalmAb,MIK,"Salmonella, vasta-aineet",NULL,S,NULL,MIKVAS,S-SALMAB
2608,01.01.1994,24.11.2003,F -SalmVi,MIK,"F -Salmonella,viljely",NULL,Y,NULL,MIKVAS,F-SALMVI
2608,25.11.2003,31.12.2300,F -SalmVi,MIK,"Salmonella, viljely, uloste",NULL,Y,NULL,MIKVAS,F-SALMVI
2609,21.01.1988,31.12.2001,S -SaptAb,MIK,"S -Sappitiehyt, vasta-aineet",NULL,Y,titteri,MIKVAS,S-SAPTAB
261,18.09.2000,05.04.2005,-KSkäynt,KEM,Kotikäynti,NULL,Y,NULL,KEMIA,-KSKÄYNT
261,06.04.2005,31.12.2300,-KSkäynt,KEM,Kotikäynti,NULL,Y,NULL,KEMIA,-KSKÄYNT
2610,26.11.1985,31.12.2300,S -SchiAb,MIK,"Schistosoma, vasta-aineet",NULL,Y,NULL,MIKVAS,S-SCHIAB
2611,26.11.1985,01.09.2002,U -Schi-O,MIK,"-Schistosoma,kvalitatiivinen",(Bilhartsia),Y,NULL,MIKVAS,U-SCHI-O
2614,02.10.1991,26.05.1994,Pt-Sekr-R,KEM,Sekretiinikoe,NULL,T,NULL,NULL,PT-SEKR-R
2616,22.10.1984,28.01.1996,S -Se,KEM,Seleeni,NULL,Y,umol/l,KEMIA,S-SE
2616,29.01.1996,05.06.1996,P -Se,KEM,Seleeni,NULL,Y,umol/l,KEMIA,P-SE
2616,05.04.2002,14.07.2008,S -Se,KEM,Seleeni,NULL,Y,umol/l,KEMIA,S-SE
2617,26.04.1984,28.01.1996,U -Se,KEM,Seleeni,NULL,Y,umol/l,KEMIA,U-SE
2617,29.01.1996,02.07.1998,U -Se,KEM,Seleeni,NULL,Y,umol/l,KEMIA,U-SE
26194,10.12.2014,31.12.2300,-InfBNhO,MIK,"Influenssa B-virus, nukleiinih",appo (kval),Y,NULL,MIKVAS,-INFBNHO
26199,20.01.2014,31.12.2300,-PinfNhO,MIK,"Parainfluenssavirus, nukleiini",happo (kval),Y,NULL,MIKVAS,-PINFNHO
2620,01.01.1994,24.11.2003,F -ShigVi,MIK,"F -Shigella,viljely",NULL,Y,NULL,MIKVAS,F-SHIGVI
2620,25.11.2003,31.12.2300,F -ShigVi,MIK,"Shigella, viljely, uloste",NULL,Y,NULL,MIKVAS,F-SHIGVI
2623,31.01.1990,14.04.1994,S -Kud-Ab,MIK,"S -Kudos, vasta-aineet",NULL,S,titteri,IMMUN,S-KUD-AB
2625,22.05.1986,09.01.1996,Li-Siderof,KEM,Siderofaagit,NULL,Y,NULL,KEMIA,LI-SIDEROF
2626,21.02.1990,31.12.1998,S -SperAb,MIK,"S -Siittiö,vasta-aineet",NULL,Y,titteri,MIKVAS,S-SPERAB
2627,04.02.2000,17.01.2012,Pt-Sper-1,KEM,"Siemennestetutkimus, suppea",NULL,Y,Lausunto,KEMIA,PT-SPER-1
2628,08.01.2016,31.12.2300,Pt-Sper-2,KEM,"Siemennestetutkimus, laaja",NULL,Y,Lausunto,KEMIA,PT-SPER-2
26291,18.02.2016,31.12.2300,Sp-Pesu,KEM,"Siemenneste, koepesu",NULL,Y,Lausunto,KEMIA,SP-PESU
26292,18.02.2016,31.12.2300,Sp-Vita,KEM,Siittiöiden elävyystesti,NULL,Y,Lausunto,KEMIA,SP-VITA
26293,18.02.2016,31.12.2300,Sp-Morf,KEM,Siittiöiden morfologiatutkimus,NULL,Y,Lausunto,KEMIA,SP-MORF
26294,18.02.2016,31.12.2300,Sp-Frag,KEM,Siittiöiden fragmentaatiotesti,NULL,Y,Lausunto,KEMIA,SP-FRAG
26295,18.02.2016,31.12.2300,Sp-Pak-3,KEM,"Siemenneste, pakastus ja säily",tys 3 vuotta,Y,Lausunto,KEMIA,SP-PAK-3
26296,18.02.2016,31.12.2300,Sp-Pak,KEM,"Siemenneste, pakastus",NULL,Y,Lausunto,KEMIA,SP-PAK
26297,18.02.2016,31.12.2300,Säilytys1S,KEM,"Säilytys 1 vuosi, sperma",NULL,Y,Lausunto,KEMIA,SÄILYTYS1S
26298,18.02.2016,31.12.2300,Sp-Säil2v,KEM,"Siemenneste, säilytys 2 vuotta",NULL,Y,Lausunto,KEMIA,SP-SÄIL2V
26299,18.02.2016,31.12.2019,Ova-Pak-3,KEM,Munasarjakudoksen pakastus ja,säilytys 3 vuotta,Y,Lausunto,KEMIA,OVA-PAK-3
263,29.04.1982,11.04.2005,U -Alb-O,KEM,Albumiini (kval),NULL,Y,Arvio,KEMIA,U-ALB-O
26300,24.02.2016,31.12.2300,Sp-Vase,KEM,Vasektomiakontrolli,NULL,Y,Lausunto,KEMIA,SP-VASE
26301,03.06.2016,03.09.2019,Al-Säil1v,KEM,"Alkiot, säilytys 1 vuosi",NULL,Y,Lausunto,KEMIA,AL-SÄIL1V
26301,04.09.2019,31.12.2300,Em-Säil1v,KEM,"Alkiot, säilytys 1 vuosi",NULL,Y,Lausunto,KEMIA,EM-SÄIL1V
26302,03.06.2016,03.09.2019,Al-Säil2v,KEM,"Alkiot, säilytys 2 vuotta",NULL,Y,Lausunto,KEMIA,AL-SÄIL2V
26302,04.09.2019,31.12.2300,Em-Säil2v,KEM,"Alkiot, säilytys 2 vuotta",NULL,Y,Lausunto,KEMIA,EM-SÄIL2V
26303,03.06.2016,31.12.2300,Säilytys1O,KEM,"Säilytys 1 vuotta, munasolu",NULL,Y,Lausunto,KEMIA,SÄILYTYS1O
26304,03.06.2016,31.12.2300,Oo-Säil2v,KEM,"Munasolut, säilytys 2 vuotta",NULL,Y,Lausunto,KEMIA,OO-SÄIL2V
26305,31.10.2018,31.12.2300,Pt-IVF,KEM,Koeputkihedelmöityshoito,NULL,Y,Lausunto,KEMIA,PT-IVF
26306,31.10.2018,31.12.2300,Pt-ICSI,KEM,Mikrohedelmöityshoito,NULL,Y,Lausunto,KEMIA,PT-ICSI
26307,31.10.2018,31.12.2300,Pt-PAS,KEM,"Pakastealkio, sulatus ja siirt",o,Y,Lausunto,KEMIA,PT-PAS
26308,31.10.2018,31.12.2300,Sp-Hoito,KEM,"Siemenneste, käsittely hedelmö",ityshoitoa varten,Y,Lausunto,KEMIA,SP-HOITO
26309,31.10.2018,31.12.2300,Sp-PICSI,KEM,"Siittiöt, kypsien valinta mikr",ohedelmöitykseen,Y,Lausunto,KEMIA,SP-PICSI
26310,31.10.2018,31.12.2300,Oo-Ca-akt,KEM,"Munasolut, kalsiumaktivaatio",NULL,Y,Lausunto,KEMIA,OO-CA-AKT
26311,31.10.2018,31.12.2300,Em-AHA,KEM,"Alkio, kuoren avaus",NULL,Y,Lausunto,KEMIA,EM-AHA
26312,31.10.2018,31.12.2300,Sp-TESE,KEM,"Siittiöt, keräys kiveskudokses",ta,Y,Lausunto,KEMIA,SP-TESE
26313,31.10.2018,31.12.2300,Sp-mTESE,KEM,"Siittiöt, keräys kiveskudokses",ta mikroskooppileikkauksessa,Y,Lausunto,KEMIA,SP-MTESE
26314,31.10.2018,31.12.2300,Pt-ETLiuos,KEM,"Erityisliuos, alkionsiirto",NULL,Y,Lausunto,KEMIA,PT-ETLIUOS
26315,31.10.2018,31.12.2300,Em-ViLiuos,KEM,"Erityisliuos, alkionviljely",NULL,Y,Lausunto,KEMIA,EM-VILIUOS
26316,31.10.2018,31.12.2300,Ov-Pak,KEM,"Munasarjakudos, pakastus",NULL,Y,Lausunto,KEMIA,OV-PAK
26317,31.10.2018,31.12.2300,Ov-Sul,KEM,"Munasarjakudos, sulatus",NULL,Y,Lausunto,KEMIA,OV-SUL
26318,31.10.2018,31.12.2300,Oo-Pak,KEM,"Munasolut, pakastus",NULL,Y,Lausunto,KEMIA,OO-PAK
26319,31.10.2018,31.12.2300,Oo-Sul,KEM,"Munasolut, sulatus",NULL,Y,Lausunto,KEMIA,OO-SUL
2632,01.01.1994,24.11.2003,-SienVr,MIK,"-Sieni, värjäys",NULL,Y,NULL,MIKVAS,-SIENVR
2632,25.11.2003,31.12.2300,-SienVr,MIK,"Sieni, värjäys",NULL,Y,NULL,MIKVAS,-SIENVR
26320,31.10.2018,31.12.2300,Pt-Säil3v,KEM,"Sukusolut ja sukusolukudokset,","säilytys 3 vuotta, TAYS",Y,Lausunto,KEMIA,PT-SÄIL3V
2633,20.01.1994,26.03.2007,S -ParoAb,MIK,"Sikotautivirus, vasta-aineet",NULL,S,NULL,MIKVAS,S-PAROAB
2633,27.03.2007,30.09.2010,S -ParoAb,MIK,"Sikotautivirus, vasta-aineet",NULL,S,NULL,MIKVAS,S-PAROAB
2633,01.10.2010,31.03.2014,S -ParoAb,MIK,"Sikotautivirus, vasta-aineet",NULL,S,NULL,MIKVAS,S-PAROAB
2633,01.04.2014,31.12.2300,S -ParoAb,MIK,"Sikotautivirus, vasta-aineet",NULL,S,NULL,MIKVAS,S-PAROAB
2634,21.01.1988,14.08.2007,S -SiliAb,MIK,"Sileälihas, vasta-aineet",NULL,Y,titteri,MIKVAS,S-SILIAB
2634,15.08.2007,12.02.2020,S -SiliAb,MIK,"Sileälihas, vasta-aineet",NULL,Y,titteri,MIKVAS,S-SILIAB
2634,13.02.2020,31.12.2300,S -SiliAb,MIK,"Sileälihas, vasta-aineet",NULL,Y,titteri,MIKVAS,S-SILIAB
2637,01.08.1981,03.02.1992,dU-Zn,KEM,Sinkki,NULL,Y,umol,KEMIA,DU-ZN
2637,04.02.1992,10.06.1994,dU-Zn,KEM,Sinkki,NULL,Y,umol,KEMIA,DU-ZN
2637,11.06.1994,11.01.2001,dU-Zn,KEM,Sinkki,NULL,Y,umol,KEMIA,DU-ZN
2637,29.01.2009,16.05.2016,dU-Zn,KEM,"Sinkki, vuorokausivirtsa",NULL,Y,umol,KEMIA,DU-ZN
2637,17.05.2016,31.12.2300,dU-Zn,KEM,"Sinkki, vuorokausivirtsa",NULL,Y,umol,KEMIA,DU-ZN
2639,01.08.1981,03.02.1992,P -Zn,KEM,Sinkki,NULL,Y,umol/l,KEMIA,P-ZN
2639,04.02.1992,31.05.1994,P -Zn,KEM,Sinkki,NULL,Y,umol/l,KEMIA,P-ZN
2639,01.06.1994,23.09.2009,S -Zn,KEM,Sinkki,NULL,Y,umol/l,KEMIA,S-ZN
2639,24.09.2009,23.06.2015,P -Zn,KEM,Sinkki,NULL,Y,umol/l,KEMIA,P-ZN
2639,24.06.2015,16.05.2016,P -Zn,KEM,Sinkki,NULL,Y,umol/l,KEMIA,P-ZN
2639,17.05.2016,31.12.2300,P -Zn,KEM,Sinkki,NULL,Y,umol/l,KEMIA,P-ZN
264,23.05.2000,05.04.2005,Palvelu,KEM,Palvelumaksu,NULL,Y,NULL,KEMIA,PALVELU
264,06.04.2005,31.12.2300,Palvelu,KEM,Palvelumaksu,NULL,Y,NULL,KEMIA,PALVELU
26400,11.01.2011,31.12.2300,MUUOSOITE,KEM,Muu osoite,NULL,Y,NULL,KEMIA,MUUOSOITE
26401,25.05.2018,31.12.2300,VOS,KEM,Muu vastausosoite,NULL,Y,NULL,KEMIA,VOS
26402,25.05.2018,31.12.2300,LOS,KEM,Muu laskutusosoite,NULL,Y,NULL,KEMIA,LOS
26403,25.05.2018,31.12.2300,TOS,KEM,Turvakieltoasiakkaan osoite,NULL,Y,NULL,KEMIA,TOS
26404,25.05.2018,31.12.2300,MSIT,KEM,Maksusitoumus,NULL,Y,NULL,KEMIA,MSIT
26405,18.04.2019,31.12.2300,Suolseul,KEM,Suolistoseulonta,NULL,Y,NULL,KEMIA,SUOLSEUL
2643,01.08.1981,31.12.2001,B -Morfo,KEM,Solujen morfologinen tarkastel,NULL,Y,Lausunto,KEMIA,B-MORFO
2643,01.01.2002,31.12.2010,B -Morfo,HEM,Solujen morfologinen tarkastel,u,Y,Lausunto,NULL,B-MORFO
2643,01.01.2011,31.12.2300,B -Morfo,HEM,Solujen morfologinen tarkastel,u,Y,Lausunto,NULL,B-MORFO
2646,01.08.1981,01.06.1994,U -Soke-Fr,KEM,"Sokerit, fraktiot",NULL,Y,Lausunto,KEMIA,U-SOKE-FR
26466,06.04.2020,31.12.2300,-NCovNhO,MIK,"COVID-19-koronavirustauti, nuk",leiinihappo (kval),Y,NULL,MIKVAS,-NCOVNHO
2648,03.02.1994,10.10.2001,U -Soke-O,KEM,"Sokerit (pelkistävät, kval)",NULL,Y,Arvio,KEMIA,U-SOKE-O
265,30.09.1999,05.04.2005,Näytt.otto,KEM,Näytteenotto,NULL,Y,NULL,KEMIA,NÄYTT.OTTO
265,06.04.2005,31.12.2300,Näytt.otto,KEM,Näytteenotto,NULL,Y,NULL,KEMIA,NÄYTT.OTTO
2650,02.01.2020,31.12.2300,Af-Solut,KEM,"Solut, aspiraatti",NULL,Y,10E6/l,KEMIA,AF-SOLUT
2651,13.03.2000,31.12.2300,As-Solut,KEM,"Solut, askitesneste",NULL,Y,10E6/l,KEMIA,AS-SOLUT
2655,09.10.1991,08.01.2020,Li-Solut,KEM,"Solut, selkäydinneste",NULL,S,NULL,KEMIA,LI-SOLUT
2655,09.01.2020,31.12.2300,Li-Solut,KEM,"Solut, selkäydinneste",NULL,S,NULL,KEMIA,LI-SOLUT
2657,13.03.2000,31.12.2300,Pf-Solut,KEM,"Solut, pleuraneste",NULL,Y,10E6/l,KEMIA,PF-SOLUT
2658,13.03.2000,31.12.2300,Sy-Solut,KEM,"Solut, nivelneste",NULL,Y,10E6/l,KEMIA,SY-SOLUT
266,23.05.2000,05.04.2005,Erit.n.ott,KEM,"Erityisnäytteenotto (PAPA,",EKG yms),Y,NULL,KEMIA,ERIT.N.OTT
266,06.04.2005,31.12.2300,Erit.n.ott,KEM,"Erityisnäytteenotto (PAPA, EKG",yms),Y,NULL,KEMIA,ERIT.N.OTT
2664,01.08.1981,22.01.1992,Li-Spektri,KEM,Spektri (320-650 nm),NULL,Y,Lausunto,KEMIA,LI-SPEKTRI
2664,23.01.1992,18.11.2009,Li-Spektri,KEM,"Spektri (320-650 nm), selkäydi",nneste,Y,Lausunto,KEMIA,LI-SPEKTRI
2664,19.11.2009,30.10.2016,Li-Spektri,MIK,"Spektri (320-650 nm), selkäydi",nneste,Y,Lausunto,KEMIA,LI-SPEKTRI
2664,31.10.2016,31.12.2300,Li-Spektri,MIK,"Spektri (320-650 nm), selkäydi",nneste,Y,Lausunto,KEMIA,LI-SPEKTRI
267,23.05.2000,05.04.2005,Toim.-koe,KEM,Näytteenotto toimintakokeessa,NULL,Y,NULL,KEMIA,TOIM.-KOE
267,06.04.2005,31.12.2300,Toim.-koe,KEM,Näytteenotto toimintakokeessa,NULL,Y,NULL,KEMIA,TOIM.-KOE
2680,16.01.2001,31.12.2300,Pt-FVSpiro,KEM,Virtaustilavuus-spirometria,NULL,Y,Lausunto,KEMIA,PT-FVSPIRO
2682,31.01.2000,31.12.2300,Pt-FVSpirD,KEM,Virtaustilavuus-spirometria ja,bronkodilataatiokoe,Y,Lausunto,KEMIA,PT-FVSPIRD
2698,30.11.1989,24.11.2003,-Sterkon,MIK,"-Sterilointikontrolli,",sterilaattorien biolog.kontr.,Y,NULL,MIKVAS,-STERKON
2698,25.11.2003,31.12.2300,-Sterkon,MIK,Sterilointikontrolli,NULL,Y,NULL,MIKVAS,-STERKON
27,01.12.1988,01.04.2003,KOMMENTTI,KEM,KOMMENTTI,NULL,Y,NULL,NULL,KOMMENTTI
2700,21.01.1988,16.04.2002,S -StrDNAb,MIK,"S -Streptococcus DNAasi, vasta",-aineet,Y,titteri,MIKVAS,S-STRDNAB
2700,17.04.2002,31.12.2003,S -StrDNAb,MIK,"S -Streptococcus DNAasi, vasta",-aineet,Y,U/ml,MIKVAS,S-STRDNAB
2700,01.01.2004,02.02.2010,S -StrDNAb,MIK,"Streptococcus DNAasi, vasta-ai",neet,Y,titteri,MIKVAS,S-STRDNAB
2700,03.02.2010,11.05.2014,S -StrDNAb,MIK,"Streptococcus DNAasi, vasta-ai",neet,Y,U/ml,MIKVAS,S-STRDNAB
2700,12.05.2014,31.12.2300,S -StrDNAb,MIK,"Streptococcus DNAasi, vasta-ai",neet,Y,U/ml,MIKVAS,S-STRDNAB
2703,29.12.1989,24.11.2003,Ps-StrVi,MIK,"Ps-Streptococcus,viljely nielu",NULL,Y,NULL,MIKVAS,PS-STRVI
2703,25.11.2003,31.12.2300,Ps-StrVi,MIK,"Streptococcus, viljely (hemoly",ytt. streptokokit nielusta),Y,NULL,MIKVAS,PS-STRVI
2704,24.07.2002,10.01.2012,P -FX,KEM,Hyytymistekijä X,NULL,Y,%,KEMIA,P-FX
2704,11.01.2012,01.06.2015,P -FX,KEM,Hyytymistekijä X,NULL,Y,%,KEMIA,P-FX
2704,02.06.2015,30.09.2019,P -FX,KEM,Hyytymistekijä X,NULL,Y,%,KEMIA,P-FX
2704,01.10.2019,31.12.2300,P -FX,KEM,Hyytymistekijä X,NULL,Y,%,KEMIA,P-FX
2706,14.05.1992,31.12.2300,Bm-Suda-Vr,KEM,"Sudanblack-B- värjäys, luuydin",NULL,Y,NULL,KEMIA,BM-SUDA-VR
271,24.09.1999,31.12.2300,Pt-Krea-Cl,KEM,"Kreatiniinin poistuma, paketti",NULL,P,NULL,KEMIA,PT-KREA-CL
2715,01.08.1981,31.12.2300,U -Suhti,KEM,Suhteellinen tiheys,NULL,Y,(suhde),KEMIA,U-SUHTI
272,13.03.2000,08.01.2020,Sy-Gran,KEM,"Granulosyytit, nivelneste",NULL,Y,%,KEMIA,SY-GRAN
272,09.01.2020,31.12.2300,Sy-Neut+Eo,KEM,"Neutrofiilit+Eosinofiilit, niv",elneste,Y,%,KEMIA,SY-NEUT+EO
2721,21.01.1988,26.05.1995,S -Sydl-Ab,MIK,"S -Sydänlihas,vasta-aineet",NULL,Y,TITTERI,IMMUN,S-SYDL-AB
2721,11.10.1996,31.12.2007,S -SydlAb,MIK,"Sydänlihas, vasta-aineet",NULL,Y,titteri,MIKVAS,S-SYDLAB
2722,07.08.1986,04.05.1993,dU-cAMP,KEM,Syklinen AMP,NULL,Y,umol,KEMIA,DU-CAMP
2725,24.08.1983,09.09.1993,S -Sylr-Ab,MIK,"S -Sylkirauhanen, vasta-aineet",NULL,Y,titteri,IMMUN,S-SYLR-AB
2725,10.09.1993,01.06.2005,S -SylrAb,MIK,"Sylkirauhanen, vasta-aineet",NULL,Y,titteri,MIKVAS,S-SYLRAB
2727,01.01.1994,09.11.1998,S -CMVAb,MIK,"S -Sytomegalovirus,",vasta-aineet (EIA),S,NULL,MIKVAS,S-CMVAB
2727,10.11.1998,23.11.1998,S -CMVAb,MIK,"S -Sytomegalovirus,vasta-aine",NULL,P,NULL,MIKVAS,S-CMVAB
2727,24.11.1998,31.12.2300,S -CMVAb,MIK,"Cytomegalo virus, vasta-aineet",NULL,S,NULL,MIKVAS,S-CMVAB
2732,01.08.1981,11.05.2014,S -TeikAb,MIK,"Teikkohappo, vasta-aineet",NULL,Y,titteri,MIKVAS,S-TEIKAB
2732,12.05.2014,31.12.2300,S -TeikAb,MIK,"Teikkohappo, vasta-aineet",NULL,Y,titteri,MIKVAS,S-TEIKAB
2733,01.08.1981,31.12.2300,S -Teofy,KEM,Teofylliini,NULL,Y,umol/l,KEMIA,S-TEOFY
2735,01.08.1981,16.05.1996,S -Testo,KEM,Testosteroni,NULL,Y,nmol/l,KEMIA,S-TESTO
2735,17.05.1996,05.06.2006,S -Testo,KEM,Testosteroni,NULL,Y,nmol/l,KEMIA,S-TESTO
2735,06.06.2006,12.07.2015,S -Testo,KEM,Testosteroni,NULL,Y,nmol/l,KEMIA,S-TESTO
2735,13.07.2015,31.12.2300,S -Testo,KEM,Testosteroni,NULL,Y,nmol/l,KEMIA,S-TESTO
2736,31.08.1983,24.02.2000,S -Testo-V,KEM,"Testosteroni, vapaa",NULL,Y,pmol/l,KEMIA,S-TESTO-V
2736,25.02.2000,30.09.2002,S -Testo-V,KEM,"Testosteroni, vapaa",NULL,Y,pmol/l,KEMIA,S-TESTO-V
2736,01.10.2002,09.12.2009,S -Testo-V,KEM,"Testosteroni, vapaa",NULL,Y,pmol/l,KEMIA,S-TESTO-V
2736,10.12.2009,03.02.2010,S -Testo-V,KEM,"Testosteroni, vapaa",NULL,Y,pmol/l,KEMIA,S-TESTO-V
2736,04.02.2010,04.10.2015,S -Testo-V,KEM,"Testosteroni, vapaa",NULL,Y,pmol/l,KEMIA,S-TESTO-V
