CodeId,ShortName,LongName,ParentId,HierarchyLevel,BeginningDate,ExpiringDate,Code1,Code2,English_name,ICD10who_code,exists_in_ICD10who,ICD10who_name,English_name_match_level,ICD10who_match_level
F93.1,Laps.pelko- ja ahdistushäiriö,Lapsuuden pelko- ja ahdistushäiriö,F93,3,1900-01-01,2020-12-31,F93.1,NA,Phobic anxiety disorder of childhood,F93.1,TRUE,Phobic anxiety disorder of childhood,0,match_exactly
F93.2,Laps.sosiaalinen ahdistushäir,Lapsuuden sosiaalinen ahdistushäiriö,F93,3,1900-01-01,2020-12-31,F93.2,NA,Social anxiety disorder of childhood,F93.2,TRUE,Social anxiety disorder of childhood,0,match_exactly
F93.3,Sisaruskateus[häiriö],Sisaruskateushäiriö,F93,3,1900-01-01,2020-12-31,F93.3,NA,Sibling rivalry disorder,F93.3,TRUE,Sibling rivalry disorder,0,match_exactly
F93.80,Lapsuusiän yleistynyt ahdistus,Lapsuuden yleistynyt ahdistushäiriö,F93,3,1900-01-01,2020-12-31,F93.80,NA,NA,F93.8,FALSE,Other childhood emotional disorders,NA,match_first_code_parent
F93.89,Muu lapsuusiän tunnehäir,Muu lapsuuden tunnehäiriö,F93,3,1997-01-27,2020-12-31,F93.89,NA,Other childhood emotional disorders,F93.8,FALSE,Other childhood emotional disorders,NA,match_first_code_parent
F93.9,Lapsuusiän tunnehäiriö NAS,Määrittämätön lapsuuden tunnehäiriö,F93,3,1900-01-01,2020-12-31,F93.9,NA,"Childhood emotional disorder, unspecified",F93.9,TRUE,"Childhood emotional disorder, unspecified",0,match_exactly
F94,Laps/nuor.alk.sos.vuorovaik.hä,Lapsuudessa tai nuoruusiässä alkavat sosiaalisen vuorovaikutuksen häiriöt,F90-F98,2,1900-01-01,2020-12-31,F94,NA,Disorders of social functioning with onset specific to childhood and adolescence,F94,TRUE,Disorders of social functioning with onset specific to childhood and adolescence,0,match_exactly
F94.0,Valikoiva puhumattomuus,Valikoiva puhumattomuus,F94,3,1900-01-01,2020-12-31,F94.0,NA,Elective mutism,F94.0,TRUE,Elective mutism,0,match_exactly
F94.1,Laps.reakt.kiintymyssuhdehäir,Lapsuuden kiintymyssuhteiden reaktiivinen häiriö,F94,3,1900-01-01,2020-12-31,F94.1,NA,Reactive attachment disorder of childhood,F94.1,TRUE,Reactive attachment disorder of childhood,0,match_exactly
F94.2,Laps.estoton kiintymyssuhdehäi,Lapsuuden kiintymyssuhteiden estottomuus,F94,3,1900-01-01,2020-12-31,F94.2,NA,Disinhibited attachment disorder of childhood,F94.2,TRUE,Disinhibited attachment disorder of childhood,0,match_exactly
F94.8,Muu laps.sos.vuorovaik.häiriö,Muu lapsuuden sosiaalisen vuorovaikutuksen häiriö,F94,3,1900-01-01,2020-12-31,F94.8,NA,Other childhood disorders of social functioning,F94.8,TRUE,Other childhood disorders of social functioning,0,match_exactly
F94.9,Laps.sos.vuorovaikut. häir.NAS,Määrittämätön lapsuuden sosiaalisen vuorovaikutuksen häiriö,F94,3,1900-01-01,2020-12-31,F94.9,NA,"Childhood disorder of social functioning, unspecified",F94.9,TRUE,"Childhood disorder of social functioning, unspecified",0,match_exactly
F95,Nykimishäiriöt,Nykimishäiriöt,F90-F98,2,1900-01-01,2020-12-31,F95,NA,Tic disorders,F95,TRUE,Tic disorders,0,match_exactly
F95.0,Väliaikainen nykimishäiriö,Väliaikainen nykimishäiriö,F95,3,1900-01-01,2020-12-31,F95.0,NA,Transient tic disorder,F95.0,TRUE,Transient tic disorder,0,match_exactly
F95.1,Kroon.motor/äänell.nykimishäir,Pitkäaikainen motorinen tai äänellinen nykimishäiriö,F95,3,1900-01-01,2020-12-31,F95.1,NA,Chronic motor or vocal tic disorder,F95.1,TRUE,Chronic motor or vocal tic disorder,0,match_exactly
F95.2,Sdr.Gilles de la Tourette,Samanaikainen äänellinen ja motorinen monimuotoinen nykimishäiriö,F95,3,1900-01-01,2020-12-31,F95.2,NA,Combined vocal and multiple motor tic disorder,F95.2,TRUE,Combined vocal and multiple motor tic disorder [de la Tourette],17,match_exactly
F95.8,Muu määritetyt nykimishäiriö,Muu määritetyt nykimishäiriö,F95,3,1900-01-01,2020-12-31,F95.8,NA,Other tic disorders,F95.8,TRUE,Other tic disorders,0,match_exactly
F95.9,Määrittämätön nykimishäiriö,Määrittämätön nykimishäiriö,F95,3,1900-01-01,2020-12-31,F95.9,NA,"Tic disorder, unspecified",F95.9,TRUE,"Tic disorder, unspecified",0,match_exactly
F98,Muut laps/nuor.alk.toim/tunneh,Muut tavallisesti lapsuudessa tai nuoruusiässä alkavat toiminto- ja tunnehäiriöt,F90-F98,2,1900-01-01,2020-12-31,F98,NA,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,F98,TRUE,Other behavioural and emotional disorders with onset usually occurring in childhood and adolescence,0,match_exactly
F98.0,Ei-elimellinen kastelu,Ei-elimellinen kastelu,F98,3,1997-06-18,2020-12-31,F98.0,NA,Nonorganic enuresis,F98.0,TRUE,Nonorganic enuresis,0,match_exactly
F98.00,Ei-elimellinen yökastelu,Ei-elimellinen yökastelu,F98.0,4,1997-06-18,2020-12-31,F98.00,NA,Nonorganic enuresis nocturna,F98.0,FALSE,Nonorganic enuresis,NA,match_first_code_parent
F98.01,Ei-elimellinen päiväkastelu,Ei-elimellinen päiväkastelu,F98.0,4,1997-06-18,2020-12-31,F98.01,NA,NA,F98.0,FALSE,Nonorganic enuresis,NA,match_first_code_parent
F98.02,Ei-elimellinen yö- ja päiväkastelu,Ei-elimellinen yö- ja päiväkastelu,F98.0,4,1997-06-18,2020-12-31,F98.02,NA,NA,F98.0,FALSE,Nonorganic enuresis,NA,match_first_code_parent
F98.1,Ei-elimellinen tuhriminen,Ei-elimellinen tuhriminen,F98,3,1997-06-19,2020-12-31,F98.1,NA,Nonorganic encopresis,F98.1,TRUE,Nonorganic encopresis,0,match_exactly
F98.10,Ei-elimellinen tuhriminen fysiologisen suolen hal,Ei-elimellinen tuhriminen fysiologisen suolen hallinnan saavuttamisen epäonnistuminen,F98.1,4,1997-06-19,2020-12-31,F98.10,NA,NA,F98.1,FALSE,Nonorganic encopresis,NA,match_first_code_parent
F98.11,Ei-elimellinen tuhriminen ulostaminen sopimattomi,Ei-elimellinen tuhriminen ulostaminen sopimattomiin paikkoihin huolimatta riittävästä suolen hallinnasta ja kiinteydeltään normaaleista ulosteista,F98.1,4,1997-06-19,2020-12-31,F98.11,NA,NA,F98.1,FALSE,Nonorganic encopresis,NA,match_first_code_parent
F98.12,Ei-elimellinen tuhriminen ja erittäin löysät ulos,Ei-elimellinen tuhriminen ja erittäin löysät ulosteet,F98.1,4,1997-06-19,2020-12-31,F98.12,NA,NA,F98.1,FALSE,Nonorganic encopresis,NA,match_first_code_parent
F98.19,Ei-elimellinen tuhriminen muu tai määrittämätön,Ei-elimellinen tuhriminen muu tai määrittämätön,F98.1,4,1997-06-19,2020-12-31,F98.19,NA,NA,F98.1,FALSE,Nonorganic encopresis,NA,match_first_code_parent
F98.2,Imeväis- ja lapsuus.syömishäir,Lapsen tai imeväisen syömishäiriö,F98,3,1900-01-01,2020-12-31,F98.2,NA,Feeding disorder of infancy and childhood,F98.2,TRUE,Feeding disorder of infancy and childhood,0,match_exactly
F98.3,Imev/lapsuusiän pica-oireyhtym,Lapsen tai imeväisen pica-oireyhtymä,F98,3,1900-01-01,2020-12-31,F98.3,NA,Pica of infancy and childhood,F98.3,TRUE,Pica of infancy and childhood,0,match_exactly
F98.4,Kaavamaiset liikehäiriöt,Kaavamaiset liikehäiriöt,F98,3,1900-01-01,2020-12-31,F98.4,NA,Stereotyped movement disorders,F98.4,TRUE,Stereotyped movement disorders,0,match_exactly
F98.40,Kaavamaiset liikehäiriöt ei itseä vahingoittavat,Kaavamaiset liikehäiriöt ei itseä vahingoittavat,F98.4,4,1997-06-19,2020-12-31,F98.40,NA,NA,F98.4,FALSE,Stereotyped movement disorders,NA,match_first_code_parent
F98.41,Kaavamaiset liikehäiriöt itseä vahingoittavat,Kaavamaiset liikehäiriöt itseä vahingoittavat,F98.4,4,1997-06-19,2020-12-31,F98.41,NA,NA,F98.4,FALSE,Stereotyped movement disorders,NA,match_first_code_parent
F98.42,Kaavamaiset liikehäiriöt sekamuotoinen tai määrit,Kaavamaiset liikehäiriöt sekamuotoinen tai määrittämätön,F98.4,4,1997-06-19,2020-12-31,F98.42,NA,NA,F98.4,FALSE,Stereotyped movement disorders,NA,match_first_code_parent
F98.5,Änkytys,Änkytys,F98,3,1900-01-01,2020-12-31,F98.5,NA,Stuttering [stammering],F98.5,TRUE,Stuttering [stammering],0,match_exactly
F98.6,Sokellus,Sokellus,F98,3,1900-01-01,2020-12-31,F98.6,NA,Cluttering,F98.6,TRUE,Cluttering,0,match_exactly
F98.8,Muu laps/nuor.alk.toim/tunnehä,Muu tavallisesti lapsuus- tai nuoruusiässä alkava toiminto- ja tunnehäiriö,F98,3,1900-01-01,2020-12-31,F98.8,NA,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,F98.8,TRUE,Other specified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,0,match_exactly
F98.9,Laps/nuor.alk.toim/tunnehä.NAS,Tarkemmin määrittämättömät tavallisesti lapsuudessa ja nuoruudessa alkavat toiminto- ja tunnehäiriöt,F98,3,1900-01-01,2020-12-31,F98.9,NA,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,F98.9,TRUE,Unspecified behavioural and emotional disorders with onset usually occurring in childhood and adolescence,0,match_exactly
F99,Mielenterveyden häiriö NAS,Tarkemmin määrittämätön mielenterveyden häiriö,F99-F99,2,1900-01-01,2020-12-31,F99,NA,"Mental disorder, not otherwise specified",F99,TRUE,"Mental disorder, not otherwise specified",0,match_exactly
F99-F99,Mielenterveyden häiriö NAS,Määrittämätön mielenterveyden häiriö,F00-F99,1,1900-01-01,2020-12-31,F99,F99,NA,NA,FALSE,NA,NA,classification_code
G00,"Bakt.meningiitt,ei muuall.luok",Muualla luokittamattomat bakteriaaliset aivokalvojen ja selkäydinkalvojen tulehdukset,G00-G09,2,1900-01-01,2020-12-31,G00,NA,"Bacterial meningitis, not elsewhere classified",G00,TRUE,"Bacterial meningitis, not elsewhere classified",0,match_exactly
G00-G09,Keskusherm. tulehdussairaudet,Keskushermoston tulehdussairaudet,G00-G99,1,1900-01-01,2020-12-31,G00,G09,Inflammatory diseases of the central nervous system,NA,FALSE,NA,NA,classification_code
G00-G99,Hermoston sairaudet,Hermoston sairaudet,NA,0,1900-01-01,2020-12-31,G00,G99,Diseases of the nervous system,NA,FALSE,NA,NA,classification_code
G00.0,Haemophilus-aivokalvotulehdus,Haemophilus-aivokalvotulehdus,G00,3,1900-01-01,2020-12-31,G00.0,NA,Haemophilus meningitis,G00.0,TRUE,Haemophilus meningitis,0,match_exactly
G00.1,"Aivokalvotulehdus,pnemokokk",Pneumokokin aiheuttama aivokalvotulehdus,G00,3,1900-01-01,2020-12-31,G00.1,NA,Pneumococcal meningitis,G00.1,TRUE,Pneumococcal meningitis,0,match_exactly
G00.2,Streptokokin aih.aivokalvotul,Streptokokin aiheuttama aivokalvotulehdus,G00,3,1900-01-01,2020-12-31,G00.2,NA,Streptococcal meningitis,G00.2,TRUE,Streptococcal meningitis,0,match_exactly
G00.3,Stafylokokin aih.aivokalvotul,Stafylokokin aiheuttama aivokalvotulehdus,G00,3,1900-01-01,2020-12-31,G00.3,NA,Staphylococcal meningitis,G00.3,TRUE,Staphylococcal meningitis,0,match_exactly
G00.8,Muu bakt.aivokalvotulehd,Muu bakteriaalinen aivokalvotulehdus,G00,3,1900-01-01,2020-12-31,G00.8,NA,Other bacterial meningitis,G00.8,TRUE,Other bacterial meningitis,0,match_exactly
G00.9,"Bakter.aivokalvotulehdus,NAS",Määrittämätön bakteriaalinen aivokalvotulehdus,G00,3,1900-01-01,2020-12-31,G00.9,NA,"Bacterial meningitis, unspecified",G00.9,TRUE,"Bacterial meningitis, unspecified",0,match_exactly
G01*,Muuhun bakt.taut.liitt.mening,Aivokalvotulehdus muualla luokitetun bakteeritaudin yhteydessä,G00-G09,2,1900-01-01,2020-12-31,G01,NA,Meningitis in bacterial diseases classified elsewhere,G01*,TRUE,Meningitis in bacterial diseases classified elsewhere,0,match_one_code_removing_mark
G01*A01.0,Salm.typhi.liitt.mening,Lavantautiin liittyvä aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A01.0,Meningitis (in) typhoid fever,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A02.2,Salmonellameningiitti,Salmonellan aiheuttama aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A02.2,Salmonella meningitis,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A17.0,Tuberkuloottinen meningiitti,Tuberkuloottinen meningiitti,G00-G09,2,1900-01-01,2020-12-31,G01,A17.0,Tuberculous meningitis,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A22.8,Pernarutt.liitt.mening,Pernaruton aiheuttama aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A22.8,Anthrax meningitis+,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A27.9,Leptospir.liitt.mening,Leptospiroosiin liittyvä aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A27.9,Meningitis (in) leptospirosis,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A32.1,Listeriaan.liitt.mening,Listerian aiheuttama aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A32.1,Listerial meningitis,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A39.0,Meningokok.liitt.mening,Meningokokin aiheuttama aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A39.0,Meningococcal meningitis,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A50.4,Myöh.synn.syph.liitt.mening,Myöhäinen synnynnäisen kupan aiheuttama aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A50.4,Late congenital syphilitic meningitis+,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A51.4,Sek. syphilis.liitt.mening,Sekundaarisen kupan aiheuttama aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A51.4,Secondary syphilitic meningitis+,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A52.1,"Myöh. syphilis, mening",Myöhäiskupan aiheuttama aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A52.1,Late syphilitic meningitis+,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A54.8,Gonok.liitt.mening,Gonokokin aiheuttama aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A54.8,Gonococcal meningitis+,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G01*A69.2,Lymen borr.hiitt.mening,Lymen borrelioosiin liittyvä aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G01,A69.2,Meningitis (in) Lyme disease,G01,FALSE,Meningitis in bacterial diseases classified elsewhere,NA,match_first_code
G02*,Muuhun inf/loist.liitt.mening,Muualla luokitettu muuhun tartunta- tai loistautiin liittyvä aivokalvotulehdus,G00-G09,2,1900-01-01,2020-12-31,G02,NA,Meningitis in other infectious and parasitic diseases classified elsewhere,G02*,TRUE,Meningitis in other infectious and parasitic diseases classified elsewhere,0,match_one_code_removing_mark
G02.0*,Virussair.liitt.aivokalvotuleh,Aivokalvotulehdus muualla luokitetun virussairauden yhteydessä,G02*,3,1900-01-01,2020-12-31,G02.0,NA,Meningitis in viral diseases classified elsewhere,G02.0*,TRUE,Meningitis in viral diseases classified elsewhere,0,match_one_code_removing_mark
G02.0*A87.0,Enterovir. liitt.aivokalvotule,Enteroviruksen aiheuttama aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,A87.0,Enteroviral meningitis,G02.0,FALSE,Meningitis in viral diseases classified elsewhere,NA,match_first_code
G02.0*A87.1,Adenovir.liitt.aivokalvotuleh,Adenoviruksen aiheuttama aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,A87.1,Adenoviral meningitis,G02.0,FALSE,Meningitis in viral diseases classified elsewhere,NA,match_first_code
G02.0*B00.3,Herpesvir. liitt.aivokalvotule,Herpesviruksen aiheuttama aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,B00.3,Herpesviral meningitis,G02.0,FALSE,Meningitis in viral diseases classified elsewhere,NA,match_first_code
G02.0*B01.0,Vesirokko.liitt.aivokalvotuleh,Vesirokkoviruksen aiheuttama aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,B01.0,Varicella meningitis,B01.0+,TRUE,Varicella meningitis,0,match_longName
G02.0*B02.1,Vyöruusuun.liitt.aivokalvotule,Vyöruusuun liittyvä aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,B02.1,Zoster meningitis,G02.0,FALSE,Meningitis in viral diseases classified elsewhere,NA,match_first_code
G02.0*B05.1,Tuhkarokk..liitt.aivokalvotule,Tuhkarokon jälkeinen aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,B05.1,Meningitis (due to) measles,B05.1+,TRUE,Measles complicated by meningitis,26,match_longName
G02.0*B06.0,"Vihurirokko,aivokalvotulehd.",Vihurirokkoviruksen aiheuttama aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,B06.0,Rubella meningitis,G02.0,FALSE,Meningitis in viral diseases classified elsewhere,NA,match_first_code
G02.0*B26.1,"Sikotaudin, aivokalvotuleh",Sikotaudin aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,B26.1,Mumps meningitis,G02.0,FALSE,Meningitis in viral diseases classified elsewhere,NA,match_first_code
G02.0*B27.9,Mononukl.liitt.aivokalvotuleh,Mononukleoosiin liittyvä aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.0,B27.9,Meningitis (due to) infectious mononucleosis,G02.0,FALSE,Meningitis in viral diseases classified elsewhere,NA,match_first_code
G02.1*,Sienitaut.liitt.aivokalvotuleh,Sienitauteihin liittyvä aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.1,NA,Meningitis in mycoses,G02.1*,TRUE,Meningitis in mycoses,0,match_one_code_removing_mark
G02.1*B37.5,Kandida.aivokalvotuleh,Kandidan aiheuttama aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.1,B37.5,Candidal meningitis,G02.1,FALSE,Meningitis in mycoses,NA,match_first_code
G02.1*B38.4,Koksidioidm.liitt.aivokalvotul,Koksidioidomykoosiin liittyvä aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.1,B38.4,Coccidioidomycosis meningitis,B38.4+,TRUE,Coccidioidomycosis meningitis,0,match_longName
G02.1*B45.1,Kryptokokk.aivokalvotuleh,Kryptokokkoosiin liittyvä aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.1,B45.1,Cryptococcal meningitis,G02.1,FALSE,Meningitis in mycoses,NA,match_first_code
G02.8*,Muuhun inf/loist.liitt.mening,Aivokalvotulehdus muualla luokitetun muun tartunta- tai loistaudin yhteydessä,G02*,3,1900-01-01,2020-12-31,G02.8,NA,Meningitis in other specified infectious and parasitic diseases classified elsewhere,G02.8*,TRUE,Meningitis in other specified infectious and parasitic diseases classified elsewhere,0,match_one_code_removing_mark
G02.8*B56.9,Afr.trypan..liitt.meningi,Afrikkalaiseen trypanosomiaasiin liittyvä aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.8,B56.9,Meningitis due to African trypanosomiasis,G02.8,FALSE,Meningitis in other specified infectious and parasitic diseases classified elsewhere,NA,match_first_code
G02.8*B57.4,Chagas.liitt.meningi,Pitkäaikaiseen Chagasin tautiin liittyvä aivokalvotulehdus,G02*,3,1900-01-01,2020-12-31,G02.8,B57.4,Meningitis due to Chagas' disease (chronic),G02.8,FALSE,Meningitis in other specified infectious and parasitic diseases classified elsewhere,NA,match_first_code
G03,Muun syyn aih.aivokalvotulehd,Muista tai määrittämättömistä syistä aiheutuneet aivokalvotulehdukset,G00-G09,2,1900-01-01,2020-12-31,G03,NA,Meningitis due to other and unspecified causes,G03,TRUE,Meningitis due to other and unspecified causes,0,match_exactly
G03.0,Ei-märkäinen aivokalvotulehdus,Ei-märkäinen aivokalvotulehdus,G03,3,1900-01-01,2020-12-31,G03.0,NA,Nonpyogenic meningitis,G03.0,TRUE,Nonpyogenic meningitis,0,match_exactly
G03.1,Kroon. aivokalvotulehdus,Pitkäaikainen aivokalvotulehdus,G03,3,1900-01-01,2020-12-31,G03.1,NA,Chronic meningitis,G03.1,TRUE,Chronic meningitis,0,match_exactly
G03.2,Benign.uusiut.aivokalvotulehd,Hyvänlaatuinen uusiutuva aivokalvotulehdus (Mollaret),G03,3,1900-01-01,2020-12-31,G03.2,NA,Benign recurrent meningitis [Mollaret],G03.2,TRUE,Benign recurrent meningitis [Mollaret],0,match_exactly
G03.8,Muun syyn aih.aivokalvotulehdu,Muusta määritetystä syystä aiheutuva aivokalvotulehdus,G03,3,1900-01-01,2020-12-31,G03.8,NA,Meningitis due to other specified causes,G03.8,TRUE,Meningitis due to other specified causes,0,match_exactly
G03.9,Aivokalvotulehdus NAS,Määrittämätön aivokalvotulehdus,G03,3,1900-01-01,2020-12-31,G03.9,NA,"Meningitis, unspecified",G03.9,TRUE,"Meningitis, unspecified",0,match_exactly
G04,Enkefal/myeliitt/enkefalomyel.,"Aivotulehdus, selkäydintulehdus tai aivo-selkäydintulehdus",G00-G09,2,1900-01-01,2020-12-31,G04,NA,"Encephalitis, myelitis and encephalomyelitis",G04,TRUE,"Encephalitis, myelitis and encephalomyelitis",0,match_exactly
G04.0#,Akuutt.dissem.aivotulehdus,Akuutti hajapesäkkeinen aivotulehdus,G04,3,1900-01-01,2020-12-31,G04.0,NA,Acute disseminated encephalitis,G04.0#,TRUE,Acute disseminated encephalitis,0,match_one_code_removing_mark
G04.1,Trooppin.spastinen paraplegia,Trooppinen spastinen paraplegia,G04,3,1900-01-01,2020-12-31,G04.1,NA,Tropical spastic paraplegia,G04.1,TRUE,Tropical spastic paraplegia,0,match_exactly
G04.2,"Bakt.meningoenkefaliitt,muu",Muualla luokittamaton bakteriaalinen aivokalvo-aivotulehdus tai aivokalvo-selkäydintulehdus,G04,3,1900-01-01,2020-12-31,G04.2,NA,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",G04.2,TRUE,"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified",0,match_exactly
G04.8,Muu enkefaliitt/myeliitti,"Muu aivotulehdus, selkäydintulehdus tai aivo-selkäydintulehdus",G04,3,1900-01-01,2020-12-31,G04.8,NA,"Other encephalitis, myelitis and encephalomyelitis",G04.8,TRUE,"Other encephalitis, myelitis and encephalomyelitis",0,match_exactly
G04.9,Enkefaliitti/myeliitti NAS,"Määrittämätön aivotulehdus, selkäydintulehdus tai aivo-selkäydintulehdus",G04,3,1900-01-01,2020-12-31,G04.9,NA,"Encephalitis, myelitis and encephalomyelitis, unspecified",G04.9,TRUE,"Encephalitis, myelitis and encephalomyelitis, unspecified",0,match_exactly
G05*,Muih.sair.liitt.enkefal/myelii,"Muualla luokitettuihin sairauksiin liittyvä aivotulehdus, selkäydintulehdus tai aivo-selkäydintulehdus",G00-G09,2,1900-01-01,2020-12-31,G05,NA,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",G05*,TRUE,"Encephalitis, myelitis and encephalomyelitis in diseases classified elsewhere",0,match_one_code_removing_mark
G05.0*,Muu bakt.sair.enkefal/myeliitt,"Aivotulehdus, selkäydintulehdus tai aivo-selkäydintulehdus muualla luokitetun bakteerisairauden yhteydessä",G05*,3,1900-01-01,2020-12-31,G05.0,NA,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",G05.0*,TRUE,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",0,match_one_code_removing_mark
G05.0*A17.8,Tuberk.enkefal/myeliitt,Tuberkuloottinen aivokalvo-aivotulehdus,G05*,3,1900-01-01,2020-12-31,G05.0,A17.8,Tuberculous meningoencephalitis,G05.0,FALSE,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",NA,match_first_code
G05.0*A32.1,Listeria enkefal/myeliitt,Listerioosiin liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,G05*,3,1900-01-01,2020-12-31,G05.0,A32.1,"Encephalitis, myelitis or encephalomyelitis (in) listerial",G05.0,FALSE,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",NA,match_first_code
G05.0*A39.8,Meningokok.enkefal/myeliitt,Meningokokkisairauteen liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,G05*,3,1900-01-01,2020-12-31,G05.0,A39.8,"Encephalitis, myelitis or encephalomyelitis (in) meningococcal",G05.0,FALSE,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",NA,match_first_code
G05.0*A50.4,Synn. kupp.liitt.enkefal/myel,Synnynnäiseen kuppaan liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,G05*,3,1900-01-01,2020-12-31,G05.0,A50.4,"Encephalitis, myelitis or encephalomyelitis (in) syphilis: congenital",G05.0,FALSE,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",NA,match_first_code
G05.0*A52.1,Myöhäiskup aih.enkefal/myeliit,Myöhäiskupan aiheuttama aivotulehdus,G05*,3,1900-01-01,2020-12-31,G05.0,A52.1,Late syphilitic encephalitis+,G05.0,FALSE,"Encephalitis, myelitis and encephalomyelitis in bacterial diseases classified elsewhere",NA,match_first_code
G05.1*,Virussair.enkefal/myeliitti,"Aivotulehdus, selkäydintulehdus tai aivo-selkäydintulehdus muualla luokitetun virussairauden yhteydessä",G05*,3,1900-01-01,2020-12-31,G05.1,NA,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",G05.1*,TRUE,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",0,match_one_code_removing_mark
G05.1*A85.0,Enterovir.enkefal/myeliitti,Enterovirusinfektioon liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,G05*,3,1900-01-01,2020-12-31,G05.1,A85.0,"Encephalitis, myelitis or encephalomyelitis (in) enteroviral",G05.1,FALSE,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",NA,match_first_code
G05.1*A85.1,Adenovir.enkefal/myeliitti,Adenovirusinfektioon liittyvä aivotulehdus/selkäydintulehdus/aivo-selkäydintulehdus,G05*,3,1900-01-01,2020-12-31,G05.1,A85.1,"Encephalitis, myelitis or encephalomyelitis (in) adenoviral",G05.1,FALSE,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",NA,match_first_code
G05.1*B00.4,Herpes aivokalv. ja aiv. tul,Herpesviruksen aiheuttama aivokalvojen ja aivojen tulehdus,G05*,3,1900-01-01,2020-12-31,G05.1,B00.4,Herpesviral meningoencephalitis,G05.1,FALSE,"Encephalitis, myelitis and encephalomyelitis in viral diseases classified elsewhere",NA,match_first_code
G05.1*B01.1,Vesirokko.enkefal/myeliitti,Vesirokkoviruksen aiheuttama aivotulehdus,G05*,3,1900-01-01,2020-12-31,G05.1,B01.1,Varicella encephalitis,B01.1+,TRUE,Varicella encephalitis,0,match_longName
