code,name_fi,name_en,name_en_source
2440A,HYPOTHYREOSIS POSTOPERATIVA,"Acquired hypothyroidism, Postsurgical hypothyroidism",ICD9_code_match(unique_parent_match)
2441A,HYPOTHYREOSIS POST HYPERTHYREOSIM CURATAM ALIA,"Acquired hypothyroidism, Other postablative hypothyroidism",ICD9_code_match(unique_parent_match)
2442A,HYPOTHYREOSIS EX USU IODINI,"Acquired hypothyroidism, Iodine hypothyroidism",ICD9_code_match(unique_parent_match)
2443X,HYPOTHYREOSIS IATROGENEA ALIA,"Acquired hypothyroidism, Other iatrogenic hypothyroidism",ICD9_code_match(unique_parent_match)
2448A,HYPOTHYREOSIS POST THYREOIDITIDEM,"Acquired hypothyroidism, Other specified acquired hypothyroidism",ICD9_code_match(parent_match)
2448B,HYPOTHYREOSIS ATROPHICANS PRIMARIA,"Acquired hypothyroidism, Other specified acquired hypothyroidism",ICD9_code_match(parent_match)
2448X,HYPOTHYREOSIS ACQUISATA ALIA,"Acquired hypothyroidism, Other specified acquired hypothyroidism",ICD9_code_match(parent_match)
2449X,HYPOTHYREOSIS AQCUISATA NUD,"Acquired hypothyroidism, Unspecified hypothyroidism",ICD9_code_match(unique_parent_match)
245,THYREOIDITIS,Thyroiditis,ICD9_code_match(full_match)
2450A,THYREOIDITIS ACUTA (SUPPURATIVA),"Thyroiditis, Acute thyroiditis",ICD9_code_match(unique_parent_match)
2451A,THYREOIDITIS SUBACUTA,"Thyroiditis, Subacute thyroiditis",ICD9_code_match(unique_parent_match)
2452A,THYREOIDITIS AUTOIMMUNISATORIA,"Thyroiditis, Chronic lymphocytic thyroiditis",ICD9_code_match(unique_parent_match)
2453A,THYREOIDITIS FIBROTICA CHRONICA,"Thyroiditis, Chronic fibrous thyroiditis",ICD9_code_match(unique_parent_match)
2454A,THYREOIDITIS IATROGENEA,"Thyroiditis, Iatrogenic thyroiditis",ICD9_code_match(unique_parent_match)
2458X,THYREOIDITIS CHRONICA ALIA,"Thyroiditis, Other and unspecified chronic thyroiditis",ICD9_code_match(unique_parent_match)
2459X,THYREOIDITIS NUD,"Thyroiditis, unspecified",ICD9_code_match(unique_parent_match)
246,ALII MORBI GLANDULAE THYREOIDEAE,Other disorders of thyroid,ICD9_code_match(full_match)
2460A,KALSITONIININ LIIKAERITYS,"Other disorders of thyroid, Disorders of thyrocalcitonin secretion",ICD9_code_match(unique_parent_match)
2461A,STRUMA CONGENITA DYSHORMONOGENICA,"Other disorders of thyroid, Dyshormonogenic goitre",ICD9_code_match(unique_parent_match)
2462A,KILPIRAUHASKYSTA,"Other disorders of thyroid, Cyst of thyroid",ICD9_code_match(unique_parent_match)
2463A,KILPIRAUHASEN VEREVUOTO TAI INFARKTI,"Other disorders of thyroid, Haemorrhage and infarction of thyroid",ICD9_code_match(unique_parent_match)
2468A,PERIFEERINEN KILPIRAUHASHORMONIN RESISTENSSI,"Other disorders of thyroid, Other specified disorders of thyroid",ICD9_code_match(parent_match)
2468X,MORBUS GLANDULAE THYREOIDEAE ALIUD,"Other disorders of thyroid, Other specified disorders of thyroid",ICD9_code_match(parent_match)
2469X,MORBUS GLANDULAE THYREOIDEAE NUD,"Other disorders of thyroid, Unspecified disorder of thyroid",ICD9_code_match(unique_parent_match)
250,DIABETES MELLITUS,Diabetes mellitus,ICD9_code_match(full_match)
2500A,"DIABETES MELLITUS SINE COMPLICATIONE,TYYPPI II",Diabetes mellitus without mention of complication,ICD9_code_match(parent_match)
2500B,"DIABETES MELLITUS SINE COMPLICATIONE ,TYYPPI I",Diabetes mellitus without mention of complication,ICD9_code_match(parent_match)
2500C,"DIABETES MELLITUS SINE COMPLICATIONE ,MODY",Diabetes mellitus without mention of complication,ICD9_code_match(parent_match)
2500X,"DIABETES MELLITUS SINE COMPLICATIONE ,NUD",Diabetes mellitus without mention of complication,ICD9_code_match(parent_match)
2501A,"DIABETES MELLITUS CUM KETOACIDOSI ,TYYPPI II","Diabetes mellitus, Diabetes with ketoacidosis",ICD9_code_match(parent_match)
2501B,"DIABETES MELLITUS CUM KETOACIDOSI ,TYYPPI I","Diabetes mellitus, Diabetes with ketoacidosis",ICD9_code_match(parent_match)
2501C,"DIABETES MELLITUS CUM KETOACIDOSI,MODY","Diabetes mellitus, Diabetes with ketoacidosis",ICD9_code_match(parent_match)
2501X,"DIABETES MELLITUS CUM KETOACIDOSI,NUD","Diabetes mellitus, Diabetes with ketoacidosis",ICD9_code_match(parent_match)
2502A,COMA DIABETICUM TYYPPI II,"Diabetes mellitus, Diabetes with hyperosmolarity",ICD9_code_match(parent_match)
2502B,"COMA DIABETICUM ,TYYPPI I","Diabetes mellitus, Diabetes with hyperosmolarity",ICD9_code_match(parent_match)
2502C,"COMA DIABETICUM ,MODY","Diabetes mellitus, Diabetes with hyperosmolarity",ICD9_code_match(parent_match)
2502X,"COMA DIABETICUM ,NUD","Diabetes mellitus, Diabetes with hyperosmolarity",ICD9_code_match(parent_match)
2503A,"SOKERITAUDIN AIHEUTTAMA MUNUAISSAIRAUS,TYYPPI II","Diabetes mellitus, Diabetes with other coma",ICD9_code_match(parent_match)
2503B,"SOKERITAUDIN AIHEUTTAMA MUNUAISSAIRAUS,TYYPPI I","Diabetes mellitus, Diabetes with other coma",ICD9_code_match(parent_match)
2503C,"SOKERITAUDIN AIHEUTTAMA MUNUAISSAIRAUS,MODY","Diabetes mellitus, Diabetes with other coma",ICD9_code_match(parent_match)
2503X,"SOKERITAUDIN AIHEUTTAMA MUNUAISSAIRAUS,NUD","Diabetes mellitus, Diabetes with other coma",ICD9_code_match(parent_match)
2504A,"DIABETES MELLITUS CUM COMPLICATIONE OCULI ,TYP II","Diabetes mellitus, Diabetes with renal manifestations",ICD9_code_match(parent_match)
2504B,"DIABETES MELLITUS CUM COMPLICATIONE OCULI ,TYYPPI I","Diabetes mellitus, Diabetes with renal manifestations",ICD9_code_match(parent_match)
2504C,"DIABETES MELLITUS CUM COMPLICATIONE OCULI ,MODY","Diabetes mellitus, Diabetes with renal manifestations",ICD9_code_match(parent_match)
2504X,"DIABETES MELLITUS CUM COMPLICATIONE OCULI ,NUD","Diabetes mellitus, Diabetes with renal manifestations",ICD9_code_match(parent_match)
2505A,"NEUROPATHIA DIABETICA,TYYPPI II","Diabetes mellitus, Diabetes with ophthalmic manifestations",ICD9_code_match(parent_match)
2505B,"NEUROPATHIA DIABETICA,TYYPPI I","Diabetes mellitus, Diabetes with ophthalmic manifestations",ICD9_code_match(parent_match)
2505C,"NEUROPATHIA DIABETIC,MODY","Diabetes mellitus, Diabetes with ophthalmic manifestations",ICD9_code_match(parent_match)
2505X,"NEUROPATHIA DIABETICA,NUD","Diabetes mellitus, Diabetes with ophthalmic manifestations",ICD9_code_match(parent_match)
2506A,"MICROANGIOPATHIA DIABETICA,TYYPPI II","Diabetes mellitus, Diabetes with neurological manifestations",ICD9_code_match(parent_match)
2506B,"MICROANGIOPATHIA DIABETICA,TYYPPI I","Diabetes mellitus, Diabetes with neurological manifestations",ICD9_code_match(parent_match)
2506C,"MICROANGIOPATHIA DIABETICA,MODY","Diabetes mellitus, Diabetes with neurological manifestations",ICD9_code_match(parent_match)
2506X,"MICROANGIOPATHIA DIABETICA,NUD","Diabetes mellitus, Diabetes with neurological manifestations",ICD9_code_match(parent_match)
2507A,"DIABETES MELLITUS CUM COMPLICAT ALIA ,TYYPPI II","Diabetes mellitus, Diabetes with peripheral circulatory disorders",ICD9_code_match(parent_match)
2507B,"DIABETES MELLITUS CUM COMPLICAT ALIA ,TYYPPI I","Diabetes mellitus, Diabetes with peripheral circulatory disorders",ICD9_code_match(parent_match)
2507C,"DIABETES MELLITUS CUM COMPLICATIONE ALIA ,MODY","Diabetes mellitus, Diabetes with peripheral circulatory disorders",ICD9_code_match(parent_match)
2507X,"DIABETES MELLITUS CUM COMPLICATIONE ALIA ,NUD","Diabetes mellitus, Diabetes with peripheral circulatory disorders",ICD9_code_match(parent_match)
2508A,"DIABETES MELLITUS CUM COMPLICAT NON DESCR,TYP II","Diabetes mellitus, Diabetes with other specified manifestations",ICD9_code_match(parent_match)
2508B,"DIABETES MELLITUS CUM COMPLICAT NON DESCR,TYP I","Diabetes mellitus, Diabetes with other specified manifestations",ICD9_code_match(parent_match)
2508C,"DIABETES MELLITUS CUM COMPLICATIONE NON DESCR,MODY","Diabetes mellitus, Diabetes with other specified manifestations",ICD9_code_match(parent_match)
2508X,"DIABETES MELLITUS CUM COMPLICATIONE NON DESCR,NUD","Diabetes mellitus, Diabetes with other specified manifestations",ICD9_code_match(parent_match)
251,HYPOGLYCAEMIA ET DYSFUNC SECR INT PANCR NONDIAB,Other disorders of pancreatic internal secretion,ICD9_code_match(full_match)
2510A,HYPERINSULINAEMIA IATROGENEA SEU FACTITIA,"Other disorders of pancreatic internal secretion, Hypoglycaemic coma",ICD9_code_match(parent_match)
2510B,COMA HYPOGLYCAEMICUM,"Other disorders of pancreatic internal secretion, Hypoglycaemic coma",ICD9_code_match(parent_match)
2511A,HYPERINSULINAEMIA ALIA,"Other disorders of pancreatic internal secretion, Other specified hypoglycaemia",ICD9_code_match(unique_parent_match)
2512A,HYPOGLYCAEMIA REACTIVA,"Other disorders of pancreatic internal secretion, Hypoglycaemia, unspecified",ICD9_code_match(parent_match)
2512B,HYPOGLYCAEMIA ALIA (SINE HYPERINSULINISMO),"Other disorders of pancreatic internal secretion, Hypoglycaemia, unspecified",ICD9_code_match(parent_match)
2512X,HYPOGLYCAEMIA NUD,"Other disorders of pancreatic internal secretion, Hypoglycaemia, unspecified",ICD9_code_match(parent_match)
2513A,HYPOINSULINAEMIA POSTOPERATIVA,"Other disorders of pancreatic internal secretion, Postsurgical hypoinsulinaemia",ICD9_code_match(unique_parent_match)
2514A,HYPERGLUCAGONAEMIA,"Other disorders of pancreatic internal secretion, Abnormality of secretion of glucagon",ICD9_code_match(unique_parent_match)
2515A,HYPERGASTRINAEMIA,"Other disorders of pancreatic internal secretion, Abnormality of secretion of gastrin",ICD9_code_match(unique_parent_match)
2518X,DYSFUNCTIO SECRETIONIS INTERNAE PANCREATIS ALIA,"Other disorders of pancreatic internal secretion, Other specified disorders of pancreatic internal secretion",ICD9_code_match(unique_parent_match)
2519X,DYSFUNCTIO SECRETIONIS INTERNAE PANCREATIS NUD,"Other disorders of pancreatic internal secretion, Unspecified disorder of pancreatic internal secretion",ICD9_code_match(unique_parent_match)
252,MORBI PARATHYREOIDEAE,Disorders of parathyroid gland,ICD9_code_match(full_match)
2520A,HYPERPARATHYREOIDISMUS,"Disorders of parathyroid gland, Hyperparathyroidism",ICD9_code_match(unique_parent_match)
2521A,HYPOPARATHYREOIDISMUS,"Disorders of parathyroid gland, Hypoparathyroidism",ICD9_code_match(unique_parent_match)
2528X,MORBUS PARATHYREOIDEAE ALIA,"Disorders of parathyroid gland, Other specified disorders of parathyroid gland",ICD9_code_match(unique_parent_match)
2529X,MORBUS PARATHYREOIDEAE NUD,"Disorders of parathyroid gland, Unspecified disorder of parathyroid gland",ICD9_code_match(unique_parent_match)
253,MORBI HYPOPHYSEOS ET HYPOTHALAMI,Disorders of the pituitary gland and its hypothalamic control,ICD9_code_match(full_match)
2530A,ACROMEGALIA,"Disorders of the pituitary gland and its hypothalamic control, Acromegaly and gigantism",ICD9_code_match(parent_match)
2530B,ACROMEGALIA CUM DIABETE MELLITO SECUNDARIO,"Disorders of the pituitary gland and its hypothalamic control, Acromegaly and gigantism",ICD9_code_match(parent_match)
2530C,GIGANTISMUS,"Disorders of the pituitary gland and its hypothalamic control, Acromegaly and gigantism",ICD9_code_match(parent_match)
2531A,HYPERPROLACTINAEMIA,"Disorders of the pituitary gland and its hypothalamic control, Other and unspecified anterior pituitary hyperfunction",ICD9_code_match(parent_match)
2531X,HYPERFUNCTIO HYPOPHYSEOS ALIA,"Disorders of the pituitary gland and its hypothalamic control, Other and unspecified anterior pituitary hyperfunction",ICD9_code_match(parent_match)
2532A,PANHYPOPITUITARISMUS,"Disorders of the pituitary gland and its hypothalamic control, Panhypopituitarism",ICD9_code_match(parent_match)
2532B,SYNDROMA SHEEHAN,"Disorders of the pituitary gland and its hypothalamic control, Panhypopituitarism",ICD9_code_match(parent_match)
2533A,NANISMUS HYPOPHYSARIUS,"Disorders of the pituitary gland and its hypothalamic control, Pituitary dwarfism",ICD9_code_match(parent_match)
2533B,HYPOSOMATOTROPISMUS ALIA,"Disorders of the pituitary gland and its hypothalamic control, Pituitary dwarfism",ICD9_code_match(parent_match)
2534A,HYPOGONADOTROPISMUS,"Disorders of the pituitary gland and its hypothalamic control, Other anterior pituitary disorders",ICD9_code_match(parent_match)
2534B,HYPOCORTICOTROPISMUS,"Disorders of the pituitary gland and its hypothalamic control, Other anterior pituitary disorders",ICD9_code_match(parent_match)
2534C,HYPOTHYREOTROPISMUS,"Disorders of the pituitary gland and its hypothalamic control, Other anterior pituitary disorders",ICD9_code_match(parent_match)
2534X,HYPOFUNCTIO HYPOPHYSEOS ALIA,"Disorders of the pituitary gland and its hypothalamic control, Other anterior pituitary disorders",ICD9_code_match(parent_match)
2535A,DIABETES INSIPIDUS,"Disorders of the pituitary gland and its hypothalamic control, Diabetes insipidus",ICD9_code_match(unique_parent_match)
2536X,DYSFUNCTIO NEUROHYPOPHYSEOS ALIA,"Disorders of the pituitary gland and its hypothalamic control, Other disorders of neurohypophysis",ICD9_code_match(unique_parent_match)
2537A,DYSFUNCTIO HYPOPHYSEOS SEU HYPOTHALAMI IATROGENEA,"Disorders of the pituitary gland and its hypothalamic control, Iatrogenic pituitary disorders",ICD9_code_match(unique_parent_match)
2538A,AIVOLISÄKEHORMONIN PERIFEERINEN RESISTENSSI,"Disorders of the pituitary gland and its hypothalamic control, Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin",ICD9_code_match(parent_match)
2538X,MORBUS HYPOPHYSEOS SEU HYPOTHALAMI ALIA,"Disorders of the pituitary gland and its hypothalamic control, Other disorders of the pituitary and other syndromes of diencephalohypophyseal origin",ICD9_code_match(parent_match)
2539X,MORBUS HYPOPHYSEOS SEU HYPOTHALAMI NUD,"Disorders of the pituitary gland and its hypothalamic control, Unspecified",ICD9_code_match(unique_parent_match)
254,MORBI THYMI,Diseases of thymus gland,ICD9_code_match(full_match)
2540A,HYPERPLASIA PERSISTENS THYMI,"Diseases of thymus gland, Persistent hyperplasia of thymus",ICD9_code_match(unique_parent_match)
2541A,ABSCESSUS THYMI,"Diseases of thymus gland, Abscess of thymus",ICD9_code_match(unique_parent_match)
2548X,MORBUS THYMI ALIA DEFINITA,"Diseases of thymus gland, Other specified diseases of thymus gland",ICD9_code_match(unique_parent_match)
2549X,MORBUS THYMI NUD,"Diseases of thymus gland, Unspecified disease of thymus gland",ICD9_code_match(unique_parent_match)
255,MORBI GLANDULAE SUPRARENALIS,Disorders of adrenal glands,ICD9_code_match(full_match)
2550A,SDR CUSHING E HYPERPLASIA GLANDULAE SUPRARENALI,"Disorders of adrenal glands, Cushing's syndrome",ICD9_code_match(parent_match)
2550B,SYNDROMA CUSHING E HYPERFUNCTIO GLAN SUPRARENALI,"Disorders of adrenal glands, Cushing's syndrome",ICD9_code_match(parent_match)
2550C,SYNDROMA CUSHING E HYPERSECRETIO HYPOFYSEOS,"Disorders of adrenal glands, Cushing's syndrome",ICD9_code_match(parent_match)
2550D,SYNDROMA CUSHING IATROGENES,"Disorders of adrenal glands, Cushing's syndrome",ICD9_code_match(parent_match)
2550X,SYNDROMA CUSHING NUD,"Disorders of adrenal glands, Cushing's syndrome",ICD9_code_match(parent_match)
2551A,HYPERALDOSTERONISMUS (SYNDROMA CONN),"Disorders of adrenal glands, Hyperaldosteronism",ICD9_code_match(unique_parent_match)
2552A,SYNDROMA ADRENOGENITALE CONGENITUM,"Disorders of adrenal glands, Adrenogenital disorders",ICD9_code_match(parent_match)
2552B,SYNDROMA ADRENOGENITALE AQCUISITUM,"Disorders of adrenal glands, Adrenogenital disorders",ICD9_code_match(parent_match)
2553A,HYPERFUNCTIO CORTICOADRENALIS ALIA,"Disorders of adrenal glands, Other corticoadrenal overactivity",ICD9_code_match(unique_parent_match)
2554A,MORBUS ADDISON PRIMARIUS,"Disorders of adrenal glands, Corticoadrenal insufficiency",ICD9_code_match(parent_match)
2554X,HYPOFUNCTIO CORTICOADRENALIS ALIA,"Disorders of adrenal glands, Corticoadrenal insufficiency",ICD9_code_match(parent_match)
2555X,HYPOFUNCTIO GLANDULAE SUPRARENALIS ALIA,"Disorders of adrenal glands, Other adrenal hypofunction",ICD9_code_match(unique_parent_match)
2556A,HYPERFUNCTIO MEDULLOADRENALIS,"Disorders of adrenal glands, Medulloadrenal hyperfunction",ICD9_code_match(unique_parent_match)
2558X,MORBUS GLANDULAE SUPRARENALIS ALIA,"Disorders of adrenal glands, Other specified disorders of adrenal glands",ICD9_code_match(unique_parent_match)
2559X,MORBUS GLANDULAE SUPRARENALIS NUD,"Disorders of adrenal glands, Unspecified disorder of adrenal glands",ICD9_code_match(unique_parent_match)
256,LAESIO ENDOCRINA OVARII PRIMARIA,Ovarian dysfunction,ICD9_code_match(full_match)
2560A,HYPEROESTROGENISMUS,"Ovarian dysfunction, Hyperoestrogenism",ICD9_code_match(unique_parent_match)
2561A,HYPERGONADISMUS PRIMARIUS MULIERIS ALIUS,"Ovarian dysfunction, Other ovarian hyperfunction",ICD9_code_match(unique_parent_match)
2562A,HYPOGONADISMUS MULIERIS IATROGENES,"Ovarian dysfunction, Postablative ovarian failure",ICD9_code_match(unique_parent_match)
2563A,HYPOGONADISMUS PRIMARIUS MULIERIS ALIUS,"Ovarian dysfunction, Other ovarian failure",ICD9_code_match(unique_parent_match)
2564A,SYNDROMA STEIN - LEVENTHAL,"Ovarian dysfunction, Polycystic ovaries",ICD9_code_match(unique_parent_match)
2568X,LAESIO ENDOCRINA OVARII PRIMARIA ALIA,"Ovarian dysfunction, Other ovarian dysfunction",ICD9_code_match(unique_parent_match)
2569X,LAESIO ENDOCRINA OVARII PRIMARIA NUD,"Ovarian dysfunction, Unspecified ovarian dysfunction",ICD9_code_match(unique_parent_match)
257,LAESIO ENDOCRINA TESTIS PRIMARIA,Testicular dysfunction,ICD9_code_match(full_match)
2570A,HYPERGONADISMUS PRIMARIUS VIRI,"Testicular dysfunction, Testicular hyperfunction",ICD9_code_match(unique_parent_match)
2571A,HYPOGONADISMUS VIRI IATROGENES,"Testicular dysfunction, Postablative testicular hypofunction",ICD9_code_match(unique_parent_match)
2572A,HYPOGONADISMUS PRIMARIUS VIRI ALIUS,"Testicular dysfunction, Other testicular hypofunction",ICD9_code_match(unique_parent_match)
2578A,PERIFEERINEN ANDROGEENIRESISTENSSI,"Testicular dysfunction, Other testicular dysfunction",ICD9_code_match(parent_match)
2578X,LAESIO ENDOCRINA TESTIS ALIA,"Testicular dysfunction, Other testicular dysfunction",ICD9_code_match(parent_match)
2579X,LAESIO ENDOCRINA TESTIS NUD,"Testicular dysfunction, Unspecified testicular dysfunction",ICD9_code_match(unique_parent_match)
258,DYSFUNCTIO ENDOCRINA POLYGLANDULARIS,Polyglandular dysfunction and related disorders,ICD9_code_match(full_match)
2580A,MULTIPPELI ENDOKRIININEN NEOPLASIA I (MEN I),"Polyglandular dysfunction and related disorders, Polyglandular activity in multiple endocrine adenomatosis",ICD9_code_match(parent_match)
2580B,MULTIPPELI ENDOKRIININEN NEOPLASIA II (MEN II),"Polyglandular dysfunction and related disorders, Polyglandular activity in multiple endocrine adenomatosis",ICD9_code_match(parent_match)
2580C,MULTIPPELI ENDOKRIININEN NEOPLASIA III (MEN III),"Polyglandular dysfunction and related disorders, Polyglandular activity in multiple endocrine adenomatosis",ICD9_code_match(parent_match)
2581A,SYNDROMA SCHMIDT,"Polyglandular dysfunction and related disorders, Other combinations of endocrine dysfunction",ICD9_code_match(parent_match)
2581B,AUTOIMMUNE-POLYENDOCRINOPATHY-CANDIDOSIS-ECTOD DYST,"Polyglandular dysfunction and related disorders, Other combinations of endocrine dysfunction",ICD9_code_match(parent_match)
2588X,DYSFUNCTIO POLYGLANDULARIS ENDOCRINI ALIA,"Polyglandular dysfunction and related disorders, Other specified polyglandular dysfunction",ICD9_code_match(unique_parent_match)
2589X,DYSFUNCTIO POLYGLANDULARIS ENDOCRINI NUD,"Polyglandular dysfunction and related disorders, Polyglandular dysfunction, unspecified",ICD9_code_match(unique_parent_match)
259,ALII MORBI SYSTEMATIS ENDOCRINI,Other endocrine disorders,ICD9_code_match(full_match)
2590A,PUBERTAS TARDA,"Other endocrine disorders, Delay in sexual development and puberty, not elsewhere classified",ICD9_code_match(unique_parent_match)
2591A,PUBERTAS PRAECOX,"Other endocrine disorders, Precocious sexual development and puberty, not elsewhere classified",ICD9_code_match(unique_parent_match)
2592A,SYNDROMA CARCINOIDES,"Other endocrine disorders, Carcinoid syndrome",ICD9_code_match(unique_parent_match)
2593A,EKTOOPPINEN ACTH-OIREYHTYMÄ,"Other endocrine disorders, Ectopic hormone secretion, not elsewhere classified",ICD9_code_match(parent_match)
2593X,MUU EKTOOPPINEN HORMONITUOTANTO,"Other endocrine disorders, Ectopic hormone secretion, not elsewhere classified",ICD9_code_match(parent_match)
2594A,"POIKKEAVA LYHYTKASVUISUUS, TARKEMMIN MÄÄRITTELEMÄT","Other endocrine disorders, Dwarfism, not elsewhere classified",ICD9_code_match(unique_parent_match)
2598X,MORBUS ENDOCRINI ALIA,"Other endocrine disorders, Other specified endocrine disorders",ICD9_code_match(unique_parent_match)
2599X,MORBUS ENDOCRINI NUD,"Other endocrine disorders, Unspecified endocrine disorder",ICD9_code_match(unique_parent_match)
260,KWASHIORKOR,Kwashiorkor,ICD9_code_match(full_match)
2600A,KWASHIORKOR,Kwashiorkor,ICD9_code_match(grandparent_match)
261,MARASMUS E MALNUTRITIONE,Nutritional marasmus,ICD9_code_match(full_match)
2610A,MARASMUS E MALNUTRITIONE,Nutritional marasmus,ICD9_code_match(grandparent_match)
262,MALNUTRITIO GRAVIS PROTEINO-CALORICA,Other severe protein-calorie malnutrition,ICD9_code_match(full_match)
2620A,MALNUTRITIO GRAVIS PROTEINO-CALORICA,Other severe protein-calorie malnutrition,ICD9_code_match(grandparent_match)
263,MALNUTRITIO PROTEINO-CALORICA   ALIA ET NUD,Other and unspecified protein-calorie malnutrition,ICD9_code_match(full_match)
2630A,"MALNUTRITIO PROTEINI-CALORICA ALIA ET NUD, MODERATA","Other and unspecified protein-calorie malnutrition, Malnutrition of moderate degree",ICD9_code_match(unique_parent_match)
2631A,"MALNUTRITIO PROTEINI-CALORICA ALIA ET NUD,LEVIS","Other and unspecified protein-calorie malnutrition, Malnutrition of mild degree",ICD9_code_match(unique_parent_match)
2632A,PROTEIINI- JA KALORIALIRAVITSEMUKSEN AIH KEH HIDAST,"Other and unspecified protein-calorie malnutrition, Arrested development following protein-calorie malnutrition",ICD9_code_match(unique_parent_match)
2638X,MALNUTRITIO PROTEINI ET CALORICI ALIA,"Other and unspecified protein-calorie malnutrition, Other protein-calorie malnutrition",ICD9_code_match(unique_parent_match)
2639X,MALNUTRITIO PROTEINI ET CALORICI NUD,"Other and unspecified protein-calorie malnutrition, Unspecified protein-calorie malnutrition",ICD9_code_match(unique_parent_match)
264,HYPOVITAMINOSIS A,Vitamin A deficiency,ICD9_code_match(full_match)
2640A,XEROSIS CONJUNCTIVAE E HYPOVITAMINOSI A,"Vitamin A deficiency, With conjunctival xerosis",ICD9_code_match(unique_parent_match)
2641A,MACULAE BITOT ET XEROSIS CONJUNCTIVAE E HYPOVITAM A,"Vitamin A deficiency, With conjunctival xerosis and Bitot's spot",ICD9_code_match(unique_parent_match)
2642A,XEROSIS CORNEAE EX AVITAMINOSI A,"Vitamin A deficiency, With corneal xerosis",ICD9_code_match(unique_parent_match)
2643A,ULCERA ET XEROSIS CORNEAE E HYPOVITAMINOSI A,"Vitamin A deficiency, With corneal ulceration and xerosis",ICD9_code_match(unique_parent_match)
2644A,KERATOMALACIA E HYPOVITAMINOSI A,"Vitamin A deficiency, With keratomalacia",ICD9_code_match(unique_parent_match)
2645A,NYCTALOPIA E HYPOVITAMINOSI A,"Vitamin A deficiency, With night blindness",ICD9_code_match(unique_parent_match)
2646A,CICATRIX XEROPHTALMICA E HYPOVITAMINOSI A,"Vitamin A deficiency, With xerophthalmic scars of cornea",ICD9_code_match(unique_parent_match)
2647X,MANIFESTATIO OCULI ALIA E HYPOVITAMINOSI A,"Vitamin A deficiency, Other ocular manifestations of vitamin A deficiency",ICD9_code_match(unique_parent_match)
2648X,MANIFESTATIO ALIA  E HYPOVITAMINOSI A,"Vitamin A deficiency, Other manifestations of vitamin A deficiency",ICD9_code_match(unique_parent_match)
2649X,HYPOVITAMINOSIS A NUD,"Vitamin A deficiency, Unspecified vitamin A deficiency",ICD9_code_match(unique_parent_match)
265,DEFICIENTIA THIAMINI,Thiamine and niacin deficiency states,ICD9_code_match(full_match)
2650A,MORBUS BERIBERI ALCOHOLICUS,"Thiamine and niacin deficiency states, Beriberi",ICD9_code_match(parent_match)
2650X,MORBUS BERIBERI NUD,"Thiamine and niacin deficiency states, Beriberi",ICD9_code_match(parent_match)
2651X,DEFICIENTIA THIAMINI ALIA DEFINITA SEU NUD,"Thiamine and niacin deficiency states, Other and unspecified manifestations of thiamine deficiency",ICD9_code_match(unique_parent_match)
2652A,PELLAGRA,"Thiamine and niacin deficiency states, Pellagra",ICD9_code_match(unique_parent_match)
266,HYPOVITAMINOSIS B ALIA,Deficiency of B-complex components,ICD9_code_match(full_match)
2660A,HYPORIBOFLAVINOSIS,"Deficiency of B-complex components, Ariboflavinosis",ICD9_code_match(unique_parent_match)
2661A,HYPOVITAMINOSIS B6,"Deficiency of B-complex components, Vitamin B6 deficiency",ICD9_code_match(unique_parent_match)
2662A,HYPOVITAMINOSIS B12,"Deficiency of B-complex components, Other B-complex deficiencies",ICD9_code_match(parent_match)
2662B,DEFICIENTIA ACIDI FOLICI,"Deficiency of B-complex components, Other B-complex deficiencies",ICD9_code_match(parent_match)
2662X,DEFICIENTIA VITAMINI B ALIA DEFINITA,"Deficiency of B-complex components, Other B-complex deficiencies",ICD9_code_match(parent_match)
2669X,DEFICIENTIA VITAMINI B NUD,"Deficiency of B-complex components, Unspecified vitamin B deficiency",ICD9_code_match(unique_parent_match)
267,HYPOVITAMINOSIS C,Ascorbic acid deficiency,ICD9_code_match(full_match)
2670A,HYPOVITAMINOSIS C,Ascorbic acid deficiency,ICD9_code_match(grandparent_match)
268,HYPOVITAMINOSIS D,Vitamin D deficiency,ICD9_code_match(full_match)
2680A,RACHITIS ACTIVA,"Vitamin D deficiency, Rickets, active",ICD9_code_match(unique_parent_match)
2681A,SEQUELAE RACHITIDIS,"Vitamin D deficiency, Rickets, late effect",ICD9_code_match(unique_parent_match)
2682A,OSTEOMALACIA,"Vitamin D deficiency, Osteomalacia, unspecified",ICD9_code_match(parent_match)
2682B,D-VITAMIININ 1-HYDROKSYLAASIN PUUTE,"Vitamin D deficiency, Osteomalacia, unspecified",ICD9_code_match(parent_match)
2689X,HYPOVITAMINOSIS D NUD,"Vitamin D deficiency, Unspecified vitamin D deficiency",ICD9_code_match(unique_parent_match)
269,DEFICIENTIA NUTRITIONIS ALIA,Other nutritional deficiencies,ICD9_code_match(full_match)
2690A,HYPOVITAMINOSIS K,"Other nutritional deficiencies, Deficiency of vitamin K",ICD9_code_match(unique_parent_match)
2691X,HYPOVITAMINOSIS ALIA,"Other nutritional deficiencies, Deficiency of other vitamins",ICD9_code_match(unique_parent_match)
2692X,HYPOVITAMINOSIS NUD,"Other nutritional deficiencies, Unspecified vitamin deficiency",ICD9_code_match(unique_parent_match)
