ICD9	ICD9LYH	ICD9TXT
2959A	SCHIZOPHRENIA NUD-A	ERILAISTUMATON SKITSOFRENIA,TARKEMMIN MÄÄRITTELEMÄT
2959B	SCHIZOPHRENIA NUD-B	ERILAISTUMATON SKITSOFRENIA,SUBKROONINEN
2959C	SCHIZOPHRENIA NUD-C	ERILAISTUMATON SKITSOFRENIA,KROONINEN
2959D	SCHIZOPHRENIA NUD-D	ERILAISTUMATON SKITSOFRENIA,SUBKROONINEN AKUUTTI
2959E	SCHIZOPHRENIA NUD-E	ERILAISTUMATON SKITSOFRENIA,KROONINEN AKUUTTI VAIHE
2959F	SCHIZOPHRENIA NUD-F	ERILAISTUMATON SKITSOFRENIA,REMISSIOVAIHE
296	VAKAVA MIELIALAHÄIRI	VAKAVAT MIELIALAHÄIRIÖT
2961A	DEPRESS MENT GRAVI-A	VAKAVA MASENNUSTILA,TARKEMMIN MÄÄRITTELEMÄTÖN
2961B	DEPRESS MENT GRAVI-B	VAKAVA MASENNUSTILA,LIEVÄASTEINEN
2961C	DEPRESS MENT GRAVI-C	VAKAVA MASENNUSTILA,KESKIVAIKEA
2961D	DEPRESS MENT GRAVI-D	VAKAVA MASENNUSTILA,VAIKEA-ASTEINEN
2961E	DEPRESS MENT GRAVI-E	VAKAVA MASENNUSTILA,VAIKEA-ASTEINEN+PSYKOOT PIIRTEI
2961F	DEPRESS MENT GRAVI-F	VAKAVA MASENNUSTILA,LÄHES OIREETON,OSITTAIN REMISSI
2961G	DEPRESS MENT GRAVI-G	VAKAVA MASENNUSTILA,OIREETON (REMISSIO)
2962A	PSYCH BIPOL MANICA-A	PSYCHOSIS BIPOLARIS MANICA NUD
2962B	PSYCH BIPOL MANICA-B	PSYCHOSIS BIPOLARIS MANICA,LIEVÄASTEINEN
2962C	PSYCH BIPOL MANICA-C	PSYCHOSIS BIPOLARIS MANICA,KESKIVAIKEA
2962D	PSYCH BIPOL MANICA-D	PSYCHOSIS BIPOLARIS MANICA,VAIKEA-ASTEINEN
2962E	PSYCH BIPOL MANICA-E	PSYCH.BIPOLARIS MANICA,VAIKEA-ASTE,PSYKOOT PIIRTEIT
2962F	PSYCH BIPOL MANICA-F	PSYCHOSIS BIPOLARIS MANICA,LÄHES OIREETON,OSIT REMI
2962G	PSYCH BIPOL MANICA-G	PSYCHOSIS BIPOLARIS MANICA,OIREETON (REMISSIO)
2963A	PSYCH BIPOL DEPRES-A	PSYCHOSIS BIPOLARIS DEPRESSIVA,NUD
2963B	PSYCH BIPOL DEPRES-B	PSYCHOSIS BIPOLARIS DEPRESSIVA,LIEVÄASTEINEN
2963C	PSYCH BIPOL DEPRES-C	PSYCHOSIS BIPOLARIS DEPRESSIVA,KESKIVAIKEA
2963D	PSYCH BIPOL DEPRES-D	PSYCHOSIS BIPOLARIS DEPRESSIVA,VAIKEA-ASTEINEN
2963E	PSYCH BIPOL DEPRES-E	PSYCH.BIPOLARIS DEPRESSIVA,VAIKEA-ASTE,PSYKOOT PIIR
2963F	PSYCH BIPOL DEPRES-F	PSYCH.BIPOLARIS DEPRESSIVA,LÄHES OIREETON,OSIT REMI
2963G	PSYCH BIPOL DEPRES-G	PSYCHOSIS BIPOLARIS DEPRESSIVA,OIREETON (REMISSIO)
2964A	PSYCH BIPOL CIRCUL-A	PSYCHOSIS BIPOLARIS CIRCULARIS,NUD
2964B	PSYCH BIPOL CIRCUL-B	PSYCHOSIS BIPOLARIS CIRCULARIS,LIEVÄASTEINEN
2964C	PSYCH BIPOL CIRCUL-C	PSYCHOSIS BIPOLARIS CIRCULARIS,KESKIVAIKEA
2964D	PSYCH BIPOL CIRCUL-D	PSYCHOSIS BIPOLARIS CIRCULARIS,VAIKEA-ASTEINEN
2964E	PSYCH BIPOL CIRCUL-E	PSYCH BIPOLAR CIRCULARIS,VAIKEA-ASTE,PSYKOOT PIIRT
2964F	PSYCH BIPOL CIRCUL-F	PSYCH BIPOLAR CIRCULARIS,LÄHES OIREETON,OSIT REMIS
2964G	PSYCH BIPOL CIRCUL-G	PSYCHOSIS BIPOLARIS CIRCULARIS,OIREETON (REMISSIO)
2967A	PSYCH BIPOLARIS NUD	PSYCHOSIS BIPOLARIS NUD
2968A	DEPRESSIO MENTIS NUD	DEPRESSIO MENTIS NUD
297	PSYCHOSES DELUSIONAL	HARHALUULOISUUSHÄIRIÖT
2971A	PSYCHOSIS DELUSIONAL	HARHALUULOISUUSHÄIRIÖ
2973A	FOLIE A DEUX	INDUSOITU HARHALUULOISUUS
298	PSYCHOSES ALIAE	MUUT PSYKOOTTISET HÄIRIÖT
2988A	REACTIO PSYC BREVIS	LYHYTKESTOINEN PSYKOOSIREAKTIO
2989X	PSYCHOSIS NUD	EPÄTYYPILL JA TARKEMMIN MÄÄRITTELEMÄTÖN PSYKOOSI
299	PSYCH EX ORIG INFANT	PSYCHOSIS EX ORIGINE INFANTIA
2990A	AUTISMUS INFANTIL-A	AUTISMUS INFANTILIS,TÄYDELLINEN OIREYHTYMÄ
2990B	AUTISMUS INFANTIL-B	AUTISMUS INFANTILIS,JÄLKITILA
2998A	LAPS LAAJA HÄIRIÖ-A	LAPSUUDEN LAAJA-ALAIN KEHITYSHÄIR,TÄYDEL OIREYHTYMÄ
2998B	LAPS LAAJA HÄIRIÖ-B	LAPSUUDEN LAAJA-ALAINEN KEHITYSHÄIR,JÄLKITILA
2999A	LAPS LAAJA HÄIR NU-A	LAPSUUDEN LAAJA-AL.KEHITYSHÄIR,NUD,TÄYDEL OIREYHTYM
2999B	LAPS LAAJA HÄIR NU-B	LAPSUUDEN LAAJA-ALAINEN KEHITYSHÄIRIÖ NUD,JÄLKITILA
2999C	SYMBIOOTTINEN PSYKOO	SYMBIOOTTINEN PSYKOOSI
300	NEUROSES	NEUROOTTISET HÄIRIÖT
3000A	AHDISTUNEISUUS NUD	TARKEMMIN MÄÄRITTELEMÄTÖN AHDISTUNEISUUSHÄIRIÖ
3000B	PANIIKKIHÄIRIÖ	PANIIKKIHÄIRIÖ
3000C	NEUROSIS ANGORIS	YLEISTYNYT TUSKAISUUS
3001A	KONVERSIOHÄIRIÖ	KONVERSIOHÄIRIÖ
3001B	PSYKOGEENIN AMNESIA	PSYKOGEENINEN AMNESIA
3001C	PAKKOVAELLUS	PAKKOVAELLUS
3001D	SIVUPERSOONAHÄIRIÖ	SIVUPERSOONAHÄIRIÖ
3001E	DISSOSIAATIOHÄIR NUD	TARKEMMIN MÄÄRITTELEMÄTÖN DISSOSIAATIOHÄIRIÖ
3001X	ITSEAIHEUTTU HÄIRIÖ	ITSEAIHEUTETTU HÄIRIÖ PSYYKKISIN/SEKAMUOTOIS OIREIN
3002B	LAAJA-ALAINEN PANIIK	LAAJA-ALAINEN PANIIKKIHÄIRIÖ
3002C	AGORAFOBIA	JULKISTEN PAIKKOJEN PELKO
3002D	SOSIAAL TILANT PELKO	SOSIAALISTEN TILANTEIDEN PELKO
3002X	MUU SPESIFINEN PELKO	MUU SPESIFINEN PELKO
3003A	NEUROS OBSES-COMPULS	NEUROSIS OBSESSIVA-COMPULSIVA
3004A	NEUROSIS DEPRESSIVA	KROONINEN MASENTUNEISUUS
3006A	DEPERSONALISATIO	DEPERSONALISAATIOHÄIRIÖ
3007A	SYNDR HYPOCHONDRICA	HYPOKONDRINEN OIREYHTYMÄ
3008A	SOMATISAATIOHÄIRIÖ	SOMATISAATIOHÄIRIÖ
3009X	NEUROSIS NUD	NEUROSIS NUD
301	PERSOONALLISUUSHÄIRI	PERSOONALLISUUSHÄIRIÖT
3010A	EPÄLUUL PERSOONALLIS	EPÄLUULOINEN PERSOONALLISUUS
3011D	MIELIALAN AALTOILUHÄ	MIELIALAN AALTOILUHÄIRIÖ
3012A	ERISTÄYTYVÄ PERSOONA	ERISTÄYTYVÄ PERSOONALLISUUS
3012C	PSYKOOSIPIIRT PERSOO	PSYKOOSIPIIRTEINEN PERSOONALLISUUS
3014A	VAATIVA PERSOONALLIS	VAATIVA PERSOONALLISUUS
3015A	HUOMIONHAK PERSOONAL	HUOMIONHAKUINEN PERSOONALLISUUS
3015B	SYNDROMA MéNCHHAUSEN	ITSEAIHEUTETTU HÄIRIÖ,RUUMIILLISIN OIREIN
3016A	RIIPPUVAINEN PERSOON	RIIPPUVAINEN PERSOONALLISUUS
3017A	ASOSIAALINEN PERSOON	ASOSIAALINEN PERSOONALLISUUS
3018B	NARSISTINEN PERSOONA	NARSISTINEN PERSOONALLISUUS
3018C	ESTYNYT PERSOONALLIS	ESTYNYT PERSOONALLISUUS
3018D	EPÄVAKAA PERSOONALLI	EPÄVAKAA PERSOONALLISUUS
3018E	PASSIV-AGGRES PERSON	PASSIIVIS-VIHAMIELINEN PERSOONALLISUUS
3018X	PERSOONALLISUUSH NUD	MUU TAI SEKAMUOTOINEN PERSOONALLISUUSHÄIRIÖ
302	PERTURBAT PSYCHOSEXU	SEKSUAALISET IDENTITEETTI-,KOHDE- JA TOIMINTAHÄIRIÖ
3020A	ITSEÄ HÄIR HOMOSEKSU	ITSEÄ HÄIRITSEVÄ HOMOSEKSUAALISUUS
3021A	ZOOFILIA	ELÄINKOHTEINEN SEKSUAALIHÄIRIÖ
3022A	PEDOFILIA	LAPSIKOHTEINEN SEKSUAALIHÄIRIÖ
3023A	TRANSVESTISMI	SEKSUAALINEN NAISEKSI PUKEUTUMISEN HALU
3024A	EXHIBITIONISMI	SEKSUAALINEN PALJASTAMISHÄIRIÖ
3025A	TRANSSEXUALISMI	SUKUPUOLENVAIHTOHALU
3026A	LAPS SUKUP IDENT HÄI	LAPSUUSIÄN SUKUPUOLI-IDENTITEETIN HÄIRIÖ
3027A	MUU PSYKSEKS TOIM HÄ	TARKEMMIN MÄÄRITTELEMÄTÖN PSYKOSEKS. TOIMINTAHÄIRIÖ
3027B	SEKSUAAL HALUTTOMUUS	SEKSUAALINEN HALUTTOMUUS
3027C	SEKS KIIHOTTUMISVAIK	SEKSUAALINEN KIIHOTTUMISVAIKEUS
3027D	NAISEN ORGASMIVAIKEU	NAISEN ORGASMIVAIKEUS
3027E	MIEHEN ORGASMIVAIKEU	MIEHEN ORGASMIVAIKEUS
3027F	ENNENAIK SIEMENSYÖKS	ENNENAIKAINEN SIEMENSYÖKSY
3027G	TOIMINNAL YHDYNTÄKIP	TOIMINNALLISET YHDYNTÄKIVUT
3027H	PSYKOGEEN EMÄTINKOUR	PSYKOGEENINEN EMÄTINKOURISTUS
3028B	FETISISMI	ESINEKOHTEINEN SEKSUAALINEN HÄIRIÖ
3028C	SEKS TIRKISTELYHÄIRÖ	SEKSUAALINEN TIRKISTELYHÄIRIÖ
3028D	SEKSUAAL MASOKISMI	SEKSUAALINEN MASOKISMI
3028E	SEKSUAALINEN SADISMI	SEKSUAALINEN SADISMI
3028X	MUU PSYKOSEKS HÄIRIÖ	MUU/TARKEMMIN MÄÄRITTELEM PSYKOSEKSUAALINEN HÄIRIÖ
3029X	MUU SEKS KOHDEHÄIRIÖ	MUU SEKSUAALINEN KOHDEHÄIRIÖ
303	ALCOHOLISMUS	ALKOHOLIRIIPPUVUUS
3039X	ALCOHOLISMUS	ALKOHOLIRIIPPUVUUS
304	LÄÄKE/PÄIHDERIIPPUVU	ADDICTIO MEDICAMENTORUM SEU NARCOMANIA
3040A	OPIAATTIRIIPPUVUUS	ADDICTIO OPIUM ET DERIVATA EX IIS
3041A	ADDIC ANXIOL/SEDATIV	ANKSIOLYYTTI-,SEDATIIVA- JA UNILÄÄKERIIPPUVUUS
3042A	KOKAIINIRIIPPUVUUS	KOKAIINIRIIPPUVUUS
3043A	KANNABISRIIPPUVUUS	KANNABISRIIPPUVUUS
3044A	AMFETAMIINIRIIPPUVUU	AMFETAMIINIRIIPPUVUUS
3045A	ADDIC HALLUCINOGENES	HALLUSINOGEENIRIIPPUVUUS
3046A	RIIPPUV/TEOL.LIUOTTI	RIIPPUVUUS TEOLLISUUSLIUOTTIMIIN
3049X	ADDIC MEDIC/NARC NUD	MUU LÄÄKE- JA PÄIHDERIIPPUVUUS
305	PÄIHTYMYS/TUPAK RIIP	PÄIHTYMYSTILAT JA TUPAKKARIIPPUVUUS
3050A	ALKOHOLIPÄIHTYMYS	ALKOHOLIPÄIHTYMYS
3051A	TUPAKKARIIPPUVUUS	TUPAKKARIIPPUVUUS
3052A	KANNABISPÄIHTYMYS	KANNABISPÄIHTYMYS
3053A	HALLUSINOG PÄIHTYMYS	HALLUSINOGEENIPÄIHTYMYS
3054A	PÄIHTYM/ANXIOL/SEDAT	ANKSIOLYYTTI-,SEDATIIVA- JA UNILÄÄKEPÄIHTYMYS
3055A	OPIAATTIPÄIHTYMYS	OPIAATTIPÄIHTYMYS
3056A	KOKAIINIPÄIHTYMYS	KOKAIINIPÄIHTYMYS
3057A	AMPHETAMIINIPÄIHTYMY	AMFETAMIINIPÄIHTYMYS
3059X	MUU PÄIHTYMYSTILA	MUU PÄIHTYMYSTILA
307	SDR PSYCHOGENICA ALI	SYNDROMATA PSYCHOGENICA ALIA
3070A	DYSPHEMIA	ÄNKYTYS
3070B	TACHYPHEMIA	SOKELLUS
3071A	ANOREXIA NERVOSA	ANOREXIA NERVOSA
3072A	NYKIMISHÄIRIÖ NUD	NYKIMISHÄIRIÖ, MÄÄRITTELEMÄTÖN
3072B	NYKIMISHÄIRIÖ TILAPÄ	NYKIMISHÄIRIÖ, TILAPÄINEN
3072C	NYKIMISHÄIRIÖ KROONI	NYKIMISHÄIRIÖ, KROONINEN
3072D	TOURETTEN SYNDROOMA	SYNDROMA GILLES DE LA TOURETTE
3073A	KAAVAMAINEN LIIKEHÄI	KAAVAMAINEN LIIKEHÄIRIÖ
3074A	UNIHÄIRIÖ	UNIHÄIRIÖ
3074F	UNIVALVERYTMIN HÄIRI	UNIVALVERYTMIN HÄIRIÖ
3074G	SOMNAMBUL/PAVOR NOCT	UNISSAKÄVELYHÄIRIÖ JA YÖLLINEN KAUHUKOHTAUS
3074H	PARASOMNIA NUD	PARASOMNIA NUD
3075A	SYÖMISHÄIRIÖ, NUD	TARKEMMIN MÄÄRITTELEMÄTÖN SYÖMISHÄIRIÖ
3075B	BULIMIA	AHMIMISHÄIRIÖ
3075C	PICA-OIREYHTYMÄ	PICA-OIREYHTYMÄ
3075D	RUMINATIO	PULAUTTELUHÄIRÖ (RUMINATIO)
3075E	VOMITUS PSYCHOGENICU	PSYKOGEENINEN OKSENTELU
3076A	ENURESIS NOCTURNA	YÖKASTELU
3076B	ENURESIS DIURNA	PÄIVÄKASTELU
3076C	ENURESIS DIURNA/NOCT	YÖ- JA PÄIVÄKASTELU
3077A	ENCOPRESIS	TUHRIMINEN
3078A	DOLOR IDIOPATHICA	KROONINEN KIPU-OIREYHTYMÄ
3079X	SDR PSYCHOGENICA ALI	SYNDROMA PSYCHOGENICA ALIA DEFINITA
309	SOPEUTUMISHÄIRIÖT	SOPEUTUMISHÄIRIÖT
3090A	MASENT/SOPEUTUMISHÄI	MASENTUNEISUUTENA ILMENEVÄ SOPEUTUMISHÄIRIÖ
3092A	EROAHDISTUSHÄIRIÖ	EROAHDISTUSHÄIRIÖ
3092B	KOULUFOBIA	KOULUFOBIA
3092C	SOPEUTUMISHÄIRIÖ/TYÖ	TYÖNTEON/OPINTOJEN ESTYMISENÄ ILM. SOPEUTUMISHÄIRIÖ
3092D	AHDISTUS/SOPEUTUMINE	AHDISTUNEISUUTENA ILMENEVÄ SOPEUTUMISHÄIRIÖ
3092E	SOP.HÄIR/US EMOT OIR	USEINA EMOTIONAALISINA OIREINA ILM.SOPEUTUMISHÄIRIÖ
3093A	KÄYTÖSHÄIR/SOPEUTUM	KÄYTÖSHÄIRIÖNÄ ILMENEVÄ SOPEUTUMISHÄIRIÖ
3094A	SOP.HÄIR/EMOT/KÄYTÖS	EMOTION.OIREINA/KÄYTÖSHÄIRIÖNÄ ILM.SOPEUTUMISHÄIRIÖ
3098A	SOP.HÄIR/SOS.ERISTÄY	SOSIAALISENA ERISTÄYTYMISENÄ ILM. SOPEUTUMISHÄIRIÖ
3098X	TRAUMAPER STRESSIREA	TRAUMAPERÄINEN STRESSIREAKTIO
3099X	MUU SOPEUTUMISHÄIRIÖ	MUUNLAISINA OIREINA ILMENEVÄ SOPEUTUMISHÄIRIÖ
310	ORG.PSYK.HÄIR/AIVOVA	AIVOVAURION AIHEUTTAMA ELIMELLINEN MIELENTER.HÄIRIÖ
3101A	PERSOONA.MUUT/AIVOVA	AIVOVAURION AIHEUTTAMA ELIMEL.PERSOONALLISUUSMUUTOS
312	GERENDUM ABNORME	KÄYTÖS- JA HILLITSEMISHÄIRIÖT
3120A	KÄYTÖSHÄIRIÖ	KÄYTÖSHÄIRIÖ
3123A	PELIHIMO	PELIHIMO
3123B	NÄPISTELYHIMO	KLEPTOMANIA
3123C	TUHOPOLTTOHIMO	PYROMANIA
3123D	TOISTUVA RAIVOKOHTAU	TOISTUVAT RAIVOKOHTAUKSET
3123X	MUU HILLITSEMISHÄIRI	TARKEMMIN MÄÄRITTELEMÄTÖN HILLITSEMISHÄIRIÖ
313	PERTUB EMOTIO INFANT	MUU LAPSUUDEN/NUORUUDEN EMOTIONAALISET OIREET
3132C	VALIKOIVA PUHUMATTOM	VALIKOIVA PUHUMATTOMUUS
3133A	SISARUSKATEUS	SISARKATEUS
3138A	UHMAKKUUSHÄIRIÖ	UHMAKKUUSHÄIRIÖ
3138B	IDENTITEETTIHÄIRIÖ	IDENTITEETTIHÄIRIÖ
3138C	LAPSUUSIÄN RAJATILA	LAPSUUSIÄN RAJATILAHÄIRIÖ
3138X	MUU LAPS EMOTIO OIRE	MUU MÄÄRITTELTY EMOTIONAALISENA OIREENA ILM. HÄIRIÖ
314	TARKKAAVAISUUSHÄIRIÖ	TARKKAAVAISUUSHÄIRIÖT
3140B	TARKKAAVAISUUSHÄIRIÖ	TARKKAAVAISUUSHÄIRIÖ
3141A	MBD-OIREYHTYMÄ	MBD-OIREYHTYMÄ
315	KEHITYK ERITYISVAIKE	KEHITYKSEN ERITYISVAIKEUDET
3150A	LUKEMIS ERITYISVAIKE	LUKEMISEN  ERITYISVAIKEUS
3151A	LASKEMIS ERITYISVAIK	LASKEMISEN ERITYISVAIKEUS
3152A	KIRJOIT ERITYISVAIKE	KIRJOITTAMISEN ERITYISVAIKEUS
3153A	KIELENKEH ERITYISVAI	KIELENKEHITYKSEN ERITYISVAIKEUS
3153X	PUHEENKEH ERITYISVAI	PUHEEN KEHITYKSEN ERITYISVAIKEUS
3154A	MOTOR KOORDIN VAIKEU	MOTORISEN KOORDINATION ERITYISVAIKEUS
3159X	MUU KEHIT ERITYISVAI	MUU MÄÄRITELTY KEHITYKSEN ERITYISVAIKEUS
316	PSYYK TEKIJ+ORG SAIR	PSYYK TEKIJÄT ORGAANISTEN SAIRAUKSIEN/OIREIDEN YHTE
3160A	PSYYK TEKIJ+ORG SAIR	PSYYK TEKIJÄT ORGAANISTEN SAIRAUKSIEN/OIREIDEN YHTE
3170A	RETARD MENT LEVIS-A	LIEVÄ ÄLYLL.KEHITYSVAMMAISUUS,EI KÄYTÄYTYM.HÄIRIÖTÄ
3170B	RETARD MENT LEVIS-B	LIEVÄ ÄLYLL.KEHITYSVAMMAISUUS,JOSSA KÄYTÄYTYM.HÄIRI
3180A	RETARD MENT MODERA-A	KESKIVAIKEA ÄLYLL KEHITYSVAMMAISUUS,EI KÄYTÄYT.HÄIR
3180B	RETARD MENT MODERA-B	KESKIVAIKEA ÄLYLL KEHITYSVAMMAISUUS JA KÄYTÄYT.HÄIR
3181A	RETARD MENT GRAVIS-A	VAIKEA ÄLYLL.KEHITYSVAMMAISUUS,EI KÄYTTÄYTMISHÄIRIÖ
3181B	RETARD MENT GRAVIS-B	VAIKEA ÄLYLL.KEHITYSVAMMAISUUS JA KÄYTTÄYTMISHÄIRIÖ
3182A	RETARD MENT PROFUN-A	SYVÄ ÄLYLLINEN KEHITYSVAMMAISUUS,EI KÄYTTÄYMISHÄIRI
3182B	RETARD MENT PROFUN-B	SYVÄ ÄLYLLINEN KEHITYSVAMMAISUUS JA KÄYTTÄYMISHÄIRI
3199A	RETARD MENTAL NUD-A	MUU ÄLYLLINEN KEHITYSVAMMAISUUS,EI KÄYTTÄYTYMIHÄIRI
3199B	RETARD MENTAL NUD-B	MUU ÄLYLLINEN KEHITYSVAMMAISUUS JA KÄYTTÄYTYMIHÄIRI
320	MENINGITIS BACTERICA	MENINGITIS BACTERICA
3200A	MENINGITIS,HEMOFILUS	MENINGITIS E HAEMOPHILUS INFLUENZAE
3201A	MENINGITIS,PNEUMOKOK	MENINGITIS E PNEUMOCOCCUS
3202A	MENINGITIS,STREPTOKO	MENINGITIS E STREPTOCOCCUS
3203A	MENINGITIS,STAFYLOKO	MENINGITIS E STAPHYLOCOCCUS
3208X	MENINGITIS,MUU BAKT	MENINGITIS BACTERICA ALIA
3209X	MENINGITIS,BAKT NUD	MENINGITIS BACTERICA NUD
322	MENINGITIS NUD	MENINGITIS NUD
3229X	MENINGITIS NUD	MENINGITIS NUD
323	ENCEPHALITIS/MYELIT	ENCEPHALITIS, MYELITIS ET ENCEPHALOMYELITIS
3235A	ENCEPHA POST IMMUNIS	ENCEPHALITIS/MYELITIS/ENCEPHALOMYELITIS POST IMMUN
3238A	ENCEPHA/MYELIT BACT	ENCEPHALITIS (MYELITIS, ENCEPHALOMYELITIS) BACTER
3238B	ENCEPH/MYELIT VIROSA	ENCEPHALITIS (MYELITIS,ENCEPHALOMYELITIS) VIROSA
3238X	ENCEPHAL ALIA DEFIN	ENCEPHALITIS (MYELITIS, ENCEPHALOMYELITIS) ALIA DEF
3239X	ENCEPH/MYELIT NUD	ENCEPHALITIS NUD
324	ABSC INTRACRAN/SPIN	ABSCESSUS INTRACRANIALIS ET INTRASPINALIS
3240A	ABSC INTRACRANIALIS	ABSCESSUS INTRACRANIALIS
3241A	ABSC INTRASPINALIS	ABSCESSUS INTRASPINALIS
3249X	ABSC INTRACR NON DEF	ABSCESSUS SYST NERV CENTR LOCO MULTIPLICI/NON DEF
325	PHLEB SIN VEN INTRCR	PHLEBITIS ET THROMBOPHLEBITIS SINUUM VEN INTRACRAN
3259X	PHLEB SIN VEN INTRCR	PHLEBITIS ET THROMBOPHLEBITIS SINUUM VEN INTRACRAN
326	SEQ INF INTRACRA/SPI	SEQUEL ABSCESSUS ET INFECT PYOGEN INTRACRAN/INTRASP
3269X	SEQ INF INTRACRA/SPI	SEQUEL ABSCESSUS ET INFECT PYOGEN INTRACRAN/INTRASP
330	DEGEN CEREB INFANTI	MORBI DEGENERATIONIS CEREBRI PRAESERTIM INFANTILIS
3300A	LEUCODYSTROPHIA	LEUCODYSTROPHIA
3301A	DEGEN CER GANGLIOSID	DEGENERATIO CEREBRI E GANGLIOSIDOSIS
3301B	DEG CER LIPOFUS INFA	DEGENERATIO CEREBRI E LIPUFUSCIN NEURONAL CEROIDES
3301X	DEG CER LIPIDOS ALIA	DEGENERATIO CEREBRI ,LIPIDOSIS ALIA
3308A	EPILEP MYOCL PROGRES	EPILEPSIA MYOCLONICA PROGRESSIVA
3308X	DEG CER INFAN AL DEF	DEGENERATIO CEREBRI INFANTILIS ALIA DEFINITA
3309X	DEG CER INFANTI NUD	DEGENERATIO CEREBRI INFANTILIS  NUD
331	MB DEGEN CEREBRI ALI	MORBI DEGENERATIONIS CEREBRI ALII
3310A	MORBUS ALZHEIMER	MORBUS ALZHEIMER
3311A	MORBUS PICK	MORBUS PICK
3312X	DEG CEREB AL SEU NUD	DEGENERATIO CEREBRI ALIA SEU NUD
3313A	HYDROCEPHAL COMMUNIC	HYDROCEPHALUS COMMUNICANS
3314A	HYDROCEPHAL OBSTRUCT	HYDROCEPHALUS OBSTRUCTIVUS
3318X	DEG CEREB ALIA DEFIN	DEGENERATIO CEREBRI ALIA DEFINITA
3319X	DEGENERAT CEREBR NUD	DEGENERATIO CEREBRI NUD
332	MORBUS PARKINSON	MORBUS PARKINSON
3320A	MORBUS PARKINSON	MORBUS PARKINSON
3321A	PARKINSONISM SECUND	PARKINSONISMUS SECUNDARIUS
333	MB EXTRAPYR/ DYSKIN	MORBI EXTRAPYRAMIDALES ET DYSKINESIAE
3330A	DEGEN GANGLIO BASAL	DEGENERATIO GANGLIORUM BASALIUM
3331A	TREMOR ESSENTIALIS	TREMOR ESSENTIALIS
3332A	MYOCLONUS	MYOCLONUS
3333A	TIC (ORGANIC)	TIC (ORGANIC)
3334A	CHOREA HUNTINGTON	CHOREA HUNTINGTON
3335A	HEMIBALLISMUS	HEMIBALLISMUS
3336A	DYSTONIA TORSIONIS	DYSTONIA TORSIONIS
3338X	DYSKINESIA ALIA	DYSKINESIA ALIA
3339X	MB EXTRAPYRAM NUD	MORBUS EXTRAPYRAMIDALIS NUD
334	MB SPINOCEREBELLARES	MORBI SPINOCEREBELLARES
3340A	ATAXIA FRIEDREICH	ATAXIA FRIEDREICH
3341A	PARAPLEG SPAST HERED	PARAPLEGIA SPASTICA HEREDITARIA
3342A	DEGEN CEREBELL PRIM	DEGENERATIO CEREBELLARIS PRIMARIA
3343A	ATAXIA CEREBELL ALIA	ATAXIA CEREBELLARIS ALIA
3348X	MB SPINOCEREBELL AL	MORBUS SPINOCEREBELLARIS ALIA
3349X	MB SPINOCEREBELL NUD	MORBUS SPINOCEREBELLARIS NUD
335	MB CELL CORNUS ANTER	MORBI CELLULARUM CORNUS ANTERIORIS
3350A	MB WERDNIG-HOFFMANN	MORBUS WERDNIG-HOFFMANN
3350B	ATROPH MUSC SPIN INT	ATROPHIA MUSCULORUM SPINALIS INTERMEDIA
3351A	MB KUGELBERG-WELANDE	MORBUS KUGELBERG-WELANDER
3351B	ATROPH MUSC SPIN ALI	ATROPHIA MUSCULORUM SPINALIS ALIA
3351X	ATROPH MUSC SPIN NUD	ATROPHIA MUSCULORUM SPINALIS NUD
3352A	SCLER LAT AMYOTROPHI	SCLEROSIS LATERALIS AMYOTROPHICA
3352B	ATROPH MUSC PROGRESS	ATROPHIA MUSCULORUM PROGRESSIVA
3352C	PARALYSIS BULB PROGR	PARALYSIS BULBARIS PROGRESSIVA
3352D	PARALYSIS PSEUDOBULB	PARALYSIS PSEUDOBULBARIS
3352E	SCLER LATER PRIMARIA	SCLEROSIS LATERALIS PRIMARIA
3352X	ALII MB NERVI MOTORI	ALII MORBI NERVI MOTORI
3358X	ALI MB CELL CORN ANT	ALII MORBI CELLULARUM CORNUS ANTERIORIS
3359X	MB CELL CORN ANT NUD	MORBUS CELLULARUM CORNUS ANTRIOR NUD
336	ALII MORBI SPINALES	ALII MORBI SPINALES
3360A	SYRINGOMYELIA/BULBIA	SYRINGOMYELIA ET SYRINGOBULBIA
3361A	MYELOPATHIA VASCULAR	MYELOPATHIA VASCULARIS
3368X	MYELOPATHIA ALIA DEF	MYELOPATHIA ALIA DEFINITA
3369X	MYELOPATHIA NUD	MYELOPATHIA NUD
337	MB NERV PERIF AUTON	MORBI SYSTEMATIS NERVORUM PERIPHERICI AUTONOMICI
3370A	NEUROP AUTO PER IDIO	NEUROPATHIA AUTONOMICA PERIPHERICA IDIOPATHICA
3371A	NEUROP AUTO PER SECU	NEUROPATHIA AUTONOMICA PERPHERICA SECUNDARIA
3378X	NEUROP AUTO PER ALIA	NEUROPATHIA AUTONOMICA PERIPHERICA ALIA DEFINITA
3379X	NEUROP AUTO PER NUD	NEUROPATHIA AUTONOMICA PETRIPHERICA NUD
340	SCLEROSIS MULTIPLEX	SCLEROSIS MULTIPLEX (DISSEMINATA)
3400A	SCLEROSIS MULTIPLEX	SCLEROSIS MULTIPLEX (DISSEMINATA)
341	MB DEMYEL NERV CENTR	ALII MORBI DEMYELISANTES SYSTEMATIS NERVORUM CENTRA
