code,name_fi,name_en,name_se,name_en_source,valid_start_date,valid_end_date
FBK03,Solis- ja keuhkovaltimon välisen liitoksen sulku,Closure of subclavio-pulmonary anastomosis,Slutning av subklaviopulmonal anastomos,THL,2005-01-01,2030-12-31
FBK10,Solis- ja keuhkovaltimon välisen proteesin sulku,Closure of subclavio-pulmonary anastomosis with interposed graft,Tillslutning av subklavio-pulmonell protesshunt,THL,1900-01-01,2030-12-31
FBK13,Solis- ja keuhkovaltimon välisen liitoksen sulku ja keuhkovaltimon korjaus,Closure of subclavio-pulmonary anastomosis with reconstruction of pulmonary artery,Slutning av subklaviopulmonal anastomos med rekonstruktion av arteria pulmonalis,THL,2005-01-01,2030-12-31
FBK96,Muu solisvaltimon ja keuhkovaltimon välisen liitoksen sulku,Closure of other subclavio-pulmonary connection,Annan operation för tillslutning av subklavio-pulmonell shunt,THL,1900-01-01,2030-12-31
FBL,Aortan ja keuhkovaltimon yhdistämisleikkaukset,Connection to pulmonary artery from aorta,Aorto-pulmonella anastomoser och shuntar,THL,1900-01-01,2030-12-31
FBL00,Nousevan aortan ja keuhkovaltimon rungon yhdistäminen,Anastomosis to pulmonary trunk from ascending aorta,Anastomos mellan aorta ascendens och arteria pulmonalis' huvudstam,THL,1900-01-01,2030-12-31
FBL10,Aortan ja oikean keuhkovaltimon yhdistäminen (Waterston),Aorto-pulmonary anastomosis,Aorto-pulmonell anastomos (Waterston),THL,1900-01-01,2008-12-31
FBL20,Distaalinen aortan ja keuhkovaltimon yhdistäminen (Potts),Distal aorto-pulmonary anastomosis,Distal aorto-pulmonell anastomos (Potts),THL,1900-01-01,2008-12-31
FBL30,Aortan ja keuhkovaltimon yhdistäminen proteesilla,Aorto-pulmonary anastomosis using graft,Aorto-pulmonell shunt med kärlprotes,THL,1900-01-01,2030-12-31
FBL40,Yksikammiosydämen aortta-keuhkovaltimoyhteys,Aorto-pulmonary anastomosis in single ventricle conditions,Aorto-pulmonell anastomos eller shunt vid univentrikulära hjärtmissbildningar,THL,1900-01-01,2030-12-31
FBL50,Katkaistun keuhkovaltimon yhdistäminen aorttaan (Mee),Aorto-pulmonary anastomosis with transection of pulmonary artery (Mee),Aorto-pulmonary anastomosis med transektion av pulmonary artery (Mee),THL,2001-01-01,2008-12-31
FBL96,Muu aortan ja keuhkovaltimon yhdistämisleikkaus,Other connection to pulmonary artery from aorta,Annan aorto-pulmonell anastomos eller shunt,THL,1900-01-01,2030-12-31
FBM,Aortan ja keuhkovaltimoiden välisten liitosten sulkemiset,Closure of artificial aorto-pulmonary connection,Tillslutning eller delning av anlagda aorto-pulmonella anastomoser och shuntar,THL,1900-01-01,2030-12-31
FBM00,Sentraalisen aortan ja keuhkovaltimon välisen anastomoosin sulku,Closure of central aorto-pulmonary anastomosis,Tillslutning av central aorto-pulmonell anastomos,THL,1900-01-01,2030-12-31
FBM10,Aortan ja keuhkovaltimon välisen anastomoosin (Waterston) sulku,Closure of aorto-pulmonary shunt,Tillslutning av aorto-pulmonell shunt (Waterston),THL,1900-01-01,2008-12-31
FBM20,Distaalisen aortan ja keuhkovaltimon välisen anastomoosin (Potts) sulku,Closure of distal aorto-pulmonary shunt,Tillslutning av distal aorto-pulmonell shunt (Potts),THL,1900-01-01,2008-12-31
FBM30,Aortan ja keuhkovaltimon välisen proteesin sulku,Closure of prosthetic aorto-pulmonary connection,Tillslutning av aortop-ulmonell protesshunt,THL,1900-01-01,2008-12-31
FBM96,Muu aortan ja keuhkovaltimon välisen liitoksen sulkemisleikkaus,Other closure of artificial aorto-pulmonary connection,Annan tillslutning eller delning av anlagd aorto-pulmonell anastomos eller shunt,THL,1900-01-01,2030-12-31
FBN,"Keuhkovaltimoavanteen, fistelin, sulku",Closure of fistula of pulmonary artery,Operation för fistel från arteria pulmonalis,THL,1900-01-01,2030-12-31
FBN00,Keuhkovaltimon ja oikean eteisen välisen avanteen sulku,Closure of fistula to atrium from pulmonary artery,Tillslutning av fistel från arteria pulmonalis till förmak,THL,1900-01-01,2030-12-31
FBN01,Keuhkovaltimon arteriovenöösin fistelin perkutaaninen embolisaatio,Percutanous embolisation of arterio-venous fistula from pulmonary artery,Perkutan embolisation av arteriovenös fistel från arteria pulmonalis,THL,2012-01-01,2030-12-31
FBN10,Keuhkovaltimon arteriövenöösin avanteen sulku,Closure of arterio-venous fistula from pulmonary artery,Tillslutning av arteriovenös fistel från arteria pulmonalis,THL,1900-01-01,2030-12-31
FBN96,Muu keuhkovaltimoavanteen sulku,Closure of other fistula of pulmonary artery,Annan operation för fistel från arteria pulmonalis,THL,1900-01-01,2030-12-31
FBW,Muut keuhkovaltimon ja sen haarojen leikkaukset,Other operations on pulmonary artery and branches,Övriga operationer på arteria pulmonalis och dess grenar,THL,1900-01-01,2030-12-31
FBW96,Muu keuhkovaltimon ja sen haarojen leikkaus,Other operation on pulmonary artery and branches,Övriga operationer på arteria pulmonalis eller dess grenar,THL,1900-01-01,2030-12-31
FB_2,Muut keuhkovaltimoiden toimenpiteet,Other procedures on pulmonary artery and branches,Andra åtgärder på lungartärer,THL,1900-01-01,2030-12-31
TFB00,Keuhkovaltimokatetrin asennus,Cathetrisation of pulmonal artery,Katetrisering av lunartär,THL,1997-01-01,2030-12-31
TFB10,Keuhkovaltimon ahtauman pallolaajennus,Balloon widening of lung artery,Ballongutvidgning av lungartär,THL,1998-01-01,2003-11-07
TFB15,Keuhkovaltimon ahtauma pallolaajennus ja stentti,Balloon widening of lungartery with stent,Ballongutvidgning av lungartär med stent,THL,1998-01-01,2003-11-07
FC,"Rintakehän aortta ja rintakehän sekä vatsan alueen aortta, ei sisällä malformaatioita","Thoracic and thoracoabdominal aorta, excluding malformations","Operationer på torakala och torakoabdominala aorta, exkluderar malformationer",THL,1900-01-01,2030-12-31
FC_,Rinta-aortan diagnostinen radiologia,Diagnostic radiology of thoracal aorta,Diagnostisk radiologi av thorakal aorta,THL,1900-01-01,2030-12-31
FC1AC,Rinta-aortan varjoainetutkimus,Angiography of thoracal aortta,"Aortabågen, kontrastundersökning",THL,1999-01-01,2030-12-31
FC1BC,Rinta-aortan laaja varjoainetutkimus,Extensive angiography of thoracal aortta,"Aortabågen, omfattande kontrastundersökning",THL,1999-01-01,2030-12-31
FC1CC,Rinta-aortan erittäin laaja varjoainetutkimus,Very extensive angiography of thoracal aortta,"Aortabågen, mycket omfattande kontrastundersökning",THL,1999-01-01,2030-12-31
PC1AD,Rinta-aortan TT,CT of thoracic aorta,Bröstaortas DT,THL,2003-01-01,2030-12-31
PC1BD,Rinta-aortan laaja TT-angiografia,Extensive CT of thoracic aorta,Bröstaortas omfattande DT,THL,2003-01-01,2030-12-31
FCW,Muut rinta-aortan tai rinta-vatsa-aortan leikkaukset,Other operations on thoracic or thoracoabdominal aorta,Andra operationer på torakala och torakoabdominala aorta,THL,1900-01-01,2030-12-31
FCW96,Muu rinta-aortan tai rinta-vatsa-aortan leikkaus,Other operations on thoracic or thoracoabdominal aorta,Andra operationer på torakala och torakoabdominala aorta,THL,1900-01-01,2030-12-31
FC_2,"Rinta- ja rinta-vatsa-aortan ompelu, osittainen poisto ja korjaus paikalla",Repair of thoracic aorta,"Sutur, partiell resektion och rekonstruktion med patch av torakal och torakoabdominal aorta",THL,1900-01-01,2030-12-31
FCA00,Nousevan aortan ompelu,Suture of ascending aorta,Sutur av aorta ascendens,THL,1900-01-01,2030-12-31
FCA10,Nousevan aortan katkaisu ja ompelu,Repair of ascending aorta by division and suture,Rekonstruktion av aorta ascendens med delning och sutur,THL,1900-01-01,2030-12-31
FCA20,Nousevan aortan ympäri tukeminen,Reinforcement of ascending aorta with wrapping,Förstärkning av aorta ascendens genom wrapping,THL,1900-01-01,2030-12-31
FCA30,Nousevan aortan seinämän poisto ja ompelu,Partial resection and suture of ascending aorta,Partiell resektion och sutur av aorta ascendens,THL,1900-01-01,2030-12-31
FCA40,Nousevan aortan korjaus paikkaamalla,Repair of ascending aorta using patch,Rekonstruktion av aorta ascendens med patch,THL,1900-01-01,2030-12-31
FCA75,"Aortan tyven korjaus läpän säästävällä menetelmällä (David, Yacoub)","Valve-sparing repair of aortic root (David, Yacoub)",Resektion av aortaroten genom klaff sparande metod,Translator,2010-01-01,2030-12-31
FCB00,Aortan kaaren korjaus ompelemalla,Suture of aortic arch,Rekonstruktion av aortabågen med sutur,THL,1900-01-01,2030-12-31
FCB10,Aortan kaaren katkaisu ja ompelu,Repair of aortic arch by division and suture,Rekonstruktion av aortabågen med delning och sutur,THL,1900-01-01,2030-12-31
FCB20,Aortan kaaren seinämän poisto ja ompelu,Partial resection and suture of aortic arch,Partiell resektion och sutur av aortabågen,THL,1900-01-01,2030-12-31
FCB30,Aortan kaaren vahvistaminen paikkaamalla,Repair of aortic arch using patch,Rekonstruktion av aortabågen med patch,THL,1900-01-01,2030-12-31
FCC00,Laskevan aortan ompelu,Suture of descending aorta,Rekonstruktion av aorta descendens med sutur,THL,1900-01-01,2030-12-31
FCC10,Laskevan aortan vahvistaminen ompelemalla,Repair of descending aorta by division and suture,Rekonstruktion av aorta descendens med delning och sutur,THL,1900-01-01,2030-12-31
FCC30,Laskevan aortan seinämän poisto ja ompelu,Partial resection and suture of descending aorta,Partiell resektion och sutur av aorta descendens,THL,1900-01-01,2030-12-31
FCC40,Laskevan aortan korjaus paikkaamalla,Repair of descending aorta using patch,Rekonstruktion av aorta descendens med patch,THL,1900-01-01,2030-12-31
FCD00,Rinta-vatsa-aortan ompelu,Suture of thoracoabdominal aorta,Sutur av torakoabdominala aorta,THL,1900-01-01,2030-12-31
FCD10,Rinta-vatsa-aortan vahvistaminen ompelemalla,Reinforcement of thoracoabdominal aorta using suture,Förstärkning av torakoabdominala aorta med sutur,THL,1900-01-01,2030-12-31
FCD30,Rinta-vatsa-aortan korjaus paikkaamalla,Repair of thoracoabdominal aorta using patch,Rekonstruktion av torakoabdominala aorta med patch,THL,1900-01-01,2030-12-31
FCD40,Rinta-vatsa-aortan seinämän poisto ja ompelu,Partial resection and suture of thoracoabdominal aorta,Partiell resektion och sutur av torakoabdominala aorta,THL,1900-01-01,2030-12-31
FC_3,"Rinta- ja rinta-vatsa-aortan korjaus proteesilla, ohitus tai stentin asettaminen",Repair of aortic arch,"Resektion och rekonstruktion med protees, by-pass eller stent av torakal och torakoabdominal aorta",THL,1900-01-01,2030-12-31
FCA45,Stentin asentaminen nousevaan aorttaan suonensisäisesti,Percutaneous insertion of stent into ascending aorta,Perkutan insertion av stent i aortta ascendes,THL,1999-01-01,2030-12-31
FCA50,Nousevan aortan korjaus proteesilla,Resection and reconstruction of ascending aorta using tube graft,Resektion och rekonstruktion av aorta ascendens med kärlprotes,THL,1900-01-01,2030-12-31
FCA60,"Aortan tyven korjaaminen, sepelvaltimoistutus ja mekaaninen läppä",Resection of aortic root and ascending aorta with reimplantation of coronary arteries and use of composite graft with mechanical valve prosthesis,Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och användande av klaffbärande kärlprotes,THL,1900-01-01,2030-12-31
FCA70,"Aortan tyven korjaaminen, sepelvaltimoistutus ja bioläppä (Bentall-deBono)",Resection of aortic root and ascending aorta with reimplantation of coronary arteries and use of biological valve prosthesis and tube graft,Resektion av aortaroten och aorta ascendens med reimplantation av koronarartärer och användande av biologisk klaff och kärlprotes,THL,1900-01-01,2030-12-31
FCB35,Stentin asentaminen aortan kaareen suonensisäisesti,Percutaneous insertion of stent into aortic arch,Perkutan insertion av stent i aorttabågen,THL,1999-01-01,2030-12-31
FCB40,Aortan kaaren korjaus proteesilla,Resection and reconstruction of aortic arch using tube graft,Resektion och rekonstruktion av aortabågen med kärlprotes,THL,1900-01-01,2030-12-31
FCB50,Aortan kaaren proteesi ja lähtevien valtimoiden istutus,Resection of aortic arch and reimplantation of branches,"Resektion av aortabågen, rekonstruktion med protes och reimplantation av grenar",THL,1900-01-01,2030-12-31
FCC45,Stentin asentaminen laskevaan aorttaan,Percutaneous insertion of stent into descending aorta,Perkutan insertion av stent i aorta descendens,THL,1999-01-01,2030-12-31
FCC50,Laskevan aortan korjaus proteesilla,Resection and reconstruction of descending aorta using tube graft,Resektion och rekonstruktion av aorta descendens med kärlprotes,THL,1900-01-01,2030-12-31
FCC60,Laskevan aortan korjaus proteesilla ja haarojen istutus,Resection of descending aorta and reimplantation of branches,Resektion/rekonstruktion av aorta descendens med reimplantation av grenar,THL,1900-01-01,2030-12-31
FCC70,Aortan kaaren ohitus proteesilla,Bypass to descending aorta using tube graft,By-pass av aortabågen medelst protes,THL,1997-01-01,2030-12-31
FCC76,Laskevan aortan ohitus proteesilla,Bypass to thoracoabdominal aorta using tube graft,By-pass av aorta descendens med protes,THL,1997-01-01,2030-12-31
FCD35,Rinta-vatsa-aortan korjaus stentillä iholta käsin,Percutaneous insertion of stent into thoracoabdominal aorta,Perkutant inläggande av stent i torakoabdominala aorta,THL,2004-01-01,2030-12-31
FCD50,Rinta-vatsa-aortan korjaus proteesilla,Resection and reconstruction of thoracoabdominal aorta using tube graft,Resektion och rekonstruktion av torakoabdominala aorta med kärlprotes,THL,1900-01-01,2030-12-31
FCD60,Rinta-vatsa-aortan korjaus proteesilla ja haarojen istutus,Resection of thoracoabdominal aorta and reimplantation of branches,Resektion/rekonstruktion av torakoabd aorta med reimplantation av grenar,THL,1900-01-01,2030-12-31
FCD70,Rinta-vatsa-aortan ohitus proteesilla,Bypass of thoracoabdominal aorta using tube graft,By-pass av torakoabdominala aorta med kärlprotes,THL,1900-01-01,2030-12-31
FC_4,Rinta- ja rinta-vatsa-aortan vierasesineen poistot,Repair of descending aorta,Avlägsnande av främmande föremål från torakal och torakoabdominal aorta,THL,1900-01-01,2030-12-31
FCA83,Vierasesineen poisto nousevasta aortasta,Removal of foreign body from ascending aorta,Avlägsnande av främmande föremål från aorta ascendes,THL,2003-01-01,2030-12-31
FCA84,Vierasesineen poisto nousevasta aortasta suonensisäisesti,Percutaneous removal of foreign body from ascending aorta,Perkutan avlägsnande av främmande kropp från aorta ascendes,THL,2003-01-01,2030-12-31
FCB80,Vierasesineen poisto aortankaaresta,Removal of foreign body from aortic arch,Avlägsnande av främmande kropp från aortabågen,THL,2003-01-01,2030-12-31
FCB82,Vierasesineen poisto aortankaaresta suonensisäisesti,Percutaneous removal of foreign body from aortic arch,Perkutan avlägsnande av främmande kropp från aortabågen,THL,2003-01-01,2030-12-31
FCC80,Vierasesineen poisto laskevasta aortasta,Removal of foreign body from descending aorta,Avlägsnande av främmande kropp från aorta descendens,THL,2003-01-01,2030-12-31
FCC82,Vierasesineen poisto laskevasta aortasta suonensisäisesti,Percutaneous removal of foreign body from descending aorta,Perkutan avlägsnande av främmande kropp från aorta descendes,THL,2003-01-01,2030-12-31
FCD80,Vierasesineen poisto rinta-vatsa-aortasta,Removal of foreign body from thoracoabdominal aorta,Avlägsnande av främmande kropp från torakoabdominal aorta,THL,2003-01-01,2030-12-31
FCD82,Vierasesineen poisto rinta-vatsa-aortasta suonensisäisesti,Percutaneous removal of foreign body from thoracoabdominal aorta,Perkutan avlägsnande av främmande kropp från torakoabdominal aorta,THL,2003-01-01,2030-12-31
FC_5,Rinta- ja rinta-vatsa-aortan muut korjaukset,Repair of thoracoabdominal aorta,Andra rekonstruktioner av torakal och torakoabdominal aorta,THL,1900-01-01,2030-12-31
FCA96,Muu nousevan aortan korjausleikkaus,Other repair of ascending aorta,Annan rekonstruktion av aorta ascendens,THL,1900-01-01,2030-12-31
FCB96,Muu aortan kaaren korjausleikkaus,Other repair of aortic arch,Annan rekonstruktion av aortabågen,THL,1900-01-01,2030-12-31
FCC96,Muu laskevan aortan korjausleikkaus,Other repair of descending aorta,Annan rekonstruktion av aorta descendens,THL,1900-01-01,2030-12-31
FCD96,Muu rinta-vatsa-aortan korjausleikkaus,Other repair of thoracoabdominal aorta,Annan rekonstruktion av torakoabdominala aorta,THL,1900-01-01,2030-12-31
FC_6,Aortasta lähtevien avanteiden sulkuleikkaukset,Closure of acquired fistula from aorta,Tillslutning av förvärvad fistel från aorta,THL,1900-01-01,2030-12-31
FCE00,Revenneen sinus Valsalvan aneurysman sulku,Closure of ruptured aneurysm of sinus of Valsalva,Tillslutning av rupturerat sinus Valsalva-aneurysm,THL,1900-01-01,2030-12-31
FCE10,Aortan ja laskimon välisen avanteen sulku,Closure of aorto-venous fistula,Tillslutning av aorto-venös fistel,THL,1900-01-01,2030-12-31
FCE20,Aortan ja keuhkovaltimon välisen avanteen sulku,Closure of aorto-pulmonary fistula,Tillslutning av aorto-pulmonell fistel,THL,1900-01-01,2030-12-31
FCE30,Aortan ja keuhkoputken välisen avanteen sulku,Closure of aorto-bronchial fistula,Tillslutning av aorto-bronkial fistel,THL,1900-01-01,2030-12-31
FCE40,Aortan ja suolen välisen avanteen sulku,Closure of aorto-enteric fistula,Tillslutning av aorto-enterisk fistel,THL,1900-01-01,2030-12-31
FCE96,Muun aortan avanteen sulku,Closure of other fistula from aorta,Annan tillslutning av fistel från aorta,THL,1900-01-01,2030-12-31
FC_7,Muut rinta-aortan tai rinta-vatsa-aortan toimenpiteet,Other procedures on thoracic or thoracoabdominal aorta,Andra åtgärder på torakala och torakoabdominala aorta,THL,1900-01-01,2030-12-31
TFC40,Avoimen valtimotiehyen sulkeminen sateenvarjolaitteella,Catheterisation of heart and inserting umbrella device,Stängning av öppen ductus arteriosus med paraply apparat,THL,1997-01-01,1998-11-06
TFF30,Eteisväliseinän aukon pallolaajennus,Catheterisation of heart with balloon widening of foramen ovale,Katetrisering av hjärtat med ballongutvidgning av öppning i förmaksseptum,THL,1997-01-01,1998-11-06
TFF40,Eteisväliseinäaukon sulkeminen sateenvarjolaitteella,Closure of ASD with rainshirm device,Stängning av ASD med paraply apparat,THL,1997-01-01,1998-11-06
TFJ30,Sydämen läppäaukon pallolaajennus,Catheterisation of heart with balloon widening of valve opening,Katetrisering av hjärtat med ballongutvidgning av klafföppning,THL,1997-01-01,1998-11-06
XFA00,Onttolaskimon varjoainekuvaus,Cineangiography of vena cava inferior,Kineangiografi av intratorakala vena cava,THL,1997-01-01,1998-11-06
XFB00,Keuhkovaltimon varjoainekuvaus,Cineangiography of pulmonary artery,Kineangiografi av lungartären,THL,1997-01-01,1998-11-06
XFJ00,Sydämen oikean puolen kinekuvaus,Cineangiography of right atrium and vetricle,Kineangiografi av högra sidan av hjärtat,THL,1997-01-01,1998-11-06
XFJ20,Sydämen sisäosien ultraäänitutkimus katetrin kautta,Endocardial ultrasound with cathetrisation,Ultraljudsundersökning av hjärtans inre delar genom kateter,THL,1998-01-01,2003-09-13
XFL00,Sydämen vasemman puolen kinekuvaus,Cineangiography of left atrium and vetricle,Kineangiografia av vänstra sidan av hjärtat,THL,1997-01-01,1998-11-06
XFL20,Sydämen molempien puolien kinekuvaus,Cineangiography of both sides of heart,Kineangiografi av båda sidor av hjärtat,THL,1997-01-01,1998-11-06
XFN00,Sepelvaltimoiden varjoainekuvaus,Inside imaging of coronary arteries??,Kineangiografi av kranskärlen,THL,1997-01-01,2002-02-05
XFN04,Sepelvaltimoiden tutkiminen ultraäänellä katetrin kautta,Ultrasound examination of coronary arteries through catheterisation,Ultraljudsundersökning av koronärartär genom katetrisering,THL,1997-01-01,1999-02-05
FD,"Aortta rintaontelossa, synnynnäiset viat",Malformations relating to thoracic aorta,Anomalier och defekter med relation till bröstaorta,THL,1900-01-01,2030-12-31
FDA,Vajaakasvuisen vasemman kammion vuoksi tehtävät leikkaukset,Operations for hypoplastic left heart syndrome,Operation för HLHS,THL,1900-01-01,2030-12-31
FDA00,Aortan muovaus ja yhdystie keuhkovaltimoon,Aortoplasty and aorto-pulmonary shunt for HLHS,Aortaplastik och aorto-pulmonell shunt,THL,1900-01-01,2030-12-31
FDA10,Aortan korjaus ja kammio-keuhkovaltimo liitoksen teko HLH-oireyhtymässä,Aortoplasty and ventriculo-pulmonary shunt for HLHS,Aortaplastik och ventrikulopulmonal shunt för HLHS,THL,2005-01-01,2030-12-31
FDA96,Muu HLH-oireyhtymän vuoksi tehtävä leikkaus,Other operation for HLHS,Annan operation för HLHS,THL,1900-01-01,2030-12-31
FDB,Valtasuonten transposition korjausleikkaukset,Operations for transposition of the great arteries,Operation för TGA,THL,1900-01-01,2030-12-31
FDB00,Yksinkertaisen TGA:n korjaus,Operation for simple TGA,Operation för enkel TGA,THL,1900-01-01,2011-12-31
FDB03,Suurten valtimoiden paikan vaihto sydämessä,Arterial switch for TGA,Artärswitch i hjärtat,THL,2005-01-01,2011-12-31
FDB10,Vaikean TGA:n korjaus,Operation for complex TGA,Operation för komplicerad TGA,THL,1900-01-01,2011-12-31
FDB11,"TGA korjaus, Rastelli","TGA repair, Rastelli","TGA korrektion, Rastelli",THL,2011-01-01,2030-12-31
FDB12,"TGA korjaus, REV (réparation à l'étage ventriculaire)","TGA repair, REV (réparation à l'étage ventriculaire)","TGA korrektion, REV (réparation à l'étage ventriculaire)",THL,2011-01-01,2030-12-31
FDB13,"TGA korjaus, muu leikkaus (Nikaido, Kawashima, LV-PA conduit, muu)","TGA repair, other (Nikaido, Kawashima, LV-PA conduit, other)","TGA korrektion, annan operation (Nikaido, Kawashima, LV-PA conduit, annan)",THL,2011-01-01,2030-12-31
FDB20,Arterial switch-leikkaus synnynnäisen sydänvian vuoksi,Arterial switch operation for other congenital heart defect,Switch-operation för annan medfödd hjärtmissbildning,THL,1900-01-01,2030-12-31
FDB31,"Congenitally corrected TGA korjaus, Atrial switch ja ASO (kaksois-switch)","Congenitally corrected TGA repair, Atrial switch and ASO (double switch)",Operation för 'congenitally corrected' TGA - Atrial switch och ASO (dubbel switch),THL,2011-01-01,2030-12-31
FDB32,"Congenitally corrected TGA korjaus, Atrial switch ja Rastelli","Congenitally corrected TGA repair, Atrial switch and Rastelli",Operation för 'congenitally corrected' TGA - Atrial switch och Rastelli,THL,2011-01-01,2030-12-31
FDB33,"Congenitally corrected TGA korjaus, VSD sulku","Congenitally corrected TGA repair, VSD closure",Operation för 'congenitally corrected' TGA - slutning av VSD,THL,2011-01-01,2030-12-31
FDB34,"Congenitally corrected TGA korjaus, VSD sulku ja LV-PA conduit","Congenitally corrected TGA repair, VSD closure and LV to PA conduit",Operation för 'congenitally corrected' TGA - slutning av VSD och LV-PA conduit,THL,2011-01-01,2030-12-31
FDB35,"Congenitally corrected TGA korjaus, määrittämätön","Congenitally corrected TGA repair, NOS",Operation för 'congenitally corrected' TGA - ospecificerad,THL,2011-01-01,2030-12-31
FDB96,"Muu suurten suonten vaihto, switch, valtasuonten vaihtumisen vuoksi",Other operation for transposition of the great arteries,Annan operation för TGA,THL,1900-01-01,2030-12-31
FDC,Yhteisen valtimorungon (TA) korjaukset,Repair of persistent truncus arteriosus,Operation för truncus arteriosus communis,THL,1900-01-01,2030-12-31
FDC00,Jakautumattoman yhteisen valtimorungon (truncus arteriosus) korjaus proteesilla oikeasta kammiosta keuhkovaltimoon,Repair of persistent truncus arteriosus with simple prosthetic connection to pulmonary artery from right ventricle,Korr. av trunc. art. comm. med enkel protes från hö. kammare till a. pulmonalis,THL,1900-01-01,2030-12-31
FDC10,Jakautumattoman yhteisen valtimotiehyen (truncus arteriosus) korjaus käyttäen lisäksi läppäproteesia,Repair of persistent truncus arteriosus using valved prosthesis,Korrektion av truncus arteriosus communis med klaffbärande protes,THL,1900-01-01,2030-12-31
FDC20,Jakautumattoman yhteisen valtimorungon (truncus arteriosus) korjaus yhdistämällä keuhkovaltimo oikeaan kammion,Repair of persistent truncus arteriosus with anastomosis to pulmonary artery from right ventricle (Lecompte),Korrektion av truncus arteriosus med anastamos från pulmonal artär till högra kammaren,THL,2001-01-01,2030-12-31
FDC96,Muu jakautumattoman yhteisen valtimorungon (truncus arteriosus) korjausleikkaus,Other repair of persistent truncus arteriosus,Annan korrektion av truncus arteriosus communis,THL,1900-01-01,2030-12-31
FDD,Aortasta lähtevän synnynnäisen avanteen korjaukset,Closure of congenital fistula from aorta,Tillslutning av kongenital fistel från aorta,THL,1900-01-01,2030-12-31
FDD00,Aortan ja kammion välisen avanteen sulku,Closure of aorto-ventricular tunnel,Tillslutning av aorto-ventrikulär tunnel,THL,1900-01-01,2030-12-31
FDD10,Aortan ja keuhkovaltimon välisen avanteen sitominen,Ligature of aorto-pulmonary window,Ligatur av aorto-pulmonell fistel,THL,1900-01-01,2030-12-31
FDD13,Aortan ja keuhkovaltimon välisen avanteen sulku ompeleella,Closure of aorto-pulmonary window with suture,Tillslutning av aorto-pulmonellt fönster medelst sutur,THL,1900-01-01,2030-12-31
FDD20,Aortan ja keuhkovaltimon välisen avanteen sulku paikkaamalla,Closure of aorto-pulmonary window using patch,Tillslutning av aorto-pulmonellt fönster med patch,THL,1900-01-01,2030-12-31
FDD96,Muu aortasta lähtevän synnynnäisen avanteen korjausleikkaus,Closure of other congenital fistula from aorta,Annan operation för kongenital fistel från aorta,THL,1900-01-01,2030-12-31
FDE,"Avoimen valtimotiehyeen (DA), sulkemiset",Closure of patent ductus arteriosus,Tillslutning av ductus arteriosus,THL,1900-01-01,2030-12-31
FDE00,Valtimotiehyeen sulku keskosella,Closure of patent ductus arteriosus,Tillslutning av ductus arteriosus hos prematur,THL,1900-01-01,2030-12-31
FDE10,Valtimotiehyeen sitominen,Ligature of patent ductus arteriosus,Ligatur av ductus arteriosus,THL,1900-01-01,2030-12-31
FDE20,Valtimotiehyeen katkaisu,Division of patent ductus arteriosus,Delning av ductus arteriosus,THL,1900-01-01,2030-12-31
FDE31,Valtimotiehyeen sulku torakoskooppisesti,Thoracoscopic closure of patent ductus arteriosus,Torakoskopic tillslutning av ductus arteriosus,THL,2000-01-01,2030-12-31
FDE32,Valtimotiehyeen sulku suonensisäisesti,Percutaneous transluminal closure of patent ductus arteriosus,Perkutan transluminal tillslutning av ductus arteriosus,THL,1900-01-01,2030-12-31
FDE96,Muu valtimotiehyeen sulkemisleikkaus,Other closure of patent ductus arteriosus,Annan operation vid ductus arteriosus,THL,1900-01-01,2030-12-31
FDF,Aortta-keuhkovaltimoyhdyshaarojen sulut ilman unifokalisointia,Closure of aorto-pulmonary collaterals,Tillslutning av aorto-pulmonella kollateraler,THL,1900-01-01,2030-12-31
FDF00,"Aortta-keuhkovaltimoyhdyshaarojen sulku, ei unifokalisointia",Closure of aorto-pulmonary collaterals,Tillslutning av aorto-pulmonella kollateraler,THL,1900-01-01,2030-12-31
FDF05,Suonensisäinen aortan ja keuhkovaltimoiden välisten kollateraalien sulkeminen,Percutaneous transluminal occlusion of aorto-pulmonary collaterals,Perkutan transluminal occlusion av aorto-pulmonära kollateraler,THL,1999-01-01,2030-12-31
FDG,Aorttaläpän yläpuolisen ahtauman korjaukset,Operations for supravalvular aortic stenosis,Operation vid supravalvulär aortastenos,THL,1900-01-01,2030-12-31
FDG00,Nousevan aortan uudelleen muotoilu aortta-ahtauman vuoksi,Reconstruction of ascending aorta for supravalvular aortic stenosis,Rekonstruktion av aorta ascendens vid supravalvulär aortastenos,THL,1900-01-01,2030-12-31
FDG10,Nousevan aortan korjaus aortta-ahtauman vuoksi paikkaamalla,Reconstruction of ascending aorta for supravalvular aortic stenosis using patch,Rekonstruktion av aorta ascendens med pathc vid supravalvulär aortastenos,THL,1900-01-01,2030-12-31
FDG96,Muu läpän yläpuolisen aortta-ahtauman korjausleikkaus,Other operation for supravalvular aortic stenosis,Annan operation vid supravalvulär aortastenos,THL,1900-01-01,2030-12-31
FDH,Aortan kaaren atresian tai hypoplasian (IAA) korjaukset,Operations for interrupted or hypoplastic aortic arch,Rekonstruktion vid hypoplasi eller atresi av aortabågen,THL,1900-01-01,2030-12-31
