code,name_fi,name_en,name_se,name_en_source,valid_start_date,valid_end_date,freq_finngen,freq_tays,freq_total
PJD81,"Imusolmukkeiden poisto kaulalta, yhteensä 3-4 tasolta",Excision of lymph nodes from upper part of neck,"Exstrirpation av cervikala lymfkörtlar, sammanlagt 3-4 regioner",THL,1900-01-01,2030-12-31,181,15,196
SDE04,"Parodontologinen hoito suuhygienistillä, erittäin laaja","Periodontal treatment by dental hygienist, very extensive","Parodontologisk behandling hos munhygienist, mycket omfattande",Translator,2006-04-01,2016-12-31,189,7,196
PA2MT,Aivovaltimoaneurysman erittäin laaja suonensisäinen tukkiminen,Endovascular closure of very extensive brain aneurysm,"Hjärnaneurysm, mycket omfattande intravaskulär ocklusion",THL,2003-01-01,2030-12-31,56,139,195
DKW99,Muu nenäverenvuodon tyrehdytystoimenpide,Other procedures for control of epistaxis,Annat ingrepp vid näsblod,THL,1900-01-01,2030-12-31,82,113,195
AB5CT,Hermojuurisalpaus TT-ohjauksessa,Blockage of nerv root with CT guidance,"Nervrötter, DT-styrd blockad",THL,2009-01-01,2030-12-31,180,14,194
HA4MT,Rintarauhasen lankamerkkaus mammografiaohjauksessa,Labeling mammary gland pathology with X-ray guidance,"Bröstkörteltumör, mammografistyrd märkning",THL,1999-01-01,2030-12-31,96,98,194
JDB00,Mahalaukkuavanteen teko,Gastrostomy,Öppen gastrostomi,THL,1900-01-01,2030-12-31,79,115,194
LAF20,Munasarjan ja munajohtimen toispuolinen poisto emättimen kautta,Unilateral transvaginal salpingo-oophorectomy,Unilateral transvaginal salpingo-oophorectomi,THL,1999-01-01,2030-12-31,86,108,194
QCD00,Yläraajan palovamman siteiden vaihto,Dressing of major burn of upper limb,"Förbandsbyte vid brännskada, övre extremiteten",THL,1900-01-01,2030-12-31,189,5,194
JFA52,Muu paksusuolen verenvuodon tyrehdytys tähystyksessä,Other endoscopic haemostatic procedure in colon,Annat endoskopiskt hemostatiskt ingrepp i kolon,THL,1900-01-01,2030-12-31,90,103,193
JJ1CE,"Maksan, sappiteiden ja haiman ultraäänitutkimus tähystysteitse","Liver, bile duct and pancreas endoscopic ultrasound examination","Lever, ultraljudsledd elastografi",THL,2000-01-01,2030-12-31,179,14,193
CBF99,Muu silmäluomen uloskääntymän korjausleikkaus,Other operation for ectropion,Annan operation för ektropium,THL,1900-01-01,2030-12-31,102,90,192
DM1CG,Nenän sivuonteloiden ja kasvojen laaja magneettitutkimus,Paranasal sinuses and face area extensive MRI examination with high intensity magnet,"Bihålor och ansiktsskelett, omfattande MR",THL,1999-01-01,2030-12-31,101,91,192
EN1CD,Suun ja kaulan pehmytosien erittäin laaja tietokonetomografiatutkimus,Very extensive CT examination of mouth and soft tissues of neck,"Munhåla och hals, mycket omfattande DT",THL,1999-01-01,2030-12-31,58,134,192
SAC01,"Suun ja hampaiston hoidon erillinen työsuunnittelu, perustaso","Separate planning of oral and dental treatment, standard",Separat planering av arbetet i samband med vård av mun och tänder,Translator,2011-01-01,2016-12-31,100,92,192
KEW98,Muu eturauhasen ja rakkularauhasten leikkaus tähystyksessä virtsaputken kautta,Other transluminal endoscopic operation on prostate,Annan transluminal endoskopisk operation på prostata eller sädesblåsor,THL,1900-01-01,2030-12-31,14,177,191
LFE10,Ulkosynnyttimien muovaus,Plastic repair of vulva,Vulvaplastik,THL,1900-01-01,2030-12-31,146,45,191
NBE15,Olkanivelen kapselin aukaisu tai vapautus tähystyksessä,"Incision or suture of capsule of joint of shoulder, arthroscopic",Artroskopisk kapsulotomi/kapsulolys i skulderleden,THL,1900-01-01,2030-12-31,181,10,191
NBL99,Muu olkapään tai olkavarren lihas- tai jänneleikkaus,Other operation on muscle or tendon of shoulder or upper arm,Annan operation på muskel/sena i skuldran/överarmen,THL,1900-01-01,2030-12-31,180,11,191
ND2CG,Käden laaja magneettitutkimus,Extensive MRI of hand,"Hand, omfattande MR",Translator,2011-01-01,2030-12-31,45,146,191
PEP25,"Valtimon korjaaminen suljetusti, a. femoralis superficialis",Percutaneous plastic repair of superficial femoral artery,Perkutan plastik på a. femoralis superficialis,THL,1900-01-01,2030-12-31,145,46,191
XX1XT,Muu punktio tai tyhjennys radiologisessa ohjauksessa,Other puncture with other radiological guidance,Annan radiologiskt styrd punktion eller tömning,THL,1999-01-01,2030-12-31,184,7,191
ZXF00,Toimenpiteen keskeyttäminen potilaan tilan heikkenemisen vuoksi,Interruption caused by intraoperative deterioration of general condition,Åtgärden avbruten på grund av försämring av patientens tillstånd,THL,1900-01-01,2030-12-31,177,14,191
ZXY52,Lääkäri-psykologi-työpari,"2-person team, doctor-psychologist","Arbetspar, läkare+psykolog",Translator,2018-01-01,2030-12-31,190,1,191
ECB15,Hammasharjanteen alueen ja poskiontelon tai nenän välisen avanteen sulkeminen,Plastic repair of oronasal or oroantral fistula,Plastikoperation av oronasal eller oroantral gingivafistel,THL,1900-01-01,2030-12-31,142,48,190
TND10,"Nivelen pisto, ranne tai sorminivel","Joint puncture, wrist or finger joint","Artrocentes, handled eller hand",Translator,2004-01-01,2030-12-31,179,11,190
NFB10,"Lonkan osatekonivel, sementitön","Primary partial prosthetic replacement of hip joint not using cement, other or unspecified",Applikation av ocementerad halvprotes i höftled,THL,1900-01-01,2030-12-31,187,3,190
NG4AD,Säären tietokonetomografiatutkimus,Lower leg CT,"Underben, DT",THL,2003-01-01,2030-12-31,135,55,190
PB1BC,Yläraajan valtimoiden laaja varjoainetutkimus,Extensive angiography of upper extremity with X-ray,"Övre extremitet, omfattande angiografi",THL,1999-01-01,2030-12-31,126,64,190
SJA01,Oikomishoidon tarpeen arviointi,Estimation of need for orthodontic care,Uppskattning av behov av ortodontisk vård,THL,2000-01-01,2010-12-31,187,3,190
HAD20,Rintarauhasen rasvaimu,Liposuction of breast,Fettsugning av bröst,THL,1900-01-01,2030-12-31,69,120,189
XJH10,Peräaukon/suolen painemittaus,Anorectal manometry,Anorektal manometri,THL,1900-01-01,2030-12-31,181,8,189
NGS10,Polvinivelen tulehdusleikkaus,Incision and debridement of infection of knee joint,Operation på infekterad knäled,THL,1900-01-01,2030-12-31,177,12,189
PJD99,Muiden imusolmukkeiden poisto,Excision of other lymph nodes,Exstirpation av andra lymfkörtlar,THL,1900-01-01,2030-12-31,74,115,189
ZST00,Aiempaan luvun T toimenpiteeseen liittyvä toimenpide,Procedure related to previous procedure classified in chapter T,Ingrepp som står i samband med tidigare åtgärd inom kapitel T,THL,1900-01-01,2030-12-31,188,1,189
ZZQ30,"Lihas, vapaa, verisuoniin liitetty siirre",Free microvascular graft of muscle,Fritt transplantat av muskel med mikrovaskulära anastomoser,THL,1900-01-01,2030-12-31,39,150,189
FKC20,Mitraaliläppäpurjeen muovaus läppävuodon vuoksi,Plastic repair of mitral valve leaflet for insufficiency,Kuspidalplastik vid mitralisinsufficiens,THL,1900-01-01,2030-12-31,112,76,188
JDA60,Puhjenneen mahahaavan ompelu,Closure of perforated ulcer of stomach,Öppen sutur av brustet magsår,THL,1900-01-01,2030-12-31,121,67,188
WX224,Obturatoriushermon puudutus,Blockade of obturius nerve,Obturatoriusblockad,THL,1900-01-01,2030-12-31,9,179,188
DCD10,Samanaikainen tärykalvon ja kuuloluiden korjausleikkaus,Tympanoplasty,Tympanoplastik,THL,1900-01-01,2030-12-31,186,1,187
GEB40,Välikarsinan tyhjennys,Mediastinotomy and extended excision of lesion,Utvidgad exstirpation av vävnader ur mediastinum,THL,1900-01-01,2030-12-31,7,180,187
QAE40,Pään tai kaulan ihon epämuodostuman tai sairauden aiheuttaman vaurion korjaus,Repair of anomaly or lesion after disease of skin of head or neck,Rekonstruktion vid missbildning eller hudsjukdom i huvud-halsregionen,THL,1900-01-01,2030-12-31,141,46,187
ZZG00,"Rusto, omakudos, autografti",Graft of cartilage,Autologt brosktransplantat,THL,1900-01-01,2030-12-31,87,100,187
NDG77,Peukalon muu muovaus- tai luudutusleikkaus,"Other excision, reconstruction or fusion of joint of first finger",Annan artroplastik eller artrodes på tummen,THL,1900-01-01,2030-12-31,176,10,186
PDG51,"Valtimonpullistuman korjaaminen, proteesi aortasta lonkkavaltimoihin",Bypass from aorta to iliac artery for aneurysm,Aneurysmoperation med aorto-iliakal by-pass-operation,THL,1900-01-01,2030-12-31,170,16,186
FM1AD,Sydämen tietokonetomografiatutkimus,CT of heart,"Hjärta, DT",THL,2003-01-01,2030-12-31,71,114,185
JK3MB,Sappiteiden varjoainetutkimus leikkauksen jälkeen,Postoperative cholangiography,"Kolangiografi, postoperativ",THL,1999-01-01,2016-12-31,46,139,185
DAD30,Korvalehden muodon tai asennon muuttaminen,Plastic repair of auricle,Plastikoperation på ytterörat,THL,1900-01-01,2030-12-31,160,24,184
JFK00,Vatsaontelon kiinnikkeen katkaisu suolitukoksessa,Division of adhesive band in intestinal obstruction,Öppen delning av brid vid mekanisk ileus,THL,1900-01-01,2030-12-31,124,60,184
NHL20,Nilkan tai jalkaterän lihaksen tai jänteen katkaisu,Myotomy or tenotomy of foot,Delning av muskler/senor i fotleden och foten,THL,1900-01-01,2030-12-31,163,21,184
CBF10,Luomikulman jänteen ja luomituen lyhentäminen ektropiumin korjaamiseksi,Shortening of canthal ligaments and tarsal plate for ectropion,Förkortning av kantusligament och tarsus för ektropium,THL,1900-01-01,2030-12-31,98,85,183
JAW96,"Muu vatsanpeitteiden, suoliliepeen tai vatsapaidan leikkaus","Other operation on abdominal wall, peritoneum, mesentery or omentum","Annan operation på bukvägg, mesenterium, peritoneum eller oment",THL,1900-01-01,2030-12-31,111,72,183
SGC00,Hampaan juurikanavien lääkehoito,Local medication of root channels of tooth,Lokal medicinering av rotkanaler i en tand,THL,2000-01-01,2030-12-31,170,13,183
SPA20,Implanttijatkeen valinta ja asettaminen,Selection and insertion of implantdistans,Val och insättning av implantatdistans,THL,2004-01-01,2030-12-31,123,60,183
SPF40,Hammaskruunun tai pienen sillan irrottaminen ja uudelleen sementointi,Removal and reattachment with cement of tooth crone or short bridge,Uttagning och återcementering av tandkrona eller mindre bro,THL,2000-01-01,2018-12-31,114,69,183
WX142,Sub-tenon puudutus,Sub-tenon anesthesy,Sub-tenon bedövning,THL,1900-01-01,2030-12-31,60,123,183
TCF00,Lääkkeen ruiskuttaminen sidekalvon alle,Subconjunctival therapeutic injection,Subkonjunktival injektion av läkemedel,THL,1900-01-01,2030-12-31,139,43,182
JFC00,"Ohutsuoliliitos, enteroenterostomia",Entero-enterostomy,"Öppen enteroanastomos, entero-enterostomi",THL,1900-01-01,2030-12-31,67,115,182
JGB10,"Perä- ja sigmasuolen typistys, sigma-avanne ja peräsuolityngän sulku (Hartmann)",Partial proctectomy and end colostomy,"Resekt. av rectosigmoideum, sigmoideostomi och förslutning av rectumstumpen",THL,1900-01-01,2030-12-31,57,125,182
NK1AT,Lihaksen kudosnäytteen otto UÄ-ohjauksessa,Muscle biopsy with ultrasound guidance,"Muskel, UL-styrd vävnadsbiopsi",THL,1999-01-01,2030-12-31,142,40,182
PD4CM,Vatsa-aortan ja alaraajaverisuonten laaja 3 Teslan MT,Extensive MRI examination of abdominal aorta and vasculature of lower extremities with 3 Tesla magnet,"Bukaorta och blodkärl i nedre extremiteterna, omfattande MR (över 1,5T)",THL,2009-01-01,2016-12-31,181,1,182
CCD50,Kyynelpussi-nenäavanne ja putken asettaminen,Dacryocystorhinostomy with insertion of tube,Dakryocystorinostomi med intubation,THL,1900-01-01,2030-12-31,174,7,181
QBG20,Vartalon kroonisen haavan poisto ja korjaus,Operation for chronic ulcer or fistula of skin of trunk,Excision/revision av kroniskt sår på bålen,THL,1900-01-01,2030-12-31,151,30,181
SXA20,Suun alueen paikallinen lääkehoito,Local application of medicine to mouth,Lokal läkemedelsbehandling i munnen,THL,2000-08-15,2030-12-31,123,58,181
DM1DG,Nenän sivuonteloiden ja kasvojen erittäin laaja magneettitutkimus,Paranasal sinuses and face area very extensive MRI examination with high intensity magnet,"Bihålor och ansiktsskelett, mycket omfattande MR",THL,1999-01-01,2030-12-31,126,54,180
FN1BD,Sepelvaltimoiden laaja tietokonetomografiatutkimus,Extensive CT of coronary arteries,"Kranskärl, omfattande DT",THL,2003-01-01,2030-12-31,85,95,180
FN2CC,Vasemman sepelvaltimon päärungon suonensisäinen laajennushoito (PTCA),Percutaneous transluminal coronary angioplasty (PTCA) of left main trunk,Perkutan transluminal koronarangioplastik (PTCA) av vänster koronarartär,Translator,2016-01-01,2030-12-31,123,57,180
FPE37,"Biventrikulaarisen rytmihäiriötahdistimen asennus, eteis- ja kammiojohtimet, CRT-D (DDDR)",Implantation of biventricular cardioverter-defibrillator with atrial and ventricular electrodes,Inläggande av biventrikulär cardioverter-defibrillator med atrial- och ventrikularelektroder,THL,2011-01-01,2030-12-31,99,81,180
JFB40,"Poikittaisen paksusuolen typistys, avoin",Resection of transverse colon,Öppen resektion av colon transversum,THL,1900-01-01,2030-12-31,65,115,180
LFA00,Ulkosynnyttimien ja välilihan aukaisu ja kanavointi,Incision of vulva or perineum,Incision av vulva eller perineum (inkl ev dränage),THL,1900-01-01,2030-12-31,137,43,180
BC1BD,Lisämunuaisten laaja tietokonetomografiatutkimus,Extensive CT of adrenal glands,"Binjurar, omfattande DT",THL,1999-01-01,2030-12-31,52,127,179
FN2EA,Sepelvaltimon rotablaatio,Coronary rotablation,Rotablation av koronarartär,Translator,2016-01-01,2030-12-31,75,104,179
NCJ44,Kyynärvarren murtuman paikalleenasetus ja sidos,Reduction of fracture of forearm and bandage,Reduktion och bandage vid antebrachiumfraktur,THL,1900-01-01,2030-12-31,173,6,179
WX1DM,Kokokehon erittäin laaja magneettitutkimus 3T laitteella,Very extensive total body MRI with 3 Tesla magnet,"Mycket omfattande hella kroppens MR (1,5T)",THL,2009-01-01,2016-12-31,9,170,179
NG4BA,Säären laaja röntgen,Lower leg extensive X-ray examination,"Underben, omfattande röntgen",THL,1999-01-01,2030-12-31,116,62,178
NK6PA,"Luun tiheysmittausröntgen, DXA (yksi kohde)",Measurement of bone density from one location with X-ray,"Bentäthetsmätning med en mätpunkt, röntgen",THL,1999-01-01,2030-12-31,126,52,178
ZYC03,Etäasiointi tekstipohjaisesti,"Remote contact, text-based",Textmeddelande,Translator,2018-01-01,2030-12-31,112,66,178
JAE10,Sydänalatyrän korjausleikkaus,Repair of epigastric hernia,Radikaloperation av epigastriskt bråck,THL,1900-01-01,2030-12-31,165,12,177
JCA32,"Ruokatorven laskimolaajentumien kovetushoito, skleroterapia, tähystyksessä",Endoscopic injection in oesophagus,"Endoskopisk injektionsbehandling i esofagus, skleroterapi",THL,1900-01-01,2030-12-31,110,67,177
PJD43,Imusolmukkeiden yksinkertainen poisto aortan ympäriltä,Excision of aortic lymph nodes,Exstirpation av para-aortala lymfkörtlar,THL,1900-01-01,2030-12-31,41,136,177
ZXF05,Toimenpiteen keskeyttäminen muusta potilaasta johtuvasta syystä,Interruption of procedure for other patient related reason,Åtgärden avbruten av annan på patienten beroende orsak,THL,2000-01-01,2030-12-31,166,11,177
DLD00,Rustoisen nenän korjaaminen,Reconstruction of cartilage of nose,Korrektionsplastik av näsans broskskelett,THL,1900-01-01,2017-12-31,165,11,176
JCC10,Ruokatorven osittainen poisto rintaontelon kautta,Transthoracic partial oesophagectomy without interposition,Transtorakal resektion av esofagus utan interposition,THL,1900-01-01,2030-12-31,65,111,176
SCE00,Hampaan pinnoitus,Fissure closure of tooth,Fissurförsegling av tand,THL,2000-01-01,2030-12-31,112,64,176
GCA05,Keuhkoputken kudosmuutoksen poisto laserilla,Bronchoscopic laser therapy of lesion of bronchus,Endobronkial laserbehandling av lokal förändring i bronker,THL,1900-01-01,2030-12-31,22,153,175
XX7BT,Radiofosforihoito,Radioactive phosphorus therapy,Radiofosforbehandling,Translator,2009-01-01,2030-12-31,29,146,175
FM1LE,Rasitus-UKG,Combined ultrasound and EKG examination of heart with tolerance test,Belastnings-UKG,THL,1999-01-01,2030-12-31,167,7,174
TNF11,Diagnostisen tai hoitavan aineen ruiskuttaminen lonkkaniveleen,Injection of diagnostic or therapeutic substance in hip joint,Injektion av diagnostisk eller terapeutisk substans i höftled,Translator,2004-01-01,2030-12-31,164,10,174
PEC23,"Ompelu, a. femoralis communis",Suture of common femoral artery,Arteriorafi på a. femoralis communis,THL,1900-01-01,2030-12-31,134,40,174
QX4YT,Pinnallisen kertymän punktio UÄ-ohjauksessa,Puncture of superficial collection under ultrasound guidance,Ultraljudsledd punktion av ytlig ansamling,Translator,2015-01-01,2030-12-31,151,23,174
JN4AE,Vartalon trauma-ultraäänitutkimus (FAST),Focused Assessment with Sonography for Trauma (FAST) of torso,UL av kroppen vid trauma (FAST),Translator,2013-01-01,2030-12-31,93,81,174
AEA24,Selkäydintä stimuloivan elektrodin poisto,Removal of spinal stimulation elecrode,Uttagning av spinal stimulerande elektrod,THL,2002-01-01,2030-12-31,99,74,173
CHD50,Suntin asennus etukammioon,Shunt operation on anterior chamber,Implantation av kateter till främre kammaren,THL,1900-01-01,2030-12-31,141,32,173
DLD20,"Nenän muotoilu, suljettu rinoplastia",Rhinoplasty,"Näsplastik, sluten rinoplastik",THL,1900-01-01,2030-12-31,149,24,173
GDA10,Koepalan otto keuhkoista leikkauksessa,Biopsy of lung,Lungbiopsi,THL,1900-01-01,2030-12-31,83,90,173
WX004,Potilaan säätelemä sedaatio,Patient-controlled sedation,Sedering reglerad av patienten,Translator,2014-01-01,2030-12-31,172,1,173
ACB19,"Ääreishermon paikallisen muutoksen poisto, muu tai määrittämätön hermo",Excision of lesion of peripheral nerve other or unspecified,Exstirpation av patologisk förändring från annan eller ospecificerad nerv,THL,1900-01-01,2030-12-31,144,28,172
GD1DG,Keuhkojen erittäin laaja magneettitutkimus,Extremely extensive MRI examination of pleura with high field magnet,"Lungor och pleura, mycket omfattande MR",THL,1999-01-01,2030-12-31,56,116,172
NBR30,"Olkapään tai olkavarren kasvaimen poisto, ekstensiivinen tai radikaalinen",Extensive or radical excision of soft tissue tumour of shoulder or upper arm,Extensiv/radikal excision av tumör i skuldran/överarmen,THL,1900-01-01,2030-12-31,38,134,172
PGH47,Ohitus a. femoralis - a. femoralis cross over,Bypass from femoral to contralateral femoral artery,By-pass a. femoralis - a. femoralis (cross over),THL,1900-01-01,2030-12-31,88,84,172
BC5AN,Kromaffiinikudoksen/adrenergisen kudoksen gammakuvaus (MIBG),Chromaffine and adrenergic tissue isotope imaging (MIBG),Kromaffin och adrenergisk vävnad isotopundersökning (MIBG),THL,2009-01-01,2030-12-31,7,164,171
DBB00,Korvakäytävän paikallisen muutoksen poisto,Excision of lesion of external auditory canal,Exstirpation av lokal förändring från hörselgången,THL,1900-01-01,2030-12-31,142,29,171
GAE06,Rintaontelon seinämän kasvaimen tai kudosmuutoksen poisto,Excision of lesion of chest wall,Exstirpation av lokal förändring i bröstväggen,THL,1900-01-01,2030-12-31,57,114,171
TGW99,Muu rintakehän alueen pientoimenpide,Other minor procedure in thoracic surgery,Annan mindre åtgärd i thorakal regionen,THL,1900-01-01,2030-12-31,135,36,171
JWF00,Ruuansulatuselinleikkauksen uusintaleikkaus suoliliitoksen pettämisen vuoksi,Reoperation for insufficiency of anastomosis or suture in gastroenterological surgery,Revision av suturinsufficiens i tarmen efter operationer på matsmältningsorganen,THL,1997-01-01,2030-12-31,81,90,171
MBA20,Istukan ulospuristaminen Creden ottein,Expression of placenta,Exprimering av moderkaka (Credé),THL,1900-01-01,2030-12-31,170,1,171
NAJ32,Lannerangan murtumaleikkaus takaa,Posterior reduction of fractrue of lumbar spine,Posterior operation för fraktur i lumbalryggen,THL,1900-01-01,2030-12-31,151,20,171
TAA40,Aivo-selkäydinesteen kanavointi iholle,Cathetrisation of cerebrospinal fluid through skin,Kanalisering av cerebro-spinalvätska genom huden,THL,1998-01-01,2030-12-31,77,93,170
ND2AE,Käsien ja sormien ultraäänitutkimus,Hand and fingers ultrasound examination,"Hand och fingrar, UL",THL,2009-01-01,2030-12-31,82,88,170
QBD00,Vartalon palovamman siteiden vaihto,Dressing of major burn of trunk,Förbandsbyte vid brännskada på bålen,THL,1900-01-01,2030-12-31,163,7,170
EJB30,Kasvaimen tai muun muutoksen poisto suupohjasta,Excision of lesion of floor of mouth,Exstirpation av tumör eller annan förändring i munbotten,THL,1900-01-01,2030-12-31,51,118,169
JF2CD,Paksusuolen erittäin laaja tietokonetomografiatutkimus,Very extensive colon CT,"Kolon, mycket omfattande DT",THL,2003-01-01,2030-12-31,36,133,169
MAA10,Koepalan otto suonikalvon nukkalisäkkeestä,Biopsy of chorionic villus,Biopsi av chorionvilli,THL,1900-01-01,2030-12-31,129,40,169
PHB99,"Laskimon sitominen, muu laskimo",Ligature of other vein,Ligatur av annan ven,THL,1900-01-01,2030-12-31,133,36,169
XX1FW,Lausunto magneettitutkimuksesta,Written report from MRI examination performed elsewhere,Utlåtande om MR-undersökning,THL,1999-01-01,2008-12-31,59,110,169
AAF25,Aivonesteyhdystien poisto,Removal of shunt of ventricle of brain,Borttagande av liquorshunt,THL,1900-01-01,2030-12-31,52,116,168
YA1CD,Pään ja kaulan erittäin laaja annossuunnittelu-TT,Very extensive CT examination of head and neck for dose design of radiotherapy,"Huvud- och halsregion, mycket omfattande DT för dosplanering",THL,2005-01-01,2030-12-31,167,1,168
CJW99,Muu mykiöleikkaus,Other operation on lens,Annan operation på linsen,THL,1900-01-01,2030-12-31,39,129,168
NDE20,Rannenivelen nivelsiteen tai nivelkapselin ompelu tai uudelleen kiinnitys,"Suture or reinsertion of ligament of wrist or hand, open",Sutur/reinsertion av ledband/ledkapsel i handleden,THL,1997-01-01,2030-12-31,151,17,168
IBZ02,Psykiatrisen potilaan somaattinen tutkimus,Somatic assessment of psychiatric patient,Somatisk undersökning av psykiatripatient,Translator,2018-01-01,2030-12-31,166,1,167
JLB28,Haimatiehyen sisäinen kanavointi pohjukaissuolen tähystyksessä,Endoscopic internal drainage of pancreatic duct,Endoskopiskt internt dränage av pankreasgång,THL,1900-01-01,2030-12-31,110,57,167
NH1DA,Nilkkojen natiiviröntgen,Bilateral ankle X-ray examination,"Fotleder, röntgen",THL,1999-01-01,2010-12-31,26,141,167
WXQ20,"UVA-valohoito, laajakaistainen",UVA broad spectrum light therapy,"Ljusbehandling, bredspektrum UVA",THL,2009-01-01,2030-12-31,166,1,167
JF2BB,Paksusuolen kaksoiskontrastitutkimus,Clongraphy with duple contrast,"Kolon, dubbelkontrast",THL,1999-01-01,2010-12-31,147,19,166
FM1QE,Sikiön sydämen laaja ultraäänitutkimus,Extensive ultrasound of fetal heart,"Fosterhjärta, omfattande UL",THL,2004-01-01,2030-12-31,75,91,166
NGL30,Polvilumpion jänteen korjaus tai uudelleenkiinnitys,Plastic repair or reinsertation of tendon of patella,Reparation/reinsertion av patellarsenan,THL,1900-01-01,2030-12-31,160,6,166
PDG05,Valtimonpullistuman korjaaminen munuaisvaltimon alapuolisessa aortassa,Operation on infrarenal abdominal aorta for aneurysm,Aneurysmoperation på infrarenala bukaorta,THL,1900-01-01,2030-12-31,153,13,166
TPJ00,Koepalan otto imurauhasesta,Biopsy of superficial lymph node,Biopsi av ytlig lymfkörtel,THL,1900-01-01,2030-12-31,102,64,166
WB221,Primaarikasvaimen leikkausta tai sädehoitoa edeltävä vaativa hormonihoito,Demanding neoadjuvant hormone therapy of malignancy,Krävande neoadjuvant behandling av primärtumör med hormoner,THL,1997-01-01,2030-12-31,50,116,166
JKE32,Sappiteiden laajennus mahasuolikanavan tähystyksessä,Endoscopic dilatation of bile duct,"Endoskopisk dilatation av gallgång,",THL,1900-01-01,2030-12-31,150,15,165
LEF06,Uusiutuneen emättimen etuseinän laskeuman korjaus verkolla,Anterior colporraphy with mesh for recurrent cystocele,Främre kolporafi med nät pga förnyad cystocele,THL,2012-01-01,2030-12-31,123,42,165
NC1AE,Kyynärnivelen ultraäänitutkimus,Elbow ultrasound examination,"Armbågsled, UL",THL,2009-01-01,2030-12-31,67,98,165
PD3BT,Lantiosuonen laaja laajennushoito,Pelvic artery extensive PTA,"Bäckenartär, omfattande perkutan angioplastik",THL,1999-01-01,2030-12-31,90,75,165
QCC00,Yläraajan ihon vierasesineen poisto,Removal of foreign body from skin or subcutaneous tissue of upper limb,"Avlägsnande av kutan/subkutan främmande kropp, övre extremiteten",THL,1900-01-01,2030-12-31,153,12,165
SGA01,Hampaan ensiapuluonteinen avaus,Tooth opening as first aid,Tandens förstahjälp öppning,THL,2010-01-01,2030-12-31,162,3,165
ZX199,Muu lääkehoidon reitti,Other rote,Annan rot för medicationen,THL,1997-01-01,2030-12-31,163,2,165
CGG45,Sarveiskalvon siirto vainajan kudosta käyttäen,Full thickness transplantation of cornea using homograft,Hornhinnetransplantation med homograft,THL,1900-01-01,2030-12-31,145,19,164
DE2DG,Kuulohermon ja sisäkorvan erittäin laaja magneettitutkimus,Acoustic channel very extensive MRI examination with high intensity magnet,"Porus, mycket omfattande MR",THL,2003-01-01,2030-12-31,41,123,164
DMW00,Poskionteloputken asettaminen,Intubation of maxillary antrum,Anläggande av dränage i sinus maxillaris,THL,1900-01-01,2030-12-31,158,6,164
EGA00,Leukanivelen tähystys,Arthroscopy of mandibular joint,Käkledsartroskopi,THL,1900-01-01,2030-12-31,131,33,164
EJC20,Kielijänteen leikkaus,Operation on frenulum in mouth,Frenulumoperation,THL,1900-01-01,2030-12-31,132,32,164
FNA20,Sepelvaltimoiden ja molempien rintakehän sisävaltimoiden (ITA) liitos,Anastomosis to coronary arteries from bilateral internal mammary arteries,Anastomoser mellan båda arteria mammaria interna och koronarartärer,THL,1900-01-01,2030-12-31,161,3,164
NFJ64,Reisiluun murtuman muu sisäinen kiinnitys,Other internal fixation of fracture of other parts of femur,Annan intern fixation av femurfraktur,THL,1900-01-01,2030-12-31,132,32,164
CAC10,Silmäkuopan seinämän korjaaminen luusiirrettä tai levyä käyttäen,Reconstruction of orbital wall using bone graft or plate,Rekonstruktion av orbitaväggen med ben- eller hudtransplantat,THL,1900-01-01,2030-12-31,115,48,163
TEG00,Leukanivelpunktio,Punction of mandibular joint,Injektion i käkleden,THL,1900-01-01,2030-12-31,154,9,163
EHB00,Suulaen paikallisen kasvaimen tai kudosmuutoksen poisto,Excision of lesion of palate,Excision av lokal tumör eller vävnadsförändring i gommen,THL,1900-01-01,2030-12-31,87,76,163
JD1AB,Mahalaukun ja duodenumin varjoainetutkimus,Gastro-duodenography with X-ray,"Ventrikel och duodenum, kontrastundersökning",THL,1999-01-01,2030-12-31,39,124,163
JDW97,Muu mahalaukun tai pohjukaissuolen toimenpide vatsaontelon tähystyksessä,Other laparoscopic operation on stomach or duodenum,Annan laparoskopisk operation på ventrikeln eller duodenum,THL,1900-01-01,2030-12-31,37,126,163
KE1DR,Eturauhasen aineenvaihdunnan PET-tietokonetomografiatutkimus,Prostate metabolic PET with CT,"Prostata metabolism, PET-DT",THL,2009-01-01,2030-12-31,29,134,163
NDH10,Ranteen sijoiltaanmenon suljettu paikalleenasetus,"Reduction of dislocation of joint of wrist, closed",Sluten reposition av karpalluxation,THL,1900-01-01,2030-12-31,161,2,163
SPA10,"Tarkkuuskiinnikkeet hampaisiin, implantteihin tai implantti-kiskorakenteisiin",Setting attachments on tooth or implanted bracket or imblant based structures,"Attachments på tänderna, på tandimplantat eller implantatbaserade skenkonstruktioner",THL,2000-01-01,2030-12-31,90,73,163
ACC29,"Ääreishermon korjaaminen, muu tai määrittämätön hermo",Reconstruction of peripheral nerve: other or unspecified,Rekonstruktion av annan eller ospecificerad nerv,THL,1900-01-01,2030-12-31,151,11,162
FKC50,Keinotekoisen mitraaliläppäjänteen asettaminen,Repair of mitral valve for insufficiency using prosthetic chord,Rekonstruktion av mitralisklaff med artificiella chordae,THL,1900-01-01,2030-12-31,135,27,162
