ATCKOODI;MYYNTILUPANRO;PAATOSPVM;PAATTYMISPVM;LAAKENIMI;VAHVUUS;LAAKEMUOTONIMI;PROSESSINIMI;TILANIMI;HALTIJANNIMI;PAKKAUSKOKO;NIMI;KAUPAN;VNRNRO;KAUPPAANTULOPVM;KAUPASTAPOISPVM
D05AX02;11672;06.02.1995;01.01.2014;DAIVONEX;50 mikrog/g;emulsiovoide;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;LEO PHARMA A/S;60 g;Putki;0;002276;01.05.2002;15.02.2005
D05AX02;11672;06.02.1995;01.01.2014;DAIVONEX;50 mikrog/g;emulsiovoide;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;LEO PHARMA A/S;240 g;Putki;0;008683;01.11.2002;30.04.2004
D05AX02;11672;06.02.1995;01.01.2014;DAIVONEX;50 mikrog/g;emulsiovoide;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;LEO PHARMA A/S;120 g;Putki;0;002265;01.10.2001;
D05AX02;11043;09.08.1993;31.01.2012;DAIVONEX;50 mikrog/g;voide;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;LEO PHARMA A/S;100 g;Putki;0;153031;13.08.1993;30.06.2001
D05AX02;11673;06.02.1995;31.01.2012;DAIVONEX;50 mikrog/ml;liuos päänahkaan;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;LEO PHARMA A/S;30 ml;Pullo;0;584318;;
D05AX02;16502;08.10.2001;31.01.2011;DAIVONEX COMBIPACK;50 mikrog/g;voide ja emulsiovoide;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;LEO PHARMA A/S;120 g + 120 g;Putki;0;005434;01.08.2002;
D01AC20;27933;16.12.2009;;DAKTACORT;;emulsiovoide;Kansallinen;Myyntilupa myönnetty;PARANOVA;30 g;Putki;1;102509;01.09.2010;
D01AC20;7511;30.11.1977;;DAKTACORT;;emulsiovoide;Kansallinen;Myyntilupa myönnetty;MCNEIL;30 g;Putki;1;095338;15.01.1978;
D01AC20;34768;13.03.2017;13.03.2022;DAKTACORT;;emulsiovoide;Kansallinen;Myyntilupa myönnetty;ORIFARM;30 g;Putki;1;581882;01.06.2017;
D01AC02;6765;03.04.1974;;DAKTARIN;2 %;emulsiovoide;Kansallinen;Myyntilupa myönnetty;MCNEIL;80 g;Putki;0;449686;15.03.1989;21.12.2015
D01AC02;7893;27.12.1979;01.04.2016;DAKTARIN;20 mg/ml;emulsio iholle;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ORION OYJ ESPOO;20 ml;Pullo;0;034520;06.03.1996;
D01AC02;22161;07.09.2007;;DAKTARIN;2 %;puuteri;Kansallinen;Myyntilupa myönnetty;PARANOVA;20 g;Pullo;1;053851;15.11.2007;
D01AC02;6765;03.04.1974;;DAKTARIN;2 %;emulsiovoide;Kansallinen;Myyntilupa myönnetty;MCNEIL;15 g;;0;581660;15.01.1984;13.04.2000
D01AC02;34064;03.05.2016;03.05.2021;DAKTARIN;2 %;puuteri;Kansallinen;Myyntilupa myönnetty;ORIFARM;20 g;Pullo;1;080063;01.07.2016;
J02AB01;7876;12.12.1979;12.12.1997;DAKTARIN;10 mg/ml;injektioneste;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ORION OYJ ESPOO;5 x 20 ml;;0;403451;15.09.1991;
D01AC02;35267;07.08.2017;07.08.2022;DAKTARIN;2 %;emulsiovoide;Kansallinen;Myyntilupa myönnetty;ORIFARM;30 g;Putki;1;451071;15.11.2017;
D01AC02;6765;03.04.1974;;DAKTARIN;2 %;emulsiovoide;Kansallinen;Myyntilupa myönnetty;MCNEIL;30 g;Putki;1;528837;15.12.1974;
D01AC02;6766;03.04.1974;;DAKTARIN;2 %;puuteri;Kansallinen;Myyntilupa myönnetty;MCNEIL;20 g;Pullo;1;482913;15.12.1974;
A01AB09;8602;14.12.1983;01.04.2016;DAKTARIN;2 %;oraaligeeli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ORION OYJ ESPOO;40 g;Putki;0;535203;15.01.1984;
D01AC02;22145;19.06.2008;;DAKTARIN;2 %;emulsiovoide;Kansallinen;Myyntilupa myönnetty;PARANOVA;30 g;Putki;1;102541;09.10.2008;
D10AF01;10224;30.05.1990;05.12.2018;DALACIN;10 mg/ml;liuos iholle;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER OY;30 ml;Pullo;0;053991;15.10.1990;
J01FF01;13016;03.05.1999;03.05.2001;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;24;Läpipainopakkaus;0;436360;;
D10AF01;11433;25.04.1994;;DALACIN;10 mg/ml;emulsio iholle;Kansallinen;Myyntilupa myönnetty;PFIZER OY;30 ml;Pullo;1;494542;12.05.1995;
J01FF01;6085;02.09.1970;02.09.1994;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER;24;;0;597401;15.08.1978;02.09.1994
J01FF01;13015;03.05.1999;03.05.2011;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;100;Läpipainopakkaus;0;195859;01.12.1999;
J01FF01;13016;03.05.1999;03.05.2001;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;100;Läpipainopakkaus;0;165571;;
J01FF01;11591;17.10.1994;;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa myönnetty;PFIZER OY;40;Läpipainopakkaus;1;412064;;
J01FF01;11591;17.10.1994;;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa myönnetty;PFIZER OY;24;Läpipainopakkaus;1;597401;;
D10AF01;11925;12.07.1995;12.07.1997;DALACIN;10 mg/ml;geeli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;UPJOHN;30 g;;0;043216;;
J01FF01;9647;20.04.1988;;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa myönnetty;PFIZER OY;100;Läpipainopakkaus;1;151860;30.04.1997;
J01FF01;9647;20.04.1988;;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa myönnetty;PFIZER OY;32;Läpipainopakkaus;1;151852;08.03.1991;
J01FF01;9647;20.04.1988;;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa myönnetty;PFIZER OY;16;;0;171504;23.09.1988;26.09.1995
J01FF01;13015;03.05.1999;03.05.2011;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;20;Läpipainopakkaus;0;195735;01.08.1999;
G01AA10;35863;08.03.2018;08.03.2023;DALACIN;100 mg;emätinpuikko;Kansallinen;Myyntilupa myönnetty;PARANOVA;3;Repäisypakkaus;1;484095;15.07.2018;
J01FF01;34513;13.10.2016;13.10.2021;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa myönnetty;ORIFARM;32;Läpipainopakkaus;1;023766;01.03.2017;
J01FF01;6085;02.09.1970;02.09.1994;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER;100;;0;464891;15.06.1971;02.09.1994
J01FF01;6822;15.05.1974;;DALACIN;15 mg/ml;rakeet oraaliliuosta varten;Kansallinen;Myyntilupa myönnetty;PFIZER OY;80 ml;Pullo;1;596031;15.06.1974;
G01AA10;32718;26.01.2015;06.04.2017;DALACIN;2 %;emätinvoide, creme;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;40 g;Putki;0;109317;;
G01AA10;34734;23.01.2017;23.01.2022;DALACIN;100 mg;emätinpuikko;Kansallinen;Myyntilupa myönnetty;ORIFARM;3;Repäisypakkaus;0;403999;01.06.2017;
J01FF01;6085;02.09.1970;02.09.1994;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER;20;;0;464883;;02.09.1994
J01FF01;13015;03.05.1999;03.05.2011;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;32;Läpipainopakkaus;0;195842;01.08.1999;
J01FF01;6963;30.10.1974;30.06.2018;DALACIN;150 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER OY;4 ml;Ampulli;0;459420;15.03.1977;
J01FF01;34513;13.10.2016;13.10.2021;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa myönnetty;ORIFARM;20;Läpipainopakkaus;1;023842;01.03.2017;
G01AA10;11508;20.06.1994;;DALACIN;2 %;emätinemulsiovoide;Kansallinen;Myyntilupa myönnetty;PFIZER OY;40 g;Putki;1;539973;22.11.1994;
J01FF01;13016;03.05.1999;03.05.2001;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;40;Läpipainopakkaus;0;440552;;
J01FF01;9647;20.04.1988;;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa myönnetty;PFIZER OY;20;Läpipainopakkaus;1;588574;05.09.1994;
J01FF01;6963;30.10.1974;30.06.2018;DALACIN;150 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER OY;6 ml;;0;459487;16.04.1985;17.05.2001
J01FF01;6085;02.09.1970;02.09.1994;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER;40;;0;412064;28.02.1991;02.09.1994
D10AF01;33882;18.01.2016;04.01.2019;DALACIN;10 mg/ml;liuos iholle;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ORIFARM;30 ml;Pullo;0;082480;01.04.2016;
D10AF01;36305;24.09.2018;24.09.2023;DALACIN;10 mg/ml;emulsio iholle;Kansallinen;Myyntilupa myönnetty;ORIFARM;30 ml;Pullo;1;086436;01.05.2019;
J01FF01;34277;12.01.2017;12.01.2022;DALACIN;300 mg;kapseli;Kansallinen;Myyntilupa myönnetty;PARANOVA;32;Läpipainopakkaus;1;195842;01.07.2017;
J01FF01;13016;03.05.1999;03.05.2001;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;4;Läpipainopakkaus;0;448696;;
D10AF01;30594;31.07.2012;01.02.2019;DALACIN;10 mg/ml;liuos iholle;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PARANOVA;30 ml;Pullo;0;535518;01.10.2012;
G01AA10;31699;14.08.2015;;DALACIN;100 mg;emätinpuikko;Tunnustaminen;Myyntilupa myönnetty;PFIZER OY;3;Repäisypakkaus;1;066707;01.09.2016;
J01FF01;11591;17.10.1994;;DALACIN;150 mg;kapseli;Kansallinen;Myyntilupa myönnetty;PFIZER OY;100;Läpipainopakkaus;1;464891;;
N06AX17;13577;21.09.1998;07.11.2008;DALCIPRAN;50 mg;kapseli, kova;Tunnustaminen;Myyntilupa rauennut Sunset Clausen takia;PIERRE FABRE MEDIC;56;Läpipainopakkaus;0;157883;;
N06AX17;13576;21.09.1998;07.11.2008;DALCIPRAN;25 mg;kapseli, kova;Tunnustaminen;Myyntilupa rauennut Sunset Clausen takia;PIERRE FABRE MEDIC;14;Läpipainopakkaus;0;157875;;
G04CA01;24962;21.10.2009;04.01.2016;DANAFUSIN;10 mg;depottabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;ORION CORPORATION;30;Läpipainopakkaus;0;536070;01.04.2011;
G04CA01;24962;21.10.2009;04.01.2016;DANAFUSIN;10 mg;depottabletti;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;ORION CORPORATION;90;Läpipainopakkaus;0;573883;01.04.2011;
G03XA01;10423;27.02.1991;27.02.2003;DANOCRINE;200 mg;kapseli, kova;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;SANOFI-SYNTHELABO;100;Läpipainopakkaus;0;111898;;
A10BB01;10954;03.05.1993;01.11.2002;DAONIL;3.5 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;SANOFI-AVENTIS;30;Läpipainopakkaus;0;011320;;
A10BB01;10954;03.05.1993;01.11.2002;DAONIL;3.5 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;SANOFI-AVENTIS;100;Läpipainopakkaus;0;011528;;
A10BB01;7190;04.02.1976;04.02.1994;DAONIL;3.5 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOECHST-FENNICA;30;;0;011320;15.09.1984;04.02.1994
A10BB01;7190;04.02.1976;04.02.1994;DAONIL;3.5 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;HOECHST-FENNICA;100;;0;011528;15.09.1984;04.02.1994
A10BB01;10912;27.01.1993;01.11.2002;DAONIL;1.75 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;SANOFI-AVENTIS;30;Läpipainopakkaus;0;010827;;
A10BB01;10912;27.01.1993;01.11.2002;DAONIL;1.75 mg;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;SANOFI-AVENTIS;100;Läpipainopakkaus;0;011270;;
G03AA09;30981;10.09.2014;31.10.2019;DARCY;150 mikrog / 30 mikrog;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa peruuntunut hakijan toimesta;SANDOZ A/S;3 x 21;Läpipainopakkaus;0;516693;15.03.2015;
G03AA09;30981;10.09.2014;31.10.2019;DARCY;150 mikrog / 30 mikrog;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa peruuntunut hakijan toimesta;SANDOZ A/S;21;Läpipainopakkaus;0;076887;15.03.2015;
G03AA09;30981;10.09.2014;31.10.2019;DARCY;150 mikrog / 30 mikrog;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa peruuntunut hakijan toimesta;SANDOZ A/S;6 x 21;Läpipainopakkaus;0;177603;15.03.2015;
J05AE10;34724;26.01.2018;30.01.2023;DARUNAVIR KRKA;800 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;KRKA;30;Tablettipurkki;1;138902;01.06.2019;
J05AE10;34723;26.01.2018;30.01.2023;DARUNAVIR KRKA;600 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;KRKA;2 x 30;Tablettipurkki;1;182328;01.06.2019;
J05AE10;35237;19.11.2018;19.11.2023;DARUNAVIR MEDICAL VALLEY;800 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;MEDICAL VALLEY;60;Tablettipurkki;1;070483;01.05.2019;
J05AE10;35236;19.11.2018;19.11.2023;DARUNAVIR MEDICAL VALLEY;600 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;MEDICAL VALLEY;60;Tablettipurkki;0;148170;01.05.2019;
J05AE10;33635;04.01.2017;06.01.2022;DARUNAVIR MYLAN;600 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;MYLAN S.A.S.;60;Läpipainopakkaus;1;185317;01.01.2020;
J05AE10;33637;04.01.2017;06.01.2022;DARUNAVIR MYLAN;800 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;MYLAN S.A.S.;30;Läpipainopakkaus;1;430186;01.01.2020;
J05AE10;33881;31.03.2017;31.03.2022;DARUNAVIR SANDOZ;800 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;SANDOZ A/S;30;Tablettipurkki;1;554143;01.03.2019;
J05AE10;33880;31.03.2017;31.03.2022;DARUNAVIR SANDOZ;600 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;SANDOZ A/S;60;Tablettipurkki;1;567078;01.03.2019;
J05AE10;33780;18.04.2017;18.04.2022;DARUNAVIR STADA;800 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;STADA;30;Tablettipurkki;1;493870;15.09.2019;
J05AE10;33779;18.04.2017;18.04.2022;DARUNAVIR STADA;600 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;STADA;60;Tablettipurkki;1;519225;15.09.2019;
L01XC24;35760;19.12.2017;;DARZALEX;20 mg/ml;infuusiokonsentraatti, liuosta varten;Keskitetty;Myyntilupa myönnetty;ORIFARM;20 ml;Injektiopullo;0;410872;01.12.2018;
L01XC24;35760;19.12.2017;;DARZALEX;20 mg/ml;infuusiokonsentraatti, liuosta varten;Keskitetty;Myyntilupa myönnetty;ORIFARM;5 ml;Injektiopullo;0;034342;01.12.2018;
L01XC24;33665;20.05.2016;03.05.2022;DARZALEX;20 mg/ml;infuusiokonsentraatti, liuosta varten;Keskitetty;Myyntilupa myönnetty;JANSSEN-CILAG;20 ml;Injektiopullo;1;149279;01.07.2016;
L01XC24;33665;20.05.2016;03.05.2022;DARZALEX;20 mg/ml;infuusiokonsentraatti, liuosta varten;Keskitetty;Myyntilupa myönnetty;JANSSEN-CILAG;5 ml;Injektiopullo;1;493534;01.07.2016;
L01XE06;36461;17.10.2019;17.10.2024;DASATINIB KRKA;70 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;KRKA;60;Läpipainopakkaus;1;091667;15.01.2020;
L01XE06;36460;17.10.2019;17.10.2024;DASATINIB KRKA;50 mg;tabletti, kalvopäällysteinen;Tunnustaminen;Myyntilupa myönnetty;KRKA;60;Läpipainopakkaus;1;188604;15.01.2020;
L01XE06;36459;17.10.2019;17.10.2024;DASATINIB KRKA;20 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;KRKA;60;Läpipainopakkaus;1;508656;15.01.2020;
L01XE06;35990;10.09.2018;10.09.2023;DASATINIB SANDOZ;70 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;SANDOZ A/S;60;Läpipainopakkaus;1;513595;15.04.2019;
L01XE06;35988;10.09.2018;10.09.2023;DASATINIB SANDOZ;20 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;SANDOZ A/S;60;Läpipainopakkaus;1;553844;15.04.2019;
L01XE06;35989;10.09.2018;10.09.2023;DASATINIB SANDOZ;50 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;SANDOZ A/S;60;Läpipainopakkaus;1;032632;15.04.2019;
L01XE06;35046;21.01.2019;21.01.2024;DASATINIB STADA;50 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;STADA;60 x 1;Läpipainopakkaus;1;115753;15.05.2019;
L01XE06;35047;21.01.2019;21.01.2024;DASATINIB STADA;70 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;STADA;60 x 1;Läpipainopakkaus;1;432060;15.05.2019;
L01XE06;35045;21.01.2019;21.01.2024;DASATINIB STADA;20 mg;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;STADA;60 x 1;Läpipainopakkaus;1;027065;15.05.2019;
R06AX27;29689;28.11.2011;;DASSELTA;5 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;KRKA;10;Läpipainopakkaus;1;422099;01.03.2012;
R06AX27;29689;28.11.2011;;DASSELTA;5 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;KRKA;100;Läpipainopakkaus;1;188829;01.03.2012;
R06AX27;29689;28.11.2011;;DASSELTA;5 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;KRKA;30;Läpipainopakkaus;1;571063;01.03.2012;
L01DB02;12018;05.02.1996;30.11.2017;DAUNOXOME;2 mg/ml;infuusiokonsentraatti, liuosta varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;GALEN;25 ml;Injektiopullo;0;515707;03.03.1997;
R03DX07;35074;23.04.2018;08.07.2020;DAXAS;250 mikrog;tabletti;Keskitetty;Myyntilupa myönnetty;ASTRAZENECA;28;Läpipainopakkaus;1;540167;07.10.2019;
R03DX07;27709;05.07.2010;08.07.2020;DAXAS;500 mikrog;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;ASTRAZENECA AB;90;Läpipainopakkaus;1;091367;01.12.2010;
R03DX07;27709;05.07.2010;08.07.2020;DAXAS;500 mikrog;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;ASTRAZENECA AB;30;Läpipainopakkaus;1;091356;01.12.2010;
G03AA12;35525;25.04.2018;25.04.2023;DAYLETTE;0.02 mg / 3 mg;tabletti, kalvopäällysteinen;Tunnustaminen;Myyntilupa myönnetty;GEDEON RICHTER;3 x 28;Läpipainopakkaus;1;044970;01.12.2019;
A12AX;9516;22.07.1987;22.07.2016;D-CALSOR;;tabletti;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ORION OYJ ESPOO;100;Tablettipurkki;0;185397;;
D03AX02;10070;13.09.1989;13.09.1997;DEBRISAN;2.6 g;haavatyyny;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER HEALTH AB;7 x 6 g;;0;127076;;
D03AX02;10070;13.09.1989;13.09.1997;DEBRISAN;2.6 g;haavatyyny;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER HEALTH AB;7 x 12 g;;0;127084;;
D03AX02;7451;17.08.1977;17.08.1998;DEBRISAN;;puuteri;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER HEALTH AB;120 g;;0;420208;;18.11.1996
D03AX02;7451;17.08.1977;17.08.1998;DEBRISAN;;puuteri;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER HEALTH AB;60 g;;0;420190;15.01.1979;
D03AX02;10070;13.09.1989;13.09.1997;DEBRISAN;2.6 g;haavatyyny;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER HEALTH AB;7 x 3 g;;0;177246;15.11.1989;
D03AX02;8350;19.05.1982;19.05.1998;DEBRISAN;64 %;pasta;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PFIZER HEALTH AB;10 x 10 g;;0;527259;15.01.1983;19.05.1998
H02AB02;3028;23.02.1966;23.02.2002;DECADRON;4 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;MSD;5 ml;Injektiopullo;0;016196;23.02.1966;
H02AB02;6675;14.11.1973;14.11.1999;DECADRON;24 mg/ml;injektioneste;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;MSD;5 ml;;0;421131;14.11.1973;
H02AB02;3028;23.02.1966;23.02.2002;DECADRON;4 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;MSD;10 x 2 ml;Ampulli;0;057984;15.10.1981;
H02AB02;3028;23.02.1966;23.02.2002;DECADRON;4 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;MSD;5 x 1 ml;;0;053058;15.02.1981;14.02.2001
H02AB02;3028;23.02.1966;23.02.2002;DECADRON;4 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;MSD;10 x 1 ml;Ampulli;0;053066;15.12.1980;
A14AB01;5670;15.01.1969;15.01.2000;DECA-DURABOLIN;25 mg/ml;injektioneste;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ORGANON;1 ml;;0;189993;;11.03.1999
A14AB01;7394;06.04.1977;06.04.1994;DECA-DURABOLIN;100 mg/ml;injektioneste;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ORGANON;3 x 2 ml;;0;540799;;06.04.1994
A14AB01;5671;15.01.1969;;DECA-DURABOLIN;50 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa myönnetty;ASPEN;12 x 1 ml;Ampulli;0;189951;15.06.1961;30.11.2002
A14AB01;5671;15.01.1969;;DECA-DURABOLIN;50 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa myönnetty;ASPEN;1 ml;Ampulli;1;189969;;
A14AB01;5670;15.01.1969;15.01.2000;DECA-DURABOLIN;25 mg/ml;injektioneste;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;ORGANON;12 x 1 ml;;0;189985;16.04.1985;27.11.1997
B05XA31;14217;31.01.2000;29.08.2014;DECAN;;infuusiokonsentraatti, liuosta varten;Tunnustaminen;Myyntilupa peruuntunut hakijan toimesta;CLINTEC PARENTERAL;25 x 40 ml;Injektiopullo;0;012450;23.03.2009;
L02AE04;10585;06.11.1991;01.10.2018;DECAPEPTYL DEPOT;3.75 mg;injektiokuiva-aine ja liuotin, suspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;FERRING LÄÄKKEET OY;3.75 mg + 1 ml;Esitäytetty ruisku;0;480400;12.02.1992;20.12.2007
L02AE04;10585;06.11.1991;01.10.2018;DECAPEPTYL DEPOT;3.75 mg;injektiokuiva-aine ja liuotin, suspensiota varten;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;FERRING LÄÄKKEET OY;3 x (3.75 mg + 1 ml);Esitäytetty ruisku;0;480418;01.06.1992;
A11CC05;10324;14.11.1990;16.03.2012;DEETIPAT;400 IU/ml;tipat, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;FERROSAN;30 ml;Pullo;0;063727;11.02.1991;
B01AX01;29923;18.10.2013;22.10.2023;DEFITELIO;80 mg/ml;infuusiokonsentraatti, liuosta varten;Keskitetty;Myyntilupa myönnetty;GENTIUM;10 x 2.5 ml;Injektiopullo;1;035203;01.08.2014;
N05AD08;22439;24.10.2008;;DEHYDROBENZPERIDOL;2.5 mg/ml;injektioneste, liuos;Hajautettu;Myyntilupa myönnetty;KYOWA KIRIN HOLDINGS;10 x 1 ml;Ampulli;1;115475;03.11.2008;
N05AD08;934;10.02.1965;03.11.2008;DEHYDROBENZPERIDOL;2.5 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PROSTRAKAN LTD;5 x 10 ml;;0;465294;;22.09.1998
N05AD08;934;10.02.1965;03.11.2008;DEHYDROBENZPERIDOL;2.5 mg/ml;injektioneste, liuos;Kansallinen;Myyntilupa peruuntunut hakijan toimesta;PROSTRAKAN LTD;5 x 2 ml;Ampulli;0;138453;04.02.1997;
G03AC09;37362;29.10.2019;29.10.2024;DELAMONIE;75 mikrog;tabletti, kalvopäällysteinen;Kansallinen;Myyntilupa myönnetty;PARANOVA;3 x 28;Läpipainopakkaus;1;168564;01.04.2020;
G03AC09;32492;16.10.2015;16.10.2020;DELAMONIE;75 mikrog;tabletti, kalvopäällysteinen;Hajautettu;Myyntilupa myönnetty;SANDOZ A/S;3 x 28;Läpipainopakkaus;1;124621;01.02.2018;
J05AR24;37576;08.11.2019;;DELSTRIGO;100 mg / 300 mg / 245 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;ORIFARM;30;Tablettipurkki;0;520458;01.12.2019;
J05AR24;35735;22.11.2018;22.11.2023;DELSTRIGO;100 mg / 300 mg / 245 mg;tabletti, kalvopäällysteinen;Keskitetty;Myyntilupa myönnetty;MERCK SHARP & DOHME;30;Tablettipurkki;1;073928;15.02.2019;
D07AC13;24057;05.08.2009;;DEMOSON;1 mg/g;voide;Hajautettu;Myyntilupa myönnetty;MYLAN AB;100 g;Putki;1;076327;01.01.2011;
D07AC13;24057;05.08.2009;;DEMOSON;1 mg/g;voide;Hajautettu;Myyntilupa myönnetty;MYLAN AB;50 g;Putki;1;076316;01.01.2011;
G03AA09;30834;06.06.2013;;DENISE;150 / 20 mikrog;tabletti;Hajautettu;Myyntilupa myönnetty;RATIOPHARM GMBH;6 x 21;Läpipainopakkaus;0;439908;01.03.2014;
G03AA09;30834;06.06.2013;;DENISE;150 / 20 mikrog;tabletti;Hajautettu;Myyntilupa myönnetty;RATIOPHARM GMBH;3 x 21;Läpipainopakkaus;1;175600;01.03.2014;
