ICD9,ICD9LYH,ICD9TXT,ICD9CM,concept_name,ICD9CD_match_level,code_matched_to,Wolfbane_name,match_type,suspected_mistake
0543A,MENINGITIS HERPETICA,MENINGITIS HERPETICA,054.3,Herpetic meningoencephalitis,4_digit_level,054.3,"Herpes simplex, Herpetic meningoencephalitis",parent_match,0
0543B,ENCEPHALITIS HERPETI,ENCEPHALITIS HERPETICA,054.3,Herpetic meningoencephalitis,4_digit_level,054.3,"Herpes simplex, Herpetic meningoencephalitis",parent_match,0
0544A,HERPES PALPEBR OCULI,HERPES SIMPLEX PALPEBRAE OCULI,054.4,Herpes simplex with ophthalmic complications,4_digit_level,054.4,"Herpes simplex, With ophthalmic complications",parent_match,0
0544B,"KERATIT DENDRIT,HERP","KERATITIS DENDRITICA, HERPETICA",054.4,Herpes simplex with ophthalmic complications,4_digit_level,054.4,"Herpes simplex, With ophthalmic complications",parent_match,0
0544C,"KERATIT DISCIF,HERPE","KERATITIS DISCIFORMIS, HERPETICA",054.4,Herpes simplex with ophthalmic complications,4_digit_level,054.4,"Herpes simplex, With ophthalmic complications",parent_match,0
0544D,HERPES+IRIDOCYCLITIS,HERPES SIMPLEX CUM IRIDOCYCLITIDE,054.4,Herpes simplex with ophthalmic complications,4_digit_level,054.4,"Herpes simplex, With ophthalmic complications",parent_match,0
0544X,MUU HERPES SILMÄKOMP,HERPES SIMPLEX CUM COMPLICATIONE OPHTALMICA ALIA,054.4,Herpes simplex with ophthalmic complications,4_digit_level,054.4,"Herpes simplex, With ophthalmic complications",parent_match,0
0545A,HERPES GENERALISATUS,HERPES SIMPLEX GENERALISATUS,054.5,Herpetic septicemia,4_digit_level,054.5,"Herpes simplex, Herpetic septicaemia",unique_parent_match,0
0546A,PARONYCHIA HERPETICA,PARONYCHIA HERPETICA,054.6,Herpetic whitlow,4_digit_level,054.6,"Herpes simplex, Herpetic whitlow",unique_parent_match,0
0547A,HERPES+OTITIS EXTERN,HERPES SIMPLEX CUM OTITIDE EXTERNI,054.7,Herpes simplex with other specified complications,4_digit_level,054.7,"Herpes simplex, With other specified complications",parent_match,0
0547X,HERPES+COMPLICAT ALI,HERPES SIMPLEX CUM COMPLICATIONE ALIA,054.7,Herpes simplex with other specified complications,4_digit_level,054.7,"Herpes simplex, With other specified complications",parent_match,0
0548X,HERPES SIMPLEX ALIA,HERPES SIMPLEX ALIA DEFINITA,054.8,Herpes simplex with unspecified complication,4_digit_level,054.8,"Herpes simplex, With unspecified complication",unique_parent_match,0
0549X,HERPES SINE COMPLICA,HERPES SIMPLEX SINE COMPLICATIONE,054.9,Herpes simplex without mention of complication,4_digit_level,054.9,Herpes simplex without mention of complication,unique_parent_match,0
055,MORBILLI,MORBILLI,055,Measles,4_digit_level,055,Measles,full_match,0
0550A,ENKEFALI POST MORBIL,ENCEPHALITIS POST MORBILLOS,055.0,Postmeasles encephalitis,4_digit_level,055.0,"Measles, Postmeasles encephalitis",unique_parent_match,0
0551A,PNEUMONI POST MORBIL,PNEUMONIA POST MORBILLOS,055.1,Postmeasles pneumonia,4_digit_level,055.1,"Measles, Postmeasles pneumonia",unique_parent_match,0
0552A,OTIT MED POST MORBIL,OTITIS MEDIA POST MORBILLOS,055.2,Postmeasles otitis media,4_digit_level,055.2,"Measles, Postmeasles otitis media",unique_parent_match,0
0557X,MORBILLI+COMPLIC ALI,MORBILLI CUM COMPLICATIONE ALIA,055.7,Measles with other specified complications,4_digit_level,055.7,"Measles, With other specified complications",unique_parent_match,0
0558X,MORBILLI ALIA DEFINI,MORBILLI ALIA DEFINITA,055.8,Measles with unspecified complication,4_digit_level,055.8,"Measles, With unspecified complication",unique_parent_match,0
0559X,MORBILLI SINE COMPLI,MORBILLI SINE COMPLICATIONE,055.9,Measles without mention of complication,4_digit_level,055.9,Measles without mention of complication,unique_parent_match,0
056,RUBELLA,RUBELLA,056,Rubella,4_digit_level,056,Rubella,full_match,0
0560A,RUBELLA+CNS COMPLICA,RUBELLA CUM COMPLICATIONE SYSTEMATIS NERVORUM,056.0,Rubella with neurological complications,4_digit_level,056.0,"Rubella, With neurological complications",unique_parent_match,0
0567A,RUBELLA + ARTHRITIS,RUBELLA CUM ARTHRITIDE,056.7,Rubella with other specified complications,4_digit_level,056.7,"Rubella, With other specified complications",parent_match,0
0567X,RUBELLA + COMPL ALIA,RUBELLA CUM COMPLICATIONE ALIA DEFINITA,056.7,Rubella with other specified complications,4_digit_level,056.7,"Rubella, With other specified complications",parent_match,0
0568X,RUBELLA + COMPL NUD,RUBELLA CUM COMPLICATIONE NON DEFINITA,056.8,Rubella with unspecified complications,4_digit_level,056.8,"Rubella, With unspecified complications",unique_parent_match,0
0569A,RUBELLA SINE COMPLIC,RUBELLA SINE COMPLICATIONE,056.9,Rubella without mention of complication,4_digit_level,056.9,Rubella without mention of complication,parent_match,0
0569X,RUBELLA NUD,RUBELLA NUD,056.9,Rubella without mention of complication,4_digit_level,056.9,Rubella without mention of complication,parent_match,0
057,MUUT VIRUSIHOTTUMAT,MUUT VIRUKSEN AIHEUTTAMAT IHOTTUMAT,057,Other viral exanthemata,4_digit_level,057,Other viral exanthemata,full_match,0
0570A,ERYTHEMA INFECTIOSUM,ERYTHEMA INFECTIOSUM,057.0,Erythema infectiosum (fifth disease),4_digit_level,057.0,"Other viral exanthemata, Erythema infectiosum [fifth disease]",unique_parent_match,0
0578A,EXANTHEMA SUBITUM,EXANTHEMA SUBITUM,057.8,Other specified viral exanthemata,4_digit_level,057.8,"Other viral exanthemata, Other specified viral exanthemata",parent_match,0
0578X,EXANTHEMA VIROG ALIA,EXANTHEMA VIROGENA ALIA,057.8,Other specified viral exanthemata,4_digit_level,057.8,"Other viral exanthemata, Other specified viral exanthemata",parent_match,0
0579X,EXANTHEMA VIROG NUD,EXANTHEMA VIROGENA NUD,057.9,"Viral exanthem, unspecified",4_digit_level,057.9,"Other viral exanthemata, Viral exanthem, unspecified",unique_parent_match,0
060,FEBRIS FLAVA,FEBRIS FLAVA,060,Yellow fever,4_digit_level,060,Yellow fever,full_match,0
0600A,FEBR FLAVA SILVATICA,FEBRIS FLAVA SILVATICA,060.0,Sylvatic yellow fever,4_digit_level,060.0,"Yellow fever, Sylvatic",unique_parent_match,0
0601A,FEBRIS FLAVA URBANA,FEBRIS FLAVA URBANA,060.1,Urban yellow fever,4_digit_level,060.1,"Yellow fever, Urban",unique_parent_match,0
0609X,FEBRIS FLAVA NUD,FEBRIS FLAVA NUD,060.9,"Yellow fever, unspecified",4_digit_level,060.9,"Yellow fever, unspecified",unique_parent_match,0
061,FEBRIS DENGUE,FEBRIS DENGUE,061,Dengue,4_digit_level,061,Dengue,full_match,0
0610A,FEBRIS DENGUE,FEBRIS DENGUE,061,Dengue,3_digit_level,061,Dengue,grandparent_match,0
062,ENKEF VIROS/MOSQUITO,ENCEPHALITIS VIROSA PER MOSQUITOS,062,Mosquito-borne viral encephalitis,4_digit_level,062,Mosquito-borne viral encephalitis,full_match,0
0620A,ENKEFALITIS JAPONICA,ENCEPHALITIS JAPONICA,062.0,Japanese encephalitis,4_digit_level,062.0,"Mosquito-borne viral encephalitis, Japanese encephalitis",unique_parent_match,0
0621A,ENKEF EQUINA OCCIDEN,ENCEPHALITIS EQUINA OCCIDENTALIS,062.1,Western equine encephalitis,4_digit_level,062.1,"Mosquito-borne viral encephalitis, Western equine encephalitis",unique_parent_match,0
0622A,ENKEF EQUINA ORIENTA,ENCEPHALITIS EQUINA ORIENTALIS,062.2,Eastern equine encephalitis,4_digit_level,062.2,"Mosquito-borne viral encephalitis, Eastern equine encephalitis",unique_parent_match,0
0623A,ENKEFALIITT ST LOUIS,ENCEPHALITIS ST LOUIS,062.3,St. Louis encephalitis,4_digit_level,062.3,"Mosquito-borne viral encephalitis, St. Louis encephalitis",unique_parent_match,0
0624A,ENKEFALIIT AUSTRALIA,ENCEPHALITIS AUSTRALIA,062.4,Australian encephalitis,4_digit_level,062.4,"Mosquito-borne viral encephalitis, Australian encephalitis",unique_parent_match,0
0625A,ENKEFALIT CALIFORNIA,ENCEPHALITIS CALIFORNIA,062.5,California virus encephalitis,4_digit_level,062.5,"Mosquito-borne viral encephalitis, California virus encephalitis",parent_match,0
0625B,ENKEFALIITTI INKOO,ENCEPHALITIS E VIROSA INKOO,062.5,California virus encephalitis,4_digit_level,062.5,"Mosquito-borne viral encephalitis, California virus encephalitis",parent_match,0
0628X,VIRUSENKEF/SÄÄSKI MU,ENCEPHALITIS VIROSA PER MOSQUITOS ALIA DEFINITA,062.8,Other specified mosquito-borne viral encephalitis,4_digit_level,062.8,"Mosquito-borne viral encephalitis, Other specified mosquito-borne viral encephalitis",unique_parent_match,0
0629X,VIRUSENKEF/SÄÄSKI NU,ENCEPHALITIS VIROSA PER MOSQUITOS NUD,062.9,"Mosquito-borne viral encephalitis, unspecified",4_digit_level,062.9,"Mosquito-borne viral encephalitis, unspecified",unique_parent_match,0
063,ENKEF VIROSA/PUNKKI,ENCEPHALITIS VIROSA PER IXODIDES,063,Tick-borne viral encephalitis,4_digit_level,063,Tick-borne viral encephalitis,full_match,0
0630A,RSSE,MENINGOENCEPHALITIS VERNO-AESTIVALIS RUSSICA (RSSE),063.0,Russian spring-summer [taiga] encephalitis,4_digit_level,063.0,"Tick-borne viral encephalitis, Russian spring-summer [taiga] encephalitis",unique_parent_match,0
0631A,"""LOUPING ILL""","""LOUPING ILL""",063.1,Louping ill,4_digit_level,063.1,"Tick-borne viral encephalitis, Louping ill",unique_parent_match,0
0632A,ENKEFALIITT KUMLINGE,PUUTIAISEN VÄLITTÄMÄ ENKEFALIITTI (KUMLINGE),063.2,Central european encephalitis,4_digit_level,063.2,"Tick-borne viral encephalitis, Central European encephalitis",parent_match,0
0632B,ENKEF KESKI-EUROOPPA,ENCEPHALITIS EUROPAA CENTRALIS,063.2,Central european encephalitis,4_digit_level,063.2,"Tick-borne viral encephalitis, Central European encephalitis",parent_match,0
0638X,VIRUSENKEF/PUNKKI MU,ENCEPHALITIS VIROSA PER IXODIDAM ALIA,063.8,Other specified tick-borne viral encephalitis,4_digit_level,063.8,"Tick-borne viral encephalitis, Other specified tick-borne viral encephalitis",unique_parent_match,0
0639X,VIRUSENKEF/PUNKKI NU,ENCEPHALITIS VIROSA PER IXODIDAM NUD,063.9,"Tick-borne viral encephalitis, unspecified",4_digit_level,063.9,"Tick-borne viral encephalitis, unspecified",unique_parent_match,0
064,VIR.ENKEF/NIVELJ MUU,ENCEPHALITIS VIROSA PER ARTHROPODA ALIA,064,Viral encephalitis transmitted by other and unspecified arthropods,4_digit_level,064,Viral encephalitis transmitted by other and unspecified arthropods,full_match,0
0640A,VIR.ENKEF/NIVELJ MUU,ENCEPHALITIS VIROSA PER ARTHROPODA ALIA,064,Viral encephalitis transmitted by other and unspecified arthropods,3_digit_level,064,Viral encephalitis transmitted by other and unspecified arthropods,grandparent_match,0
065,FEBR HEMORRAG/NIVELJ,FEBRIS HAEMORRHAGICA PER ARTHROPODA,065,Arthropod-borne hemorrhagic fever,4_digit_level,065,Arthropod-borne haemorrhagic fever,full_match,0
0650A,FEBRIS HEMORRAG KRIM,FEBRIS HAEMORRHAGICA KRIM,065.0,Crimean hemorrhagic fever [CHF Congo virus],4_digit_level,065.0,"Arthropod-borne haemorrhagic fever, Crimean haemorrhagic fever [CHF Congo virus]",unique_parent_match,0
0651A,FEBRIS HEMORRAG OMSK,FEBRIS HAEMORRHAGICA OMSK,065.1,Omsk hemorrhagic fever,4_digit_level,065.1,"Arthropod-borne haemorrhagic fever, Omsk haemorrhagic fever",unique_parent_match,0
0652A,MB KYASANUR FOREST,MORBUS KYASANUR FOREST,065.2,Kyasanur forest disease,4_digit_level,065.2,"Arthropod-borne haemorrhagic fever, Kyasanur Forest disease",unique_parent_match,0
0653A,FEBR HEMOR/MUU PUNKK,FEBRIS HAEMORRHAGICA PER IXODIDAM ALIA,065.3,Other tick-borne hemorrhagic fever,4_digit_level,065.3,"Arthropod-borne haemorrhagic fever, Other tick-borne haemorrhagic fever",unique_parent_match,0
0654A,FEBR HEMORR/MOSQUITO,FEBRIS HAEMORRHAGICA PER MOSQUITOS,065.4,Mosquito-borne hemorrhagic fever,4_digit_level,065.4,"Arthropod-borne haemorrhagic fever, Mosquito-borne haemorrhagic fever",unique_parent_match,0
0658X,FEBR HEMOR/M.NIVELJA,FEBRIS HAEMORRHAGICA PER ARTHROPODA ALIA,065.8,Other specified arthropod-borne hemorrhagic fever,4_digit_level,065.8,"Arthropod-borne haemorrhagic fever, Other specified arthropod-borne haemorrhagic fever",unique_parent_match,0
0659X,FEBR HEMOR/NIVELJ NU,FEBRIS HAEMORRHAGICA PER ARTHROPODA NUD,065.9,"Arthropod-borne hemorrhagic fever, unspecified",4_digit_level,065.9,"Arthropod-borne haemorrhagic fever, unspecified",unique_parent_match,0
066,VIROSES ALI/NIVELJAL,VIROSES ALIAE PER ARTHROPODA,066,Other arthropod-borne viral diseases,4_digit_level,066,Other arthropod-borne viral diseases,full_match,0
0661A,VIROSES ALI/IXODIDES,VIROSES ALIAE PER IXODIDES,066.1,Tick-borne fever,4_digit_level,066.1,"Other arthropod-borne viral diseases, Tick-borne fever",unique_parent_match,0
0662A,VIROS EQUINA VENEZUE,VIROSIS EQUINA VENEZUELA,066.2,Venezuelan equine fever,4_digit_level,066.2,"Other arthropod-borne viral diseases, Venezuelan equine fever",unique_parent_match,0
0663A,VIROSES ALI/MOSQUITO,VIROSES ALIAE PER MOSQUITOS,066.3,Other mosquito-borne fever,4_digit_level,066.3,"Other arthropod-borne viral diseases, Other mosquito-borne fever",parent_match,0
0663B,POGOSTAN TAUTI,POGOSTAN TAUTI,066.3,Other mosquito-borne fever,4_digit_level,066.3,"Other arthropod-borne viral diseases, Other mosquito-borne fever",parent_match,0
0668X,VIROSES ALI/NIVELJAL,VIROSES ALIAE PER ARTHROPODA,066.8,Other specified arthropod-borne viral diseases,4_digit_level,066.8,"Other arthropod-borne viral diseases, Other specified arthropod-borne viral diseases",unique_parent_match,0
0669X,VIROSES NUD/NIVELJAL,VIROSES NUD PER ARTHROPODA,066.9,"Arthropod-borne viral disease, unspecified",4_digit_level,066.9,"Other arthropod-borne viral diseases, Arthropod-borne viral disease, unspecified",unique_parent_match,0
070,HEPATITIS VIROSA,HEPATITIS VIROSA,070,Viral hepatitis,4_digit_level,070,Viral hepatitis,full_match,0
0700A,HEPATITIS A JA KOOMA,HEPATITIS A CUM COMATE HEPATICO,070.0,Viral hepatitis A with hepatic coma,4_digit_level,070.0,Viral hepatitis A with hepatic coma,unique_parent_match,0
0701A,"HEPATIT A, EI KOOMAA",HEPATITIS A SINE COMATE HEPATICO,070.1,Viral hepatitis A without mention of hepatic coma,4_digit_level,070.1,Viral hepatitis A without mention of hepatic coma,unique_parent_match,0
0702A,HEPATITIS B JA KOOMA,HEPATITIS B CUM COMATE HEPATICO,070.2,Viral hepatitis B with hepatic coma,4_digit_level,070.2,Viral hepatitis B with hepatic coma,unique_parent_match,0
0703A,"HEPATIT B, EI KOOMAA",HEPATITIS B SINE COMATE HEPATICO,070.3,Viral hepatitis B without mention of hepatic coma,4_digit_level,070.3,Viral hepatitis B without mention of hepatic coma,unique_parent_match,0
0704A,EI A/B HEPATIT+KOOMA,"HEPATITIS NON A, NON B CUM COMATE HEPATICO",070.4,Other specified viral hepatitis with hepatic coma,4_digit_level,070.4,"Viral hepatitis, Other specified viral hepatitis with hepatic coma",unique_parent_match,0
0705A,"HEPATIT EI A/B,EI KO","HEPATITIS NON A, NON B SINE COMATE HEPATICO",070.5,Other specified viral hepatitis without mention of hepatic coma,4_digit_level,070.5,"Viral hepatitis, Other specified viral hepatitis without mention of hepatic coma",unique_parent_match,0
0706X,VIR.HEPATIT NUD+KOOM,HEPATITIS VIROSA NUD CUM COMATE HEPATICO,070.6,Unspecified viral hepatitis with hepatic coma,4_digit_level,070.6,"Viral hepatitis, Unspecified viral hepatitis with hepatic coma",unique_parent_match,0
0709X,"VI.HEPATIT NUD,EI KO",HEPATITIS VIROSA NUD SINE COMATE HEPATICO,070.9,Unspecified viral hepatitis without mention of hepatic coma,4_digit_level,070.9,"Viral hepatitis, Unspecified viral hepatitis without mention of hepatic coma",unique_parent_match,0
071,RABIES,RABIES,071,Rabies,4_digit_level,071,Rabies,full_match,0
0710A,VESIKAUHU,VESIKAUHU,071,Rabies,3_digit_level,071,Rabies,grandparent_match,0
072,PAROTITIS EPIDEMICA,PAROTITIS EPIDEMICA,072,Mumps,4_digit_level,072,Mumps,full_match,0
0720A,SIKOTAUTI + ORCHITIS,PAROTITIS EPIDEMICA CUM ORCHITIDE,072.0,Mumps orchitis,4_digit_level,072.0,Mumps orchitis,unique_parent_match,0
0721A,SIKOTAUTI+MENINGITIS,PAROTITIS EPIDEMICA CUM MENINGITIDE,072.1,Mumps meningitis,4_digit_level,072.1,Mumps meningitis,unique_parent_match,0
0722A,SIKOTAUTI+ENCEPHALIT,PAROTITIS EPIDEMICA CUM ENCEPHALITIDE,072.2,Mumps encephalitis,4_digit_level,072.2,Mumps encephalitis,unique_parent_match,0
0723A,SIKOTAUTI+PANCREATIT,PAROTITIS EPIDEMICA CUM PANCREATITIDE,072.3,Mumps pancreatitis,4_digit_level,072.3,Mumps pancreatitis,unique_parent_match,0
0727X,SIKOTAUTI+MUU KOMPLI,PAROTITIS EPIDEMICA CUM COMPLICATIONE ALIA,072.7,Mumps with other specified complications,4_digit_level,072.7,Mumps with other specified complications,unique_parent_match,0
0728X,SIKOTAUTI+KOMPLI NUD,PAROTITIS EPIDEMICA CUM COMPLICATIONE NON DEFINITA,072.8,Mumps with unspecified complication,4_digit_level,072.8,Mumps with unspecified complication,unique_parent_match,0
0729X,"SIKOTAUTI,EI KOMPLIK",PAROTITIS EPIDEMICA SINE COMPLICATIONE,072.9,Mumps without mention of complication,4_digit_level,072.9,Mumps without mention of complication,unique_parent_match,0
073,ORNITHOSIS,ORNITHOSIS (PSITTACOSIS),073,Ornithosis,4_digit_level,073,Ornithosis,full_match,0
0730A,ORNITHOSIS,ORNITHOSIS (PSITTACOSIS),073.0,Ornithosis with pneumonia,4_digit_level,073.0,"Ornithosis, With pneumonia",unique_parent_match,0
074,VIROSES COXSACKIE,VIROSES COXSACKIE,074,Specific diseases due to Coxsackie virus,4_digit_level,074,Specific diseases due to Coxsackie virus,full_match,0
0740A,HERPANGINA,HERPANGINA,074.0,Herpangina,4_digit_level,074.0,"Specific diseases due to Coxsackie virus, Herpangina",unique_parent_match,0
0741A,PLEURODYNIA EPIDEMIC,PLEURODYNIA EPIDEMICA (BORNHOLM),074.1,Epidemic pleurodynia,4_digit_level,074.1,"Specific diseases due to Coxsackie virus, Epidemic pleurodynia",unique_parent_match,0
0742A,CARDITIS COXSACKIE,CARDITIS COXSACKIE,074.2,Coxsackie carditis,4_digit_level,074.2,"Specific diseases due to Coxsackie virus, Coxsackie carditis",unique_parent_match,0
0743A,SUU- JA SORKKATAUTI,SUU- JA SORKKATAUTI,074.3,"Hand, foot, and mouth disease",4_digit_level,074.3,"Specific diseases due to Coxsackie virus, Hand, foot and mouth disease",unique_parent_match,0
0748X,VIROS COXSACKIE ALIA,VIROSES COXSACKIE ALIA DEFINITA,074.8,Other specified diseases due to Coxsackie virus,4_digit_level,074.8,"Specific diseases due to Coxsackie virus, Other specified diseases due to Coxsackie virus",unique_parent_match,0
075,MONONUCLEOSIS INFECT,MONONUCLEOSIS INFECTIOSA,075,Infectious mononucleosis,4_digit_level,075,Infectious mononucleosis,full_match,0
0750A,MONONUKLEOOSI+KOMPLI,MONONUCLEOSIS INFECTIOSA CUM COMPLICATIONE,075,Infectious mononucleosis,3_digit_level,075,Infectious mononucleosis,grandparent_match,0
0750X,"MONONUKLEOO,EI KOMPL",MONONUCLEOSIS INFECTIOSA SINE COMPLICATIONE,075,Infectious mononucleosis,3_digit_level,075,Infectious mononucleosis,grandparent_match,0
076,KLAMYDIAINFEKTIOT,INFECTIO CHLAMYDIAE TRACHOMATIS,076,Trachoma,4_digit_level,076,Trachoma,full_match,0
0760A,TRACHOMA,TRACHOMA,076.0,"Trachoma, initial stage",4_digit_level,076.0,"Trachoma, Initial stage",unique_parent_match,0
0769A,CHLAMYDIA URETHRITIS,CHLAMYDIA URETHRITIS,076.9,"Trachoma, unspecified",4_digit_level,076.9,"Trachoma, unspecified",parent_match,0
0769B,CHLAMYDIA PROCTITIS,CHLAMYDIA PROCTITIS,076.9,"Trachoma, unspecified",4_digit_level,076.9,"Trachoma, unspecified",parent_match,0
0769C,KLAMYD ENDO+S-O-ITIS,CHLAMYDIA ENDOMETRITIS ET SALPINGO-OOPHORITIS,076.9,"Trachoma, unspecified",4_digit_level,076.9,"Trachoma, unspecified",parent_match,0
0769D,KLAMYDIA PERIHEPATIT,CHLAMYDIA PERIHEPATITIS,076.9,"Trachoma, unspecified",4_digit_level,076.9,"Trachoma, unspecified",parent_match,0
0769E,KLAMYDIA FARYNGIITTI,CHLAMYDIA PHARYNGITIS,076.9,"Trachoma, unspecified",4_digit_level,076.9,"Trachoma, unspecified",parent_match,0
0769F,KLAMYDIA KONJUNKTIVI,CHLAMYDIA CONJUNCTIVITIS,076.9,"Trachoma, unspecified",4_digit_level,076.9,"Trachoma, unspecified",parent_match,0
0769X,CHLAMYDIA ALIA/ NUD,CHLAMYDIA ALIA DEFINITA SEU NUD,076.9,"Trachoma, unspecified",4_digit_level,076.9,"Trachoma, unspecified",parent_match,0
077,VIROS CONJUNCT ALIAE,VIROSES CONJUNCTIVAE ALIAE,077,Other diseases of conjunctiva due to viruses and Chlamydiae,4_digit_level,077,Other diseases of conjunctiva due to viruses and Chlamydiae,full_match,0
0770A,CONJUNCT POST INCLUS,CONJUNCTIVITIS POST INCLUSIONEM,077.0,Inclusion conjunctivitis,4_digit_level,077.0,"Other diseases of conjunctiva due to viruses and Chlamydiae, Inclusion conjunctivitis",unique_parent_match,0
0771A,KERATOCONJUNC EPIDEM,KERATOCONJUNCTIVITIS EPIDEMICA,077.1,Epidemic keratoconjunctivitis,4_digit_level,077.1,"Other diseases of conjunctiva due to viruses and Chlamydiae, Epidemic keratoconjunctivitis",unique_parent_match,0
0772A,FEBR FARYNGOKONJUNKT,FEBRIS PHARYNGOCONJUNCTIVALIS,077.2,Pharyngoconjunctival fever,4_digit_level,077.2,"Other diseases of conjunctiva due to viruses and Chlamydiae, Pharyngoconjunctival fever",unique_parent_match,0
0773A,CONJUNCTIV/ADENOV AL,CONJUNCTIVITIS PER ADENOVIRUS ALIUD,077.3,Other adenoviral conjunctivitis,4_digit_level,077.3,"Other diseases of conjunctiva due to viruses and Chlamydiae, Other adenoviral conjunctivitis",unique_parent_match,0
0774A,KONJUNKTIV EPID HEMO,CONJUNCTIVITIS EPIDEMICA HAEMORRHAGICA,077.4,Epidemic hemorrhagic conjunctivitis,4_digit_level,077.4,"Other diseases of conjunctiva due to viruses and Chlamydiae, Epidemic haemorrhagic conjunctivitis",unique_parent_match,0
0778X,VIROS CONJUNCT ALIA,VIROSES CONJUNCTIVAE ALIA DEFINITA,077.8,Other viral conjunctivitis,4_digit_level,077.8,"Other diseases of conjunctiva due to viruses and Chlamydiae, Other viral conjunctivitis",unique_parent_match,0
0779X,VIROSES CONJUNCT NUD,VIROSES CONJUNCTIVAE NUD,077.9,Unspecified diseases of conjunctiva due to viruses and Chlamydiae,4_digit_level,077.9,"Other diseases of conjunctiva due to viruses and Chlamydiae, Unspecified diseases of conjunctiva due to viruses and Chlamydiae",unique_parent_match,0
078,VIROSES ALIAE,VIROSES ALIAE,078,Other diseases due to viruses and Chlamydiae,4_digit_level,078,Other diseases due to viruses and Chlamydiae,full_match,0
0780A,MOLLUSCUM CONTAGIOS,MOLLUSCUM CONTAGIOSUM,078.0,Molluscum contagiosum,4_digit_level,078.0,"Other diseases due to viruses and Chlamydiae, Molluscum contagiosum",unique_parent_match,0
0781A,VERRUCA VULGARIS,VERRUCA VULGARIS,078.1,Viral warts,4_digit_level,078.1,"Other diseases due to viruses and Chlamydiae, Viral warts",parent_match,0
0781B,VERRUCA PLANA,VERRUCA PLANA,078.1,Viral warts,4_digit_level,078.1,"Other diseases due to viruses and Chlamydiae, Viral warts",parent_match,0
0781C,CONDYLOMA ACCUMINAT,CONDYLOMA ACCUMINATUM,078.1,Viral warts,4_digit_level,078.1,"Other diseases due to viruses and Chlamydiae, Viral warts",parent_match,0
0781D,PAPULOSIS BOWEN,PAPULOSIS BOWEN,078.1,Viral warts,4_digit_level,078.1,"Other diseases due to viruses and Chlamydiae, Viral warts",parent_match,0
0783A,CAT-SCRATCH DISEASE,"""CAT-SCRATCH DISEASE""",078.3,Cat-scratch disease,4_digit_level,078.3,"Other diseases due to viruses and Chlamydiae, Cat-scratch disease",unique_parent_match,0
0785A,MONONUCLEOS CYTOMEGA,MONONUCLEOSIS INFECTIOSA CYTOMEGALICA,078.5,Cytomegaloviral disease,4_digit_level,078.5,"Other diseases due to viruses and Chlamydiae, Cytomegaloviral disease",parent_match,0
0785B,HEPATITIS CYTOMEGALI,HEPATITIS CYTOMEGALICA,078.5,Cytomegaloviral disease,4_digit_level,078.5,"Other diseases due to viruses and Chlamydiae, Cytomegaloviral disease",parent_match,0
0785C,PNEUMONITIS CYTOMEGA,PNEUMONITIS CYTOMEGALICA,078.5,Cytomegaloviral disease,4_digit_level,078.5,"Other diseases due to viruses and Chlamydiae, Cytomegaloviral disease",parent_match,0
0785X,VIROSIS ALIA CYTOMEG,VIROSIS ALIA CYTOMEGALICA,078.5,Cytomegaloviral disease,4_digit_level,078.5,"Other diseases due to viruses and Chlamydiae, Cytomegaloviral disease",parent_match,0
0786A,NEPHROPATHIA EPIDEMI,NEPHROPATHIA EPIDEMICA,078.6,Hemorrhagic nephrosonephritis,4_digit_level,078.6,"Other diseases due to viruses and Chlamydiae, Haemorrhagic nephrosonephritis",parent_match,0
0786B,NEFROSONEFRIT HEMORR,NEPHROSONEPHRITIS HAEMORRHAGICA,078.6,Hemorrhagic nephrosonephritis,4_digit_level,078.6,"Other diseases due to viruses and Chlamydiae, Haemorrhagic nephrosonephritis",parent_match,0
0787A,FEBR HEMORR ARENAVIR,FEBRIS HAEMORRHAGICA EX ARENAVIRO,078.7,Arenaviral hemorrhagic fever,4_digit_level,078.7,"Other diseases due to viruses and Chlamydiae, Arenaviral haemorrhagic fever",parent_match,0
0787X,VIROSIS HAEMORR ALIA,VIROSIS HAEMORRHAGICA ALIA,078.7,Arenaviral hemorrhagic fever,4_digit_level,078.7,"Other diseases due to viruses and Chlamydiae, Arenaviral haemorrhagic fever",parent_match,0
0788A,HIV-PRIMAARI-INFEKTI,HIV-PRIMAARI-INFEKTIO JA OIREETON KANTAJAVAIHE,078.8,Other specified diseases due to viruses and Chlamydiae,4_digit_level,078.8,"Other diseases due to viruses and Chlamydiae, Other specified diseases due to viruses and Chlamydiae",parent_match,0
0788B,OIREINEN HIV-INFEKTI,"HIV-INFEKTIO,OIREISET TAUDINKUVAT",078.8,Other specified diseases due to viruses and Chlamydiae,4_digit_level,078.8,"Other diseases due to viruses and Chlamydiae, Other specified diseases due to viruses and Chlamydiae",parent_match,0
0788C,"AIDS,IMMUUNIKATO","AIDS, IMMUUNIKATO",078.8,Other specified diseases due to viruses and Chlamydiae,4_digit_level,078.8,"Other diseases due to viruses and Chlamydiae, Other specified diseases due to viruses and Chlamydiae",parent_match,0
0788D,MUUT RETROVIR TAUDIT,MUIDEN RETROVIRUSTEN AIHEUTTAMAT TAUTITILAT,078.8,Other specified diseases due to viruses and Chlamydiae,4_digit_level,078.8,"Other diseases due to viruses and Chlamydiae, Other specified diseases due to viruses and Chlamydiae",parent_match,0
