Code,n_codes,freq_finngen_per,Finnish,English
78610,84,0.01934%,"Virtsa- ja sukuelinten oireet, Retentio urinae","Symptoms referable to genito-urinary system, Retention of urine"
21210,83,0.01911%,"Hengityselinten hyvänlaatuinen kasvain, Laryngis","Benign neoplasm of respiratory system, Larynx"
24599,83,0.01911%,"Kilpirauhastulehdus, Muut kilpirauhasen taudit","Thyroiditis, Unspecified"
50609,83,0.01911%,"Krooninen kurkunpääntulehdus, NUD","Chronic laryngitis, Unspecified"
60401,83,0.01911%,"Kivestulehdus ja lisäkivestulehdus, Epididymitis acuta","Orchitis and epididymitis, Epididymitis acuta"
65480,83,0.01911%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
70620,83,0.01911%,"Talirauhassairaudet, Cysta sebacea","Diseases of sebaceous glands, Sebaceous cyst"
80290,83,0.01911%,"Naaman luiden murtuma, Nasi, Sequelae","Fracture of face bones, Nasi, Sequelae"
30550,82,0.01888%,"Psykosomaattiset sairaudet, Systematis gastro-intestinalis","Physical disorders of presumably psychogenic origin, Gastro-intestinal"
36009,82,0.01888%,NA,"Conjunctivitis and ophthalmia, Unspecified"
45698,82,0.01888%,NA,"Varicose veins of other sites, Of other sites"
60760,82,0.01888%,"Muut miehen sukuelinten taudit, Spermatocele","Other disease of male genital organs, Spermatocele"
70908,82,0.01888%,"Muut ihon sairaudet, Alii definiti","Other diseases of skin, Alii definiti"
Y0199,82,0.01888%,Veren ja verta muodostavien elimien tutkiminen. Ei sisällä umpieritys- ja aineenvaihduntahäiriöiden toteamiseksi suoritettuja veritutkimuksia,Investigation of blood and blood-forming organs
56902,81,0.01865%,"Muut suoliston ja vatsakalvon taudit, Proctitis haemorrhagica (ulcerosa)","Other diseases of intestines and peritoneum, Proctitis haemorrhagica (ulcerosa)"
65001,81,0.01865%,"Synnytys, ei tietoa komplikaatiosta, Pää, edellä, kasvo- tai otsatarjonta","Delivery without mention of complication, Face and brow presentation"
67791,81,0.01865%,"Muu tai tarkemmin määrittelemätön lapsivuoteisen lisätauti, Haemorrhagia tarde (alia)","Other and unspecified complications of the puerperium, Haemorrhagia tarde (alia)"
78450,81,0.01865%,"Ruuansulatuskanavan ylempien osien oireet, Haematemesis","Symptoms referable to upper gastro-intestinal tract, Haematemesis"
00898,80,0.01842%,"Muun tietyn eliön aiheuttama suolitulehdus, Virosa NUD","Enteritis due to other specified organism, Other organism, not elsewhere classified"
11006,80,0.01842%,"Kasviloisten aiheuttamat ihotaudit, Pedis","Dermatophytosis, Pedis"
65406,80,0.01842%,Perä- tai jalkatarjonta,Complete or incomplete breech presentation
83690,80,0.01842%,"Sijoiltaanmeno polvinivelessä, Patellae, Sequelae","Dislocation of knee, Patellae, Sequelae"
18699,79,0.01819%,Kiveksen pahanlaatuinen kasvain,Malignant neoplasm of testis
36000,79,0.01819%,NA,"Conjunctivitis and ophthalmia, Catarrhalis, infectiosa"
50702,79,0.01819%,"Heinänuha, Aestivalis","Hay fever, Aestivalis"
51998,79,0.01819%,"Muut hengityselinten taudit, Alii definiti","Other diseases of respiratory system, Alii definiti"
71105,79,0.01819%,"Äkillinen ei-märkäinen niveltulehdus, Genus","Acute nonpyogenic arthritis, Genus"
72850,79,0.01819%,"Selkäsärky, Dolores columnae vertebralis thoracicae","Vertebrogenic pain syndrome, Pain in thoracic spine"
74663,79,0.01819%,"Synnynnäiset sydänviat, Stenosis valvulae pulmonalis","Congenital anomalies of heart, Stenosis valvulae pulmonalis"
26900,78,0.01796%,"Muut puutostaudit, Steatorrhoea. Sprue","Other nutritional deficiency, Sprue and steatorrhoea"
35008,78,0.01796%,"Naamahermohalvaus, Alia definita","Facial paralysis, Alia definita"
56099,78,0.01796%,"Suoliston kureutuminen ilman tietoa tyrästä, NUD","Intestinal obstruction without mention of hernia, Other and unspecified"
68600,78,0.01796%,"Muut ihon ja ihonalaiskudoksen paikalliset infektiot, Pyoderma atypicum","Other local infections of skin and subcutaneous tissue, Pyoderma"
69700,78,0.01796%,"Jäkälätauti, Ruber planus","Lichen, Planus"
75710,78,0.01796%,"Ihon, hiusten ja kynsien synnynnäiset epämuodostumat, Naevus pigmentosus congenitus per magnus","Congenital anomalies of skin, hair and nails, Pigmented naevus"
91000,78,0.01796%,"Pintahaava kasvoissa, kaulalla ja pääkopassa, Ei-Komplis. (tai tark. Määrittelemätön)","Superficial injury of face, neck and scalp, Without mention of infection"
05405,77,0.01773%,"Ihorokahtuma (yskänrokahtuma), Kerato-conjunctivitis herpetica","Herpes simplex, Kerato-conjunctivitis herpetica"
34519,77,0.01773%,"Kaatumatauti, Generalisata convulsiva NUD","Epilepsy, Generalisata convulsiva NUD"
43500,77,0.01773%,NA,"Transient cerebral ischaemia, With hypertension (benign)"
60101,77,0.01773%,"Eturauhastulehdus, Chronica","Prostatitis, Chronica"
60508,77,0.01773%,"Esinahan taudit, Alii definiti","Redundant prepuce and phimosis, Alii definiti"
71303,77,0.01773%,"Nivelrikot ja vastaavat tilat, Arthritis (arthrosis) multiplex","Osteo-arthritis and allied conditions, Arthritis (arthrosis) multiplex"
74924,77,0.01773%,"Huulihalkio, suulakihalkio, Cheilognathopalatoschisis bilateralis","Cleft palate and cleft lip, Cheilognathopalatoschisis bilateralis"
75220,77,0.01773%,"Sukuelinten synnynnäiset epämuodostumat, Hypospadia glandis","Congenital anomalies of genital organs, Hypospadia glandis"
78320,77,0.01773%,"Hengityselinten oireet, Tetania hyperventilatoria","Symptoms referable to respiratory system, Tetania hyperventilatoria"
82121,77,0.01773%,"Murtumat muissa ja tarkemmin määrittelemättömissä reisiluun osissa, Femoris partis inferioris, Non complicata (sive NUD)","Fracture of other and unspecified parts of femur, Lower end, closed"
18899,76,0.01750%,Virtsarakon pahanlaatuinen kasvain,Malignant neoplasm of bladder
22120,76,0.01750%,"Naisen muiden sukuelinten hyvänlaatuinen kasvain, Vulvae","Benign neoplasm of other female genital organs, Vulva"
24099,76,0.01750%,"Yksinkertainen struuma, NUD","Simple goitre, Unspecified"
64499,76,0.01750%,"Keskenmenot, joista ei tiedetä onko kysymyksessä lähdetys vai itsestään tapahtuva, Sepsi sive toxicosi non indicata","Abortion not specified as induced or spontaneous, Without mention of sepsis or toxaemia"
81221,76,0.01750%,"Olkaluun murtuma, Olkaluun varressa tai tarkemmin määrittelemättömässä osassa olkaluuta, Ei-Komplis. (tai tark. Määrittelemätön)","Fracture of humerus, Shaft or unspecified part, closed"
86600,76,0.01750%,"Munuaisvammat, Ei-Komplis. (tai tark. Määrittelemätön)","Injury to kidney, Without mention of open wound into cavity"
09808,75,0.01727%,"Tippuri, Uro-genitalis acuta, alia","Gonococcal infections, Uro-genitalis acuta, alia"
36703,75,0.01727%,"Näköhermon ja verkkokalvon tulehdus, Neuritis optica, retrobulbaris","Inflammation of optic nerve and retina, Neuritis optica, retrobulbaris"
48499,75,0.01727%,Äkillinen interstitielli keuhkokuume,Acute interstitial pneumonia
73100,75,0.01727%,"Nivelvoidekalvon, limapussin- sekä jännetupentulehdus, Tendinivaginitis acuta",NA
81490,75,0.01727%,"Ranneluun murtuma, Jälkivaivat","Fracture of carpal bone(s), Late effect"
99860,75,0.01727%,"Muut kirurgisiin toimenpiteisiin liittyvät komplikaatiot, Leikkauksen jälkeinne avanne","Other complications of surgical procedures, Persistent postoperative fistula"
18200,74,0.01704%,"Muualla sijaitseva kohdun pahanlaatuinen kasvain, Carcinoma corporis uteri","Other malignant neoplasm of uterus, Carcinoma corporis uteri"
30499,74,0.01704%,"Huumausainehimo, lääkeaineiden väärinkäyttö, NUD","Drug dependence, Unspecified"
60100,74,0.01704%,"Eturauhastulehdus, Acuta","Prostatitis, Acuta"
70800,74,0.01704%,"Nokkosihottuma, Angioneurotica","Urticaria, Angioneurotic oedema"
85200,74,0.01704%,"Tapaturman aiheuttama verenvuoto lukinkalvon ja kovakalvon alla tai kovakalvon ulkopuolella ilman aivoruhjetta tai -repeämää, Ei-Komplis. (tai tark. Määrittelemätön)","Subarachnoid, subdural and extradural haemorrhage, following injury (without mention of cerebral laceration or contusion), Without mention of open intracranial wound"
24509,73,0.01681%,"Kilpirauhastulehdus, NUD","Thyroiditis, Unspecified"
34300,73,0.01681%,"Lapsuusiän spastinen aivohalvaus, Hemiplegia spastica","Cerebral spastic infantile paralysis, Hemiplegia spastica"
59328,73,0.01681%,"Muut munuaisen ja virtsanjohtimen taudit, Morbi renis alii","Other diseases of kidney and ureter, Morbi renis alii"
73103,73,0.01681%,"Nivelvoidekalvon, limapussin- sekä jännetupentulehdus, Tendinivaginitis crepitans",NA
73104,73,0.01681%,"Nivelvoidekalvon, limapussin- sekä jännetupentulehdus, Bursitis acuta",NA
97920,73,0.01681%,"Alkoholi tarkemmin määriteltyjen lääkkeellisten aineiden kanssa, Alkoholi ja muut sedatiivit kuin barbituraatit","Alcohol in combination with specified medicinal agents, With nonbarbiturate sedatives"
E9289,73,0.01681%,"Koneonnettomuudet, joita ei voida luokitella muualle.",Machinery accidents not elsewhere classifiable
09801,72,0.01658%,"Tippuri, Urethritis acuta cum salpingo-cophoritide","Gonococcal infections, Urethritis acuta cum salpingo-cophoritide"
30670,72,0.01658%,"Hermoston ja aistimien oireet, joita ei voi luokitella muualle, Ulosteenpidätyskyvyttömyys","Special symptoms not elsewhere classified, Encopresis"
49102,72,0.01658%,NA,"Chronic bronchitis, Purulenta"
52430,72,0.01658%,"Purentaelimen poikkeavuudet, Hampaiden asentovirheet","Dento-facial anomalies including malocclusion, Anomalies of tooth position"
60770,72,0.01658%,"Muut miehen sukuelinten taudit, Torsio testis","Other disease of male genital organs, Torsion of testis"
69399,72,0.01658%,NA,Dermatitis herpetiformis
73699,72,0.01658%,Lattajalka,Flat foot
78161,72,0.01658%,"Muut hermoston ja eräiden aistinelinten oireet, Paraesthesia","Other symptoms referable to nervous system and special senses, Paraesthesia"
00998,71,0.01635%,"Ripuli, Diarrhoea alia",Other diarrhoeal disease
03992,71,0.01635%,"Muut bakteeritaudit, Infectio Yersinia (Pasteurella) enterocolitica","Other bacterial diseases, Infectio Yersinia (Pasteurella) enterocolitica"
25200,71,0.01635%,"Lisäkilpirauhasen taudit, Sisältää lisäkilpirauhasen rauhaskasvaimen","Diseases of parathyroid gland, Hyperparathyroidism"
30488,71,0.01635%,"Huumausainehimo, lääkeaineiden väärinkäyttö, Alia definita","Drug dependence, Other"
33098,71,0.01635%,"Perinnölliset hermolihassairaudet, Alii definiti","Hereditary neuromuscular disorders, Alii definiti"
34408,71,0.01635%,"Muu aivohalvaus, Alia definita","Other cerebral paralysis, Alia definita"
55299,71,0.01635%,"Kureutunut nivustyrä (kuristunut, kureutunut, kuolioitunut)",Inguinal hernia with obstruction
56108,71,0.01635%,"Muu kuin haavainen maha-suoli- ja paksusuolentulehdus, jonka syynä ei ole tartuma, Alia definita","Gastro-enteritis and colitis, except ulcerative, of non-infectious origin, Alia definita"
62610,71,0.01635%,"Kuukautishäiriöt, Niukka kuukautisvuoto","Disorders of menstruation, Hypomenorrhoea"
68200,71,0.01635%,"Muut sidekudos tulehdukset ja märkäpesäkkeet, Capitis et cervicis","Other cellulitis and abscess, Of head and neck"
74588,71,0.01635%,"Korvan, kasvojen ja kaulan synnynnäiset epämuodostumat, Alia definitae","Congenital anomalies of ear, face and neck, Alia definitae"
88290,71,0.01635%,"Haava kädessä, mutta ei sormissa, Jälkivaivat","Open wound of hand except finger(s) alone, Late effect"
22620,70,0.01612%,"Umpirauhasten hyvänlaatuinen kasvain, Glandulae pituitariae et ductus craniopharyngici","Benign neoplasm of endocrine glands, Pituitary gland and craniopharyngeal duct (pouch)"
32309,70,0.01612%,NA,"Encephalitis, myelitis and encephalomyelitis, Unspecified"
51120,70,0.01612%,"Keuhkopussintulehdus, Alia exsudativa definita","Pleurisy, Other specified forms of effusion, except tuberculous"
56100,70,0.01612%,"Muu kuin haavainen maha-suoli- ja paksusuolentulehdus, jonka syynä ei ole tartuma, Gastro-enteritis allergica","Gastro-enteritis and colitis, except ulcerative, of non-infectious origin, Gastro-enteritis allergica"
57608,70,0.01612%,"Muut sappiteiden taudit, Dyskinesia viarum biliferarum","Other diseases of gallbladder and biliary, Dyskinesia viarum biliferarum"
67801,70,0.01612%,"Nisätulehdus ja muut imetyshäiriöt, Mastitis","Mastitis and other disorders of lactation, Mastitis"
73809,70,0.01612%,"Muut epämuodostumat, NUD","Other deformities, Unspecified"
87002,70,0.01612%,"Silmän ja silmän seudun haava, Oculi, perforatione non indicata, Non complicata (sive NUD)","Open wound of eye and orbit, Oculi, perforatione non indicata, Non complicata (sive NUD)"
94520,70,0.01612%,"Palovamma alaraajassa, Komplikaatiosta ei ole tietoa, Gradus II","Burn confined to lower limb(s), Second degree, without mention of complication"
30150,69,0.01589%,"Luonteen sairaalloismus, Hysterica","Personality disorders, Hysterical"
59011,69,0.01589%,"Munuaisen tartuntataudit, Pyelitis","Infections of kidney, Pyelitis"
74699,69,0.01589%,"Synnynnäiset sydänviat, NUD","Congenital anomalies of heart, Unspecified anomalies of heart"
87011,69,0.01589%,"Silmän ja silmän seudun haava, Perforans oculi, Complicata","Open wound of eye and orbit, Perforans oculi, Complicata"
88100,69,0.01589%,"Haava kyynärpään seudussa, kyynärvarressa ja ranteessa, Ei-Komplis. (tai tark. Määrittelemätön)","Open wound of elbow, forearm and wrist, Without mention of complication"
65714,68,0.01566%,Avoin niska- tai takaraivotarjonta,"Occipital presentation, posterior position"
87000,68,0.01566%,"Silmän ja silmän seudun haava, Palpebrae et orbitae, oculi excepto, Non complicata (sive NUD)","Open wound of eye and orbit, Palpebrae et orbitae, oculi excepto, Non complicata (sive NUD)"
97888,68,0.01566%,"Kahden tai useamman lääkeaineen kombinatio, Muut määritellyt kombinaatiot",NA
00880,67,0.01543%,"Muun tietyn eliön aiheuttama suolitulehdus, Virosa specificata","Enteritis due to other specified organism, Enteritis due to specified virus"
07509,67,0.01543%,"Tarttuva mononukleoosi (rauhaskuume), NUD","Infectious mononucleosis, Unspecified"
12340,67,0.01543%,NA,"Other cestode infection, Diphyllobothriasis, intestinal"
38790,67,0.01543%,"Muut korvan ja kartiolisäkkeen taudit, Degeneratio nervi acustici","Other disease of ear and mastoid process, Degeneratio nervi acustici"
46301,67,0.01543%,"Äkillinen kitarisantulehdus, Gangraenosa","Acute tonsillitis, Gangraenosa"
48399,67,0.01543%,Jonkin muun tietyn eliön aiheuttama keuhkokuume,Pneumonia due to other specified organism
60309,67,0.01543%,"Vesityrä, NUD","Hydrocele, Unspecified"
66186,67,0.01543%,Perä- tai jalkatarjonta,Complete or incomplete breech presentation
81390,67,0.01543%,"Kyynärluun ja värttinäluun murtuma, Radii, Sequelae","Fracture of radius and ulna, Radii, Sequelae"
87001,67,0.01543%,"Silmän ja silmän seudun haava, Perforans oculi, Non complicata (sive NUD)","Open wound of eye and orbit, Perforans oculi, Non complicata (sive NUD)"
Y7109,67,0.01543%,"Sairaan mukana oleva terve henkilö, Muut",NA
22899,66,0.01520%,Muun elimen (kudoksen) tai tarkemmin määrittelemätön hyvänlaatuinen kasvain,Benign neoplasm of other and unspecified organs and tissues
30610,66,0.01520%,"Hermoston ja aistimien oireet, joita ei voi luokitella muualle, Sanasokeus, sanakuurous","Special symptoms not elsewhere classified, Specific learning disturbance"
37512,66,0.01520%,"Viherkaihi, Chronicum capsulare","Glaucoma, Chronicum capsulare"
62520,66,0.01520%,"Muut kohdun sairaudet, Polyposis non neoplasticus corporis uteri","Other diseases of uterus, Polyposis non neoplasticus corporis uteri"
89210,66,0.01520%,"Haava jalkaterässä, mutta ei varpaissa, Komplisoitunut","Open wound of foot, except toe(s) alone, Complicated"
23400,65,0.01497%,"Kohdun tarkemmin määrittelemätön kasvain, Carcinoma stadium 0 (non invasivum) cervis uteri","Neoplasm of unspecified nature of uterus, Carcinoma in situ of cervix uteri"
30070,65,0.01497%,"Neuroosi, Hypochondrica","Neuroses, Hypochondriacal neurosis"
50701,65,0.01497%,"Heinänuha, Vernalis","Hay fever, Vernalis"
60699,65,0.01497%,Miehen hedelmättömyys,"Sterility, male"
70130,65,0.01497%,"Muut ihon liikakasvut ja surkastumatilat, Cicatrix keloides","Other hypertrophic and atrophic conditions of the skin, Keloid scar"
93900,65,0.01497%,Vieras esine sukuelimissä ja virtsateissä,Foreign body in genito-urinary tract
07209,64,0.01474%,"Sikotauti, NUD","Mumps, Unspecified"
20298,64,0.01474%,"Muut lymfaattisen kudoksen kasvaimet, Lymphomata alia","Other neoplasms of lymphoid tissue, Lymphomata alia"
22550,64,0.01474%,"Aivojen ja hermoston muiden osien hyvänlaatuinen kasvain, Nervorum periphericorum","Benign neoplasm of brain and other parts of nervous system, Peripheral nerves"
30130,64,0.01474%,"Luonteen sairaalloismus, Explosiva","Personality disorders, Explosive"
35508,64,0.01474%,"Muu tai tarkemmin määrittelemätön hermosärky ja hermotulehdus, Alia definita","Other and unspecified forms of neuralgia and neuritis, Alia definita"
41097,64,0.01474%,"Äkillinen salpauspesäke sydänlihaksessa, Suspectus, hypertonia non indicata","Acute myocardial infarction, Suspectus, hypertonia non indicata"
57501,64,0.01474%,"Sappirakontulehdus ja sappitiehyttulehdus, sappikivistä ei ole tietoa, Cholecystitis chronica","Cholecystitis and cholangitis, without mention of calculus, Cholecystitis chronica"
07009,63,0.01451%,"Tarttuva keltatauti, NUD","Infectious hepatitis, Unspecified"
28910,63,0.01451%,"Muut veren ja vertamuodostavien elinten taudit, Lymphadenitis chronica","Other disease of blood and blood-forming organs, Chronic lymphadenitis"
34308,63,0.01451%,"Lapsuusiän spastinen aivohalvaus, Alia definita","Cerebral spastic infantile paralysis, Alia definita"
38008,63,0.01451%,"Ulkokorvantulehdus, Otitis externa alia definita","Otitis externa, alia definita"
65790,63,0.01451%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
72209,63,0.01451%,"Luuruston kasvuhäiriö, Osteochondrosis spinalis juvenilis (Scheuermann) NUD","Osteochondrosis, spinalis juvenilis (Scheuermann) NUD"
74619,63,0.01451%,"Synnynnäiset sydänviat, Transpositio","Congenital anomalies of heart, Transposition of great vessels"
21504,62,0.01428%,"Muu lihaskudoksen tai sidekalvon hyvänlaatuinen kasvain, Extremitatis inferioris (regione glutaea inclusa)","Other benign neoplasm of muscular and connective tissue, Extremitatis inferioris (regione glutaea inclusa)"
25510,62,0.01428%,"Lisämunuaisen taudit, Insufficientia adrenocorticalis. Morbus Addison","Diseases of adrenal glands, Adrenal cortical hypofunction"
37403,62,0.01428%,"Harmaa kaihi, Complicata","Cataract, Complicata"
38200,62,0.01428%,"Välikorvan- ja kartiolisäkkeentulehdus, Acuta",Acute / Acute otitis media with mastoiditis
53192,62,0.01428%,"Mahahaava, Praepyloricum (haemorrhagia, stenosi sive perforatione non indicata)","Ulcer of stomach, Praepyloricum (haemorrhagia, stenosi sive perforatione non indicata)"
61301,62,0.01428%,"Krooninen munanjohtimen ja munasarjantulehdus, Pyosalpinx chronica","Chronic salpingitis and oophoritis, Pyosalpinx chronica"
62330,62,0.01428%,"Kohdun ja emättimen esiinluiskahdus, Enterocele vaginalis","Uterovaginal prolapse, Vaginal enterocele"
63598,62,0.01428%,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, Aliae definitae","Urinary infections arising during pregnancy and the puerperium, Aliae definitae"
72299,62,0.01428%,"Luuruston kasvuhäiriö, NUD",Unspecified forms of osteochondrosis
82002,62,0.01428%,"Reisiluun ylemmän osan murtuma, Alia definita, Non complicata (sive NUD)","Fracture of neck of femur, Alia definita, Non complicata (sive NUD)"
Y1908,62,0.01428%,Muut tutkimukset,NA
00306,61,0.01405%,"Muut salmonellataudit, Elintarvikkeista, Salmonellosis alia, Causa alimentaria alia","Other Salmonella infections, With food as vehicle of infection, Causa alimentaria alia"
07900,61,0.01405%,"Muut virustaudit, Molluscum contagiosum","Other viral diseases, Molluscum contagiosum"
30599,61,0.01405%,"Psykosomaattiset sairaudet, NUD","Physical disorders of presumably psychogenic origin, Other"
34539,61,0.01405%,"Kaatumatauti, Partialis (focalis) NUD","Epilepsy, Partialis (focalis) NUD"
35409,61,0.01405%,NA,"Polyneuritis and polyradiculitis, Unspecified"
56095,61,0.01405%,"Suoliston kureutuminen ilman tietoa tyrästä, Ileus propter adhaesionem, cum functione laesa circulationis intestinalis","Intestinal obstruction without mention of hernia, Ileus propter adhaesionem, cum functione laesa circulationis intestinalis"
63420,61,0.01405%,"Muut raskaudenajan lisätaudit, Mola hydatidosa","Other complications of pregnancy, Missed abotion and missed delivery"
75630,61,0.01405%,"Luuston ja lihaksiston muut synnynnäiset epämuodostumat, Pectus excavatum","Other congenital anomalies of musculoskeletal system, Pectus excavatum"
94220,61,0.01405%,"Palovamma vartalolla, Komplikaatiosta ei ole tietoa, Gradus II","Burn confined to trunk, Second degree, without mention of complication"
Y3999,61,0.01405%,"Muu lääkinnällinen (ja kirurginen) jälkihoito, joka kohdistuu oireettomaan potilaaseen",Other
05200,60,0.01382%,"Vesirokko, Cum meningoencephalitide","Chickenpox, Cum meningoencephalitide"
09809,60,0.01382%,"Tippuri, Uro-genitalis (acuta) NUD","Gonococcal infections, Uro-genitalis (acuta) NUD"
21604,60,0.01382%,"Ihon hyvänlaatuinen kasvain, Partis alterius facici sive faciei non definita","Benign neoplasm of skin, Partis alterius facici sive faciei non definita"
50809,60,0.01382%,"Muut taudit ylemmissä hengitysteissä, NUD","Other diseases of upper respiratory tract, Unspecified"
52698,60,0.01382%,"Leukojen sairaudet, Alii definiti","Diseases of the jaws, Alii definiti"
63490,60,0.01382%,"Muut raskaudenajan lisätaudit, Abortus habitualis","Other complications of pregnancy, Abortus habitualis"
75100,60,0.01382%,"Ruuamsulatuselinten muut synnynnäiset epämuodostumat, Diverticulum Meckelii (Ductus omphaloentericus persistens)","Other congenital anomalies of digestive system, Meckel's diverticulum"
88200,60,0.01382%,"Haava kädessä, mutta ei sormissa, Ei-Komplis. (tai tark. Määrittelemätön)","Open wound of hand except finger(s) alone, Without mention of complication"
01101,59,0.01359%,"Keuhkotuberkuloosi, Cavernosa","Pulmonary tuberculosis, Cavernosa"
21600,59,0.01359%,"Ihon hyvänlaatuinen kasvain, Epidermis","Benign neoplasm of skin, Epidermis"
23999,59,0.01359%,"Tarkemmin määrittelemätön kasvain muualla, Alio loco sive NUD","Neoplasm of unspecified nature of other and unspecified organs, Other and unspecified sites"
32000,59,0.01359%,"Aivokalvontulehdus, Purulenta per haemophilum influenzae","Meningitis, H. influenzae"
63198,59,0.01359%,"Kohdunulkoinen raskaus, Alia definita, sepsi non indicata","Ectopic pregnancy, Alia definita, sepsi non indicata"
65740,59,0.01359%,"Pää edellä, niska- tai takaraivotarjonta",Occipital presentation
75251,59,0.01359%,"Sukuelinten synnynnäiset epämuodostumat, Uterus bicornis et uterus arcuatus","Congenital anomalies of genital organs, Uterus bicornis et uterus arcuatus"
80621,59,0.01359%,"Selkärangan murtuma, jonka yhteydessä selkäydin (hermojuuret) on vahingoittunut, Thoracica, Non complicata (sive NUD)","Fracture and fracture dislocation of vertebral column with spinal cord lesion, Thoracica, Non complicata (sive NUD)"
88190,59,0.01359%,"Haava kyynärpään seudussa, kyynärvarressa ja ranteessa, Jälkivaivat","Open wound of elbow, forearm and wrist, Late effect"
96100,59,0.01359%,"Kemoterapeuttiset aineet, Sulfonamidit","Adverse effect of other anti-infectives, Sulphonamides"
03600,58,0.01335%,"Tarttuva aivokalvontulehdus (meningokkokien aiheuttama), Meningitis meningococcica","Meningococcal infection, Meningococcal meningitis"
30100,58,0.01335%,"Luonteen sairaalloismus, Paranoides","Personality disorders, Paranoid"
39501,58,0.01335%,"Aorttaläppien muutokset, Cum insufficientia (febris rheumatica inactiva)","Diseases of aortic valve, Cum insufficientia (febris rheumatica inactiva)"
59322,58,0.01335%,"Muut munuaisen ja virtsanjohtimen taudit, Albuminuria orthostatica","Other diseases of kidney and ureter, Albuminuria orthostatica"
63199,58,0.01335%,"Kohdunulkoinen raskaus, NUD","Other or unspecified ectopic pregnancy, without mention of sepsis"
63590,58,0.01335%,"Virtsatieinfektiot, jotka ovat alkaneet raskauden-tai lapsivuoteuden aikana, Cystitis","Urinary infections arising during pregnancy and the puerperium, Cystitis"
69598,58,0.01335%,"Ihopunoittumat, Alii definiti","Erythematous condition, Alii definiti"
E9889,58,0.01335%,Muulla tai tuntemattomalla tavalla tapahtunut tapaturma,"Injury by other and specified means, undetermined whether accidentally or purposely inflicted"
07004,57,0.01312%,"Tarttuva keltatauti, Alia","Infectious hepatitis, Alia"
61101,57,0.01312%,"Ei sisällä imetykseen tai lapsivuoteuteen läheisesti liityviä tapauksia, Abscessus mammae","Other diseases of breast, Abscessus mammae"
62201,57,0.01312%,"Kohdun, emättimen ja hävyn infektiotaudit (poikkeuksena kohdunkaula), Endometritis chronica","Infective diseases of uterus (except cervix), vagina and vulva, Endometritis chronica"
81090,57,0.01312%,"Solisluun murtuma, Jälkivaivat","Fracture of clavicle, Late effect"
88600,57,0.01312%,"Muun sormen tapaturmainen typistys (täydellinen) (osittainen), Ei-Komplis. (tai tark. Määrittelemätön)","Traumatic amputation of other finger(s) (complete) (partial), Without mention of complication"
05597,56,0.01289%,"Tuhkarokko, Suspecta","Measles, Suspecta"
06599,56,0.01289%,"Virus-aivotulehdus, tarkemmin määrittelemätön, Encephalitis virosa NUD","Viral encephalitis, unspecified"
35401,56,0.01289%,NA,"Polyneuritis and polyradiculitis, Polyradicultitis Guillain-Barré"
51101,56,0.01289%,"Keuhkopussintulehdus, Adhaesiones pleurae","Pleurisy, Adhaesiones pleurae"
59321,56,0.01289%,"Muut munuaisen ja virtsanjohtimen taudit, Cysta (cystis) renis (non congenita)","Other diseases of kidney and ureter, Cysta (cystis) renis (non congenita)"
62211,56,0.01289%,"Kohdun, emättimen ja hävyn infektiotaudit (poikkeuksena kohdunkaula), Vaginitis","Infective diseases of uterus (except cervix), vagina and vulva, Vaginitis"
63440,56,0.01289%,"Muut raskaudenajan lisätaudit, Hydramnion","Other complications of pregnancy, Premature rupture of membrane without delivery"
75578,56,0.01289%,"Muut raajojen synnynnäiset epämuodostumat, Maleformationes ossium et articulorum extremitatis inferioris (pelvi inclusa) aliae","Other congenital anomalies of limbs, Other anomaly of lower limb (including pelvic girdle)"
81690,56,0.01289%,"Sormiluun murtuma, Jälkivaivat","Fracture of one or more phalanges of hand, Late effect"
92800,56,0.01289%,Ruhjevamma jalkaterässa ja varpaassa,"Contusion of foot and toe(s), Current injury"
05401,55,0.01266%,"Ihorokahtuma (yskänrokahtuma), Gingivostomatitis","Herpes simplex, Gingivostomatitis"
07202,55,0.01266%,"Sikotauti, Cum orchitide","Mumps, Cum orchitide"
29440,55,0.01266%,"Muuhun elimelliseen sairauteen liityvä mielisairaus, Cum partu (in puerperio)","Psychosis associated with other physical conditions, Childbirth"
35199,55,0.01266%,Kolmoishermosärky,Trigeminal neuralgia
65694,55,0.01266%,"Synnytys, jossa sivuhäiriönä sikiön poikkeava tarjonta (asento), Avoin niska- tai takaraivotarjonta","Delivery complicated by malpresentation of foetus, Occipital presentation, posterior position"
72399,55,0.01266%,"Muut luiden taudit, NUD",Other diseases of bone
74340,55,0.01266%,"Hermoston muut synnynnäiset epämuodostumat, Neurofibromatosis (von Recklinghausen)","Other congenital anomalies of nervous system, Neurofibromatosis"
86000,55,0.01266%,"Tapaturman aiheuttama ilmarinta ja veririnta, Pneumothorax, Non complicata (sive NUD)","Traumatic pneumothorax and haemothorax, Pneumothorax, Non complicata (sive NUD)"
97799,55,0.01266%,Tarkemmin määrittelemättömät lääkeaineet,"Adverse effect of other and unspecified drugs, Drugs, unspecified"
Y1199,55,0.01266%,"Yleinen psykiatrinen tutkimus, Muut",NA
